 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F125W
 -1.3065 -1.3526 -1.4016 -1.4463 -1.4853 -1.5188 -1.5483 -1.5755 -1.6016 -1.6267
 -1.6510 -1.6749 -1.6986 -1.7223 -1.7456 -1.8042 -1.8701 -1.9439 -2.0247 -2.1123
 -2.2037 -2.2954 -2.3846 -2.4712 -2.5552 -2.6372 -2.7176 -2.7975 -2.8772 -2.9565
 -3.0354
 -1.2678 -1.3118 -1.3598 -1.4039 -1.4468 -1.4857 -1.5204 -1.5518 -1.5813 -1.6097
 -1.6373 -1.6642 -1.6904 -1.7160 -1.7411 -1.8030 -1.8687 -1.9422 -2.0227 -2.1091
 -2.2002 -2.2928 -2.3841 -2.4728 -2.5587 -2.6419 -2.7229 -2.8021 -2.8800 -2.9572
 -3.0352
 -1.2407 -1.2790 -1.3233 -1.3655 -1.4092 -1.4498 -1.4886 -1.5245 -1.5579 -1.5894
 -1.6199 -1.6498 -1.6787 -1.7070 -1.7344 -1.8006 -1.8676 -1.9405 -2.0202 -2.1056
 -2.1955 -2.2879 -2.3803 -2.4710 -2.5592 -2.6444 -2.7271 -2.8072 -2.8853 -2.9619
 -3.0377
 -1.2236 -1.2541 -1.2922 -1.3324 -1.3737 -1.4151 -1.4554 -1.4941 -1.5311 -1.5661
 -1.5994 -1.6319 -1.6635 -1.6944 -1.7244 -1.7961 -1.8660 -1.9390 -2.0178
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value = F125W
 -1.7856 -1.7886 -1.7520 -1.7189 -1.6870 -1.6633 -1.6537 -1.6478 -1.6417 -1.6358
 -1.6333 -1.6352 -1.6417 -1.6520 -1.6655 -1.7113 -1.7722 -1.8461 -1.9326
 -1.6861 -1.7398 -1.7663 -1.7369 -1.7087 -1.6865 -1.6733 -1.6673 -1.6617 -1.6573
 -1.6565 -1.6604 -1.6686 -1.6805 -1.6953 -1.7425 -1.8021 -1.8732 -1.9561 -2.0460
 -1.6478 -1.6585 -1.6883 -1.7318 -1.7223 -1.7007 -1.6860 -1.6790 -1.6752 -1.6721
 -1.6725 -1.6774 -1.6868 -1.6999 -1.7158 -1.7647 -1.8243 -1.8941 -1.9745 -2.0620
 -2.1520
 -1.6177 -1.6288 -1.6359 -1.6505 -1.6848 -1.7057 -1.6951 -1.6858 -1.6828 -1.6817
 -1.6830 -1.6886 -1.6987 -1.7125 -1.7293 -1.7800 -1.8403 -1.9097 -1.9886 -2.0746
