 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = G_BP 
 -4.2331 -4.1633 -4.3633 -4.2925 -4.0966 -3.8371 -3.5511 -3.3565 -3.1805 -2.9990
 -2.8292 -2.6714 -2.5265 -2.3913 -2.2643 -1.9904 -1.7212 -1.4657 -1.3114
 -4.2229 -3.9928 -3.8083 -3.6842 -3.6136 -3.5101 -3.3412 -3.1537 -2.9778 -2.8108
 -2.6522 -2.5041 -2.3672 -2.2405 -2.1223 -1.8573 -1.6298 -1.4439 -1.3015 -1.1921
 -4.0084 -3.7809 -3.5780 -3.4060 -3.2672 -3.1740 -3.0995 -2.9835 -2.8333 -2.6748
 -2.5259 -2.3864 -2.2573 -2.1381 -2.0280 -1.7868 -1.5853 -1.4203 -1.2921 -1.1926
 -1.1129
 -3.8378 -3.6286 -3.4305 -3.2520 -3.0956 -2.9600 -2.8483 -2.7651 -2.6792 -2.5642
 -2.4313 -2.3002 -2.1781 -2.0651 -1.9608 -1.7353 -1.5523 -1.4048 -1.2881 -1.1972
 -1.1237 -1.0621
 -3.6917 -3.5041 -3.3202 -3.1466 -2.9892 -2.8482 -2.7221 -2.6100 -2.5182 -2.4337
 -2.3410 -2.2328 -2.1204 -2.0131 -1.9137 -1.6993 -1.5284 -1.3932 -1.2871 -1.2039
 -1.1363 -1.0792 -1.0297 -0.9863
 -3.5654 -3.3939 -3.2277 -3.0646 -2.9116 -2.7717 -2.6451 -2.5301 -2.4260 -2.3319
 -2.2462 -2.1617 -2.0703 -1.9745 -1.8805 -1.6748 -1.5117 -1.3846 -1.2864 -1.2103
 -1.1487 -1.0966 -1.0511 -1.0105 -0.9718 -0.9365 -0.9066 -0.8839 -0.8695 -0.8642
 -3.4588 -3.2974 -3.1438 -2.9943 -2.8487 -2.7126 -2.5876 -2.4737 -2.3705 -2.2752
 -2.1859 -2.1016 -2.0202 -1.9382 -1.8547 -1.6585 -1.5001 -1.3772 -1.2843 -1.2141
 -1.1585 -1.1119 -1.0713 -1.0347 -1.0012 -0.9690 -0.9397 -0.9154 -0.8976 -0.8881
 -0.8894
 -3.3720 -3.2157 -3.0688 -2.9289 -2.7934 -2.6629 -2.5407 -2.4284 -2.3265 -2.2332
 -2.1462 -2.0633 -1.9832 -1.9057 -1.8296 -1.6479 -1.4929 -1.3720 -1.2811 -1.2141
 -1.1635 -1.1228 -1.0878 -1.0563 -1.0273 -0.9998 -0.9725 -0.9478 -0.9285 -0.9167
 -0.9138
 -3.3049 -3.1500 -3.0052 -2.8658 -2.7395 -2.6166 -2.4987 -2.3882 -2.2872 -2.1952
 -2.1104 -2.0308 -1.9542 -1.8796 -1.8067 -1.6358 -1.4871 -1.3677 -1.2767 -1.2106
 -1.1630 -1.1272 -1.0982 -1.0728 -1.0492 -1.0266 -1.0051 -0.9847 -0.9673 -0.9531
 -0.9419
 -3.2577 -3.1013 -2.9555 -2.8195 -2.6924 -2.5734 -2.4614 -2.3543 -2.2542 -2.1625
 -2.0788 -2.0015 -1.9285 -1.8574 -1.7882 -1.6257 -1.4828 -1.3655 -1.2745 -1.2074
