 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  I   
 -1.7039 -0.8156  0.3340  0.7321 -0.0744 -1.9246 -1.1524  0.0835  0.8119  0.8384
  0.8793  0.8367  0.4131 -0.0920 -0.3708 -0.2770
 -1.5506 -1.1643 -0.5920 -0.3303 -0.5534 -1.3474 -0.9945 -0.4343 -0.0347  0.0989
  0.1904  0.1975  0.0242 -0.1967 -0.3185 -0.2496 -0.2089 -0.1929 -0.2575
 -1.2154 -1.1107 -0.9085 -0.7580 -0.6997 -0.8658 -0.7618 -0.6074 -0.4522 -0.3223
 -0.2375 -0.2078 -0.2324 -0.2753 -0.2947 -0.2434 -0.2296 -0.2212 -0.2464 -0.2759
 -0.2830
 -0.6983 -0.6548 -0.6155 -0.5510 -0.5132 -0.4799 -0.4543 -0.4357 -0.4407 -0.4252
 -0.4045 -0.3794 -0.3566 -0.3278 -0.2994 -0.2584 -0.2361 -0.2366 -0.2508 -0.2756
 -0.3051 -0.3386 -0.3754
 -0.4972 -0.4881 -0.4774 -0.4534 -0.4337 -0.4126 -0.3929 -0.3761 -0.3630 -0.3527
 -0.3419 -0.3286 -0.3151 -0.2996 -0.2822 -0.2547 -0.2490 -0.2567 -0.2732 -0.2963
 -0.3242 -0.3558 -0.3904 -0.4284 -0.4703
 -0.3130 -0.3301 -0.3424 -0.3482 -0.3473 -0.3412 -0.3317 -0.3212 -0.3111 -0.3022
 -0.2947 -0.2880 -0.2805 -0.2737 -0.2647 -0.2486 -0.2533 -0.2682 -0.2887 -0.3128
 -0.3406 -0.3714 -0.4048 -0.4409 -0.4797 -0.5220
 -0.1458 -0.1808 -0.2105 -0.2354 -0.2540 -0.2657 -0.2707 -0.2710 -0.2686 -0.2648
 -0.2606 -0.2566 -0.2531 -0.2508 -0.2469 -0.2401 -0.2490 -0.2711 -0.2973 -0.3251
 -0.3543 -0.3854 -0.4186 -0.4536 -0.4907 -0.5304 -0.5731 -0.6209 -0.6747 -0.7306
  0.0045 -0.0402 -0.0817 -0.1203 -0.1546 -0.1829 -0.2038 -0.2177 -0.2259 -0.2300
 -0.2316 -0.2316 -0.2309 -0.2303 -0.2299 -0.2296 -0.2399 -0.2649 -0.2970 -0.3305
 -0.3635 -0.3967 -0.4307 -0.4660 -0.5025 -0.5405 -0.5803 -0.6237 -0.6727 -0.7277
 -0.7855
  0.1309  0.0838  0.0368 -0.0099 -0.0544 -0.0950 -0.1301 -0.1579 -0.1782 -0.1923
 -0.2014 -0.2071 -0.2107 -0.2129 -0.2141 -0.2184 -0.2293 -0.2532 -0.2881 -0.3270
 -0.3657 -0.4032 -0.4399 -0.4766 -0.5137 -0.5514 -0.5906 -0.6313 -0.6753 -0.7247
 -0.7808
  0.2354  0.1879  0.1390  0.0889  0.0393 -0.0088 -0.0535 -0.0927 -0.1249 -0.1495
 -0.1674 -0.1801 -0.1890 -0.1952 -0.1993 -0.2065 -0.2186 -0.2406 -0.2746 -0.3161
 -0.3601 -0.4034 -0.4448 -0.4847 -0.5238 -0.5625 -0.6016 -0.6416 -0.6834 -0.7288
 -0.7779
  0.3153  0.2710  0.2243  0.1755  0.1249  0.0739  0.0241 -0.0227 -0.0646 -0.0996
 -0.1270 -0.1480 -0.1636 -0.1749 -0.1830 -0.1955 -0.2079 -0.2288 -0.2601 -0.3005
 -0.3467 -0.3946 -0.4415 -0.4863 -0.5290 -0.5702 -0.6107 -0.6510 -0.6919 -0.7342
 -0.7793
  0.3710  0.3331  0.2915  0.2468  0.1984  0.1483  0.0971  0.0468 -0.0009 -0.0428
 -0.0785 -0.1082 -0.1322 -0.1507 -0.1642 -0.1843 -0.1984 -0.2181 -0.2473 -0.2856
 -0.3307 -0.3800 -0.4309 -0.4807 -0.5283 -0.5735 -0.6169 -0.6591 -0.7007 -0.7424
 -0.7853
  0.4026  0.3741  0.3406  0.3028  0.2598  0.2144  0.1622  0.1116  0.0619  0.0161
 -0.0255 -0.0631 -0.0970 -0.1226 -0.1432 -0.1729 -0.1901 -0.2085 -0.2362
 [Fe/H] = -3.00 [alpha/Fe] = 0.40 BC value =  I   
 -0.5559 -0.4904 -0.4608 -0.4693 -0.5289 -0.7617 -0.6848 -0.5907 -0.5140 -0.4544
 -0.3663 -0.2869 -0.2856 -0.3214 -0.3261 -0.2227
 -0.5863 -0.5239 -0.4872 -0.4776 -0.5032 -0.6270 -0.6030 -0.5639 -0.5247 -0.4871
