 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  r   
  1.7416  3.5588  4.5454  3.1452 -0.2459 -4.7707 -3.9105 -2.1710 -1.0801 -0.8885
 -0.6963 -0.5869 -0.9338 -1.3935 -1.5344 -1.1357
 -2.1088 -1.1813 -0.4095 -0.6737 -1.8188 -3.7424 -3.3179 -2.4795 -1.8221 -1.5163
 -1.2784 -1.1482 -1.2432 -1.4035 -1.4283 -1.0942 -0.8815 -0.7614 -0.7712
 -3.5811 -3.2009 -2.7048 -2.4445 -2.4167 -2.7951 -2.6263 -2.3421 -2.0358 -1.7700
 -1.5691 -1.4458 -1.3970 -1.3728 -1.3184 -1.0515 -0.8748 -0.7661 -0.7246 -0.6935
 -0.6207
 -2.6753 -2.5000 -2.3405 -2.1672 -2.0398 -1.9289 -1.8357 -1.7587 -1.7213 -1.6495
 -1.5684 -1.4798 -1.3949 -1.3012 -1.2047 -1.0076 -0.8649 -0.7709 -0.7100 -0.6708
 -0.6446 -0.6258 -0.6121
 -2.3696 -2.2425 -2.1215 -1.9943 -1.8830 -1.7804 -1.6888 -1.6087 -1.5390 -1.4755
 -1.4115 -1.3431 -1.2741 -1.2036 -1.1314 -0.9714 -0.8567 -0.7796 -0.7271 -0.6907
 -0.6651 -0.6466 -0.6330 -0.6243 -0.6210
 -2.0791 -1.9918 -1.9046 -1.8152 -1.7255 -1.6384 -1.5566 -1.4817 -1.4140 -1.3529
 -1.2964 -1.2416 -1.1854 -1.1306 -1.0732 -0.9423 -0.8470 -0.7831 -0.7390 -0.7071
 -0.6837 -0.6665 -0.6537 -0.6446 -0.6388 -0.6373
 -1.8039 -1.7479 -1.6898 -1.6299 -1.5672 -1.5029 -1.4391 -1.3777 -1.3197 -1.2654
 -1.2148 -1.1671 -1.1210 -1.0766 -1.0301 -0.9203 -0.8358 -0.7814 -0.7457 -0.7200
 -0.7004 -0.6855 -0.6743 -0.6658 -0.6598 -0.6566 -0.6567 -0.6645 -0.6825 -0.7058
 -1.5440 -1.5108 -1.4771 -1.4430 -1.4065 -1.3668 -1.3245 -1.2813 -1.2377 -1.1946
 -1.1525 -1.1117 -1.0722 -1.0341 -0.9963 -0.9028 -0.8261 -0.7749 -0.7450 -0.7261
 -0.7123 -0.7016 -0.6933 -0.6869 -0.6820 -0.6788 -0.6768 -0.6794 -0.6907 -0.7121
 -0.7396
 -1.3121 -1.2940 -1.2778 -1.2633 -1.2479 -1.2302 -1.2093 -1.1851 -1.1581 -1.1289
 -1.0976 -1.0654 -1.0328 -1.0002 -0.9676 -0.8875 -0.8171 -0.7670 -0.7381 -0.7239
 -0.7166 -0.7119 -0.7082 -0.7055 -0.7034 -0.7019 -0.7017 -0.7023 -0.7073 -0.7208
 -0.7454
 -1.1057 -1.1018 -1.0999 -1.0998 -1.0996 -1.0985 -1.0950 -1.0881 -1.0772 -1.0620
 -1.0430 -1.0207 -0.9959 -0.9694 -0.9417 -0.8716 -0.8073 -0.7582 -0.7285 -0.7151
 -0.7123 -0.7141 -0.7168 -0.7194 -0.7217 -0.7235 -0.7255 -0.7282 -0.7325 -0.7413
 -0.7550
 -0.9265 -0.9351 -0.9442 -0.9537 -0.9641 -0.9742 -0.9830 -0.9897 -0.9931 -0.9915
 -0.9847 -0.9732 -0.9578 -0.9389 -0.9171 -0.8566 -0.7977 -0.7500 -0.7192 -0.7041
 -0.7019 -0.7078 -0.7168 -0.7259 -0.7340 -0.7409 -0.7469 -0.7525 -0.7582 -0.7652
 -0.7733
 -0.7825 -0.7939 -0.8083 -0.8253 -0.8433 -0.8606 -0.8779 -0.8937 -0.9073 -0.9166
 -0.9210 -0.9205 -0.9152 -0.9050 -0.8903 -0.8412 -0.7877 -0.7419 -0.7103 -0.6937
 -0.6900 -0.6963 -0.7089 -0.7239 -0.7386 -0.7516 -0.7631 -0.7733 -0.7824 -0.7914
 -0.8014
 -0.6737 -0.6782 -0.6922 -0.7146 -0.7372 -0.7577 -0.7814 -0.8033 -0.8234 -0.8399
 -0.8526 -0.8618 -0.8678 -0.8677 -0.8611 -0.8252 -0.7773 -0.7339 -0.7018
 [Fe/H] = -3.00 [alpha/Fe] = 0.40 BC value =  r   
 -3.1117 -2.7371 -2.5034 -2.3961 -2.3874 -2.6962 -2.4518 -2.2369 -2.0760 -1.9492
 -1.7768 -1.6025 -1.5231 -1.4952 -1.4321 -1.1255
 -3.0046 -2.6426 -2.3948 -2.2486 -2.1850 -2.3074 -2.1674 -2.0343 -1.9193 -1.8158
 -1.6944 -1.5715 -1.4828 -1.4134 -1.3304 -1.0714 -0.8832 -0.7607 -0.6826
 -2.8898 -2.5472 -2.2957 -2.1240 -2.0198 -2.0107 -1.9332 -1.8536 -1.7721 -1.6887
 -1.6035 -1.5166 -1.4280 -1.3378 -1.2462 -1.0269 -0.8685 -0.7630 -0.6944 -0.6501
 -0.6209
 -2.7673 -2.4509 -2.2061 -2.0223 -1.8917 -1.8061 -1.7492 -1.6949 -1.6344 -1.5679
 -1.5041 -1.4377 -1.3588 -1.2684 -1.1795 -0.9920 -0.8573 -0.7667 -0.7067 -0.6665
 -0.6390 -0.6202 -0.6068
 -2.6371 -2.3537 -2.1260 -1.9435 -1.8008 -1.6936 -1.6154 -1.5580 -1.5062 -1.4534
 -1.3962 -1.3349 -1.2752 -1.2051 -1.1303 -0.9667 -0.8496 -0.7718 -0.7194 -0.6829
 -0.6572 -0.6390 -0.6262 -0.6183 -0.6158
 -2.4992 -2.2556 -2.0554 -1.8876 -1.7471 -1.6327 -1.5430 -1.4729 -1.4160 -1.3659
 -1.3150 -1.2598 -1.2068 -1.1517 -1.0902 -0.9475 -0.8425 -0.7748 -0.7302 -0.6983
 -0.6751 -0.6581 -0.6458 -0.6374 -0.6324 -0.6314
