 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F480M
 -4.7609 -4.7972 -4.8312 -4.8693 -4.9142 -4.9662 -5.0252 -5.0895 -5.1578 -5.2284
 -5.2999 -5.3722 -5.4451 -5.5182 -5.5916 -5.7734 -5.9475 -6.1104 -6.2635 -6.4115
 -6.5602 -6.7069 -6.8471 -6.9807 -7.1082 -7.2305 -7.3481 -7.4615 -7.5711 -7.6771
 -7.7798
 -4.8160 -4.8536 -4.8875 -4.9223 -4.9604 -5.0048 -5.0554 -5.1123 -5.1747 -5.2410
 -5.3091 -5.3783 -5.4481 -5.5181 -5.5882 -5.7642 -5.9375 -6.1025 -6.2577 -6.4067
 -6.5556 -6.7038 -6.8458 -6.9807 -7.1091 -7.2319 -7.3498 -7.4631 -7.5724 -7.6780
 -7.7821
 -4.8688 -4.9118 -4.9486 -4.9828 -5.0164 -5.0547 -5.0982 -5.1468 -5.2012 -5.2615
 -5.3251 -5.3906 -5.4571 -5.5241 -5.5914 -5.7601 -5.9290 -6.0936 -6.2505 -6.4002
 -6.5486 -6.6974 -6.8416 -6.9786 -7.1084 -7.2322 -7.3508 -7.4646 -7.5740 -7.6796
 -7.7816
 -4.9184 -4.9718 -5.0147 -5.0501 -5.0821 -5.1148 -5.1522 -5.1943 -5.2406 -5.2926
 -5.3499 -5.4104 -5.4729 -5.5364 -5.6006 -5.7620 -5.9245 -6.0860 -6.2428
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value = F480M
 -4.6052 -4.6672 -4.7229 -4.7861 -4.8504 -4.9175 -4.9901 -5.0618 -5.1262 -5.2023
 -5.2843 -5.3646 -5.4425 -5.5178 -5.5907 -5.7620 -5.9185 -6.0607 -6.1947
 -4.5487 -4.6387 -4.7188 -4.7840 -4.8564 -4.9307 -5.0062 -5.0816 -5.1510 -5.2308
 -5.3136 -5.3950 -5.4742 -5.5510 -5.6252 -5.7994 -5.9573 -6.0975 -6.2264 -6.3579
 -4.5397 -4.6030 -4.6843 -4.7770 -4.8523 -4.9295 -5.0093 -5.0880 -5.1626 -5.2399
 -5.3226 -5.4045 -5.4845 -5.5623 -5.6375 -5.8147 -5.9752 -6.1172 -6.2470 -6.3791
 -6.5206
 -4.5458 -4.6029 -4.6674 -4.7443 -4.8357 -4.9248 -5.0048 -5.0859 -5.1651 -5.2405
 -5.3218 -5.4036 -5.4839 -5.5623 -5.6384 -5.8181 -5.9818 -6.1278 -6.2612 -6.3940
 -6.5338 -6.6760
 -4.5583 -4.6131 -4.6725 -4.7393 -4.8158 -4.9014 -4.9936 -5.0804 -5.1614 -5.2391
 -5.3169 -5.3978 -5.4781 -5.5567 -5.6334 -5.8152 -5.9821 -6.1329 -6.2706 -6.4047
 -6.5432 -6.6845 -6.8223 -6.9552
 -4.5772 -4.6286 -4.6853 -4.7472 -4.8167 -4.8932 -4.9752 -5.0617 -5.1504 -5.2345
 -5.3120 -5.3908 -5.4702 -5.5487 -5.6256 -5.8089 -5.9786 -6.1339 -6.2762 -6.4122
 -6.5500 -6.6906 -6.8282 -6.9608 -7.0887 -7.2122 -7.3318 -7.4476 -7.5600 -7.6692
 -4.6041 -4.6500 -4.7026 -4.7611 -4.8255 -4.8963 -4.9725 -5.0522 -5.1342 -5.2182
 -5.3015 -5.3827 -5.4623 -5.5402 -5.6168 -5.8010 -5.9729 -6.1320 -6.2786 -6.4170
 -6.5548 -6.6948 -6.8324 -6.9649 -7.0922 -7.2151 -7.3340 -7.4490 -7.5603 -7.6683
 -7.7740
 -4.6383 -4.6794 -4.7261 -4.7797 -4.8399 -4.9061 -4.9774 -5.0525 -5.1300 -5.2088
 -5.2881 -5.3682 -5.4493 -5.5294 -5.6073 -5.7924 -5.9659 -6.1278 -6.2782 -6.4193
 -6.5576 -6.6974 -6.8352 -6.9680 -7.0953 -7.2178 -7.3360 -7.4502 -7.5608 -7.6681
 -7.7723
