 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  z   
 -0.3198 -0.2948 -0.2705 -0.2482 -0.2283 -0.1913 -0.1745 -0.1781 -0.2005 -0.2383
 -0.2852 -0.3350 -0.3849 -0.4348 -0.4840 -0.5336 -0.5850 -0.6390 -0.6955 -0.7517
 -0.4685 -0.4668 -0.4461 -0.4105 -0.3687 -0.3293 -0.2966 -0.2722 -0.2583 -0.2575
 -0.2640 -0.2653 -0.2573 -0.2427 -0.2261 -0.1925 -0.1776 -0.1822 -0.2048 -0.2425
 -0.2904 -0.3423 -0.3944 -0.4463 -0.4979 -0.5487 -0.5997 -0.6525 -0.7081 -0.7666
 -0.8259
 -0.3675 -0.3826 -0.3820 -0.3655 -0.3371 -0.3035 -0.2713 -0.2438 -0.2220 -0.2067
 -0.1991 -0.2001 -0.2057 -0.2101 -0.2093 -0.1900 -0.1773 -0.1829 -0.2054 -0.2430
 -0.2917 -0.3459 -0.4007 -0.4550 -0.5087 -0.5619 -0.6142 -0.6669 -0.7212 -0.7784
 -0.8391
 -0.2587 -0.2861 -0.3019 -0.3038 -0.2926 -0.2717 -0.2463 -0.2211 -0.1992 -0.1813
 -0.1677 -0.1591 -0.1563 -0.1591 -0.1648 -0.1752 -0.1732 -0.1803 -0.2031 -0.2402
 -0.2893 -0.3456 -0.4038 -0.4612 -0.5175 -0.5729 -0.6280 -0.6834 -0.7391 -0.7950
 -0.8511
 -0.1461 -0.1825 -0.2092 -0.2264 -0.2320 -0.2269 -0.2136 -0.1960 -0.1778 -0.1614
 -0.1477 -0.1372 -0.1300 -0.1268 -0.1276 -0.1426 -0.1597 -0.1738 -0.1972 -0.2336
 -0.2819 -0.3392 -0.4003 -0.4613 -0.5210 -0.5791 -0.6364 -0.6928 -0.7487 -0.8047
 -0.8617
 -0.0334 -0.0726 -0.1079 -0.1361 -0.1555 -0.1654 -0.1666 -0.1608 -0.1507 -0.1391
 -0.1282 -0.1191 -0.1121 -0.1075 -0.1055 -0.1136 -0.1354 -0.1606 -0.1883 -0.2245
 -0.2717 -0.3287 -0.3916 -0.4559 -0.5192 -0.5807 -0.6408 -0.6995 -0.7572 -0.8144
 -0.8715
  0.0785  0.0382 -0.0018 -0.0373 -0.0664 -0.0884 -0.1031 -0.1105 -0.1119 -0.1089
 -0.1037 -0.0984 -0.0940 -0.0909 -0.0893 -0.0939 -0.1130 -0.1419 -0.1755
 [Fe/H] = -0.75 [alpha/Fe] =-0.40 BC value =  z   
 -1.1041 -1.0164 -0.8841 -0.7615 -0.6473 -0.5527 -0.4885 -0.4399 -0.3962 -0.3514
 -0.3116 -0.2757 -0.2431 -0.2136 -0.1867 -0.1326 -0.1010 -0.0935 -0.1113
 -0.9154 -0.9491 -0.8816 -0.7675 -0.6605 -0.5644 -0.4942 -0.4422 -0.3976 -0.3549
 -0.3174 -0.2838 -0.2536 -0.2262 -0.2013 -0.1526 -0.1252 -0.1204 -0.1388 -0.1746
 -0.7884 -0.7515 -0.7803 -0.7553 -0.6663 -0.5771 -0.5000 -0.4432 -0.3981 -0.3567
 -0.3209 -0.2893 -0.2609 -0.2355 -0.2125 -0.1677 -0.1436 -0.1409 -0.1594 -0.1946
 -0.2381
 -0.7338 -0.6635 -0.6137 -0.6155 -0.6291 -0.5773 -0.5066 -0.4441 -0.3968 -0.3565
 -0.3220 -0.2919 -0.2653 -0.2414 -0.2201 -0.1787 -0.1571 -0.1561 -0.1748 -0.2096
 -0.2536 -0.3004
 -0.6805 -0.6218 -0.5555 -0.5030 -0.4803 -0.4920 -0.4883 -0.4441 -0.3949 -0.3544
 -0.3205 -0.2919 -0.2667 -0.2443 -0.2244 -0.1862 -0.1667 -0.1671 -0.1862 -0.2207
 -0.2652 -0.3132 -0.3618 -0.4100
 -0.6147 -0.5776 -0.5231 -0.4640 -0.4145 -0.3823 -0.3731 -0.3823 -0.3774 -0.3484
 -0.3162 -0.2889 -0.2651 -0.2443 -0.2258 -0.1906 -0.1729 -0.1745 -0.1940 -0.2284
 -0.2733 -0.3229 -0.3732 -0.4236 -0.4741 -0.5252 -0.5775 -0.6315 -0.6876 -0.7452
 -0.5337 -0.5190 -0.4849 -0.4373 -0.3868 -0.3431 -0.3102 -0.2907 -0.2871 -0.2939
 -0.2930 -0.2784 -0.2597 -0.2412 -0.2243 -0.1920 -0.1762 -0.1788 -0.1985 -0.2329
 -0.2782 -0.3293 -0.3818 -0.4342 -0.4865 -0.5389 -0.5915 -0.6452 -0.7009 -0.7599
 -0.8189
 -0.4392 -0.4435 -0.4306 -0.4019 -0.3626 -0.3210 -0.2836 -0.2541 -0.2334 -0.2219
 -0.2210 -0.2262 -0.2292 -0.2262 -0.2174 -0.1906 -0.1768 -0.1801 -0.2001 -0.2342
 -0.2797 -0.3322 -0.3871 -0.4419 -0.4963 -0.5505 -0.6040 -0.6580 -0.7134 -0.7714
 -0.8325
 -0.3356 -0.3534 -0.3586 -0.3493 -0.3272 -0.2966 -0.2635 -0.2331 -0.2082 -0.1894
 -0.1769 -0.1711 -0.1721 -0.1775 -0.1830 -0.1835 -0.1741 -0.1786 -0.1989 -0.2328
 -0.2782 -0.3319 -0.3894 -0.4472 -0.5043 -0.5607 -0.6168 -0.6726 -0.7285 -0.7857
 -0.8443
 -0.2272 -0.2535 -0.2722 -0.2797 -0.2753 -0.2605 -0.2385 -0.2136 -0.1902 -0.1703
 -0.1547 -0.1438 -0.1374 -0.1360 -0.1390 -0.1556 -0.1663 -0.1739 -0.1944 -0.2276
 -0.2723 -0.3263 -0.3858 -0.4468 -0.5071 -0.5662 -0.6244 -0.6819 -0.7390 -0.7962
 -0.8543
 -0.1176 -0.1482 -0.1754 -0.1953 -0.2060 -0.2071 -0.1996 -0.1858 -0.1690 -0.1522
 -0.1375 -0.1260 -0.1177 -0.1128 -0.1114 -0.1221 -0.1435 -0.1643 -0.1870 -0.2200
 -0.2637 -0.3171 -0.3777 -0.4413 -0.5049 -0.5671 -0.6281 -0.6879 -0.7467 -0.8050
 -0.8631
 -0.0097 -0.0407 -0.0725 -0.1008 -0.1227 -0.1371 -0.1437 -0.1433 -0.1374 -0.1281
 -0.1178 -0.1085 -0.1013 -0.0963 -0.0937 -0.0984 -0.1181 -0.1457 -0.1759
 [Fe/H] = -0.50 [alpha/Fe] =-0.40 BC value =  z   
 -1.1150 -0.9833 -0.8454 -0.7266 -0.6228 -0.5319 -0.4682 -0.4194 -0.3791 -0.3374
 -0.3005 -0.2673 -0.2375 -0.2107 -0.1865 -0.1368 -0.1061 -0.0969 -0.1069
 -1.0020 -0.9783 -0.8611 -0.7371 -0.6324 -0.5419 -0.4741 -0.4236 -0.3805 -0.3406
 -0.3056 -0.2745 -0.2467 -0.2219 -0.1993 -0.1543 -0.1275 -0.1206 -0.1340 -0.1657
 -0.8188 -0.8322 -0.8386 -0.7471 -0.6417 -0.5520 -0.4793 -0.4250 -0.3814 -0.3421
 -0.3086 -0.2791 -0.2530 -0.2298 -0.2089 -0.1674 -0.1435 -0.1390 -0.1537 -0.1850
 -0.2270
 -0.7577 -0.6870 -0.6695 -0.6946 -0.6443 -0.5602 -0.4854 -0.4258 -0.3805 -0.3421
 -0.3094 -0.2813 -0.2567 -0.2349 -0.2154 -0.1770 -0.1553 -0.1527 -0.1684 -0.1996
 -0.2418 -0.2884
 -0.7153 -0.6427 -0.5731 -0.5353 -0.5447 -0.5436 -0.4890 -0.4284 -0.3790 -0.3408
 -0.3083 -0.2812 -0.2578 -0.2373 -0.2192 -0.1836 -0.1640 -0.1627 -0.1791 -0.2105
 -0.2528 -0.3004 -0.3493 -0.3982
 -0.6619 -0.6088 -0.5417 -0.4775 -0.4329 -0.4175 -0.4269 -0.4172 -0.3780 -0.3378
 -0.3053 -0.2788 -0.2565 -0.2372 -0.2203 -0.1877 -0.1699 -0.1696 -0.1867 -0.2182
 -0.2605 -0.3092 -0.3598 -0.4106 -0.4613 -0.5128 -0.5663 -0.6224 -0.6806 -0.7375
 -0.5923 -0.5622 -0.5134 -0.4544 -0.3979 -0.3542 -0.3278 -0.3209 -0.3270 -0.3221
 -0.2989 -0.2738 -0.2527 -0.2346 -0.2190 -0.1892 -0.1733 -0.1740 -0.1913 -0.2229
 -0.2652 -0.3148 -0.3672 -0.4202 -0.4731 -0.5264 -0.5799 -0.6347 -0.6921 -0.7520
 -0.8113
 -0.5069 -0.4975 -0.4707 -0.4289 -0.3793 -0.3311 -0.2918 -0.2639 -0.2482 -0.2449
 -0.2497 -0.2500 -0.2411 -0.2282 -0.2148 -0.1882 -0.1742 -0.1758 -0.1933 -0.2246
 -0.2670 -0.3173 -0.3716 -0.4268 -0.4819 -0.5370 -0.5924 -0.6479 -0.7043 -0.7629
 -0.8246
 -0.4103 -0.4171 -0.4088 -0.3869 -0.3531 -0.3132 -0.2737 -0.2401 -0.2148 -0.1976
 -0.1887 -0.1879 -0.1920 -0.1962 -0.1971 -0.1838 -0.1724 -0.1751 -0.1929 -0.2240
 -0.2663 -0.3171 -0.3733 -0.4312 -0.4889 -0.5462 -0.6034 -0.6604 -0.7177 -0.7759
 -0.8360
 -0.3077 -0.3231 -0.3307 -0.3268 -0.3112 -0.2861 -0.2556 -0.2245 -0.1972 -0.1756
 -0.1601 -0.1504 -0.1462 -0.1475 -0.1526 -0.1665 -0.1676 -0.1717 -0.1895 -0.2201
 -0.2617 -0.3125 -0.3699 -0.4303 -0.4909 -0.5508 -0.6100 -0.6687 -0.7272 -0.7858
 -0.8451
 -0.2037 -0.2233 -0.2403 -0.2503 -0.2508 -0.2419 -0.2253 -0.2038 -0.1810 -0.1600
 -0.1428 -0.1302 -0.1219 -0.1178 -0.1177 -0.1317 -0.1509 -0.1649 -0.1836 -0.2138
 -0.2546 -0.3049 -0.3626 -0.4249 -0.4883 -0.5511 -0.6129 -0.6738 -0.7338 -0.7935
 -0.8527
 -0.1019 -0.1208 -0.1428 -0.1616 -0.1745 -0.1800 -0.1779 -0.1693 -0.1563 -0.1413
 -0.1267 -0.1144 -0.1054 -0.0996 -0.0969 -0.1033 -0.1240 -0.1493 -0.1746
 [Fe/H] = -0.25 [alpha/Fe] =-0.40 BC value =  z   
 -1.0827 -0.9356 -0.8010 -0.6897 -0.5933 -0.5095 -0.4491 -0.3990 -0.3590 -0.3217
 -0.2872 -0.2560 -0.2285 -0.2042 -0.1824 -0.1376 -0.1088 -0.0976 -0.1044
 -0.9809 -0.9635 -0.8262 -0.7027 -0.6012 -0.5168 -0.4535 -0.4035 -0.3620 -0.3246
 -0.2916 -0.2624 -0.2367 -0.2140 -0.1937 -0.1528 -0.1275 -0.1195 -0.1294 -0.1563
 -0.8715 -0.9109 -0.8405 -0.7209 -0.6131 -0.5241 -0.4571 -0.4049 -0.3632 -0.3257
 -0.2941 -0.2664 -0.2423 -0.2210 -0.2021 -0.1642 -0.1413 -0.1358 -0.1477 -0.1752
 -0.2147
 -0.7730 -0.7236 -0.7534 -0.7225 -0.6267 -0.5356 -0.4619 -0.4060 -0.3627 -0.3257
 -0.2947 -0.2683 -0.2454 -0.2254 -0.2078 -0.1727 -0.1517 -0.1479 -0.1613 -0.1893
 -0.2289 -0.2748
 -0.7374 -0.6556 -0.5960 -0.5966 -0.6057 -0.5434 -0.4695 -0.4080 -0.3617 -0.3249
 -0.2937 -0.2682 -0.2463 -0.2275 -0.2111 -0.1788 -0.1596 -0.1569 -0.1712 -0.1998
 -0.2394 -0.2860 -0.3351 -0.3843
 -0.6976 -0.6285 -0.5524 -0.4912 -0.4657 -0.4759 -0.4631 -0.4118 -0.3616 -0.3227
 -0.2915 -0.2661 -0.2452 -0.2274 -0.2120 -0.1825 -0.1653 -0.1635 -0.1783 -0.2072
 -0.2469 -0.2940 -0.3445 -0.3958 -0.4473 -0.4999 -0.5544 -0.6116 -0.6708 -0.7284
 -0.6406 -0.5945 -0.5315 -0.4638 -0.4063 -0.3702 -0.3597 -0.3651 -0.3534 -0.3201
 -0.2881 -0.2623 -0.2419 -0.2251 -0.2108 -0.1840 -0.1688 -0.1679 -0.1830 -0.2119
 -0.2516 -0.2991 -0.3510 -0.4042 -0.4579 -0.5119 -0.5666 -0.6229 -0.6816 -0.7425
 -0.8022
 -0.5680 -0.5428 -0.5007 -0.4462 -0.3882 -0.3370 -0.3000 -0.2787 -0.2730 -0.2763
 -0.2722 -0.2552 -0.2363 -0.2205 -0.2073 -0.1831 -0.1700 -0.1702 -0.1853 -0.2140
 -0.2536 -0.3015 -0.3546 -0.4098 -0.4656 -0.5214 -0.5778 -0.6347 -0.6927 -0.7527
 -0.8152
 -0.4808 -0.4725 -0.4509 -0.4154 -0.3703 -0.3223 -0.2789 -0.2450 -0.2220 -0.2093
 -0.2064 -0.2096 -0.2108 -0.2067 -0.1992 -0.1794 -0.1686 -0.1700 -0.1855 -0.2141
 -0.2537 -0.3018 -0.3561 -0.4134 -0.4715 -0.5295 -0.5877 -0.6458 -0.7045 -0.7644
 -0.8260
 -0.3864 -0.3886 -0.3832 -0.3665 -0.3389 -0.3036 -0.2656 -0.2300 -0.2009 -0.1797
 -0.1658 -0.1590 -0.1585 -0.1619 -0.1667 -0.1708 -0.1649 -0.1675 -0.1831 -0.2111
 -0.2502 -0.2983 -0.3532 -0.4122 -0.4727 -0.5331 -0.5932 -0.6531 -0.7130 -0.7738
 -0.8341
 -0.2898 -0.2961 -0.3012 -0.2995 -0.2887 -0.2692 -0.2435 -0.2149 -0.1873 -0.1638
 -0.1458 -0.1335 -0.1263 -0.1238 -0.1256 -0.1414 -0.1551 -0.1624 -0.1784 -0.2060
 -0.2444 -0.2920 -0.3470 -0.4072 -0.4698 -0.5327 -0.5952 -0.6571 -0.7184 -0.7796
 -0.8402
 -0.1959 -0.2009 -0.2106 -0.2186 -0.2212 -0.2166 -0.2052 -0.1884 -0.1689 -0.1490
 -0.1312 -0.1173 -0.1077 -0.1019 -0.0998 -0.1088 -0.1299 -0.1513 -0.1712
 [Fe/H] =  0.00 [alpha/Fe] =-0.40 BC value =  z   
 -1.0308 -0.8849 -0.7592 -0.6564 -0.5618 -0.4824 -0.4273 -0.3814 -0.3402 -0.3046
 -0.2722 -0.2428 -0.2169 -0.1942 -0.1744 -0.1344 -0.1100 -0.0998 -0.1018
 -1.0210 -0.9273 -0.7870 -0.6688 -0.5723 -0.4902 -0.4323 -0.3841 -0.3426 -0.3072
 -0.2760 -0.2483 -0.2242 -0.2031 -0.1846 -0.1478 -0.1246 -0.1166 -0.1244 -0.1470
 -0.9534 -0.9363 -0.8159 -0.6889 -0.5840 -0.4986 -0.4339 -0.3847 -0.3443 -0.3079
 -0.2780 -0.2518 -0.2291 -0.2094 -0.1921 -0.1579 -0.1367 -0.1309 -0.1409 -0.1652
 -0.2015
 -0.8411 -0.7962 -0.8053 -0.7087 -0.5999 -0.5097 -0.4385 -0.3853 -0.3438 -0.3078
 -0.2784 -0.2534 -0.2319 -0.2134 -0.1973 -0.1656 -0.1461 -0.1416 -0.1531 -0.1785
 -0.2152 -0.2595
 -0.7493 -0.6679 -0.6441 -0.6696 -0.6107 -0.5220 -0.4462 -0.3872 -0.3428 -0.3076
 -0.2775 -0.2533 -0.2328 -0.2154 -0.2003 -0.1713 -0.1534 -0.1498 -0.1621 -0.1882
 -0.2253 -0.2702 -0.3190 -0.3684
 -0.7211 -0.6387 -0.5605 -0.5170 -0.5264 -0.5172 -0.4543 -0.3918 -0.3426 -0.3058
 -0.2757 -0.2515 -0.2318 -0.2153 -0.2013 -0.1749 -0.1589 -0.1560 -0.1687 -0.1952
 -0.2325 -0.2777 -0.3276 -0.3794 -0.4317 -0.4848 -0.5402 -0.5990 -0.6591 -0.7177
 -0.6800 -0.6158 -0.5405 -0.4690 -0.4188 -0.4024 -0.4088 -0.3897 -0.3448 -0.3039
 -0.2732 -0.2483 -0.2290 -0.2132 -0.2002 -0.1764 -0.1625 -0.1606 -0.1733 -0.1998
 -0.2371 -0.2826 -0.3334 -0.3868 -0.4409 -0.4956 -0.5515 -0.6093 -0.6693 -0.7311
 -0.7916
 -0.6196 -0.5781 -0.5203 -0.4547 -0.3918 -0.3428 -0.3141 -0.3059 -0.3075 -0.2960
 -0.2692 -0.2442 -0.2244 -0.2093 -0.1969 -0.1755 -0.1640 -0.1632 -0.1761 -0.2023
 -0.2395 -0.2851 -0.3366 -0.3915 -0.4475 -0.5041 -0.5613 -0.6192 -0.6787 -0.7406
 -0.8041
 -0.5448 -0.5208 -0.4835 -0.4343 -0.3792 -0.3258 -0.2817 -0.2509 -0.2338 -0.2287
 -0.2297 -0.2268 -0.2153 -0.2021 -0.1910 -0.1721 -0.1628 -0.1635 -0.1769 -0.2030
 -0.2402 -0.2860 -0.3382 -0.3945 -0.4524 -0.5110 -0.5700 -0.6295 -0.6896 -0.7509
 -0.8141
 -0.4571 -0.4483 -0.4280 -0.3974 -0.3577 -0.3134 -0.2698 -0.2320 -0.2036 -0.1846
 -0.1744 -0.1718 -0.1740 -0.1758 -0.1752 -0.1663 -0.1596 -0.1617 -0.1754 -0.2010
 -0.2377 -0.2835 -0.3360 -0.3932 -0.4529 -0.5134 -0.5742 -0.6352 -0.6964 -0.7582
 -0.8208
 -0.3654 -0.3647 -0.3565 -0.3415 -0.3185 -0.2885 -0.2546 -0.2203 -0.1897 -0.1653
 -0.1479 -0.1371 -0.1321 -0.1320 -0.1352 -0.1479 -0.1532 -0.1576 -0.1717 -0.1970
 -0.2331 -0.2783 -0.3308 -0.3887 -0.4498 -0.5123 -0.5751 -0.6378 -0.7005 -0.7631
 -0.8255
 -0.2697 -0.2701 -0.2730 -0.2701 -0.2610 -0.2457 -0.2250 -0.2008 -0.1758 -0.1524
 -0.1329 -0.1185 -0.1092 -0.1043 -0.0710 -0.1169 -0.1436 -0.1512 -0.1658
 [Fe/H] =  0.25 [alpha/Fe] =-0.40 BC value =  z   
 -0.9724 -0.8314 -0.7158 -0.6231 -0.5303 -0.4567 -0.4021 -0.3595 -0.3197 -0.2864
 -0.2555 -0.2275 -0.2029 -0.1817 -0.1634 -0.1276 -0.1059 -0.0966 -0.0979
 -1.0267 -0.8785 -0.7441 -0.6330 -0.5426 -0.4646 -0.4067 -0.3625 -0.3218 -0.2885
 -0.2588 -0.2324 -0.2095 -0.1897 -0.1726 -0.1395 -0.1189 -0.1116 -0.1182 -0.1376
 -0.9233 -0.9186 -0.7746 -0.6544 -0.5551 -0.4732 -0.4101 -0.3633 -0.3242 -0.2891
 -0.2605 -0.2355 -0.2139 -0.1954 -0.1794 -0.1487 -0.1297 -0.1241 -0.1328 -0.1545
 -0.1875
