 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  B   
 -7.9342 -7.5358 -7.1864 -6.8773 -6.6035 -6.3592 -6.1390 -5.9386 -5.7550 -5.5857
 -5.4282 -5.2800 -5.1391 -5.0050 -4.8768 -4.5560 -4.2782 -4.0676 -3.9053 -3.7738
 -3.6684 -3.5848 -3.5157 -3.4547 -3.3983 -3.3447 -3.2939 -3.2457 -3.2005 -3.1595
 -3.1246
 -7.9164 -7.5495 -7.2194 -6.9234 -6.6565 -6.4134 -6.1900 -5.9834 -5.7918 -5.6137
 -5.4475 -5.2916 -5.1445 -5.0053 -4.8736 -4.5649 -4.2943 -4.0772 -3.9120 -3.7811
 -3.6763 -3.5944 -3.5298 -3.4757 -3.4272 -3.3817 -3.3383 -3.2966 -3.2569 -3.2196
 -3.1852
 -7.8788 -7.5401 -7.2315 -6.9510 -6.6952 -6.4593 -6.2387 -6.0308 -5.8350 -5.6509
 -5.4781 -5.3159 -5.1632 -5.0190 -4.8827 -4.5725 -4.3081 -4.0905 -3.9206 -3.7885
 -3.6834 -3.6013 -3.5384 -3.4890 -3.4474 -3.4099 -3.3748 -3.3408 -3.3079 -3.2764
 -3.2469
 -7.8225 -7.5119 -7.2256 -6.9612 -6.7161 -6.4881 -6.2745 -6.0712 -5.8764 -5.6903
 -5.5136 -5.3467 -5.1895 -5.0413 -4.9041 -4.5788 -4.3196 -4.1075 -3.9311
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value =  B   
 -8.9755 -8.7343 -8.5058 -8.2822 -8.0607 -7.8224 -7.5472 -7.2366 -6.9447 -6.6764
 -6.4208 -6.1719 -5.9331 -5.7120 -5.5106 -5.0777 -4.7056 -4.3710 -4.0785
 -8.5305 -8.2569 -8.0055 -7.7710 -7.5467 -7.3243 -7.0873 -6.8315 -6.5893 -6.3617
 -6.1400 -5.9169 -5.6941 -5.4826 -5.2898 -4.8848 -4.5525 -4.2643 -4.0106 -3.7956
 -8.2166 -7.9068 -7.6294 -7.3804 -7.1543 -6.9439 -6.7376 -6.5227 -6.3156 -6.1191
 -5.9271 -5.7318 -5.5290 -5.3275 -5.1406 -4.7525 -4.4458 -4.1885 -3.9647 -3.7721
 -3.6113
 -8.0192 -7.6578 -7.3591 -7.1012 -6.8693 -6.6614 -6.4707 -6.2845 -6.1033 -5.9303
 -5.7621 -5.5925 -5.4141 -5.2270 -5.0457 -4.6668 -4.3754 -4.1380 -3.9355 -3.7608
 -3.6135 -3.4884
 -7.9423 -7.5284 -7.1845 -6.8992 -6.6617 -6.4632 -6.2909 -6.1211 -5.9532 -5.7918
 -5.6368 -5.4848 -5.3292 -5.1621 -4.9893 -4.6151 -4.3314 -4.1064 -3.9187 -3.7580
 -3.6219 -3.5062 -3.4049 -3.3141
 -7.9809 -7.5290 -7.1410 -6.8146 -6.5450 -6.3235 -6.1424 -5.9927 -5.8566 -5.7170
 -5.5652 -5.4136 -5.2659 -5.1168 -4.9578 -4.5876 -4.3060 -4.0880 -3.9101 -3.7602
 -3.6337 -3.5263 -3.4327 -3.3484 -3.2711 -3.2000 -3.1348 -3.0733 -3.0177 -2.9828
 -8.0853 -7.6008 -7.1837 -6.8314 -6.5367 -6.2920 -6.0886 -5.9171 -5.7688 -5.6381
 -5.5158 -5.3841 -5.2385 -5.0897 -4.9408 -4.5776 -4.2938 -4.0784 -3.9068 -3.7647
 -3.6459 -3.5462 -3.4601 -3.3827 -3.3114 -3.2452 -3.1841 -3.1278 -3.0756 -3.0304
 -3.0051
 -8.2377 -7.7251 -7.2810 -6.9039 -6.5874 -6.3220 -6.0982 -5.9080 -5.7436 -5.5974
 -5.4634 -5.3377 -5.2145 -5.0827 -4.9404 -4.5810 -4.2916 -4.0751 -3.9064 -3.7695
 -3.6571 -3.5635 -3.4845 -3.4144 -3.3500 -3.2897 -3.2335 -3.1804 -3.1320 -3.0900
 -3.0556
 -8.3916 -7.8725 -7.4085 -7.0118 -6.6748 -6.3898 -6.1473 -5.9386 -5.7566 -5.5953
 -5.4489 -5.3122 -5.1823 -5.0577 -4.9327 -4.5943 -4.2959 -4.0747 -3.9064 -3.7726
 -3.6637 -3.5754 -3.5028 -3.4402 -3.3833 -3.3300 -3.2799 -3.2327 -3.1888 -3.1489
 -3.1142
 -8.5195 -8.0124 -7.5521 -7.1463 -6.7946 -6.4922 -6.2316 -6.0051 -5.8057 -5.6280
 -5.4672 -5.3193 -5.1804 -5.0485 -4.9224 -4.6115 -4.3161 -4.0833 -3.9115 -3.7779
 -3.6708 -3.5851 -3.5167 -3.4604 -3.4111 -3.3655 -3.3228 -3.2820 -3.2434 -3.2076
 -3.1744
 -8.6017 -8.1215 -7.6802 -7.2778 -6.9231 -6.6109 -6.3368 -6.0946 -5.8790 -5.6856
 -5.5101 -5.3494 -5.2002 -5.0603 -4.9278 -4.6206 -4.3394 -4.1007 -3.9202 -3.7841
 -3.6770 -3.5919 -3.5256 -3.4736 -3.4308 -3.3929 -3.3581 -3.3248 -3.2930 -3.2628
 -3.2347
 -8.6220 -8.1816 -7.7698 -7.3868 -7.0398 -6.7280 -6.4485 -6.1964 -5.9682 -5.7609
 -5.5717 -5.3984 -5.2385 -5.0895 -4.9489 -4.6216 -4.3658 -4.1269 -3.9325
 [Fe/H] = -1.00 [alpha/Fe] = 0.40 BC value =  B   
 -9.4155 -9.2530 -9.0879 -8.9085 -8.7106 -8.4443 -8.0570 -7.5495 -7.0671 -6.6728
 -6.3525 -6.0795 -5.8389 -5.6234 -5.4293 -5.0197 -4.6841 -4.3814 -4.1073
 -8.9152 -8.7314 -8.5496 -8.3616 -8.1538 -7.9051 -7.5792 -7.1638 -6.7668 -6.4267
 -6.1379 -5.8838 -5.6534 -5.4438 -5.2541 -4.8586 -4.5419 -4.2729 -4.0352 -3.8244
 -8.5214 -8.3132 -8.1118 -7.9125 -7.7071 -7.4817 -7.2107 -6.8742 -6.5408 -6.2438
 -5.9839 -5.7498 -5.5320 -5.3285 -5.1417 -4.7528 -4.4497 -4.2002 -3.9853 -3.7957
 -3.6304
 -8.2473 -8.0051 -7.7778 -7.5608 -7.3497 -7.1374 -6.9098 -6.6390 -6.3583 -6.0988
 -5.8659 -5.6531 -5.4514 -5.2570 -5.0735 -4.6868 -4.3904 -4.1528 -3.9529 -3.7791
 -3.6273 -3.4964
 -8.1009 -7.8020 -7.5426 -7.3054 -7.0813 -6.8682 -6.6606 -6.4398 -6.2040 -5.9775
 -5.7693 -5.5772 -5.3935 -5.2125 -5.0351 -4.6488 -4.3540 -4.1232 -3.9332 -3.7711
 -3.6305 -3.5091 -3.4037 -3.3103
 -8.0886 -7.7069 -7.3784 -7.0997 -6.8625 -6.6560 -6.4644 -6.2751 -6.0757 -5.8767
 -5.6887 -5.5137 -5.3471 -5.1821 -5.0151 -4.6307 -4.3339 -4.1061 -3.9225 -3.7688
 -3.6374 -3.5244 -3.4265 -3.3399 -3.2615 -3.1900 -3.1247 -3.0627 -3.0076 -2.9726
 -8.1660 -7.7279 -7.3421 -7.0090 -6.7266 -6.4874 -6.2838 -6.1102 -5.9526 -5.7952
 -5.6318 -5.4685 -5.3107 -5.1575 -5.0044 -4.6273 -4.3256 -4.0974 -3.9176 -3.7698
 -3.6458 -3.5402 -3.4495 -3.3697 -3.2975 -3.2313 -3.1708 -3.1150 -3.0631 -3.0182
 -2.9920
 -8.3206 -7.8306 -7.3981 -7.0227 -6.7014 -6.4303 -6.2022 -6.0088 -5.8413 -5.6931
 -5.5594 -5.4300 -5.2924 -5.1464 -4.9990 -4.6352 -4.3271 -4.0951 -3.9166 -3.7726
 -3.6538 -3.5545 -3.4705 -3.3977 -3.3322 -3.2720 -3.2166 -3.1655 -3.1188 -3.0762
 -3.0421
