 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = G_BP 
 -4.8564 -4.5164 -4.2701 -3.9981 -3.6983 -3.4527 -3.3109 -3.2252 -3.1298 -3.0016
 -2.8583 -2.7035 -2.5482 -2.4031 -2.2632 -1.9479 -1.6823 -1.4725 -1.3036
 -4.4710 -4.0753 -3.7809 -3.5401 -3.3436 -3.1870 -3.0611 -2.9540 -2.8546 -2.7547
 -2.6484 -2.5302 -2.3994 -2.2653 -2.1376 -1.8575 -1.6265 -1.4417 -1.2972 -1.1873
 -4.2114 -3.7939 -3.4751 -3.2426 -3.0838 -2.9633 -2.8523 -2.7487 -2.6546 -2.5679
 -2.4800 -2.3852 -2.2765 -2.1565 -2.0397 -1.7866 -1.5824 -1.4186 -1.2923 -1.1944
 -1.1159
 -4.0776 -3.6722 -3.3527 -3.1056 -2.9189 -2.7816 -2.6845 -2.6093 -2.5298 -2.4412
 -2.3531 -2.2685 -2.1795 -2.0767 -1.9695 -1.7352 -1.5500 -1.4032 -1.2890 -1.1997
 -1.1276 -1.0669
 -3.9828 -3.6015 -3.2949 -3.0506 -2.8571 -2.7053 -2.5871 -2.4942 -2.4195 -2.3510
 -2.2726 -2.1864 -2.1030 -2.0151 -1.9192 -1.6995 -1.5269 -1.3925 -1.2886 -1.2071
 -1.1409 -1.0849 -1.0359 -0.9923
 -3.8840 -3.5362 -3.2517 -3.0193 -2.8289 -2.6726 -2.5445 -2.4392 -2.3507 -2.2729
 -2.2005 -2.1262 -2.0474 -1.9681 -1.8815 -1.6751 -1.5107 -1.3844 -1.2883 -1.2141
 -1.1539 -1.1029 -1.0580 -1.0176 -0.9807 -0.9470 -0.9170 -0.8924 -0.8756 -0.8701
 -3.7683 -3.4578 -3.2009 -2.9870 -2.8068 -2.6535 -2.5224 -2.4101 -2.3136 -2.2286
 -2.1503 -2.0753 -2.0005 -1.9283 -1.8521 -1.6586 -1.4998 -1.3780 -1.2866 -1.2181
 -1.1641 -1.1186 -1.0786 -1.0424 -1.0088 -0.9775 -0.9491 -0.9235 -0.9040 -0.8939
 -0.8950
 -3.6426 -3.3668 -3.1370 -2.9438 -2.7781 -2.6332 -2.5049 -2.3907 -2.2895 -2.1999
 -2.1183 -2.0415 -1.9672 -1.8948 -1.8250 -1.6469 -1.4930 -1.3731 -1.2837 -1.2182
 -1.1692 -1.1296 -1.0953 -1.0642 -1.0352 -1.0076 -0.9818 -0.9581 -0.9375 -0.9227
 -0.9191
 -3.5114 -3.2677 -3.0616 -2.8872 -2.7365 -2.6026 -2.4811 -2.3700 -2.2684 -2.1762
 -2.0924 -2.0149 -1.9411 -1.8696 -1.8012 -1.6339 -1.4870 -1.3690 -1.2797 -1.2149
 -1.1685 -1.1338 -1.1055 -1.0805 -1.0571 -1.0345 -1.0128 -0.9920 -0.9730 -0.9571
 -0.9474
 -3.3899 -3.1752 -2.9871 -2.8265 -2.6880 -2.5646 -2.4515 -2.3460 -2.2473 -2.1555
 -2.0707 -1.9927 -1.9197 -1.8503 -1.7834 -1.6234 -1.4824 -1.3669 -1.2776 -1.2118
 -1.1653 -1.1329 -1.1092 -1.0902 -1.0730 -1.0565 -1.0403 -1.0242 -1.0086 -0.9943
 -0.9812
 -3.2821 -3.0901 -2.9176 -2.7662 -2.6347 -2.5191 -2.4136 -2.3148 -2.2210 -2.1321
 -2.0485 -1.9706 -1.8983 -1.8305 -1.7658 -1.6133 -1.4771 -1.3641 -1.2755 -1.2089
 -1.1612 -1.1287 -1.1071 -1.0925 -1.0812 -1.0711 -1.0612 -1.0510 -1.0404 -1.0300
 -1.0207
 -3.1879 -3.0124 -2.8546 -2.7107 -2.5834 -2.4709 -2.3699 -2.2767 -2.1882 -2.1038
 -2.0232 -1.9470 -1.8756 -1.8091 -1.7484 -1.6036 -1.4711 -1.3606 -1.2734
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value = G_BP 
 -5.7890 -5.2784 -4.8355 -4.4564 -4.1345 -3.8539 -3.5989 -3.3600 -3.1434 -2.9546
 -2.7845 -2.6244 -2.4709 -2.3275 -2.1850 -1.9013 -1.6647 -1.4683 -1.3130
 -5.3907 -4.8787 -4.4346 -4.0602 -3.7491 -3.4905 -3.2713 -3.0744 -2.9003 -2.7474
 -2.6080 -2.4729 -2.3373 -2.2052 -2.0825 -1.8206 -1.6092 -1.4361 -1.2979 -1.1897
 -4.9833 -4.4737 -4.0564 -3.7639 -3.4830 -3.2455 -3.0453 -2.8730 -2.7232 -2.5924
 -2.4743 -2.3606 -2.2431 -2.1219 -2.0061 -1.7605 -1.5675 -1.4123 -1.2881 -1.1898
 -1.1099
 -4.6812 -4.1723 -3.7724 -3.4674 -3.2325 -3.0440 -2.8824 -2.7339 -2.5979 -2.4771
 -2.3700 -2.2713 -2.1722 -2.0647 -1.9558 -1.7210 -1.5396 -1.3969 -1.2836 -1.1938
 -1.1210 -1.0600
 -4.5644 -4.0514 -3.6369 -3.3161 -3.0707 -2.8817 -2.7329 -2.6110 -2.5047 -2.4035
 -2.3002 -2.2037 -2.1137 -2.0218 -1.9223 -1.6962 -1.5217 -1.3873 -1.2824 -1.1998
 -1.1329 -1.0765 -1.0276 -0.9842
 -4.5132 -4.0025 -3.5870 -3.2557 -2.9940 -2.7884 -2.6274 -2.5011 -2.4011 -2.3208
 -2.2447 -2.1599 -2.0725 -1.9863 -1.8972 -1.6808 -1.5105 -1.3809 -1.2820 -1.2056
 -1.1445 -1.0931 -1.0484 -1.0083 -0.9719 -0.9389 -0.9098 -0.8858 -0.8691 -0.8634
