 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  G   
 -2.4542 -1.2241  0.1268  0.3271 -1.0041 -3.4633 -2.6771 -1.3003 -0.4864 -0.4348
 -0.3534 -0.3493 -0.7503 -1.2299 -1.4672 -1.2435
 -2.4848 -1.9526 -1.3015 -1.1423 -1.6114 -2.7104 -2.3821 -1.7746 -1.3256 -1.1570
 -1.0239 -0.9767 -1.1240 -1.3172 -1.4029 -1.2133 -1.0836 -0.9993 -1.0049
 -2.3330 -2.1886 -1.9668 -1.8455 -1.8514 -2.1131 -2.0323 -1.8721 -1.6913 -1.5287
 -1.4090 -1.3470 -1.3449 -1.3593 -1.3467 -1.1904 -1.0831 -1.0088 -0.9788 -0.9571
 -0.9078
 -1.9988 -1.9321 -1.8691 -1.7825 -1.7239 -1.6714 -1.6277 -1.5928 -1.5835 -1.5500
 -1.5087 -1.4603 -1.4127 -1.3564 -1.2986 -1.1748 -1.0783 -1.0137 -0.9714 -0.9452
 -0.9273 -0.9153 -0.9062
 -1.7867 -1.7537 -1.7183 -1.6696 -1.6257 -1.5816 -1.5402 -1.5029 -1.4705 -1.4409
 -1.4098 -1.3742 -1.3365 -1.2955 -1.2512 -1.1508 -1.0752 -1.0228 -0.9871 -0.9630
 -0.9465 -0.9351 -0.9269 -0.9218 -0.9201
 -1.5876 -1.5807 -1.5681 -1.5482 -1.5214 -1.4901 -1.4566 -1.4231 -1.3913 -1.3616
 -1.3336 -1.3058 -1.2756 -1.2452 -1.2110 -1.1296 -1.0688 -1.0268 -0.9981 -0.9779
 -0.9639 -0.9541 -0.9472 -0.9423 -0.9395 -0.9395
 -1.4015 -1.4131 -1.4185 -1.4183 -1.4111 -1.3969 -1.3769 -1.3534 -1.3283 -1.3027
 -1.2776 -1.2531 -1.2288 -1.2048 -1.1780 -1.1112 -1.0591 -1.0257 -1.0044 -0.9899
 -0.9795 -0.9723 -0.9672 -0.9637 -0.9613 -0.9606 -0.9622 -0.9687 -0.9823 -1.0024
 -1.2283 -1.2509 -1.2695 -1.2845 -1.2944 -1.2977 -1.2940 -1.2842 -1.2697 -1.2521
 -1.2327 -1.2125 -1.1920 -1.1714 -1.1505 -1.0952 -1.0489 -1.0194 -1.0039 -0.9958
 -0.9908 -0.9876 -0.9856 -0.9845 -0.9838 -0.9837 -0.9842 -0.9879 -0.9977 -1.0152
 -1.0396
 -1.0769 -1.1033 -1.1291 -1.1542 -1.1763 -1.1940 -1.2058 -1.2108 -1.2091 -1.2022
 -1.1909 -1.1768 -1.1611 -1.1443 -1.1265 -1.0807 -1.0390 -1.0109 -0.9975 -0.9941
 -0.9952 -0.9975 -1.0001 -1.0027 -1.0050 -1.0072 -1.0098 -1.0125 -1.0184 -1.0308
 -1.0520
 -0.9443 -0.9738 -1.0040 -1.0348 -1.0645 -1.0919 -1.1154 -1.1334 -1.1447 -1.1491
 -1.1475 -1.1411 -1.1312 -1.1190 -1.1050 -1.0660 -1.0289 -1.0016 -0.9881 -0.9863
 -0.9918 -1.0001 -1.0087 -1.0164 -1.0231 -1.0287 -1.0339 -1.0391 -1.0452 -1.0547
 -1.0680
 -0.8323 -0.8634 -0.8952 -0.9276 -0.9610 -0.9937 -1.0245 -1.0520 -1.0745 -1.0903
