 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = G_RP 
 -1.7287 -1.7222 -1.9055 -1.9137 -1.8408 -1.7147 -1.5569 -1.4564 -1.3675 -1.2723
 -1.1815 -1.0959 -1.0170 -0.9462 -0.8851 -0.7579 -0.7026 -0.7057 -0.7085
 -1.7332 -1.6634 -1.6065 -1.5783 -1.5802 -1.5574 -1.4874 -1.3997 -1.3140 -1.2308
 -1.1502 -1.0741 -1.0044 -0.9423 -0.8882 -0.7883 -0.7349 -0.7177 -0.7217 -0.7372
 -1.6147 -1.5510 -1.4864 -1.4288 -1.3849 -1.3679 -1.3634 -1.3321 -1.2722 -1.2000
 -1.1287 -1.0600 -0.9965 -0.9398 -0.8905 -0.7995 -0.7505 -0.7360 -0.7417 -0.7574
 -0.7794
 -1.5054 -1.4581 -1.4018 -1.3437 -1.2898 -1.2438 -1.2116 -1.1988 -1.1861 -1.1538
 -1.1033 -1.0458 -0.9895 -0.9380 -0.8929 -0.8091 -0.7633 -0.7506 -0.7580 -0.7745
 -0.7961 -0.8217
 -1.3930 -1.3659 -1.3255 -1.2766 -1.2255 -1.1774 -1.1348 -1.0992 -1.0764 -1.0603
 -1.0419 -1.0124 -0.9739 -0.9318 -0.8918 -0.8150 -0.7720 -0.7610 -0.7701 -0.7885
 -0.8108 -0.8362 -0.8645 -0.8957
 -1.2766 -1.2662 -1.2445 -1.2107 -1.1693 -1.1255 -1.0839 -1.0461 -1.0128 -0.9851
 -0.9646 -0.9480 -0.9290 -0.9056 -0.8794 -0.8155 -0.7755 -0.7656 -0.7765 -0.7983
 -0.8229 -0.8494 -0.8780 -0.9085 -0.9411 -0.9764 -1.0150 -1.0571 -1.1032 -1.1533
 -1.1592 -1.1609 -1.1546 -1.1367 -1.1094 -1.0755 -1.0390 -1.0036 -0.9714 -0.9422
 -0.9163 -0.8947 -0.8774 -0.8621 -0.8464 -0.8062 -0.7731 -0.7626 -0.7761 -0.8021
 -0.8308 -0.8601 -0.8901 -0.9213 -0.9537 -0.9864 -1.0210 -1.0596 -1.1039 -1.1539
 -1.2062
 -1.0437 -1.0538 -1.0577 -1.0527 -1.0395 -1.0188 -0.9921 -0.9626 -0.9337 -0.9070
 -0.8827 -0.8608 -0.8415 -0.8255 -0.8119 -0.7844 -0.7635 -0.7557 -0.7694 -0.7986
 -0.8326 -0.8664 -0.8995 -0.9326 -0.9661 -1.0001 -1.0341 -1.0698 -1.1094 -1.1544
 -1.2059
 -0.9329 -0.9485 -0.9585 -0.9612 -0.9596 -0.9511 -0.9365 -0.9167 -0.8941 -0.8713
 -0.8501 -0.8311 -0.8138 -0.7984 -0.7850 -0.7607 -0.7474 -0.7451 -0.7585 -0.7891
 -0.8275 -0.8668 -0.9048 -0.9415 -0.9774 -1.0129 -1.0486 -1.0848 -1.1233 -1.1642
 -1.2073
 -0.8298 -0.8488 -0.8623 -0.8708 -0.8749 -0.8749 -0.8709 -0.8620 -0.8490 -0.8327
 -0.8159 -0.8004 -0.7865 -0.7738 -0.7625 -0.7408 -0.7302 -0.7314 -0.7456 -0.7753
 -0.8154 -0.8591 -0.9025 -0.9441 -0.9840 -1.0224 -1.0601 -1.0974 -1.1348 -1.1732
 -1.2135
 -0.7359 -0.7548 -0.7698 -0.7812 -0.7895 -0.7949 -0.7976 -0.7977 -0.7943 -0.7872
 -0.7772 -0.7663 -0.7562 -0.7473 -0.7394 -0.7233 -0.7146 -0.7177 -0.7332 -0.7612
 -0.8006 -0.8459 -0.8932 -0.9399 -0.9846 -1.0273 -1.0684 -1.1081 -1.1470 -1.1857
 -1.2252
 -0.6485 -0.6559 -0.6675 -0.6813 -0.6955 -0.7086 -0.7193 -0.7269 -0.7312 -0.7326
 -0.7311 -0.7271 -0.7219 -0.7169 -0.7127 -0.7050 -0.7005 -0.7045 -0.7208
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value = G_RP 
 -2.0116 -2.0198 -1.9917 -1.8842 -1.7491 -1.6158 -1.5027 -1.4096 -1.3250 -1.2441
 -1.1670 -1.0936 -1.0246 -0.9605 -0.9023 -0.7829 -0.7135 -0.6906 -0.6919
 -1.8392 -1.7724 -1.7519 -1.7558 -1.6925 -1.5832 -1.4722 -1.3781 -1.2965 -1.2204
 -1.1482 -1.0797 -1.0154 -0.9562 -0.9027 -0.7985 -0.7357 -0.7105 -0.7116 -0.7264
 -1.7336 -1.6544 -1.5841 -1.5372 -1.5315 -1.5152 -1.4436 -1.3546 -1.2745 -1.2028
 -1.1354 -1.0714 -1.0114 -0.9562 -0.9065 -0.8103 -0.7523 -0.7284 -0.7301 -0.7452
 -0.7672
 -1.6425 -1.5741 -1.5006 -1.4293 -1.3731 -1.3434 -1.3374 -1.3114 -1.2514 -1.1857
 -1.1233 -1.0639 -1.0079 -0.9563 -0.9099 -0.8203 -0.7660 -0.7429 -0.7449 -0.7606
 -0.7827 -0.8087
 -1.5501 -1.4996 -1.4371 -1.3704 -1.3070 -1.2505 -1.2077 -1.1838 -1.1738 -1.1482
 -1.1040 -1.0528 -1.0019 -0.9540 -0.9106 -0.8267 -0.7756 -0.7534 -0.7557 -0.7727
 -0.7958 -0.8220 -0.8510 -0.8838
 -1.4537 -1.4191 -1.3736 -1.3178 -1.2586 -1.2017 -1.1494 -1.1042 -1.0711 -1.0532
 -1.0399 -1.0179 -0.9849 -0.9458 -0.9068 -0.8286 -0.7806 -0.7593 -0.7620 -0.7809
 -0.8061 -0.8338 -0.8633 -0.8949 -0.9280 -0.9635 -1.0028 -1.0466 -1.0952 -1.1463
 -1.3486 -1.3297 -1.3009 -1.2611 -1.2127 -1.1614 -1.1113 -1.0646 -1.0229 -0.9884
 -0.9631 -0.9467 -0.9321 -0.9135 -0.8900 -0.8255 -0.7809 -0.7606 -0.7635 -0.7841
 -0.8126 -0.8431 -0.8743 -0.9066 -0.9402 -0.9748 -1.0115 -1.0515 -1.0960 -1.1454
 -1.1995
 -1.2422 -1.2323 -1.2182 -1.1934 -1.1599 -1.1190 -1.0754 -1.0322 -0.9917 -0.9547
 -0.9226 -0.8964 -0.8767 -0.8621 -0.8488 -0.8120 -0.7761 -0.7573 -0.7600 -0.7817
 -0.8138 -0.8483 -0.8826 -0.9169 -0.9516 -0.9858 -1.0208 -1.0585 -1.1001 -1.1468
 -1.1992
 -1.1393 -1.1335 -1.1274 -1.1148 -1.0945 -1.0672 -1.0341 -0.9977 -0.9613 -0.9267
 -0.8951 -0.8671 -0.8432 -0.8239 -0.8092 -0.7835 -0.7632 -0.7497 -0.7528 -0.7744
 -0.8091 -0.8482 -0.8871 -0.9249 -0.9619 -0.9987 -1.0358 -1.0745 -1.1149 -1.1568
 -1.2000
 -1.0451 -1.0402 -1.0368 -1.0296 -1.0197 -1.0041 -0.9832 -0.9572 -0.9281 -0.8981
 -0.8695 -0.8434 -0.8202 -0.8000 -0.7832 -0.7563 -0.7429 -0.7374 -0.7425 -0.7632
 -0.7983 -0.8407 -0.8844 -0.9269 -0.9677 -1.0074 -1.0464 -1.0850 -1.1239 -1.1638
 -1.2054
 -0.9652 -0.9537 -0.9485 -0.9436 -0.9401 -0.9319 -0.9207 -0.9056 -0.8866 -0.8642
 -0.8407 -0.8180 -0.7973 -0.7790 -0.7631 -0.7352 -0.7227 -0.7216 -0.7302 -0.7505
 -0.7844 -0.8279 -0.8750 -0.9223 -0.9679 -1.0116 -1.0540 -1.0950 -1.1352 -1.1754
 -1.2162
 -0.8970 -0.8740 -0.8625 -0.8580 -0.8566 -0.8549 -0.8508 -0.8436 -0.8340 -0.8212
 -0.8053 -0.7882 -0.7713 -0.7559 -0.7424 -0.7176 -0.7054 -0.7056 -0.7167
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value = G_RP 
 -2.1948 -2.1366 -1.9890 -1.8288 -1.6712 -1.5372 -1.4406 -1.3603 -1.2854 -1.2142
 -1.1473 -1.0837 -1.0234 -0.9664 -0.9130 -0.8007 -0.7232 -0.6829 -0.6761
 -1.9407 -1.9414 -1.9249 -1.8077 -1.6668 -1.5328 -1.4245 -1.3407 -1.2663 -1.1979
 -1.1342 -1.0739 -1.0169 -0.9632 -0.9132 -0.8093 -0.7396 -0.7037 -0.6976 -0.7101
 -1.8289 -1.7436 -1.7105 -1.7172 -1.6472 -1.5308 -1.4181 -1.3266 -1.2521 -1.1856
 -1.1247 -1.0676 -1.0137 -0.9630 -0.9158 -0.8185 -0.7540 -0.7208 -0.7148 -0.7273
 -0.7493
 -1.7568 -1.6634 -1.5776 -1.5205 -1.5096 -1.4913 -1.4120 -1.3193 -1.2404 -1.1745
 -1.1159 -1.0616 -1.0105 -0.9626 -0.9181 -0.8262 -0.7656 -0.7344 -0.7284 -0.7408
 -0.7630 -0.7898
 -1.6859 -1.6068 -1.5201 -1.4381 -1.3724 -1.3334 -1.3231 -1.2943 -1.2301 -1.1633
 -1.1060 -1.0542 -1.0057 -0.9603 -0.9182 -0.8313 -0.7740 -0.7445 -0.7387 -0.7512
 -0.7741 -0.8014 -0.8315 -0.8639
 -1.6079 -1.5471 -1.4739 -1.3952 -1.3195 -1.2538 -1.2040 -1.1747 -1.1619 -1.1361
 -1.0910 -1.0437 -0.9982 -0.9554 -0.9156 -0.8333 -0.7790 -0.7510 -0.7457 -0.7584
 -0.7825 -0.8112 -0.8420 -0.8749 -0.9094 -0.9467 -0.9879 -1.0340 -1.0844 -1.1351
 -1.5223 -1.4777 -1.4217 -1.3562 -1.2864 -1.2190 -1.1582 -1.1066 -1.0676 -1.0444
