 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = BX   
 -6.6442 -6.4002 -6.2436 -6.0507 -5.8046 -5.5928 -5.4808 -5.4114 -5.2956 -5.1080
 -4.8852 -4.6386 -4.3866 -4.1436 -3.9061 -3.3475 -2.8450 -2.4325 -2.0949
 -6.3216 -5.9882 -5.7381 -5.5273 -5.3471 -5.1951 -5.0630 -4.9373 -4.8035 -4.6526
 -4.4784 -4.2773 -4.0545 -3.8284 -3.6130 -3.1253 -2.6966 -2.3364 -2.0497 -1.8291
 -6.1074 -5.7269 -5.4214 -5.1849 -5.0121 -4.8696 -4.7261 -4.5809 -4.4385 -4.2977
 -4.1457 -3.9756 -3.7821 -3.5762 -3.3796 -2.9473 -2.5778 -2.2629 -2.0144 -1.8208
 -1.6636
 -6.0016 -5.6163 -5.2935 -5.0235 -4.7996 -4.6163 -4.4701 -4.3422 -4.2006 -4.0433
 -3.8871 -3.7335 -3.5694 -3.3870 -3.2059 -2.8135 -2.4886 -2.2120 -1.9890 -1.8140
 -1.6713 -1.5493
 -5.9297 -5.5541 -5.2325 -4.9548 -4.7132 -4.5029 -4.3201 -4.1608 -4.0204 -3.8841
 -3.7312 -3.5692 -3.4131 -3.2517 -3.0851 -2.7203 -2.4262 -2.1788 -1.9761 -1.8160
 -1.6852 -1.5729 -1.4729 -1.3820
 -5.8585 -5.5036 -5.1935 -4.9196 -4.6747 -4.4540 -4.2545 -4.0745 -3.9113 -3.7613
 -3.6187 -3.4729 -3.3215 -3.1695 -3.0109 -2.6611 -2.3863 -2.1592 -1.9715 -1.8226
 -1.7020 -1.5986 -1.5062 -1.4217 -1.3433 -1.2703 -1.2033 -1.1399 -1.0827 -1.0474
 -5.7735 -5.4470 -5.1566 -4.8945 -4.6545 -4.4331 -4.2278 -4.0372 -3.8613 -3.6986
 -3.5462 -3.4010 -3.2587 -3.1196 -2.9747 -2.6322 -2.3647 -2.1500 -1.9722 -1.8307
 -1.7181 -1.6231 -1.5387 -1.4610 -1.3885 -1.3204 -1.2569 -1.1979 -1.1440 -1.0985
 -1.0726
 -5.6762 -5.3784 -5.1113 -4.8668 -4.6382 -4.4227 -4.2182 -4.0246 -3.8421 -3.6714
 -3.5116 -3.3613 -3.2187 -3.0823 -2.9489 -2.6265 -2.3586 -2.1487 -1.9769 -1.8388
 -1.7312 -1.6435 -1.5669 -1.4970 -1.4314 -1.3693 -1.3105 -1.2556 -1.2049 -1.1600
 -1.1257
 -5.5674 -5.2969 -5.0519 -4.8267 -4.6134 -4.4086 -4.2104 -4.0192 -3.8359 -3.6616
 -3.4970 -3.3422 -3.1965 -3.0591 -2.9279 -2.6221 -2.3612 -2.1515 -1.9827 -1.8460
 -1.7401 -1.6570 -1.5877 -1.5258 -1.4682 -1.4133 -1.3608 -1.3109 -1.2640 -1.2213
 -1.1852
 -5.4617 -5.2166 -4.9884 -4.7787 -4.5809 -4.3892 -4.2019 -4.0176 -3.8379 -3.6642
 -3.4980 -3.3404 -3.1918 -3.0524 -2.9206 -2.6213 -2.3681 -2.1596 -1.9919 -1.8559
 -1.7491 -1.6672 -1.6024 -1.5477 -1.4983 -1.4515 -1.4067 -1.3635 -1.3221 -1.2832
 -1.2471
 -5.3631 -5.1341 -4.9213 -4.7224 -4.5352 -4.3566 -4.1814 -4.0078 -3.8359 -3.6671
 -3.5030 -3.3453 -3.1953 -3.0537 -2.9203 -2.6216 -2.3734 -2.1673 -2.0003 -1.8650
 -1.7575 -1.6749 -1.6115 -1.5614 -1.5190 -1.4806 -1.4442 -1.4089 -1.3744 -1.3414
 -1.3105
 -5.2715 -5.0494 -4.8487 -4.6587 -4.4798 -4.3098 -4.1453 -3.9834 -3.8220 -3.6619
 -3.5039 -3.3498 -3.2010 -3.0591 -2.9270 -2.6230 -2.3771 -2.1746 -2.0079
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value = BX   
 -6.7612 -6.4619 -6.2130 -6.0028 -5.8200 -5.6500 -5.4793 -5.2984 -5.1062 -4.9039
 -4.6861 -4.4528 -4.2130 -3.9821 -3.7548 -3.2699 -2.8354 -2.4502 -2.1352
 -6.3779 -6.0403 -5.7612 -5.5335 -5.3436 -5.1773 -5.0213 -4.8626 -4.6980 -4.5251
 -4.3381 -4.1331 -3.9136 -3.6967 -3.4949 -3.0557 -2.6793 -2.3491 -2.0728 -1.8525
 -6.0975 -5.7183 -5.4165 -5.1940 -4.9910 -4.8178 -4.6641 -4.5176 -4.3708 -4.2198
 -4.0595 -3.8842 -3.6900 -3.4876 -3.2969 -2.8916 -2.5587 -2.2718 -2.0279 -1.8305
 -1.6680
 -5.9475 -5.5369 -5.2108 -4.9579 -4.7569 -4.5873 -4.4320 -4.2799 -4.1319 -3.9879
 -3.8428 -3.6914 -3.5255 -3.3419 -3.1608 -2.7776 -2.4736 -2.2183 -2.0005 -1.8215
 -1.6749 -1.5503
 -5.9324 -5.5089 -5.1547 -4.8719 -4.6455 -4.4586 -4.2968 -4.1484 -4.0034 -3.8543
 -3.7008 -3.5519 -3.4032 -3.2432 -3.0730 -2.7038 -2.4175 -2.1837 -1.9858 -1.8215
 -1.6865 -1.5715 -1.4701 -1.3784
 -5.9658 -5.5325 -5.1667 -4.8597 -4.6016 -4.3837 -4.1982 -4.0378 -3.8961 -3.7676
 -3.6331 -3.4817 -3.3286 -3.1770 -3.0199 -2.6601 -2.3836 -2.1630 -1.9794 -1.8266
 -1.7013 -1.5951 -1.5014 -1.4161 -1.3375 -1.2647 -1.1980 -1.1347 -1.0772 -1.0417
 -6.0173 -5.5838 -5.2121 -4.8963 -4.6265 -4.3938 -4.1908 -4.0118 -3.8517 -3.7048
 -3.5672 -3.4335 -3.2940 -3.1486 -2.9963 -2.6391 -2.3656 -2.1526 -1.9782 -1.8338
 -1.7161 -1.6180 -1.5320 -1.4538 -1.3811 -1.3132 -1.2502 -1.1918 -1.1380 -1.0920
 -1.0663
 -6.0639 -5.6416 -5.2725 -4.9531 -4.6758 -4.4329 -4.2173 -4.0238 -3.8487 -3.6883
 -3.5383 -3.3959 -3.2591 -3.1260 -2.9896 -2.6392 -2.3601 -2.1494 -1.9803 -1.8411
 -1.7288 -1.6374 -1.5590 -1.4883 -1.4227 -1.3606 -1.3025 -1.2482 -1.1983 -1.1536
 -1.1189
 -6.0841 -5.6793 -5.3245 -5.0107 -4.7326 -4.4842 -4.2600 -4.0560 -3.8689 -3.6964
 -3.5358 -3.3848 -3.2414 -3.1050 -2.9745 -2.6481 -2.3651 -2.1501 -1.9831 -1.8469
 -1.7373 -1.6506 -1.5791 -1.5163 -1.4583 -1.4035 -1.3516 -1.3024 -1.2564 -1.2145
 -1.1787
 -6.0780 -5.7036 -5.3668 -5.0649 -4.7925 -4.5443 -4.3159 -4.1046 -3.9087 -3.7266
 -3.5568 -3.3976 -3.2476 -3.1056 -2.9715 -2.6572 -2.3817 -2.1600 -1.9905 -1.8551
 -1.7461 -1.6608 -1.5937 -1.5378 -1.4878 -1.4411 -1.3966 -1.3541 -1.3136 -1.2756
 -1.2405
 -6.0503 -5.7039 -5.3880 -5.1010 -4.8389 -4.5970 -4.3707 -4.1573 -3.9563 -3.7674
 -3.5902 -3.4241 -3.2679 -3.1205 -2.9814 -2.6652 -2.3960 -2.1738 -1.9996 -1.8633
 -1.7541 -1.6686 -1.6030 -1.5515 -1.5084 -1.4698 -1.4336 -1.3988 -1.3652 -1.3332
 -1.3031
 -6.0020 -5.6838 -5.3902 -5.1190 -4.8674 -4.6331 -4.4133 -4.2040 -4.0032 -3.8116
 -3.6298 -3.4583 -3.2969 -3.1449 -3.0042 -2.6721 -2.4080 -2.1915 -2.0104
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value = BX   
 -7.0334 -6.8051 -6.5884 -6.3753 -6.1631 -5.9333 -5.6663 -5.3632 -5.0763 -4.8106
 -4.5557 -4.3060 -4.0652 -3.8416 -3.6373 -3.1961 -2.8145 -2.4698 -2.1676
 -6.5836 -6.3236 -6.0846 -5.8608 -5.6455 -5.4308 -5.2007 -4.9509 -4.7128 -4.4874
 -4.2664 -4.0424 -3.8178 -3.6038 -3.4083 -2.9956 -2.6550 -2.3581 -2.0960 -1.8737
 -6.2669 -5.9694 -5.7038 -5.4652 -5.2480 -5.0447 -4.8443 -4.6345 -4.4310 -4.2367
 -4.0455 -3.8498 -3.6454 -3.4417 -3.2523 -2.8573 -2.5433 -2.2785 -2.0473 -1.8482
 -1.6822
 -6.0780 -5.7257 -5.4338 -5.1834 -4.9587 -4.7572 -4.5716 -4.3897 -4.2117 -4.0409
 -3.8737 -3.7041 -3.5247 -3.3356 -3.1520 -2.7671 -2.4692 -2.2253 -2.0163 -1.8357
 -1.6835 -1.5545
 -6.0146 -5.6070 -5.2683 -4.9873 -4.7537 -4.5586 -4.3895 -4.2225 -4.0570 -3.8972
 -3.7431 -3.5913 -3.4351 -3.2666 -3.0917 -2.7121 -2.4228 -2.1919 -1.9983 -1.8322
 -1.6915 -1.5721 -1.4679 -1.3747
 -6.0636 -5.6169 -5.2329 -4.9096 -4.6425 -4.4230 -4.2435 -4.0951 -3.9599 -3.8207
 -3.6688 -3.5167 -3.3684 -3.2182 -3.0575 -2.6823 -2.3957 -2.1723 -1.9891 -1.8341
 -1.7032 -1.5924 -1.4959 -1.4094 -1.3302 -1.2573 -1.1906 -1.1273 -1.0697 -1.0334
