 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =F1130W
 -1.4228 -1.5073 -1.5933 -1.6803 -1.7679 -1.8554 -1.9423 -2.0281 -2.1126 -2.1953
 -2.2760 -2.3547 -2.4295 -2.4999 -2.5717 -2.7692 -2.9662 -3.1462 -3.3141 -3.4756
 -3.6312 -3.7798 -3.9212 -4.0560 -4.1848 -4.3080 -4.4264 -4.5403 -4.6504 -4.7571
 -4.8610
 -1.4682 -1.5456 -1.6228 -1.7014 -1.7817 -1.8636 -1.9462 -2.0288 -2.1110 -2.1922
 -2.2721 -2.3499 -2.4255 -2.4981 -2.5688 -2.7577 -2.9527 -3.1380 -3.3097 -3.4728
 -3.6293 -3.7788 -3.9211 -4.0566 -4.1860 -4.3098 -4.4285 -4.5425 -4.6523 -4.7587
 -4.8640
 -1.5208 -1.5938 -1.6652 -1.7358 -1.8080 -1.8822 -1.9587 -2.0367 -2.1154 -2.1939
 -2.2719 -2.3486 -2.4240 -2.4975 -2.5692 -2.7518 -2.9408 -3.1265 -3.3015 -3.4669
 -3.6254 -3.7763 -3.9196 -4.0560 -4.1861 -4.3106 -4.4300 -4.5445 -4.6547 -4.7610
 -4.8639
 -1.5750 -1.6479 -1.7168 -1.7825 -1.8475 -1.9141 -1.9829 -2.0543 -2.1280 -2.2026
 -2.2776 -2.3523 -2.4330 -2.5049 -2.5729 -2.7515 -2.9305 -3.1117 -3.2895
 [Fe/H] = -1.50 [alpha/Fe] = 0.00 BC value =F1130W
 -1.3809 -1.4829 -1.5765 -1.6619 -1.7402 -1.8159 -1.8935 -1.9748 -2.0541 -2.1279
 -2.1973 -2.2669 -2.3398 -2.4155 -2.4915 -2.6772 -2.8561 -3.0314 -3.2040
 -1.4023 -1.5157 -1.6206 -1.7171 -1.8060 -1.8882 -1.9673 -2.0463 -2.1226 -2.1930
 -2.2571 -2.3195 -2.3870 -2.4603 -2.5358 -2.7220 -2.9004 -3.0739 -3.2427 -3.4036
 -1.3848 -1.5049 -1.6219 -1.7324 -1.8344 -1.9276 -2.0126 -2.0924 -2.1686 -2.2390
 -2.3016 -2.3588 -2.4195 -2.4889 -2.5632 -2.7501 -2.9293 -3.1014 -3.2684 -3.4290
 -3.5822
 -1.3688 -1.4841 -1.5980 -1.7100 -1.8200 -1.9266 -2.0257 -2.1154 -2.1965 -2.2703
 -2.3359 -2.3925 -2.4465 -2.5097 -2.5813 -2.7679 -2.9480 -3.1198 -3.2854 -3.4456
 -3.5989 -3.7451
 -1.3606 -1.4726 -1.5822 -1.6901 -1.7961 -1.9000 -2.0015 -2.0998 -2.1935 -2.2786
 -2.3532 -2.4175 -2.4719 -2.5281 -2.5949 -2.7792 -2.9600 -3.1319 -3.2968 -3.4563
 -3.6096 -3.7561 -3.8959 -4.0298
 -1.3572 -1.4673 -1.5743 -1.6787 -1.7811 -1.8815 -1.9791 -2.0735 -2.1651 -2.2550
 -2.3412 -2.4184 -2.4847 -2.5442 -2.6073 -2.7864 -2.9674 -3.1397 -3.3043 -3.4632
 -3.6166 -3.7634 -3.9034 -4.0373 -4.1657 -4.2897 -4.4097 -4.5260 -4.6387 -4.7483
 -1.3567 -1.4654 -1.5707 -1.6729 -1.7724 -1.8697 -1.9648 -2.0569 -2.1457 -2.2311
 -2.3147 -2.3964 -2.4717 -2.5418 -2.6123 -2.7916 -2.9719 -3.1446 -3.3092 -3.4676
 -3.6209 -3.7681 -3.9085 -4.0426 -4.1710 -4.2943 -4.4135 -4.5290 -4.6411 -4.7494
 -4.8557
 -1.3598 -1.4660 -1.5696 -1.6701 -1.7676 -1.8626 -1.9554 -2.0458 -2.1335 -2.2178
 -2.2988 -2.3774 -2.4523 -2.5239 -2.5986 -2.7936 -2.9745 -3.1474 -3.3121 -3.4703
 -3.6234 -3.7709 -3.9118 -4.0463 -4.1748 -4.2982 -4.4170 -4.5317 -4.6429 -4.7507
 -4.8552
 -1.3715 -1.4723 -1.5726 -1.6709 -1.7666 -1.8599 -1.9507 -2.0395 -2.1261 -2.2102
 -2.2912 -2.3689 -2.4429 -2.5130 -2.5849 -2.7837 -2.9772 -3.1510 -3.3161 -3.4742
 -3.6272 -3.7751 -3.9166 -4.0517 -4.1808 -4.3043 -4.4231 -4.5375 -4.6482 -4.7555
 -4.8595
 -1.3917 -1.4854 -1.5800 -1.6741 -1.7669 -1.8580 -1.9470 -2.0341 -2.1194 -2.2027
 -2.2837 -2.3619 -2.4368 -2.5079 -2.5774 -2.7678 -2.9667 -3.1492 -3.3155 -3.4737
 -3.6264 -3.7744 -3.9164 -4.0522 -4.1818 -4.3058 -4.4249 -4.5393 -4.6497 -4.7566
 -4.8623
 -1.4233 -1.5092 -1.5967 -1.6846 -1.7727 -1.8603 -1.9468 -2.0319 -2.1156 -2.1977
 -2.2782 -2.3564 -2.4322 -2.5047 -2.5756 -2.7575 -2.9517 -3.1407 -3.3124 -3.4717
 -3.6245 -3.7725 -3.9150 -4.0514 -4.1817 -4.3065 -4.4261 -4.5410 -4.6516 -4.7583
 -4.8616
 -1.4646 -1.5440 -1.6242 -1.7051 -1.7869 -1.8693 -1.9519 -2.0342 -2.1157 -2.1962
 -2.2753 -2.3532 -2.4333 -2.5066 -2.5795 -2.7528 -2.9322 -3.1255 -3.3068
 [Fe/H] = -1.00 [alpha/Fe] = 0.00 BC value =F1130W
 -1.3594 -1.4563 -1.5443 -1.6239 -1.6974 -1.7708 -1.8503 -1.9375 -2.0237 -2.1066
 -2.1856 -2.2631 -2.3404 -2.4175 -2.4936 -2.6774 -2.8541 -3.0265 -3.1961
 -1.4009 -1.5064 -1.6032 -1.6909 -1.7705 -1.8448 -1.9219 -2.0033 -2.0845 -2.1628
 -2.2373 -2.3099 -2.3841 -2.4603 -2.5368 -2.7227 -2.9004 -3.0720 -3.2384 -3.3991
 -1.4119 -1.5261 -1.6314 -1.7275 -1.8142 -1.8928 -1.9689 -2.0477 -2.1266 -2.2030
 -2.2752 -2.3442 -2.4139 -2.4875 -2.5632 -2.7505 -2.9294 -3.1010 -3.2657 -3.4250
 -3.5780
 -1.3895 -1.5103 -1.6269 -1.7358 -1.8348 -1.9228 -2.0020 -2.0800 -2.1580 -2.2338
 -2.3055 -2.3725 -2.4379 -2.5070 -2.5806 -2.7678 -2.9477 -3.1195 -3.2836 -3.4417
 -3.5944 -3.7407
 -1.3699 -1.4870 -1.6006 -1.7109 -1.8180 -1.9209 -2.0147 -2.0990 -2.1791 -2.2564
