 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =F1280W
 -1.6381 -1.7508 -1.8587 -1.9646 -2.0692 -2.1627 -2.2301 -2.2855 -2.3363 -2.3922
 -2.4523 -2.5209 -2.5896 -2.6615 -2.7353 -2.9167 -3.0965 -3.2829 -3.4559
 -1.5856 -1.7003 -1.8144 -1.9278 -2.0389 -2.1440 -2.2404 -2.3267 -2.4011 -2.4616
 -2.5145 -2.5685 -2.6311 -2.7014 -2.7749 -2.9614 -3.1463 -3.3253 -3.4953 -3.6565
 -1.5812 -1.6942 -1.8038 -1.9107 -2.0160 -2.1207 -2.2244 -2.3237 -2.4155 -2.4965
 -2.5594 -2.6096 -2.6644 -2.7315 -2.8042 -2.9894 -3.1722 -3.3504 -3.5209 -3.6828
 -3.8363
 -1.5811 -1.6915 -1.7983 -1.9018 -2.0025 -2.1012 -2.1984 -2.2949 -2.3910 -2.4841
 -2.5706 -2.6353 -2.6898 -2.7530 -2.8240 -3.0088 -3.1904 -3.3675 -3.5380 -3.7002
 -3.8540 -4.0003
 -1.5866 -1.6929 -1.7968 -1.8977 -1.9956 -2.0912 -2.1846 -2.2761 -2.3665 -2.4568
 -2.5469 -2.6306 -2.6956 -2.7647 -2.8376 -3.0217 -3.2029 -3.3791 -3.5493 -3.7116
 -3.8657 -4.0122 -4.1517 -4.2851
 -1.6015 -1.7009 -1.8001 -1.8976 -1.9931 -2.0864 -2.1776 -2.2667 -2.3541 -2.4401
 -2.5257 -2.6116 -2.6835 -2.7562 -2.8356 -3.0295 -3.2111 -3.3866 -3.5566 -3.7191
 -3.8734 -4.0201 -4.1598 -4.2934 -4.4213 -4.5444 -4.6635 -4.7792 -4.8921 -5.0027
 -1.6290 -1.7194 -1.8110 -1.9032 -1.9950 -2.0857 -2.1749 -2.2622 -2.3478 -2.4320
 -2.5149 -2.5972 -2.6730 -2.7438 -2.8229 -3.0262 -3.2146 -3.3908 -3.5607 -3.7236
 -3.8784 -4.0254 -4.1654 -4.2992 -4.4272 -4.5500 -4.6684 -4.7831 -4.8946 -5.0035
 -5.1106
 -1.6696 -1.7508 -1.8334 -1.9178 -2.0037 -2.0903 -2.1764 -2.2616 -2.3457 -2.4283
 -2.5097 -2.5901 -2.6670 -2.7374 -2.8129 -3.0142 -3.2094 -3.3907 -3.5621 -3.7256
 -3.8811 -4.0286 -4.1691 -4.3033 -4.4315 -4.5544 -4.6725 -4.7864 -4.8970 -5.0046
 -5.1098
 -1.7239 -1.7965 -1.8707 -1.9462 -2.0239 -2.1040 -2.1855 -2.2673 -2.3489 -2.4296
 -2.5094 -2.5882 -2.6649 -2.7374 -2.8105 -3.0054 -3.2005 -3.3865 -3.5623 -3.7280
 -3.8845 -4.0330 -4.1742 -4.3090 -4.4378 -4.5610 -4.6792 -4.7933 -4.9036 -5.0104
 -5.1139
 -1.7917 -1.8565 -1.9194 -1.9866 -2.0558 -2.1277 -2.2024 -2.2789 -2.3565 -2.4342
 -2.5115 -2.5883 -2.6640 -2.7378 -2.8099 -2.9979 -3.1887 -3.3752 -3.5541 -3.7238
 -3.8825 -4.0321 -4.1742 -4.3096 -4.4391 -4.5629 -4.6815 -4.7955 -4.9079 -5.0142
 -5.1168
 -1.8732 -1.9308 -1.9795 -2.0377 -2.1016 -2.1653 -2.2318 -2.3011 -2.3729 -2.4460
 -2.5197 -2.5936 -2.6673 -2.7403 -2.8121 -2.9948 -3.1797 -3.3637 -3.5434 -3.7159
 -3.8780 -4.0296 -4.1728 -4.3092 -4.4394 -4.5639 -4.6834 -4.7978 -4.9079 -5.0140
 -5.1170
 -1.9684 -2.0194 -2.0510 -2.0994 -2.1585 -2.2164 -2.2754 -2.3367 -2.4009 -2.4675
 -2.5360 -2.6058 -2.6761 -2.7467 -2.8171 -2.9961 -3.1735 -3.3520 -3.5302
 [Fe/H] = -2.00 [alpha/Fe] = 0.00 BC value =F1280W
 -1.6305 -1.7378 -1.8383 -1.9327 -2.0217 -2.1045 -2.1786 -2.2502 -2.3197 -2.3870
 -2.4524 -2.5203 -2.5904 -2.6638 -2.7385 -2.9226 -3.1019 -3.2814 -3.4549
 -1.6110 -1.7316 -1.8494 -1.9606 -2.0640 -2.1593 -2.2458 -2.3233 -2.3936 -2.4580
 -2.5170 -2.5751 -2.6390 -2.7094 -2.7829 -2.9674 -3.1471 -3.3238 -3.4935 -3.6545
 -1.5999 -1.7159 -1.8302 -1.9433 -2.0553 -2.1632 -2.2638 -2.3552 -2.4360 -2.5045
 -2.5634 -2.6158 -2.6721 -2.7388 -2.8113 -2.9963 -3.1755 -3.3502 -3.5194 -3.6808
 -3.8343
