 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  i   
 -2.2225 -1.2346 -0.0087  0.3530 -0.5642 -2.6285 -1.8426 -0.5611  0.1883  0.2176
  0.2882  0.2598 -0.1482 -0.6561 -0.9251 -0.7896
 -2.1229 -1.6904 -1.0787 -0.8268 -1.0916 -1.9845 -1.6285 -1.0503 -0.6369 -0.4961
 -0.3864 -0.3674 -0.5296 -0.7464 -0.8611 -0.7633 -0.7082 -0.6832 -0.7383
 -1.8250 -1.7034 -1.4834 -1.3267 -1.2699 -1.4607 -1.3557 -1.1964 -1.0330 -0.8949
 -0.7997 -0.7608 -0.7773 -0.8132 -0.8266 -0.7556 -0.7266 -0.7091 -0.7277 -0.7511
 -0.7525
 -1.3288 -1.2736 -1.2228 -1.1467 -1.0990 -1.0570 -1.0242 -0.9993 -1.0000 -0.9786
 -0.9517 -0.9203 -0.8914 -0.8564 -0.8216 -0.7665 -0.7327 -0.7238 -0.7313 -0.7496
 -0.7744 -0.8040 -0.8373
 -1.1124 -1.0931 -1.0726 -1.0392 -1.0108 -0.9816 -0.9547 -0.9314 -0.9125 -0.8967
 -0.8806 -0.8619 -0.8429 -0.8222 -0.7996 -0.7599 -0.7441 -0.7436 -0.7533 -0.7704
 -0.7931 -0.8202 -0.8510 -0.8858 -0.9254
 -0.9135 -0.9219 -0.9260 -0.9242 -0.9159 -0.9027 -0.8865 -0.8698 -0.8540 -0.8399
 -0.8275 -0.8161 -0.8037 -0.7924 -0.7787 -0.7518 -0.7473 -0.7547 -0.7686 -0.7870
 -0.8094 -0.8354 -0.8646 -0.8969 -0.9325 -0.9723
 -0.7322 -0.7600 -0.7830 -0.8017 -0.8144 -0.8203 -0.8196 -0.8145 -0.8069 -0.7982
 -0.7894 -0.7810 -0.7733 -0.7669 -0.7589 -0.7422 -0.7423 -0.7571 -0.7772 -0.7994
 -0.8233 -0.8496 -0.8782 -0.9090 -0.9423 -0.9785 -1.0183 -1.0640 -1.1162 -1.1707
 -0.5686 -0.6074 -0.6436 -0.6774 -0.7071 -0.7308 -0.7472 -0.7567 -0.7604 -0.7602
 -0.7576 -0.7535 -0.7489 -0.7445 -0.7404 -0.7310 -0.7329 -0.7506 -0.7767 -0.8048
 -0.8328 -0.8612 -0.8907 -0.9215 -0.9537 -0.9877 -1.0238 -1.0640 -1.1104 -1.1635
 -1.2196
 -0.4304 -0.4726 -0.5152 -0.5582 -0.5991 -0.6364 -0.6680 -0.6924 -0.7092 -0.7196
 -0.7250 -0.7271 -0.7270 -0.7257 -0.7235 -0.7193 -0.7222 -0.7390 -0.7677 -0.8013
 -0.8352 -0.8681 -0.9004 -0.9327 -0.9654 -0.9989 -1.0339 -1.0705 -1.1109 -1.1573
 -1.2113
 -0.3147 -0.3586 -0.4042 -0.4513 -0.4984 -0.5440 -0.5862 -0.6228 -0.6523 -0.6740
 -0.6888 -0.6982 -0.7038 -0.7068 -0.7077 -0.7069 -0.7114 -0.7263 -0.7541 -0.7902
 -0.8295 -0.8683 -0.9055 -0.9413 -0.9762 -1.0107 -1.0455 -1.0814 -1.1190 -1.1605
 -1.2062
 -0.2245 -0.2665 -0.3110 -0.3577 -0.4064 -0.4556 -0.5035 -0.5484 -0.5883 -0.6210
 -0.6459 -0.6642 -0.6770 -0.6854 -0.6905 -0.6955 -0.7005 -0.7145 -0.7397 -0.7746
 -0.8160 -0.8596 -0.9025 -0.9433 -0.9821 -1.0194 -1.0559 -1.0921 -1.1288 -1.1669
 -1.2076
 -0.1597 -0.1963 -0.2366 -0.2802 -0.3273 -0.3762 -0.4261 -0.4749 -0.5210 -0.5612
 -0.5949 -0.6224 -0.6440 -0.6600 -0.6708 -0.6838 -0.6907 -0.7038 -0.7269 -0.7597
 -0.7999 -0.8450 -0.8919 -0.9380 -0.9820 -1.0236 -1.0633 -1.1017 -1.1393 -1.1770
 -1.2159
 -0.1201 -0.1479 -0.1810 -0.2188 -0.2611 -0.3058 -0.3570 -0.4066 -0.4551 -0.4995
 -0.5395 -0.5753 -0.6072 -0.6306 -0.6487 -0.6716 -0.6820 -0.6942 -0.7157
 [Fe/H] = -3.00 [alpha/Fe] = 0.40 BC value =  i   
 -1.2245 -1.1392 -1.0932 -1.0900 -1.1404 -1.3830 -1.2905 -1.1834 -1.0975 -1.0317
 -0.9344 -0.8448 -0.8350 -0.8653 -0.8634 -0.7403
 -1.2425 -1.1599 -1.1065 -1.0843 -1.1002 -1.2249 -1.1898 -1.1409 -1.0938 -1.0497
 -0.9906 -0.9322 -0.9019 -0.8868 -0.8595 -0.7519 -0.6961 -0.6778 -0.6818
 -1.2362 -1.1604 -1.1051 -1.0711 -1.0623 -1.1039 -1.1015 -1.0894 -1.0694 -1.0429
 -1.0114 -0.9761 -0.9378 -0.8976 -0.8562 -0.7622 -0.7156 -0.7017 -0.7070 -0.7247
 -0.7505
 -1.2056 -1.1407 -1.0890 -1.0504 -1.0267 -1.0200 -1.0256 -1.0290 -1.0243 -1.0114
 -0.9968 -0.9764 -0.9428 -0.8978 -0.8535 -0.7712 -0.7317 -0.7220 -0.7288 -0.7457
 -0.7696 -0.7989 -0.8326
 -1.1507 -1.1008 -1.0582 -1.0222 -0.9935 -0.9732 -0.9621 -0.9595 -0.9585 -0.9551
 -0.9467 -0.9332 -0.9168 -0.8873 -0.8514 -0.7789 -0.7444 -0.7387 -0.7473 -0.7642
 -0.7868 -0.8140 -0.8453 -0.8809 -0.9213
 -1.0715 -1.0407 -1.0127 -0.9865 -0.9627 -0.9422 -0.9260 -0.9145 -0.9073 -0.9026
 -0.8963 -0.8864 -0.8773 -0.8639 -0.8416 -0.7826 -0.7517 -0.7497 -0.7618 -0.7798
 -0.8023 -0.8285 -0.8581 -0.8910 -0.9275 -0.9679
 -0.9709 -0.9587 -0.9475 -0.9351 -0.9213 -0.9070 -0.8932 -0.8809 -0.8707 -0.8621
 -0.8539 -0.8450 -0.8350 -0.8289 -0.8163 -0.7784 -0.7527 -0.7533 -0.7699 -0.7915
 -0.8155 -0.8420 -0.8710 -0.9025 -0.9366 -0.9737 -1.0143 -1.0606 -1.1132 -1.1679
 -0.8570 -0.8596 -0.8633 -0.8656 -0.8644 -0.8601 -0.8534 -0.8454 -0.8370 -0.8290
 -0.8211 -0.8126 -0.8029 -0.7958 -0.7876 -0.7633 -0.7465 -0.7493 -0.7697 -0.7965
 -0.8245 -0.8531 -0.8831 -0.9145 -0.9475 -0.9824 -1.0200 -1.0608 -1.1073 -1.1607
 -1.2168
 -0.7449 -0.7541 -0.7660 -0.7802 -0.7915 -0.7988 -0.8017 -0.8014 -0.7988 -0.7945
 -0.7892 -0.7832 -0.7762 -0.7688 -0.7626 -0.7444 -0.7346 -0.7392 -0.7613 -0.7932
 -0.8239 -0.8598 -0.8925 -0.9254 -0.9589 -0.9931 -1.0289 -1.0684 -1.1118 -1.1587
 -1.2086
 -0.6110 -0.6459 -0.6702 -0.6852 -0.7058 -0.7235 -0.7371 -0.7463 -0.7516 -0.7538
 -0.7536 -0.7517 -0.7484 -0.7442 -0.7402 -0.7263 -0.7200 -0.7267 -0.7488 -0.7828
 -0.8214 -0.8602 -0.8976 -0.9339 -0.9695 -1.0047 -1.0403 -1.0768 -1.1152 -1.1566
 -1.2034
 -0.4973 -0.5386 -0.5677 -0.5858 -0.6128 -0.6377 -0.6603 -0.6791 -0.6938 -0.7045
 -0.7114 -0.7155 -0.7173 -0.7175 -0.7168 -0.7101 -0.7060 -0.7135 -0.7346 -0.7677
 -0.8084 -0.8519 -0.8949 -0.9361 -0.9754 -1.0133 -1.0505 -1.0874 -1.1247 -1.1634
 -1.2046
 -0.3946 -0.4324 -0.4670 -0.4988 -0.5304 -0.5610 -0.5898 -0.6023 -0.6258 -0.6454
 -0.6609 -0.6726 -0.6810 -0.6867 -0.6905 -0.6941 -0.6929 -0.7012 -0.7215 -0.7529
 -0.7928 -0.8378 -0.8848 -0.9312 -0.9755 -1.0176 -1.0579 -1.0969 -1.1351 -1.1733
 -1.2127
 -0.3032 -0.3272 -0.3680 -0.4241 -0.4588 -0.4935 -0.5020 -0.5331 -0.5617 -0.5781
 -0.6019 -0.6220 -0.6381 -0.6507 -0.6613 -0.6783 -0.6807 -0.6898 -0.7095
 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  i   
 -1.2469 -1.2706 -1.3635 -1.3880 -1.3093 -1.2286 -1.2385 -1.2960 -1.3093 -1.2493
 -1.1637 -1.0674 -0.9843 -0.9201 -0.8586 -0.7379
 -1.2277 -1.1924 -1.2086 -1.2087 -1.1768 -1.1499 -1.1590 -1.1838 -1.1874 -1.1573
 -1.1092 -1.0472 -0.9816 -0.9208 -0.8641 -0.7549 -0.6950 -0.6745 -0.6711
 -1.2124 -1.1397 -1.1042 -1.0843 -1.0761 -1.0782 -1.0857 -1.0920 -1.0915 -1.0812
 -1.0589 -1.0229 -0.9742 -0.9201 -0.8689 -0.7703 -0.7161 -0.6983 -0.7003 -0.7167
 -0.7454
 -1.2010 -1.1125 -1.0503 -1.0148 -1.0072 -1.0135 -1.0186 -1.0206 -1.0216 -1.0210
 -1.0128 -0.9945 -0.9621 -0.9180 -0.8730 -0.7841 -0.7344 -0.7186 -0.7238 -0.7402
 -0.7638 -0.7934 -0.8282
 -1.1935 -1.1108 -1.0469 -1.0002 -0.9701 -0.9558 -0.9577 -0.9696 -0.9777 -0.9767
 -0.9709 -0.9620 -0.9453 -0.9145 -0.8764 -0.7963 -0.7499 -0.7354 -0.7416 -0.7580
 -0.7805 -0.8079 -0.8397 -0.8754 -0.9160
 -1.1674 -1.0975 -1.0410 -0.9957 -0.9611 -0.9369 -0.9226 -0.9172 -0.9200 -0.9269
 -0.9288 -0.9245 -0.9181 -0.9026 -0.8747 -0.8042 -0.7609 -0.7474 -0.7553 -0.7728
