 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =F150W2
  1.4815  1.4970  1.5118  1.5259  1.5385  1.5485  1.5547  1.5563  1.5530  1.5451
  1.5333  1.5183  1.5021  1.4815  1.4656  1.3979  1.3084  1.2138  1.1123
 [Fe/H] = -1.50 [alpha/Fe] = 0.00 BC value =F150W2
  1.9769  1.9874  1.9991  2.0099  2.0175  2.0197  2.0149  2.0018  1.9805  1.9511
  1.9141  1.8714  1.8258  1.7783  1.7297  1.6054  1.4779  1.3478  1.2158
  1.9480  1.9533  1.9604  1.9683  1.9750  1.9781  1.9758  1.9667  1.9502  1.9260
  1.8934  1.8528  1.8072  1.7592  1.7101  1.5854  1.4593  1.3315  1.2027  1.0752
  1.9063  1.9054  1.9184  1.9305  1.9365  1.9389  1.9374  1.9309  1.9184  1.8992
  1.8721  1.8361  1.7924  1.7446  1.6952  1.5697  1.4440  1.3180  1.1914  1.0661
  0.9436
  1.8984  1.8800  1.8669  1.8628  1.8715  1.8906  1.9013  1.8993  1.8887  1.8718
  1.8488  1.8183  1.7789  1.7326  1.6834  1.5574  1.4317  1.3068  1.1819  1.0582
  0.9375  0.8198
  1.8969  1.8760  1.8547  1.8361  1.8223  1.8175  1.8241  1.8376  1.8494  1.8446
  1.8259  1.7985  1.7640  1.7214  1.6735  1.5476  1.4218  1.2976  1.1740  1.0515
  0.9319  0.8156  0.7025  0.5921
  1.8903  1.8722  1.8509  1.8288  1.8082  1.7912  1.7787  1.7714  1.7710  1.7790
  1.7828  1.7712  1.7451  1.7083  1.6638  1.5396  1.4138  1.2899  1.1674  1.0461
  0.9271  0.8115  0.6995  0.5905  0.4841  0.3802  0.2779  0.1767  0.0766 -0.0200
  1.8734  1.8610  1.8436  1.8233  1.8017  1.7806  1.7613  1.7448  1.7308  1.7195
  1.7131  1.7110  1.7028  1.6820  1.6486  1.5323  1.4070  1.2836  1.1619  1.0417
  0.9233  0.8080  0.6964  0.5881  0.4830  0.3804  0.2800  0.1813  0.0837 -0.0133
 -0.1076
  1.8442  1.8386  1.8273  1.8117  1.7931  1.7727  1.7517  1.7311  1.7114  1.6926
  1.6745  1.6581  1.6449  1.6319  1.6119  1.5219  1.4009  1.2780  1.1572  1.0382
  0.9207  0.8055  0.6939  0.5858  0.4812  0.3795  0.2803  0.1832  0.0880 -0.0065
 -0.1010
  1.8049  1.8055  1.8003  1.7905  1.7768  1.7599  1.7406  1.7199  1.6982  1.6761
  1.6538  1.6311  1.6083  1.5869  1.5663  1.4961  1.3912  1.2712  1.1514  1.0335
  0.9172  0.8025  0.6905  0.5819  0.4771  0.3755  0.2768  0.1807  0.0867 -0.0059
 -0.0974
  1.7578  1.7627  1.7631  1.7592  1.7511  1.7392  1.7238  1.7054  1.6847  1.6623
  1.6388  1.6141  1.5883  1.5617  1.5350  1.4653  1.3748  1.2647  1.1475  1.0310
  0.9162  0.8028  0.6912  0.5823  0.4768  0.3748  0.2761  0.1803  0.0871 -0.0040
 -0.0948
  1.7059  1.7137  1.7179  1.7188  1.7160  1.7093  1.6987  1.6843  1.6664  1.6458
  1.6231  1.5986  1.5725  1.5449  1.5160  1.4396  1.3547  1.2540  1.1426  1.0284
  0.9151  0.8032  0.6928  0.5841  0.4781  0.3754  0.2760  0.1798  0.0867 -0.0040
 -0.0925
  1.6515  1.6606  1.6671  1.6712  1.6725  1.6706  1.6649  1.6550  1.6412  1.6237
  1.6033  1.5804  1.5542  1.5265  1.5093  1.4190  1.3309  1.2391  1.1367
 [Fe/H] = -1.00 [alpha/Fe] = 0.00 BC value =F150W2
  2.0390  2.0507  2.0619  2.0709  2.0750  2.0713  2.0573  2.0318  1.9969  1.9554
  1.9098  1.8626  1.8152  1.7676  1.7196  1.5982  1.4750  1.3492  1.2206
  2.0066  2.0153  2.0249  2.0336  2.0385  2.0371  2.0263  2.0053  1.9755  1.9385
  1.8959  1.8494  1.8014  1.7527  1.7037  1.5806  1.4575  1.3335  1.2079  1.0817
  1.9782  1.9829  1.9893  1.9960  2.0007  2.0007  1.9933  1.9770  1.9526  1.9209
  1.8828  1.8391  1.7918  1.7427  1.6930  1.5681  1.4442  1.3210  1.1973  1.0735
  0.9511
  1.9370  1.9372  1.9481  1.9586  1.9639  1.9645  1.9592  1.9468  1.9271  1.9007
  1.8679  1.8286  1.7839  1.7356  1.6858  1.5596  1.4346  1.3114  1.1888  1.0666
  0.9460  0.8280
  1.9266  1.9041  1.8928  1.8915  1.8992  1.9126  1.9203  1.9156  1.9008  1.8786
  1.8503  1.8159  1.7754  1.7295  1.6804  1.5538  1.4279  1.3043  1.1822  1.0611
  0.9416  0.8249  0.7112  0.6001
  1.9273  1.9055  1.8837  1.8647  1.8508  1.8427  1.8408  1.8450  1.8521  1.8483
  1.8298  1.8006  1.7645  1.7226  1.6756  1.5498  1.4233  1.2992  1.1773  1.0568
  0.9380  0.8220  0.7093  0.5996  0.4925  0.3876  0.2845  0.1826  0.0823 -0.0141
  1.9272  1.9062  1.8824  1.8578  1.8344  1.8141  1.7975  1.7842  1.7749  1.7724
  1.7742  1.7677  1.7462  1.7119  1.6695  1.5467  1.4201  1.2957  1.1737  1.0537
  0.9355  0.8197  0.7074  0.5984  0.4924  0.3889  0.2876  0.1880  0.0897 -0.0075
 -0.1014
  1.9202  1.9033  1.8815  1.8566  1.8305  1.8048  1.7809  1.7593  1.7399  1.7223
  1.7079  1.6992  1.6928  1.6790  1.6524  1.5436  1.4178  1.2933  1.1714  1.0517
  0.9340  0.8184  0.7061  0.5972  0.4916  0.3890  0.2888  0.1908  0.0946 -0.0005
 -0.0950
  1.9018  1.8912  1.8744  1.8525  1.8276  1.8011  1.7746  1.7488  1.7239  1.7001
  1.6772  1.6554  1.6366  1.6217  1.6063  1.5320  1.4142  1.2900  1.1682  1.0489
  0.9317  0.8164  0.7037  0.5943  0.4885  0.3860  0.2863  0.1892  0.0942  0.0007
 -0.0913
  1.8724  1.8677  1.8574  1.8407  1.8198  1.7957  1.7701  1.7436  1.7166  1.6897
  1.6628  1.6358  1.6092  1.5837  1.5607  1.5015  1.4077  1.2888  1.1676  1.0489
  0.9324  0.8178  0.7053  0.5955  0.4891  0.3862  0.2865  0.1897  0.0955  0.0034
 -0.0871
  1.8349  1.8352  1.8302  1.8191  1.8033  1.7837  1.7611  1.7366  1.7104  1.6830
  1.6546  1.6254  1.5956  1.5655  1.5358  1.4665  1.3877  1.2842  1.1669  1.0491
  0.9334  0.8197  0.7079  0.5981  0.4911  0.3875  0.2871  0.1901  0.0960  0.0043
 -0.0852
  1.7927  1.7969  1.7954  1.7889  1.7781  1.7633  1.7451  1.7240  1.7004  1.6746
  1.6471  1.6178  1.5871  1.5554  1.5316  1.4270  1.3542  1.2762  1.1661
 [Fe/H] = -0.75 [alpha/Fe] = 0.00 BC value =F150W2
  2.0747  2.0865  2.0969  2.1044  2.1064  2.0994  2.0806  2.0485  2.0061  1.9581
  1.9081  1.8584  1.8095  1.7615  1.7136  1.5936  1.4725  1.3493  1.2232
  2.0414  2.0514  2.0613  2.0694  2.0728  2.0690  2.0543  2.0272  1.9901  1.9458
  1.8976  1.8480  1.7983  1.7490  1.6999  1.5775  1.4560  1.3339  1.2105  1.0856
  2.0113  2.0176  2.0253  2.0325  2.0369  2.0357  2.0254  2.0038  1.9725  1.9334
  1.8888  1.8407  1.7912  1.7413  1.6913  1.5668  1.4439  1.3222  1.2003  1.0778
  0.9558
  1.9766  1.9841  1.9906  1.9963  2.0004  2.0003  1.9935  1.9772  1.9518  1.9185
