 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  U   
 -8.6872 -8.0830 -7.5176 -6.9901 -6.4985 -6.0466 -5.6361 -5.2663 -4.9332 -4.6313
 -4.3551 -4.1005 -3.8652 -3.6449 -3.4352 -2.9341 -2.4557 -2.0387 -1.6805 -1.3870
 -1.1734 -1.0317 -0.9424 -0.8864 -0.8513 -0.8296 -0.8174 -0.8109 -0.8078 -0.8061
 -0.8061
 -8.9849 -8.3725 -7.7926 -7.2485 -6.7377 -6.2618 -5.8223 -5.4213 -5.0584 -4.7302
 -4.4315 -4.1572 -3.9035 -3.6671 -3.4450 -2.9443 -2.4855 -2.0703 -1.7146 -1.4167
 -1.1868 -1.0250 -0.9191 -0.8533 -0.8140 -0.7916 -0.7807 -0.7773 -0.7786 -0.7824
 -0.7868
 -9.2752 -8.6674 -8.0816 -7.5272 -7.0041 -6.5126 -6.0530 -5.6267 -5.2355 -4.8791
 -4.5550 -4.2586 -3.9856 -3.7319 -3.4949 -2.9704 -2.5185 -2.1089 -1.7513 -1.4511
 -1.2112 -1.0331 -0.9088 -0.8277 -0.7784 -0.7509 -0.7383 -0.7354 -0.7389 -0.7464
 -0.7562
 -9.5418 -8.9458 -8.3694 -7.8131 -7.2829 -6.7817 -6.3100 -5.8670 -5.4544 -5.0728
 -4.7221 -4.4007 -4.0922 -3.8172 -3.5849 -3.0124 -2.5547 -2.1545 -1.7906
 [Fe/H] = -1.50 [alpha/Fe] = 0.00 BC value =  U   
 -7.7165 -7.5875 -7.5021 -7.4441 -7.3975 -7.3467 -7.2786 -7.1816 -7.0426 -6.8483
 -6.5904 -6.2776 -5.9370 -5.6040 -5.2830 -4.5065 -3.7295 -3.0322 -2.4259
 -7.3888 -7.1924 -7.0440 -6.9370 -6.8569 -6.7852 -6.7042 -6.5997 -6.4599 -6.2738
 -6.0316 -5.7342 -5.4046 -5.0779 -4.7661 -4.0374 -3.3481 -2.7183 -2.2140 -1.8504
 -7.1369 -6.8832 -6.7039 -6.5567 -6.4249 -6.3093 -6.2010 -6.0831 -5.9406 -5.7643
 -5.5449 -5.2758 -4.9666 -4.6510 -4.3500 -3.6671 -3.0506 -2.4987 -2.0493 -1.7222
 -1.4918
 -7.1212 -6.7659 -6.4765 -6.2487 -6.0791 -5.9538 -5.8280 -5.6850 -5.5279 -5.3510
 -5.1472 -4.9088 -4.6295 -4.3299 -4.0399 -3.3939 -2.8315 -2.3351 -1.9257 -1.6232
 -1.4126 -1.2633
 -7.2450 -6.8244 -6.4629 -6.1557 -5.8971 -5.6858 -5.5179 -5.3774 -5.2398 -5.0663
 -4.8632 -4.6393 -4.3904 -4.1127 -3.8322 -3.2095 -2.6827 -2.2226 -1.8388 -1.5497
 -1.3495 -1.2112 -1.1122 -1.0380
 -7.4827 -6.9954 -6.5730 -6.2049 -5.8851 -5.6095 -5.3713 -5.1641 -4.9846 -4.8299
