 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  z   
 -1.4319 -1.4379 -1.6231 -1.6455 -1.5903 -1.4903 -1.3589 -1.2811 -1.2102 -1.1361
 -1.0662 -1.0003 -0.9399 -0.8867 -0.8430 -0.7541 -0.7335 -0.7687 -0.8007
 -1.4537 -1.4045 -1.3672 -1.3558 -1.3717 -1.3652 -1.3157 -1.2490 -1.1835 -1.1200
 -1.0590 -1.0018 -0.9502 -0.9050 -0.8666 -0.8017 -0.7799 -0.7908 -0.8185 -0.8541
 -1.3547 -1.3117 -1.2680 -1.2309 -1.2059 -1.2047 -1.2147 -1.2007 -1.1601 -1.1074
 -1.0547 -1.0039 -0.9575 -0.9166 -0.8820 -0.8229 -0.8021 -0.8131 -0.8410 -0.8764
 -0.9155
 -1.2604 -1.2332 -1.1971 -1.1597 -1.1262 -1.0992 -1.0837 -1.0856 -1.0881 -1.0733
 -1.0411 -1.0011 -0.9610 -0.9245 -0.8932 -0.8395 -0.8198 -0.8304 -0.8588 -0.8944
 -0.9333 -0.9745
 -1.1595 -1.1525 -1.1312 -1.1019 -1.0712 -1.0428 -1.0183 -0.9992 -0.9914 -0.9902
 -0.9875 -0.9746 -0.9523 -0.9249 -0.8981 -0.8500 -0.8318 -0.8427 -0.8717 -0.9085
 -0.9480 -0.9894 -1.0324 -1.0771
 -1.0509 -1.0616 -1.0589 -1.0434 -1.0212 -0.9970 -0.9741 -0.9534 -0.9360 -0.9233
 -0.9172 -0.9150 -0.9107 -0.9021 -0.8895 -0.8537 -0.8377 -0.8489 -0.8788 -0.9181
 -0.9594 -1.0019 -1.0456 -1.0906 -1.1367 -1.1843 -1.2338 -1.2856 -1.3399 -1.3969
 -0.9365 -0.9616 -0.9754 -0.9760 -0.9666 -0.9512 -0.9334 -0.9159 -0.8999 -0.8857
 -0.8739 -0.8659 -0.8620 -0.8599 -0.8572 -0.8464 -0.8369 -0.8472 -0.8791 -0.9220
 -0.9668 -1.0115 -1.0566 -1.1025 -1.1491 -1.1956 -1.2434 -1.2938 -1.3481 -1.4064
 -1.4662
 -0.8185 -0.8551 -0.8816 -0.8967 -0.9017 -0.8985 -0.8896 -0.8781 -0.8661 -0.8546
 -0.8442 -0.8354 -0.8287 -0.8249 -0.8234 -0.8244 -0.8281 -0.8412 -0.8731 -0.9188
 -0.9682 -1.0168 -1.0646 -1.1121 -1.1598 -1.2078 -1.2558 -1.3051 -1.3570 -1.4128
 -1.4731
 -0.6989 -0.7448 -0.7810 -0.8070 -0.8253 -0.8348 -0.8374 -0.8348 -0.8293 -0.8224
 -0.8155 -0.8093 -0.8040 -0.8001 -0.7979 -0.8006 -0.8119 -0.8308 -0.8628 -0.9099
 -0.9633 -1.0169 -1.0687 -1.1193 -1.1690 -1.2184 -1.2680 -1.3181 -1.3699 -1.4236
 -1.4789
 -0.5797 -0.6332 -0.6772 -0.7125 -0.7401 -0.7605 -0.7744 -0.7823 -0.7859 -0.7860
 -0.7842 -0.7819 -0.7798 -0.7782 -0.7774 -0.7810 -0.7944 -0.8169 -0.8499 -0.8963
 -0.9514 -1.0089 -1.0654 -1.1201 -1.1731 -1.2248 -1.2759 -1.3268 -1.3779 -1.4300
 -1.4845
 -0.4629 -0.5214 -0.5714 -0.6137 -0.6490 -0.6780 -0.7012 -0.7192 -0.7325 -0.7414
 -0.7470 -0.7504 -0.7526 -0.7546 -0.7568 -0.7647 -0.7788 -0.8030 -0.8373 -0.8821
 -0.9366 -0.9957 -1.0557 -1.1147 -1.1716 -1.2266 -1.2803 -1.3329 -1.3849 -1.4371
 -1.4900
 -0.3497 -0.4047 -0.4565 -0.5043 -0.5477 -0.5860 -0.6189 -0.6463 -0.6687 -0.6867
 -0.7009 -0.7118 -0.7203 -0.7272 -0.7332 -0.7482 -0.7653 -0.7899 -0.8248
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value =  z   
 -1.7017 -1.7220 -1.7081 -1.6218 -1.5122 -1.4061 -1.3184 -1.2474 -1.1830 -1.1220
 -1.0644 -1.0103 -0.9598 -0.9133 -0.8719 -0.7901 -0.7536 -0.7597 -0.7866
 -1.5568 -1.5084 -1.5024 -1.5193 -1.4759 -1.3920 -1.3068 -1.2357 -1.1745 -1.1177
 -1.0646 -1.0146 -0.9682 -0.9259 -0.8883 -0.8190 -0.7857 -0.7867 -0.8108 -0.8453
