 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  w   
 -2.3646 -2.3262 -2.2913 -2.2581 -2.2264 -2.1544 -2.0949 -2.0517 -2.0265 -2.0201
 -2.0272 -2.0408 -2.0563 -2.0715 -2.0855 -2.0982 -2.1101 -2.1212 -2.1323 -2.1443
 -2.1573
 -2.7324 -2.6856 -2.6408 -2.5980 -2.5571 -2.5177 -2.4800 -2.4432 -2.4054 -2.3666
 -2.3283 -2.2925 -2.2601 -2.2306 -2.2030 -2.1381 -2.0820 -2.0410 -2.0168 -2.0088
 -2.0150 -2.0300 -2.0495 -2.0703 -2.0903 -2.1087 -2.1256 -2.1408 -2.1550 -2.1689
 -2.1833
 -2.6784 -2.6089 -2.5549 -2.5123 -2.4769 -2.4454 -2.4151 -2.3841 -2.3524 -2.3203
 -2.2882 -2.2566 -2.2269 -2.2000 -2.1755 -2.1201 -2.0695 -2.0303 -2.0069
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value =  w   
 -4.0463 -4.0200 -3.9535 -3.7943 -3.6048 -3.4211 -3.2656 -3.1369 -3.0199 -2.9085
 -2.8021 -2.7014 -2.6071 -2.5195 -2.4391 -2.2700 -2.1459 -2.0569 -2.0016
 -3.8213 -3.7041 -3.6474 -3.6216 -3.5159 -3.3573 -3.2009 -3.0689 -2.9546 -2.8479
 -2.7466 -2.6510 -2.5618 -2.4798 -2.4051 -2.2509 -2.1377 -2.0596 -2.0092 -1.9772
 -3.6897 -3.5557 -3.4386 -3.3523 -3.3164 -3.2672 -3.1527 -3.0220 -2.9071 -2.8049
 -2.7086 -2.6178 -2.5332 -2.4554 -2.3849 -2.2404 -2.1356 -2.0641 -2.0188 -1.9903
 -1.9721
 -3.5857 -3.4610 -3.3381 -3.2221 -3.1263 -3.0631 -3.0279 -2.9679 -2.8700 -2.7716
 -2.6799 -2.5939 -2.5135 -2.4395 -2.3724 -2.2351 -2.1360 -2.0690 -2.0276 -2.0024
 -1.9863 -1.9762
 -3.4903 -3.3815 -3.2678 -3.1556 -3.0506 -2.9559 -2.8789 -2.8245 -2.7860 -2.7289
 -2.6531 -2.5733 -2.4974 -2.4271 -2.3630 -2.2317 -2.1367 -2.0728 -2.0347 -2.0129
 -1.9996 -1.9912 -1.9868 -1.9868
 -3.4007 -3.3043 -3.2046 -3.1014 -2.9996 -2.9036 -2.8152 -2.7372 -2.6744 -2.6299
 -2.5900 -2.5390 -2.4778 -2.4139 -2.3534 -2.2277 -2.1362 -2.0744 -2.0386 -2.0206
 -2.0110 -2.0054 -2.0028 -2.0027 -2.0042 -2.0086 -2.0172 -2.0313 -2.0514 -2.0767
 -3.3087 -3.2249 -3.1389 -3.0487 -2.9557 -2.8641 -2.7773 -2.6970 -2.6246 -2.5625
 -2.5119 -2.4713 -2.4312 -2.3861 -2.3372 -2.2217 -2.1334 -2.0730 -2.0385 -2.0237
 -2.0187 -2.0173 -2.0177 -2.0197 -2.0231 -2.0271 -2.0335 -2.0440 -2.0604 -2.0835
 -2.1129
 -3.2223 -3.1431 -3.0701 -2.9912 -2.9099 -2.8265 -2.7447 -2.6669 -2.5949 -2.5294
 -2.4717 -2.4219 -2.3794 -2.3416 -2.3042 -2.2096 -2.1276 -2.0687 -2.0346 -2.0216
 -2.0211 -2.0248 -2.0296 -2.0350 -2.0409 -2.0458 -2.0514 -2.0601 -2.0737 -2.0935
 -2.1205
 -3.1485 -3.0673 -2.9980 -2.9286 -2.8569 -2.7838 -2.7099 -2.6370 -2.5677 -2.5034
 -2.4453 -2.3935 -2.3472 -2.3062 -2.2697 -2.1880 -2.1164 -2.0611 -2.0273 -2.0146
 -2.0172 -2.0262 -2.0366 -2.0468 -2.0566 -2.0661 -2.0757 -2.0869 -2.1000 -2.1147
 -2.1308
 -3.0954 -3.0066 -2.9328 -2.8651 -2.8011 -2.7362 -2.6709 -2.6055 -2.5412 -2.4797
 -2.4229 -2.3718 -2.3258 -2.2843 -2.2465 -2.1671 -2.1022 -2.0516 -2.0185 -2.0049
 -2.0080 -2.0206 -2.0365 -2.0525 -2.0675 -2.0814 -2.0946 -2.1071 -2.1197 -2.1333
 -2.1479
 -3.0729 -2.9626 -2.8772 -2.8061 -2.7454 -2.6851 -2.6264 -2.5681 -2.5105 -2.4538
 -2.3997 -2.3500 -2.3052 -2.2649 -2.2282 -2.1497 -2.0875 -2.0403 -2.0089 -1.9944
 -1.9963 -2.0099 -2.0295 -2.0509 -2.0718 -2.0912 -2.1093 -2.1259 -2.1415 -2.1568
 -2.1727
 -3.0785 -2.9354 -2.8312 -2.7529 -2.6901 -2.6338 -2.5797 -2.5264 -2.4744 -2.4234
 -2.3738 -2.3267 -2.2833 -2.2442 -2.2091 -2.1344 -2.0741 -2.0287 -1.9988
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value =  w   
 -4.2449 -4.1379 -3.9279 -3.7061 -3.4909 -3.3067 -3.1693 -3.0530 -2.9450 -2.8432
 -2.7469 -2.6557 -2.5698 -2.4894 -2.4147 -2.2547 -2.1323 -2.0441 -1.9863
 -3.9221 -3.8887 -3.8370 -3.6656 -3.4682 -3.2818 -3.1285 -3.0070 -2.8990 -2.7997
 -2.7064 -2.6184 -2.5358 -2.4589 -2.3879 -2.2382 -2.1262 -2.0468 -1.9945 -1.9617
 -3.7850 -3.6472 -3.5771 -3.5549 -3.4397 -3.2708 -3.1096 -2.9770 -2.8676 -2.7701
 -2.6797 -2.5948 -2.5152 -2.4412 -2.3731 -2.2305 -2.1249 -2.0508 -2.0024 -1.9727
 -1.9546
 -3.7067 -3.5538 -3.4197 -3.3226 -3.2803 -3.2274 -3.1012 -2.9634 -2.8464 -2.7485
 -2.6605 -2.5784 -2.5017 -2.4304 -2.3647 -2.2273 -2.1261 -2.0555 -2.0098 -1.9826
 -1.9666 -1.9572
 -3.6415 -3.4969 -3.3566 -3.2290 -3.1225 -3.0476 -3.0059 -2.9404 -2.8349 -2.7323
 -2.6450 -2.5654 -2.4913 -2.4224 -2.3589 -2.2259 -2.1280 -2.0597 -2.0161 -1.9910
 -1.9775 -1.9699 -1.9665 -1.9661
 -3.5799 -3.4468 -3.3143 -3.1859 -3.0661 -2.9605 -2.8743 -2.8119 -2.7684 -2.7084
 -2.6299 -2.5532 -2.4814 -2.4149 -2.3534 -2.2244 -2.1290 -2.0626 -2.0204 -1.9972
 -1.9865 -1.9817 -1.9802 -1.9814 -1.9845 -1.9907 -2.0013 -2.0173 -2.0388 -2.0641
