 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  R   
 -1.7580 -1.6516 -1.5551 -1.4570 -1.3562 -1.2551 -1.1567 -1.0635 -0.9781 -0.9022
 -0.8365 -0.7809 -0.7328 -0.6905 -0.6529 -0.5693 -0.4986 -0.4454 -0.4137 -0.4039
 -0.4099 -0.4224 -0.4360 -0.4495 -0.4626 -0.4757 -0.4892 -0.5047 -0.5225 -0.5422
 -0.5637
 -1.7168 -1.6045 -1.5061 -1.4136 -1.3217 -1.2285 -1.1360 -1.0468 -0.9630 -0.8864
 -0.8188 -0.7610 -0.7119 -0.6688 -0.6302 -0.5489 -0.4836 -0.4347 -0.4039 -0.3930
 -0.3994 -0.4156 -0.4349 -0.4541 -0.4723 -0.4895 -0.5063 -0.5226 -0.5392 -0.5571
 -0.5761
 -1.7055 -1.5719 -1.4646 -1.3725 -1.2867 -1.2002 -1.1141 -1.0293 -0.9485 -0.8729
 -0.8041 -0.7440 -0.6929 -0.6495 -0.6113 -0.5312 -0.4684 -0.4223 -0.3931 -0.3812
 -0.3863 -0.4035 -0.4266 -0.4514 -0.4755 -0.4981 -0.5194 -0.5395 -0.5587 -0.5778
 -0.5976
 -1.7185 -1.5537 -1.4305 -1.3338 -1.2509 -1.1710 -1.0910 -1.0114 -0.9336 -0.8598
 -0.7915 -0.7298 -0.6761 -0.6306 -0.5921 -0.5149 -0.4543 -0.4097 -0.3818
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value =  R   
 -2.8285 -2.6972 -2.4551 -2.2015 -1.9559 -1.7462 -1.5905 -1.4614 -1.3448 -1.2372
 -1.1360 -1.0405 -0.9507 -0.8669 -0.7895 -0.6263 -0.5046 -0.4184 -0.3632
 -2.4769 -2.4255 -2.3548 -2.1547 -1.9286 -1.7164 -1.5430 -1.4080 -1.2917 -1.1873
 -1.0899 -0.9985 -0.9131 -0.8339 -0.7613 -0.6104 -0.4998 -0.4229 -0.3738 -0.3450
 -2.3329 -2.1668 -2.0765 -2.0387 -1.8996 -1.7053 -1.5229 -1.3749 -1.2560 -1.1535
 -1.0596 -0.9721 -0.8907 -0.8154 -0.7465 -0.6041 -0.5005 -0.4289 -0.3837 -0.3579
 -0.3443
 -2.2586 -2.0735 -1.9124 -1.7936 -1.7348 -1.6645 -1.5171 -1.3618 -1.2330 -1.1288
 -1.0375 -0.9534 -0.8755 -0.8037 -0.7381 -0.6024 -0.5034 -0.4352 -0.3925 -0.3691
 -0.3573 -0.3524
 -2.2028 -2.0248 -1.8544 -1.7007 -1.5727 -1.4799 -1.4238 -1.3431 -1.2231 -1.1109
 -1.0195 -0.9380 -0.8631 -0.7943 -0.7316 -0.6017 -0.5065 -0.4407 -0.3998 -0.3783
 -0.3687 -0.3653 -0.3662 -0.3702
 -2.1547 -1.9878 -1.8228 -1.6656 -1.5212 -1.3951 -1.2918 -1.2156 -1.1607 -1.0899
 -1.0037 -0.9236 -0.8509 -0.7848 -0.7246 -0.6000 -0.5082 -0.4442 -0.4047 -0.3848
 -0.3778 -0.3770 -0.3795 -0.3850 -0.3925 -0.4035 -0.4200 -0.4435 -0.4734 -0.5051
 -2.1110 -1.9548 -1.7987 -1.6467 -1.5026 -1.3706 -1.2523 -1.1491 -1.0648 -1.0021
 -0.9517 -0.8978 -0.8361 -0.7736 -0.7157 -0.5960 -0.5074 -0.4451 -0.4065 -0.3879
 -0.3835 -0.3861 -0.3914 -0.3987 -0.4080 -0.4184 -0.4316 -0.4501 -0.4754 -0.5077
 -0.5430
 -2.0712 -1.9233 -1.7763 -1.6315 -1.4920 -1.3606 -1.2396 -1.1304 -1.0341 -0.9520
 -0.8855 -0.8353 -0.7927 -0.7485 -0.7009 -0.5890 -0.5037 -0.4430 -0.4050 -0.3871
 -0.3848 -0.3912 -0.4005 -0.4110 -0.4224 -0.4350 -0.4479 -0.4633 -0.4835 -0.5106
 -0.5457
 -2.0415 -1.8925 -1.7531 -1.6155 -1.4813 -1.3538 -1.2343 -1.1240 -1.0241 -0.9356
 -0.8593 -0.7963 -0.7461 -0.7047 -0.6671 -0.5748 -0.4955 -0.4370 -0.3997 -0.3820
 -0.3810 -0.3909 -0.4051 -0.4201 -0.4351 -0.4503 -0.4661 -0.4839 -0.5040 -0.5259
 -0.5496
 -2.0316 -1.8747 -1.7328 -1.6022 -1.4739 -1.3501 -1.2334 -1.1245 -1.0241 -0.9329
 -0.8521 -0.7826 -0.7249 -0.6772 -0.6368 -0.5538 -0.4830 -0.4285 -0.3919 -0.3737
 -0.3726 -0.3845 -0.4031 -0.4234 -0.4433 -0.4625 -0.4814 -0.5000 -0.5190 -0.5393
 -0.5623
 -2.0566 -1.8628 -1.7169 -1.5888 -1.4670 -1.3478 -1.2335 -1.1263 -1.0270 -0.9353
 -0.8521 -0.7787 -0.7157 -0.6633 -0.6192 -0.5333 -0.4674 -0.4162 -0.3817 -0.3633
 -0.3612 -0.3734 -0.3948 -0.4200 -0.4454 -0.4698 -0.4931 -0.5152 -0.5367 -0.5582
 -0.5803
 -2.1258 -1.8848 -1.7142 -1.5797 -1.4587 -1.3450 -1.2356 -1.1297 -1.0310 -0.9397
 -0.8559 -0.7801 -0.7132 -0.6561 -0.6083 -0.5178 -0.4520 -0.4028 -0.3696
 [Fe/H] = -0.75 [alpha/Fe] =-0.40 BC value =  R   
 -2.8801 -2.6751 -2.4022 -2.1465 -1.9057 -1.6978 -1.5426 -1.4182 -1.3081 -1.2038
 -1.1068 -1.0154 -0.9294 -0.8490 -0.7742 -0.6140 -0.4933 -0.4079 -0.3518
 -2.5678 -2.5384 -2.3639 -2.1212 -1.8892 -1.6754 -1.5064 -1.3747 -1.2632 -1.1614
 -1.0675 -0.9795 -0.8971 -0.8202 -0.7491 -0.5995 -0.4890 -0.4119 -0.3620 -0.3327
 -2.3680 -2.2348 -2.2045 -2.0923 -1.8836 -1.6774 -1.4935 -1.3492 -1.2335 -1.1328
 -1.0415 -0.9567 -0.8776 -0.8041 -0.7362 -0.5941 -0.4898 -0.4177 -0.3713 -0.3445
 -0.3309
 -2.3006 -2.1064 -1.9604 -1.8917 -1.8363 -1.6790 -1.4994 -1.3406 -1.2151 -1.1122
 -1.0226 -0.9405 -0.8643 -0.7938 -0.7289 -0.5928 -0.4929 -0.4238 -0.3797 -0.3548
 -0.3429 -0.3384
 -2.2620 -2.0640 -1.8834 -1.7349 -1.6301 -1.5731 -1.4884 -1.3466 -1.2092 -1.0980
 -1.0075 -0.9271 -0.8534 -0.7855 -0.7232 -0.5925 -0.4962 -0.4293 -0.3868 -0.3632
 -0.3531 -0.3501 -0.3517 -0.3566
 -2.2334 -2.0419 -1.8592 -1.6920 -1.5479 -1.4297 -1.3438 -1.2840 -1.2021 -1.0929
 -0.9954 -0.9150 -0.8429 -0.7772 -0.7171 -0.5914 -0.4982 -0.4331 -0.3918 -0.3694
 -0.3610 -0.3604 -0.3636 -0.3698 -0.3792 -0.3924 -0.4101 -0.4333 -0.4625 -0.4960
 -2.2103 -2.0268 -1.8488 -1.6809 -1.5271 -1.3910 -1.2734 -1.1758 -1.1025 -1.0450
 -0.9778 -0.9030 -0.8322 -0.7679 -0.7097 -0.5884 -0.4982 -0.4347 -0.3942 -0.3728
 -0.3660 -0.3681 -0.3741 -0.3822 -0.3925 -0.4052 -0.4207 -0.4402 -0.4654 -0.4984
 -0.5343
 -2.1909 -2.0145 -1.8431 -1.6787 -1.5248 -1.3840 -1.2575 -1.1460 -1.0498 -0.9701
 -0.9084 -0.8582 -0.8084 -0.7545 -0.7001 -0.5829 -0.4957 -0.4336 -0.3937 -0.3727
 -0.3672 -0.3721 -0.3817 -0.3930 -0.4055 -0.4193 -0.4338 -0.4508 -0.4726 -0.5007
 -0.5363
 -2.1813 -2.0028 -1.8373 -1.6779 -1.5266 -1.3861 -1.2574 -1.1409 -1.0372 -0.9463
 -0.8691 -0.8060 -0.7570 -0.7155 -0.6748 -0.5728 -0.4891 -0.4288 -0.3895 -0.3689
 -0.3642 -0.3716 -0.3852 -0.4009 -0.4170 -0.4334 -0.4506 -0.4687 -0.4885 -0.5122
 -0.5399
 -2.1901 -1.9998 -1.8354 -1.6811 -1.5334 -1.3944 -1.2661 -1.1483 -1.0414 -0.9455
 -0.8611 -0.7889 -0.7292 -0.6810 -0.6409 -0.5550 -0.4794 -0.4216 -0.3829 -0.3620
 -0.3572 -0.3658 -0.3829 -0.4034 -0.4242 -0.4445 -0.4647 -0.4847 -0.5052 -0.5271
 -0.5515
 -2.2320 -2.0104 -1.8380 -1.6852 -1.5419 -1.4055 -1.2777 -1.1599 -1.0522 -0.9538
 -0.8653 -0.7875 -0.7210 -0.6659 -0.6203 -0.5332 -0.4647 -0.4109 -0.3737 -0.3526
 -0.3472 -0.3559 -0.3751 -0.3997 -0.4256 -0.4509 -0.4754 -0.4989 -0.5218 -0.5447
 -0.5680
 -2.3244 -2.0485 -1.8525 -1.6933 -1.5510 -1.4179 -1.2920 -1.1741 -1.0658 -0.9665
 -0.8760 -0.7946 -0.7230 -0.6619 -0.6110 -0.5168 -0.4494 -0.3977 -0.3620
 [Fe/H] = -0.50 [alpha/Fe] =-0.40 BC value =  R   
 -2.9047 -2.6273 -2.3470 -2.0973 -1.8714 -1.6670 -1.5102 -1.3834 -1.2757 -1.1746
 -1.0808 -0.9929 -0.9101 -0.8326 -0.7601 -0.6027 -0.4821 -0.3956 -0.3387
 -2.6945 -2.5823 -2.3382 -2.0833 -1.8549 -1.6477 -1.4804 -1.3487 -1.2374 -1.1382
 -1.0469 -0.9617 -0.8819 -0.8072 -0.7376 -0.5891 -0.4776 -0.3996 -0.3488 -0.3186
 -2.4096 -2.3538 -2.2918 -2.0854 -1.8565 -1.6498 -1.4704 -1.3280 -1.2126 -1.1135
 -1.0242 -0.9417 -0.8647 -0.7928 -0.7260 -0.5840 -0.4783 -0.4049 -0.3575 -0.3295
 -0.3155
 -2.3288 -2.1405 -2.0455 -2.0119 -1.8620 -1.6620 -1.4781 -1.3217 -1.1975 -1.0959
 -1.0076 -0.9272 -0.8527 -0.7835 -0.7193 -0.5828 -0.4811 -0.4107 -0.3654 -0.3390
 -0.3263 -0.3222
 -2.3045 -2.0897 -1.9100 -1.7867 -1.7302 -1.6520 -1.4926 -1.3311 -1.1936 -1.0843
 -0.9945 -0.9152 -0.8427 -0.7758 -0.7140 -0.5827 -0.4844 -0.4160 -0.3721 -0.3469
 -0.3354 -0.3326 -0.3348 -0.3408
 -2.2963 -2.0798 -1.8823 -1.7126 -1.5791 -1.4864 -1.4263 -1.3340 -1.2030 -1.0817
 -0.9845 -0.9046 -0.8333 -0.7682 -0.7084 -0.5818 -0.4867 -0.4199 -0.3771 -0.3529
 -0.3425 -0.3414 -0.3452 -0.3522 -0.3619 -0.3757 -0.3951 -0.4211 -0.4528 -0.4851
 -2.2963 -2.0831 -1.8832 -1.7018 -1.5436 -1.4109 -1.3029 -1.2220 -1.1588 -1.0789
 -0.9809 -0.8957 -0.8240 -0.7600 -0.7017 -0.5793 -0.4872 -0.4220 -0.3798 -0.3563
 -0.3470 -0.3478 -0.3540 -0.3630 -0.3743 -0.3882 -0.4048 -0.4259 -0.4533 -0.4871
 -0.5226
 -2.3007 -2.0920 -1.8946 -1.7109 -1.5449 -1.3982 -1.2715 -1.1628 -1.0723 -1.0010
 -0.9420 -0.8789 -0.8135 -0.7509 -0.6938 -0.5747 -0.4853 -0.4216 -0.3799 -0.3567
 -0.3483 -0.3510 -0.3603 -0.3723 -0.3858 -0.4008 -0.4180 -0.4373 -0.4602 -0.4887
 -0.5250
 -2.3152 -2.1043 -1.9082 -1.7259 -1.5577 -1.4059 -1.2709 -1.1519 -1.0480 -0.9584
 -0.8835 -0.8229 -0.7731 -0.7266 -0.6791 -0.5666 -0.4799 -0.4177 -0.3767 -0.3537
 -0.3460 -0.3504 -0.3628 -0.3787 -0.3958 -0.4133 -0.4320 -0.4517 -0.4733 -0.4980
 -0.5280
 -2.3472 -2.1218 -1.9270 -1.7473 -1.5796 -1.4255 -1.2866 -1.1621 -1.0514 -0.9537
 -0.8685 -0.7958 -0.7356 -0.6876 -0.6470 -0.5540 -0.4725 -0.4119 -0.3712 -0.3481
 -0.3404 -0.3456 -0.3605 -0.3804 -0.4018 -0.4231 -0.4446 -0.4662 -0.4884 -0.5121
 -0.5383
 -2.4085 -2.1541 -1.9504 -1.7704 -1.6047 -1.4507 -1.3095 -1.1819 -1.0671 -0.9643
 -0.8729 -0.7931 -0.7248 -0.6680 -0.6216 -0.5330 -0.4602 -0.4030 -0.3632 -0.3399
 -0.3318 -0.3371 -0.3534 -0.3766 -0.4025 -0.4285 -0.4541 -0.4790 -0.5035 -0.5282
 -0.5529
 -2.5185 -2.2112 -1.9850 -1.7976 -1.6309 -1.4783 -1.3370 -1.2072 -1.0896 -0.9834
 -0.8879 -0.8028 -0.7284 -0.6647 -0.6118 -0.5151 -0.4456 -0.3909 -0.3527
 [Fe/H] = -0.25 [alpha/Fe] =-0.40 BC value =  R   
 -2.8975 -2.5901 -2.3075 -2.0633 -1.8435 -1.6447 -1.4885 -1.3563 -1.2472 -1.1499
 -1.0583 -0.9726 -0.8925 -0.8174 -0.7470 -0.5925 -0.4715 -0.3841 -0.3256
 -2.6910 -2.5864 -2.3105 -2.0526 -1.8252 -1.6237 -1.4601 -1.3267 -1.2153 -1.1180
 -1.0283 -0.9451 -0.8674 -0.7946 -0.7266 -0.5792 -0.4664 -0.3864 -0.3343 -0.3030
 -2.5003 -2.4827 -2.3104 -2.0647 -1.8314 -1.6230 -1.4499 -1.3088 -1.1941 -1.0962
 -1.0082 -0.9272 -0.8519 -0.7816 -0.7159 -0.5742 -0.4664 -0.3909 -0.3421 -0.3130
 -0.2983
 -2.3534 -2.2019 -2.1766 -2.0622 -1.8497 -1.6411 -1.4569 -1.3042 -1.1816 -1.0806
 -0.9933 -0.9141 -0.8409 -0.7729 -0.7096 -0.5729 -0.4688 -0.3961 -0.3494 -0.3217
 -0.3079 -0.3038
 -2.3315 -2.1085 -1.9492 -1.8842 -1.8273 -1.6604 -1.4771 -1.3138 -1.1792 -1.0708
 -0.9816 -0.9032 -0.8316 -0.7656 -0.7045 -0.5727 -0.4718 -0.4010 -0.3556 -0.3290
 -0.3160 -0.3129 -0.3156 -0.3222
 -2.3413 -2.1018 -1.8967 -1.7373 -1.6346 -1.5800 -1.4848 -1.3336 -1.1897 -1.0694
 -0.9731 -0.8936 -0.8228 -0.7583 -0.6990 -0.5719 -0.4742 -0.4050 -0.3605 -0.3346
 -0.3224 -0.3203 -0.3244 -0.3322 -0.3432 -0.3585 -0.3793 -0.4066 -0.4393 -0.4724
 -2.3647 -2.1209 -1.9021 -1.7135 -1.5593 -1.4407 -1.3565 -1.2917 -1.1985 -1.0793
 -0.9717 -0.8859 -0.8144 -0.7506 -0.6927 -0.5695 -0.4750 -0.4074 -0.3634 -0.3380
 -0.3266 -0.3257 -0.3317 -0.3412 -0.3535 -0.3686 -0.3870 -0.4099 -0.4388 -0.4737
 -0.5096
 -2.3988 -2.1523 -1.9283 -1.7284 -1.5551 -1.4087 -1.2881 -1.1895 -1.1120 -1.0462
 -0.9700 -0.8829 -0.8073 -0.7429 -0.6854 -0.5653 -0.4736 -0.4076 -0.3640 -0.3389
 -0.3281 -0.3285 -0.3367 -0.3489 -0.3632 -0.3794 -0.3980 -0.4190 -0.4439 -0.4744
 -0.5116
 -2.4398 -2.1878 -1.9625 -1.7575 -1.5745 -1.4152 -1.2786 -1.1619 -1.0619 -0.9775
 -0.9081 -0.8485 -0.7892 -0.7313 -0.6759 -0.5581 -0.4689 -0.4044 -0.3616 -0.3367
