 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  B   
 -9.0495 -8.8384 -9.0026 -8.9241 -8.7005 -8.3427 -7.8854 -7.6048 -7.3276 -7.0400
 -6.7661 -6.5138 -6.2787 -6.0558 -5.8398 -5.3547 -4.8512 -4.3803 -4.0445
 -8.8828 -8.5246 -8.2425 -8.0502 -7.9310 -7.7761 -7.5348 -7.2518 -6.9690 -6.6912
 -6.4253 -6.1778 -5.9492 -5.7365 -5.5357 -5.0699 -4.6443 -4.2807 -3.9989 -3.7822
 -8.5471 -8.1912 -7.8805 -7.6223 -7.4122 -7.2602 -7.1309 -6.9445 -6.7017 -6.4372
 -6.1794 -5.9365 -5.7136 -5.5093 -5.3208 -4.9012 -4.5313 -4.2113 -3.9585 -3.7633
 -3.6067
 -8.2709 -7.9452 -7.6406 -7.3713 -7.1351 -6.9234 -6.7385 -6.5873 -6.4276 -6.2224
 -5.9904 -5.7597 -5.5429 -5.3442 -5.1634 -4.7749 -4.4470 -4.1654 -3.9351 -3.7569
 -3.6136 -3.4923
 -8.0203 -7.7357 -7.4555 -7.1937 -6.9568 -6.7388 -6.5330 -6.3391 -6.1678 -6.0033
 -5.8257 -5.6273 -5.4255 -5.2338 -5.0578 -4.6879 -4.3882 -4.1336 -3.9240 -3.7593
 -3.6269 -3.5148 -3.4159 -3.3270
 -7.7872 -7.5392 -7.2934 -7.0504 -6.8220 -6.6097 -6.4078 -6.2117 -6.0226 -5.8428
 -5.6760 -5.5123 -5.3404 -5.1647 -4.9952 -4.6340 -4.3510 -4.1152 -3.9209 -3.7665
 -3.6431 -3.5394 -3.4479 -3.3647 -3.2842 -3.2083 -3.1399 -3.0815 -3.0350 -3.0014
 -7.5720 -7.3540 -7.1390 -6.9222 -6.7083 -6.5057 -6.3126 -6.1254 -5.9419 -5.7613
 -5.5875 -5.4240 -5.2683 -5.1142 -4.9602 -4.6080 -4.3312 -4.1078 -3.9227 -3.7753
 -3.6591 -3.5630 -3.4790 -3.4025 -3.3315 -3.2648 -3.2027 -3.1456 -3.0938 -3.0505
 -3.0263
 -7.3752 -7.1815 -6.9903 -6.7985 -6.6051 -6.4139 -6.2302 -6.0538 -5.8813 -5.7098
 -5.5405 -5.3767 -5.2212 -5.0742 -4.9325 -4.6017 -4.3257 -4.1074 -3.9281 -3.7842
 -3.6724 -3.5829 -3.5064 -3.4372 -3.3730 -3.3123 -3.2538 -3.1992 -3.1506 -3.1097
 -3.0774
 -7.1972 -7.0230 -6.8500 -6.6744 -6.5025 -6.3280 -6.1543 -5.9859 -5.8237 -5.6638
 -5.5040 -5.3461 -5.1935 -5.0480 -4.9098 -4.5958 -4.3272 -4.1097 -3.9341 -3.7917
 -3.6815 -3.5963 -3.5267 -3.4654 -3.4089 -3.3552 -3.3041 -3.2557 -3.2114 -3.1712
 -3.1349
 -7.0385 -6.8800 -6.7211 -6.5622 -6.4033 -6.2447 -6.0861 -5.9272 -5.7719 -5.6213
 -5.4730 -5.3250 -5.1786 -5.0371 -4.9019 -4.5941 -4.3332 -4.1177 -3.9432 -3.8018
 -3.6908 -3.6066 -3.5412 -3.4870 -3.4384 -3.3927 -3.3491 -3.3071 -3.2670 -3.2296
 -3.1951
 -6.8959 -6.7466 -6.5979 -6.4501 -6.3032 -6.1573 -6.0124 -5.8680 -5.7226 -5.5789
 -5.4387 -5.3008 -5.1637 -5.0281 -4.8960 -4.5940 -4.3381 -4.1249 -3.9510 -3.8108
 -3.6994 -3.6143 -3.5503 -3.5005 -3.4588 -3.4213 -3.3860 -3.3517 -3.3185 -3.2867
 -3.2570
 -6.7552 -6.5947 -6.4482 -6.3117 -6.1810 -6.0530 -5.9250 -5.7952 -5.6642 -5.5326
 -5.4013 -5.2710 -5.1427 -5.0157 -4.8901 -4.5949 -4.3413 -4.1310 -3.9581
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value =  B   
 -9.3484 -9.1779 -8.9695 -8.6366 -8.2526 -7.8670 -7.5280 -7.2382 -6.9691 -6.7117
 -6.4661 -6.2373 -6.0262 -5.8299 -5.6445 -5.2214 -4.8063 -4.4105 -4.0873
 -8.8384 -8.5107 -8.3197 -8.1953 -7.9569 -7.6297 -7.2928 -6.9900 -6.7169 -6.4573
 -6.2104 -5.9814 -5.7722 -5.5812 -5.4043 -5.0044 -4.6404 -4.3074 -4.0252 -3.8009
 -8.5455 -8.1805 -7.8857 -7.6668 -7.5346 -7.3797 -7.1152 -6.8166 -6.5378 -6.2789
 -6.0317 -5.8016 -5.5921 -5.4025 -5.2298 -4.8525 -4.5259 -4.2340 -3.9825 -3.7794
 -3.6161
 -8.3349 -7.9804 -7.6669 -7.3944 -7.1692 -6.9976 -6.8611 -6.6717 -6.4163 -6.1610
 -5.9163 -5.6857 -5.4744 -5.2840 -5.1122 -4.7470 -4.4449 -4.1833 -3.9568 -3.7706
 -3.6201 -3.4943
