 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =F1000W
 -0.6781 -0.5312 -0.5608 -0.9243 -1.6910 -2.3843 -2.7503 -2.6394 -2.1851 -1.5690
 -1.7503 -2.3884 -2.5163 -2.2842 -2.1568 -2.3922
 -0.9505 -0.9046 -0.9152 -1.0705 -1.4114 -1.7402 -1.9644 -2.0133 -1.9299 -1.7888
 -1.9248 -2.2186 -2.3069 -2.2244 -2.1795 -2.4027 -2.5892 -2.7601 -2.9369
 -1.0759 -1.1170 -1.1527 -1.2170 -1.3326 -1.4602 -1.5919 -1.7069 -1.8049 -1.8973
 -1.9997 -2.1059 -2.1704 -2.1875 -2.2130 -2.4189 -2.6173 -2.7930 -2.9644 -3.1258
 -3.2767
 -1.0543 -1.1684 -1.2733 -1.3638 -1.4545 -1.5444 -1.6328 -1.7203 -1.8100 -1.8945
 -1.9750 -2.0503 -2.1069 -2.1735 -2.2573 -2.4408 -2.6328 -2.8161 -2.9876 -3.1497
 -3.3033 -3.4494 -3.5883
 -1.1222 -1.2076 -1.2932 -1.3779 -1.4650 -1.5526 -1.6396 -1.7253 -1.8093 -1.8918
 -1.9726 -2.0521 -2.1234 -2.1936 -2.2685 -2.4602 -2.6507 -2.8317 -3.0029 -3.1649
 -3.3186 -3.4648 -3.6039 -3.7369 -3.8650
 -1.2011 -1.2646 -1.3335 -1.4082 -1.4874 -1.5694 -1.6525 -1.7351 -1.8165 -1.8960
 -1.9738 -2.0508 -2.1274 -2.1969 -2.2737 -2.4691 -2.6615 -2.8430 -3.0144 -3.1765
 -3.3303 -3.4766 -3.6159 -3.7489 -3.8762 -3.9991
 -1.2910 -1.3394 -1.3942 -1.4547 -1.5218 -1.5948 -1.6715 -1.7497 -1.8280 -1.9053
 -1.9811 -2.0552 -2.1286 -2.1984 -2.2729 -2.4675 -2.6652 -2.8500 -3.0221 -3.1845
 -3.3384 -3.4848 -3.6243 -3.7573 -3.8845 -4.0067 -4.1250 -4.2398 -4.3517 -4.4617
 -1.3920 -1.4320 -1.4753 -1.5215 -1.5737 -1.6335 -1.6998 -1.7707 -1.8440 -1.9180
 -1.9914 -2.0639 -2.1351 -2.2038 -2.2737 -2.4623 -2.6586 -2.8513 -3.0264 -3.1896
 -3.3439 -3.4905 -3.6302 -3.7636 -3.8908 -4.0127 -4.1302 -4.2440 -4.3545 -4.4624
 -4.5686
 -1.4918 -1.5325 -1.5710 -1.6074 -1.6459 -1.6903 -1.7425 -1.8019 -1.8671 -1.9354
 -2.0050 -2.0748 -2.1442 -2.2128 -2.2795 -2.4580 -2.6491 -2.8430 -3.0261 -3.1918
 -3.3470 -3.4942 -3.6343 -3.7680 -3.8957 -4.0177 -4.1349 -4.2479 -4.3575 -4.4640
 -4.5680
 -1.5822 -1.6319 -1.6733 -1.7072 -1.7373 -1.7684 -1.8054 -1.8501 -1.9028 -1.9619
 -2.0251 -2.0904 -2.1568 -2.2236 -2.2896 -2.4587 -2.6434 -2.8334 -3.0205 -3.1932
 -3.3506 -3.4988 -3.6396 -3.7739 -3.9022 -4.0247 -4.1421 -4.2550 -4.3640 -4.4698
 -4.5726
 -1.6675 -1.7232 -1.7690 -1.8059 -1.8336 -1.8583 -1.8834 -1.9136 -1.9518 -1.9982
