 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  Hp  
 -4.9267 -4.8746 -5.0662 -5.0244 -4.8736 -4.6578 -4.4128 -4.2512 -4.1048 -3.9533
 -3.8099 -3.6750 -3.5506 -3.4349 -3.3279 -3.1005 -2.8987 -2.7144 -2.6088
 -4.9191 -4.7504 -4.6106 -4.5179 -4.4704 -4.3923 -4.2548 -4.0995 -3.9533 -3.8136
 -3.6798 -3.5540 -3.4377 -3.3306 -3.2319 -3.0168 -2.8414 -2.7055 -2.6053 -2.5305
 -4.7443 -4.5791 -4.4239 -4.2880 -4.1781 -4.1080 -4.0551 -3.9656 -3.8438 -3.7122
 -3.5873 -3.4695 -3.3603 -3.2599 -3.1681 -2.9718 -2.8159 -2.6958 -2.6065 -2.5389
 -2.4858
 -4.5977 -4.4507 -4.3021 -4.1616 -4.0354 -3.9259 -3.8379 -3.7761 -3.7128 -3.6232
 -3.5151 -3.4061 -3.3039 -3.2094 -3.1229 -2.9396 -2.7974 -2.6905 -2.6105 -2.5494
 -2.5005 -2.4602
 -4.4624 -4.3382 -4.2059 -4.0728 -3.9467 -3.8318 -3.7295 -3.6399 -3.5689 -3.5053
 -3.4350 -3.3502 -3.2596 -3.1718 -3.0903 -2.9168 -2.7839 -2.6864 -2.6148 -2.5602
 -2.5159 -2.4788 -2.4470 -2.4198
 -4.3357 -4.2295 -4.1176 -3.9984 -3.8796 -3.7666 -3.6632 -3.5699 -3.4866 -3.4125
 -3.3466 -3.2824 -3.2124 -3.1379 -3.0638 -2.9002 -2.7735 -2.6819 -2.6168 -2.5691
 -2.5302 -2.4972 -2.4685 -2.4431 -2.4192 -2.3982 -2.3820 -2.3721 -2.3698 -2.3756
 -4.2199 -4.1257 -4.0299 -3.9269 -3.8197 -3.7136 -3.6126 -3.5197 -3.4363 -3.3605
 -3.2905 -3.2252 -3.1630 -3.1008 -3.0370 -2.8861 -2.7645 -2.6754 -2.6151 -2.5735
 -2.5410 -2.5133 -2.4888 -2.4667 -2.4465 -2.4267 -2.4092 -2.3967 -2.3911 -2.3938
 -2.4053
 -4.1171 -4.0298 -3.9433 -3.8534 -3.7597 -3.6636 -3.5686 -3.4783 -3.3957 -3.3210
 -3.2527 -3.1884 -3.1267 -3.0677 -3.0100 -2.8728 -2.7565 -2.6691 -2.6100 -2.5722
 -2.5458 -2.5245 -2.5055 -2.4880 -2.4717 -2.4560 -2.4399 -2.4259 -2.4171 -2.4159
 -2.4238
 -4.0293 -3.9451 -3.8624 -3.7773 -3.6953 -3.6103 -3.5240 -3.4390 -3.3585 -3.2848
 -3.2179 -3.1563 -3.0978 -3.0412 -2.9861 -2.8577 -2.7478 -2.6625 -2.6027 -2.5661
 -2.5438 -2.5286 -2.5161 -2.5047 -2.4934 -2.4821 -2.4710 -2.4605 -2.4528 -2.4481
 -2.4461
 -3.9587 -3.8747 -3.7923 -3.7115 -3.6323 -3.5545 -3.4776 -3.4001 -3.3242 -3.2523
 -3.1863 -3.1264 -3.0709 -3.0174 -2.9656 -2.8448 -2.7397 -2.6566 -2.5966 -2.5586
 -2.5372 -2.5258 -2.5193 -2.5145 -2.5096 -2.5040 -2.4978 -2.4913 -2.4848 -2.4796
 -2.4753
 -3.9033 -3.8154 -3.7312 -3.6505 -3.5730 -3.4985 -3.4267 -3.3570 -3.2876 -3.2198
 -3.1557 -3.0966 -3.0428 -2.9929 -2.9452 -2.8320 -2.7313 -2.6503 -2.5908 -2.5513
 -2.5290 -2.5185 -2.5155 -2.5163 -2.5179 -2.5190 -2.5190 -2.5178 -2.5158 -2.5136
 -2.5123
 -3.8483 -3.7452 -3.6560 -3.5773 -3.5057 -3.4385 -3.3734 -3.3090 -3.2456 -3.1837
 -3.1239 -3.0669 -3.0141 -2.9658 -2.9210 -2.8173 -2.7223 -2.6436 -2.5846
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value =  Hp  
 -5.2595 -5.2063 -5.1098 -4.9102 -4.6774 -4.4527 -4.2623 -4.1038 -3.9594 -3.8222
 -3.6914 -3.5686 -3.4545 -3.3488 -3.2511 -3.0418 -2.8646 -2.7115 -2.6032
 -4.9935 -4.8346 -4.7480 -4.6980 -4.5576 -4.3591 -4.1654 -4.0014 -3.8586 -3.7251
 -3.5987 -3.4804 -3.3711 -3.2711 -3.1796 -2.9838 -2.8247 -2.6966 -2.5977 -2.5225
 -4.8422 -4.6611 -4.5043 -4.3855 -4.3247 -4.2482 -4.0978 -3.9320 -3.7868 -3.6573
 -3.5353 -3.4212 -3.3159 -3.2196 -3.1321 -2.9474 -2.8010 -2.6857 -2.5972 -2.5293
 -2.4759
 -4.7296 -4.5563 -4.3902 -4.2364 -4.1080 -4.0174 -3.9576 -3.8680 -3.7369 -3.6092
 -3.4912 -3.3812 -3.2793 -3.1862 -3.1016 -2.9241 -2.7859 -2.6795 -2.5991 -2.5377
 -2.4888 -2.4484
 -4.6330 -4.4754 -4.3165 -4.1645 -4.0249 -3.8988 -3.7936 -3.7134 -3.6495 -3.5634
 -3.4586 -3.3527 -3.2542 -3.1640 -3.0817 -2.9093 -2.7763 -2.6758 -2.6018 -2.5463
 -2.5021 -2.4652 -2.4337 -2.4073
 -4.5498 -4.4033 -4.2572 -4.1116 -3.9729 -3.8444 -3.7265 -3.6210 -3.5328 -3.4646
 -3.3999 -3.3217 -3.2341 -3.1475 -3.0676 -2.8992 -2.7695 -2.6726 -2.6031 -2.5532
 -2.5143 -2.4817 -2.4536 -2.4289 -2.4061 -2.3866 -2.3718 -2.3630 -2.3612 -2.3673
 -4.4675 -4.3342 -4.2017 -4.0667 -3.9336 -3.8074 -3.6900 -3.5819 -3.4837 -3.3977
 -3.3244 -3.2612 -3.1971 -3.1270 -3.0544 -2.8914 -2.7640 -2.6689 -2.6020 -2.5565
 -2.5233 -2.4960 -2.4722 -2.4510 -2.4317 -2.4130 -2.3969 -2.3858 -2.3816 -2.3855
 -2.3970
 -4.3933 -4.2667 -4.1473 -4.0231 -3.8987 -3.7771 -3.6623 -3.5556 -3.4573 -3.3676
 -3.2872 -3.2158 -3.1522 -3.0927 -3.0324 -2.8831 -2.7584 -2.6643 -2.5984 -2.5554
 -2.5272 -2.5058 -2.4875 -2.4710 -2.4555 -2.4391 -2.4238 -2.4120 -2.4057 -2.4065
 -2.4153
 -4.3330 -4.2067 -4.0923 -3.9779 -3.8622 -3.7474 -3.6367 -3.5321 -3.4351 -3.3458
 -3.2647 -3.1912 -3.1242 -3.0628 -3.0056 -2.8706 -2.7511 -2.6582 -2.5922 -2.5499
 -2.5250 -2.5092 -2.4971 -2.4864 -2.4761 -2.4659 -2.4562 -2.4484 -2.4428 -2.4390
 -2.4370
 -4.2933 -4.1607 -4.0442 -3.9348 -3.8272 -3.7196 -3.6139 -3.5125 -3.4173 -3.3289
 -3.2480 -3.1745 -3.1076 -3.0457 -2.9879 -2.8583 -2.7448 -2.6530 -2.5865 -2.5431
 -2.5187 -2.5063 -2.4998 -2.4955 -2.4914 -2.4868 -2.4819 -2.4767 -2.4718 -2.4680
 -2.4653
 -4.2819 -4.1301 -4.0050 -3.8955 -3.7930 -3.6912 -3.5911 -3.4934 -3.4005 -3.3133
 -3.2327 -3.1592 -3.0925 -3.0314 -2.9745 -2.8471 -2.7376 -2.6480 -2.5810 -2.5361
 -2.5104 -2.4988 -2.4957 -2.4969 -2.4992 -2.5011 -2.5023 -2.5024 -2.5017 -2.5010
 -2.5010
 -4.2929 -4.1147 -3.9749 -3.8601 -3.7591 -3.6625 -3.5677 -3.4745 -3.3842 -3.2984
 -3.2184 -3.1447 -3.0776 -3.0167 -2.9609 -2.8370 -2.7304 -2.6426 -2.5757
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value =  Hp  
 -5.4560 -5.3129 -5.0550 -4.7848 -4.5230 -4.2975 -4.1259 -3.9789 -3.8429 -3.7155
 -3.5948 -3.4813 -3.3755 -3.2776 -3.1872 -2.9923 -2.8325 -2.6997 -2.5928
 -5.0818 -5.0214 -4.9412 -4.7258 -4.4824 -4.2528 -4.0620 -3.9085 -3.7716 -3.6458
