 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = G_BP 
 -6.2705 -5.9261 -5.6761 -5.4011 -5.1001 -4.8539 -4.7104 -4.6246 -4.5312 -4.4076
 -4.2694 -4.1209 -3.9728 -3.8342 -3.7023 -3.4072 -3.1651 -2.9791 -2.8315
 -5.8839 -5.4860 -5.1904 -4.9491 -4.7528 -4.5969 -4.4721 -4.3670 -4.2704 -4.1744
 -4.0730 -3.9612 -3.8377 -3.7111 -3.5910 -3.3304 -3.1207 -2.9578 -2.8328 -2.7397
 -5.6238 -5.2056 -4.8872 -4.6558 -4.4985 -4.3800 -4.2719 -4.1717 -4.0814 -3.9990
 -3.9163 -3.8279 -3.7265 -3.6145 -3.5053 -3.2710 -3.0862 -2.9425 -2.8342 -2.7515
 -2.6860
 -5.4902 -5.0849 -4.7665 -4.5212 -4.3372 -4.2032 -4.1098 -4.0387 -3.9642 -3.8814
 -3.7993 -3.7210 -3.6392 -3.5444 -3.4452 -3.2290 -3.0616 -2.9332 -2.8358 -2.7606
 -2.7003 -2.6500
 -5.3958 -5.0152 -4.7102 -4.4681 -4.2776 -4.1297 -4.0161 -3.9281 -3.8587 -3.7961
 -3.7245 -3.6456 -3.5696 -3.4898 -3.4020 -3.2004 -3.0443 -2.9268 -2.8389 -2.7708
 -2.7156 -2.6691 -2.6287 -2.5931
 -5.2969 -4.9506 -4.6681 -4.4382 -4.2511 -4.0987 -3.9753 -3.8756 -3.7930 -3.7214
 -3.6556 -3.5883 -3.5171 -3.4460 -3.3679 -3.1803 -3.0320 -2.9214 -2.8407 -2.7796
 -2.7300 -2.6880 -2.6511 -2.6182 -2.5882 -2.5612 -2.5377 -2.5203 -2.5113 -2.5119
 -5.1807 -4.8722 -4.6177 -4.4067 -4.2299 -4.0807 -3.9543 -3.8473 -3.7570 -3.6786
 -3.6071 -3.5390 -3.4715 -3.4068 -3.3388 -3.1652 -3.0227 -2.9159 -2.8396 -2.7844
 -2.7411 -2.7044 -2.6721 -2.6428 -2.6157 -2.5906 -2.5681 -2.5484 -2.5353 -2.5322
 -2.5390
 -5.0540 -4.7807 -4.5537 -4.3636 -4.2016 -4.0608 -3.9371 -3.8282 -3.7329 -3.6498
 -3.5752 -3.5056 -3.4385 -3.3734 -3.3111 -3.1523 -3.0156 -2.9107 -2.8359 -2.7840
 -2.7463 -2.7158 -2.6891 -2.6648 -2.6419 -2.6200 -2.5996 -2.5813 -2.5661 -2.5569
 -2.5595
 -4.9216 -4.6808 -4.4779 -4.3068 -4.1599 -4.0302 -3.9134 -3.8073 -3.7114 -3.6254
 -3.5485 -3.4783 -3.4119 -3.3478 -3.2868 -3.1378 -3.0081 -2.9054 -2.8304 -2.7793
 -2.7450 -2.7201 -2.6997 -2.6814 -2.6639 -2.6467 -2.6301 -2.6142 -2.5999 -2.5888
 -2.5841
 -4.7984 -4.5872 -4.4028 -4.2457 -4.1111 -3.9919 -3.8835 -3.7829 -3.6895 -3.6036
 -3.5254 -3.4544 -3.3889 -3.3269 -3.2675 -3.1258 -3.0015 -2.9014 -2.8263 -2.7740
