 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F160W
  1.7707  1.7785  1.7867  1.7911  1.7908  1.7850  1.7737  1.7573  1.7365  1.7118
  1.6840  1.6543  1.6240  1.5935  1.5629  1.4834  1.3991  1.3071  1.2038
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value = F160W
  1.9623  1.9616  1.9439  1.9254  1.9189  1.9166  1.9106  1.9037  1.8967  1.8878
  1.8741  1.8557  1.8321  1.8035  1.7707  1.6753  1.5649  1.4394  1.3024
  1.9259  1.9375  1.9526  1.9414  1.9245  1.9135  1.9063  1.8980  1.8901  1.8804
  1.8660  1.8465  1.8217  1.7919  1.7580  1.6606  1.5499  1.4268  1.2942  1.1584
  1.9378  1.9049  1.9065  1.9361  1.9381  1.9223  1.9072  1.8955  1.8850  1.8742
  1.8592  1.8392  1.8140  1.7836  1.7490  1.6498  1.5379  1.4161  1.2866  1.1542
  1.0219
  1.9669  1.9202  1.8865  1.8767  1.9009  1.9246  1.9158  1.8975  1.8816  1.8685
  1.8531  1.8330  1.8078  1.7774  1.7426  1.6420  1.5289  1.4074  1.2801  1.1502
  1.0206  0.8924
  1.9967  1.9489  1.9040  1.8692  1.8512  1.8556  1.8835  1.8970  1.8827  1.8636
  1.8469  1.8270  1.8022  1.7723  1.7376  1.6363  1.5221  1.4006  1.2747  1.1468
  1.0191  0.8931  0.7690  0.6468
  2.0216  1.9772  1.9313  1.8875  1.8513  1.8270  1.8175  1.8259  1.8479  1.8537
  1.8401  1.8202  1.7961  1.7671  1.7330  1.6317  1.5167  1.3949  1.2700  1.1438
  1.0179  0.8935  0.7713  0.6510  0.5327  0.4165  0.3020  0.1894  0.0792 -0.0259
  2.0383  1.9998  1.9575  1.9133  1.8704  1.8334  1.8052  1.7861  1.7776  1.7838
  1.7971  1.7995  1.7857  1.7601  1.7277  1.6276  1.5121  1.3899  1.2656  1.1409
  1.0167  0.8939  0.7732  0.6546  0.5381  0.4238  0.3114  0.2009  0.0921 -0.0145
 -0.1166
  2.0443  2.0132  1.9768  1.9365  1.8939  1.8518  1.8137  1.7822  1.7574  1.7394
  1.7302  1.7324  1.7371  1.7316  1.7128  1.6228  1.5078  1.3854  1.2614  1.1378
  1.0153  0.8940  0.7747  0.6576  0.5428  0.4300  0.3193  0.2106  0.1038 -0.0013
 -0.1048
  2.0382  2.0150  1.9858  1.9516  1.9133  1.8722  1.8307  1.7918  1.7577  1.7288
