 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F098M
  0.1481  0.1468  0.1449  0.1418  0.1366  0.1127  0.0791  0.0415 -0.0028 -0.0585
 -0.1246 -0.1952 -0.2650 -0.3322 -0.3963 -0.4577 -0.5168 -0.5736 -0.6288 -0.6831
 -0.7372
  0.4227  0.3720  0.3251  0.2863  0.2526  0.2273  0.2079  0.1942  0.1848  0.1786
  0.1735  0.1685  0.1636  0.1585  0.1527  0.1308  0.0970  0.0553  0.0077 -0.0477
 -0.1128 -0.1843 -0.2571 -0.3286 -0.3972 -0.4627 -0.5256 -0.5858 -0.6438 -0.7002
 -0.7555
  0.5222  0.4721  0.4220  0.3766  0.3363  0.3018  0.2733  0.2503  0.2317  0.2171
  0.2056  0.1957  0.1866  0.1779  0.1694  0.1450  0.1117  0.0692  0.0194
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value = F098M
 -0.6213 -0.6025 -0.5117 -0.4116 -0.3116 -0.2277 -0.1708 -0.1234 -0.0783 -0.0366
 -0.0016  0.0275  0.0522  0.0736  0.0922  0.1252  0.1374  0.1246  0.0852
 -0.4335 -0.4625 -0.4763 -0.4101 -0.3266 -0.2467 -0.1826 -0.1336 -0.0888 -0.0490
 -0.0162  0.0108  0.0334  0.0528  0.0695  0.0985  0.1077  0.0938  0.0563  0.0054
 -0.3540 -0.3120 -0.3126 -0.3460 -0.3189 -0.2559 -0.1926 -0.1405 -0.0968 -0.0583
 -0.0268 -0.0013  0.0199  0.0377  0.0529  0.0786  0.0851  0.0703  0.0342 -0.0157
 -0.0701
 -0.3030 -0.2541 -0.2110 -0.1924 -0.2123 -0.2267 -0.1928 -0.1449 -0.1016 -0.0642
 -0.0337 -0.0092  0.0108  0.0275  0.0414  0.0643  0.0686  0.0528  0.0176 -0.0317
 -0.0865 -0.1417
 -0.2495 -0.2136 -0.1691 -0.1287 -0.1036 -0.1007 -0.1206 -0.1252 -0.0996 -0.0663
 -0.0368 -0.0133  0.0057  0.0213  0.0342  0.0548  0.0572  0.0404  0.0054 -0.0436
 -0.0991 -0.1553 -0.2107 -0.2644
 -0.1854 -0.1683 -0.1353 -0.0965 -0.0617 -0.0362 -0.0236 -0.0268 -0.0425 -0.0467
 -0.0317 -0.0127  0.0045  0.0189  0.0307  0.0492  0.0501  0.0323 -0.0028 -0.0517
 -0.1083 -0.1664 -0.2233 -0.2790 -0.3328 -0.3862 -0.4408 -0.4981 -0.5580 -0.6179
 -0.1084 -0.1104 -0.0952 -0.0676 -0.0358 -0.0073  0.0148  0.0298  0.0356  0.0296
  0.0176  0.0117  0.0140  0.0218  0.0311  0.0471  0.0466  0.0280 -0.0073 -0.0562
 -0.1140 -0.1743 -0.2335 -0.2912 -0.3473 -0.4013 -0.4548 -0.5097 -0.5673 -0.6281
 -0.6898
 -0.0198 -0.0380 -0.0411 -0.0300 -0.0090  0.0155  0.0379  0.0560  0.0689  0.0762
  0.0765  0.0701  0.0594  0.0499  0.0449  0.0485  0.0464  0.0270 -0.0082 -0.0570
 -0.1157 -0.1785 -0.2407 -0.3011 -0.3595 -0.4162 -0.4706 -0.5245 -0.5797 -0.6379
 -0.7000
  0.0775  0.0470  0.0282  0.0225  0.0285  0.0426  0.0598  0.0762  0.0894  0.0991
  0.1049  0.1066  0.1035  0.0952  0.0843  0.0612  0.0497  0.0292 -0.0063 -0.0548
 -0.1140 -0.1791 -0.2448 -0.3087 -0.3702 -0.4296 -0.4873 -0.5443 -0.6007 -0.6566
 -0.7119
  0.1804  0.1402  0.1102  0.0900  0.0807  0.0808  0.0879  0.0983  0.1085  0.1170
  0.1230  0.1263  0.1269  0.1242  0.1178  0.0906  0.0618  0.0352 -0.0007 -0.0486
 -0.1072 -0.1735 -0.2424 -0.3103 -0.3756 -0.4384 -0.4991 -0.5576 -0.6146 -0.6706
 -0.7268
  0.2865  0.2411  0.2018  0.1704  0.1479  0.1344  0.1286  0.1289  0.1325  0.1370
  0.1407  0.1427  0.1430  0.1415  0.1377  0.1168  0.0837  0.0473  0.0077 -0.0400
 -0.0976 -0.1638 -0.2348 -0.3063 -0.3758 -0.4426 -0.5069 -0.5687 -0.6284 -0.6865
 -0.7435
  0.3956  0.3454  0.2997  0.2603  0.2280  0.2028  0.1847  0.1732  0.1668  0.1641
  0.1630  0.1617  0.1597  0.1567  0.1526  0.1348  0.1041  0.0643  0.0196
 [Fe/H] = -0.75 [alpha/Fe] =-0.40 BC value = F098M
 -0.6705 -0.5994 -0.4881 -0.3841 -0.2855 -0.2029 -0.1476 -0.1054 -0.0665 -0.0263
  0.0070  0.0343  0.0566  0.0753  0.0911  0.1198  0.1311  0.1228  0.0912
 -0.4996 -0.5408 -0.4881 -0.3933 -0.3040 -0.2222 -0.1619 -0.1166 -0.0766 -0.0382
 -0.0067  0.0187  0.0392  0.0561  0.0705  0.0953  0.1037  0.0936  0.0621  0.0143
 -0.3843 -0.3597 -0.3966 -0.3831 -0.3112 -0.2384 -0.1738 -0.1249 -0.0847 -0.0474
 -0.0170  0.0073  0.0267  0.0424  0.0554  0.0774  0.0834  0.0715  0.0404 -0.0063
 -0.0601
 -0.3372 -0.2797 -0.2433 -0.2550 -0.2774 -0.2391 -0.1828 -0.1312 -0.0901 -0.0539
 -0.0241 -0.0005  0.0181  0.0329  0.0450  0.0646  0.0686  0.0552  0.0240 -0.0219
 -0.0758 -0.1312
 -0.2930 -0.2437 -0.1902 -0.1512 -0.1400 -0.1603 -0.1656 -0.1327 -0.0929 -0.0579
 -0.0282 -0.0051  0.0129  0.0271  0.0383  0.0559  0.0583  0.0436  0.0120 -0.0335
 -0.0878 -0.1442 -0.2000 -0.2543
 -0.2386 -0.2075 -0.1624 -0.1154 -0.0788 -0.0582 -0.0584 -0.0749 -0.0773 -0.0562
 -0.0292 -0.0067  0.0108  0.0243  0.0347  0.0505  0.0515  0.0358  0.0038 -0.0417
 -0.0964 -0.1543 -0.2117 -0.2679 -0.3231 -0.3780 -0.4335 -0.4907 -0.5502 -0.6115
 -0.1700 -0.1591 -0.1311 -0.0926 -0.0533 -0.0213  0.0006  0.0108  0.0070 -0.0059
 -0.0108 -0.0008  0.0126  0.0245  0.0341  0.0480  0.0478  0.0312 -0.0011 -0.0466
 -0.1018 -0.1613 -0.2210 -0.2792 -0.3359 -0.3917 -0.4468 -0.5025 -0.5602 -0.6215
 -0.6832
 -0.0876 -0.0951 -0.0863 -0.0636 -0.0327 -0.0012  0.0256  0.0451  0.0570  0.0609
  0.0553  0.0452  0.0379  0.0359  0.0386  0.0485  0.0468  0.0297 -0.0028 -0.0482
 -0.1036 -0.1649 -0.2272 -0.2881 -0.3473 -0.4048 -0.4604 -0.5155 -0.5720 -0.6310
 -0.6935
  0.0055 -0.0162 -0.0249 -0.0198 -0.0035  0.0194  0.0435  0.0644  0.0802  0.0907
  0.0956  0.0948  0.0886  0.0785  0.0681  0.0540  0.0488  0.0308 -0.0019 -0.0472
 -0.1028 -0.1654 -0.2306 -0.2949 -0.3572 -0.4175 -0.4761 -0.5333 -0.5897 -0.6469
 -0.7051
  0.1059  0.0739  0.0513  0.0402  0.0404  0.0497  0.0647  0.0815  0.0965  0.1081
  0.1158  0.1195  0.1195  0.1154  0.1071  0.0786  0.0557  0.0352  0.0024 -0.0423
 -0.0974 -0.1605 -0.2281 -0.2960 -0.3619 -0.4256 -0.4872 -0.5467 -0.6048 -0.6620
 -0.7193
  0.2113  0.1719  0.1391  0.1151  0.1007  0.0955  0.0978  0.1054  0.1150  0.1243
  0.1314  0.1357  0.1372  0.1359  0.1318  0.1086  0.0762  0.0442  0.0095 -0.0349
 -0.0892 -0.1521 -0.2210 -0.2919 -0.3617 -0.4292 -0.4944 -0.5572 -0.6179 -0.6771
 -0.7350
  0.3204  0.2756  0.2354  0.2016  0.1755  0.1574  0.1467  0.1424  0.1426  0.1456
  0.1492  0.1516  0.1522  0.1509  0.1477  0.1301  0.0993  0.0612  0.0201
 [Fe/H] = -0.50 [alpha/Fe] =-0.40 BC value = F098M
 -0.6850 -0.5738 -0.4563 -0.3541 -0.2637 -0.1837 -0.1290 -0.0871 -0.0518 -0.0140
  0.0179  0.0439  0.0646  0.0811  0.0947  0.1185  0.1276  0.1198  0.0966
 -0.5829 -0.5702 -0.4724 -0.3680 -0.2794 -0.2016 -0.1435 -0.0999 -0.0616 -0.0252
  0.0050  0.0293  0.0483  0.0634  0.0757  0.0961  0.1026  0.0938  0.0676  0.0242
 -0.4141 -0.4364 -0.4519 -0.3777 -0.2905 -0.2162 -0.1549 -0.1086 -0.0700 -0.0342
 -0.0049  0.0185  0.0366  0.0507  0.0619  0.0799  0.0842  0.0735  0.0464  0.0038
 -0.0484
 -0.3601 -0.3026 -0.2962 -0.3293 -0.2926 -0.2251 -0.1645 -0.1150 -0.0758 -0.0411
 -0.0121  0.0107  0.0284  0.0418  0.0522  0.0682  0.0709  0.0586  0.0306 -0.0116
 -0.0637 -0.1190
 -0.3255 -0.2635 -0.2074 -0.1822 -0.2007 -0.2091 -0.1680 -0.1201 -0.0795 -0.0461
 -0.0170  0.0056  0.0230  0.0360  0.0458  0.0600  0.0613  0.0478  0.0190 -0.0232
 -0.0752 -0.1312 -0.1874 -0.2425
 -0.2826 -0.2363 -0.1798 -0.1288 -0.0970 -0.0922 -0.1099 -0.1092 -0.0803 -0.0481
 -0.0198  0.0029  0.0201  0.0328  0.0421  0.0548  0.0548  0.0404  0.0109 -0.0314
 -0.0835 -0.1405 -0.1981 -0.2548 -0.3102 -0.3656 -0.4225 -0.4818 -0.5433 -0.6040
 -0.2250 -0.1991 -0.1573 -0.1086 -0.0643 -0.0329 -0.0173 -0.0192 -0.0324 -0.0343
 -0.0181  0.0029  0.0196  0.0320  0.0409  0.0521  0.0509  0.0358  0.0060 -0.0366
 -0.0887 -0.1468 -0.2064 -0.2651 -0.3226 -0.3792 -0.4352 -0.4921 -0.5515 -0.6136
 -0.6756
 -0.1513 -0.1457 -0.1233 -0.0883 -0.0483 -0.0113  0.0168  0.0345  0.0415  0.0377
  0.0271  0.0218  0.0267  0.0349  0.0423  0.0519  0.0495  0.0338  0.0038 -0.0386
 -0.0909 -0.1500 -0.2117 -0.2731 -0.3329 -0.3913 -0.4489 -0.5057 -0.5630 -0.6225
 -0.6856
 -0.0644 -0.0756 -0.0717 -0.0545 -0.0274  0.0039  0.0334  0.0569  0.0729  0.0818
  0.0836  0.0781  0.0697  0.0616  0.0562  0.0547  0.0506  0.0342  0.0040 -0.0384
 -0.0908 -0.1507 -0.2146 -0.2790 -0.3419 -0.4030 -0.4627 -0.5211 -0.5788 -0.6368
 -0.6968
  0.0319  0.0090 -0.0035 -0.0037  0.0071  0.0260  0.0487  0.0710  0.0892  0.1022
  0.1100  0.1126  0.1106  0.1045  0.0949  0.0694  0.0548  0.0375  0.0073 -0.0346
 -0.0866 -0.1467 -0.2122 -0.2796 -0.3460 -0.4103 -0.4729 -0.5336 -0.5929 -0.6514
 -0.7101
  0.1340  0.1028  0.0787  0.0638  0.0590  0.0631  0.0739  0.0885  0.1036  0.1165
  0.1258  0.1310  0.1325  0.1307  0.1257  0.1000  0.0697  0.0439  0.0132 -0.0284
 -0.0798 -0.1396 -0.2059 -0.2755 -0.3453 -0.4134 -0.4794 -0.5431 -0.6051 -0.6655
 -0.7244
  0.2407  0.2039  0.1710  0.1451  0.1271  0.1172  0.1147  0.1179  0.1247  0.1329
  0.1404  0.1454  0.1476  0.1471  0.1441  0.1253  0.0939  0.0583  0.0220
 [Fe/H] = -0.25 [alpha/Fe] =-0.40 BC value = F098M
 -0.6601 -0.5346 -0.4182 -0.3213 -0.2363 -0.1620 -0.1105 -0.0680 -0.0336  0.0001
  0.0305  0.0558  0.0754  0.0905  0.1023  0.1216  0.1277  0.1208  0.1001
 -0.5658 -0.5599 -0.4439 -0.3385 -0.2511 -0.1777 -0.1236 -0.0811 -0.0447 -0.0105
  0.0186  0.0421  0.0603  0.0740  0.0846  0.1009  0.1047  0.0958  0.0728  0.0344
 -0.4648 -0.5111 -0.4558 -0.3563 -0.2658 -0.1905 -0.1339 -0.0897 -0.0535 -0.0192
  0.0090  0.0317  0.0491  0.0621  0.0718  0.0860  0.0881  0.0773  0.0527  0.0142
 -0.0354
 -0.3748 -0.3377 -0.3753 -0.3563 -0.2783 -0.2036 -0.1429 -0.0965 -0.0596 -0.0263
  0.0016  0.0239  0.0409  0.0534  0.0626  0.0751  0.0759  0.0637  0.0378 -0.0010
 -0.0503 -0.1049
 -0.3459 -0.2757 -0.2295 -0.2399 -0.2579 -0.2101 -0.1514 -0.1020 -0.0639 -0.0321
 -0.0038  0.0182  0.0351  0.0474  0.0562  0.0672  0.0668  0.0537  0.0269 -0.0123
 -0.0615 -0.1165 -0.1729 -0.2284
