 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F140M
  0.6156  0.5786  0.5446  0.5131  0.4830  0.4105  0.3367  0.2525  0.1574  0.0566
 -0.0461 -0.1490 -0.2515 -0.3529 -0.4526 -0.5500 -0.6451 -0.7379 -0.8288 -0.9183
 -1.0068
  0.9551  0.9366  0.9159  0.8901  0.8598  0.8259  0.7896  0.7517  0.7125  0.6728
  0.6330  0.5938  0.5561  0.5203  0.4864  0.4055  0.3264  0.2435  0.1522
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value = F140M
  0.6282  0.6259  0.6444  0.6552  0.6669  0.6754  0.6751  0.6717  0.6672  0.6630
  0.6563  0.6479  0.6364  0.6205  0.6003  0.5363  0.4563  0.3589  0.2463
  0.6976  0.6409  0.6211  0.6407  0.6512  0.6570  0.6580  0.6537  0.6484  0.6432
  0.6355  0.6259  0.6132  0.5963  0.5756  0.5113  0.4324  0.3381  0.2304  0.1164
  0.7286  0.6981  0.6626  0.6272  0.6389  0.6485  0.6492  0.6441  0.6365  0.6298
  0.6211  0.6104  0.5970  0.5796  0.5584  0.4932  0.4141  0.3215  0.2173  0.1069
 -0.0056
  0.7613  0.7245  0.6981  0.6753  0.6453  0.6359  0.6436  0.6409  0.6310  0.6213
  0.6115  0.5999  0.5859  0.5683  0.5469  0.4807  0.4008  0.3088  0.2068  0.0989
 -0.0109 -0.1210
  0.8035  0.7560  0.7213  0.6959  0.6758  0.6556  0.6352  0.6323  0.6290  0.6172
  0.6059  0.5931  0.5785  0.5609  0.5394  0.4725  0.3914  0.2993  0.1985  0.0923
 -0.0158 -0.1237 -0.2311 -0.3382
  0.8539  0.7965  0.7519  0.7176  0.6912  0.6695  0.6495  0.6300  0.6153  0.6095
  0.6011  0.5889  0.5739  0.5562  0.5348  0.4673  0.3852  0.2925  0.1922  0.0871
 -0.0199 -0.1265 -0.2321 -0.3369 -0.4411 -0.5450 -0.6488 -0.7526 -0.8557 -0.9548
  0.9089  0.8449  0.7909  0.7474  0.7121  0.6827  0.6577  0.6352  0.6141  0.5952
  0.5837  0.5777  0.5682  0.5527  0.5321  0.4645  0.3814  0.2880  0.1878  0.0833
 -0.0231 -0.1292 -0.2337 -0.3369 -0.4390 -0.5403 -0.6411 -0.7417 -0.8423 -0.9423
 -1.0390
  0.9624  0.8972  0.8371  0.7851  0.7415  0.7046  0.6725  0.6441  0.6180  0.5941
  0.5730  0.5579  0.5483  0.5392  0.5254  0.4631  0.3794  0.2853  0.1850  0.0809
 -0.0250 -0.1310 -0.2353 -0.3377 -0.4384 -0.5380 -0.6365 -0.7343 -0.8317 -0.9291
 -1.0267
  1.0091  0.9467  0.8855  0.8287  0.7781  0.7340  0.6951  0.6603  0.6286  0.5997
  0.5733  0.5508  0.5327  0.5178  0.5047  0.4571  0.3775  0.2828  0.1821  0.0783
 -0.0272 -0.1331 -0.2377 -0.3402 -0.4406 -0.5391 -0.6363 -0.7326 -0.8281 -0.9227
 -1.0164
  1.0438  0.9876  0.9307  0.8738  0.8198  0.7702  0.7254  0.6847  0.6473  0.6130
  0.5815  0.5532  0.5287  0.5073  0.4876  0.4399  0.3729  0.2820  0.1817  0.0782
 -0.0267 -0.1321 -0.2367 -0.3396 -0.4402 -0.5384 -0.6347 -0.7293 -0.8224 -0.9146
 -1.0063
  1.0625  1.0164  0.9658  0.9132  0.8604  0.8091  0.7606  0.7153  0.6731  0.6337
  0.5971  0.5633  0.5330  0.5060  0.4812  0.4224  0.3597  0.2783  0.1812  0.0785
 -0.0258 -0.1305 -0.2348 -0.3378 -0.4388 -0.5374 -0.6336 -0.7276 -0.8197 -0.9104
 -0.9998
  1.0644  1.0282  0.9862  0.9406  0.8926  0.8437  0.7953  0.7483  0.7031  0.6600
  0.6192  0.5806  0.5448  0.5122  0.4823  0.4130  0.3453  0.2693  0.1788
 [Fe/H] = -0.75 [alpha/Fe] =-0.40 BC value = F140M
  0.6265  0.6445  0.6595  0.6656  0.6731  0.6806  0.6798  0.6743  0.6671  0.6617
  0.6525  0.6415  0.6284  0.6119  0.5915  0.5273  0.4494  0.3575  0.2495
  0.6658  0.6170  0.6375  0.6532  0.6581  0.6623  0.6615  0.6561  0.6489  0.6427
  0.6328  0.6209  0.6068  0.5894  0.5685  0.5038  0.4267  0.3371  0.2336  0.1210
  0.7096  0.6770  0.6291  0.6346  0.6501  0.6529  0.6517  0.6457  0.6371  0.6299
  0.6193  0.6066  0.5917  0.5739  0.5527  0.4874  0.4100  0.3213  0.2208  0.1119
 -0.0004
  0.7366  0.7071  0.6838  0.6519  0.6341  0.6466  0.6481  0.6419  0.6314  0.6214
  0.6104  0.5968  0.5814  0.5634  0.5421  0.4763  0.3982  0.3095  0.2107  0.1045
 -0.0051 -0.1156
  0.7741  0.7330  0.7054  0.6848  0.6650  0.6418  0.6392  0.6406  0.6311  0.6171
