 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  r   
 -2.3263 -2.2677 -2.4638 -2.3923 -2.2069 -1.9671 -1.7099 -1.5368 -1.3855 -1.2319
 -1.0896 -0.9597 -0.8419 -0.7341 -0.6353 -0.4302 -0.2493 -0.0944 -0.0264
 -2.3360 -2.1277 -1.9584 -1.8454 -1.7840 -1.6923 -1.5420 -1.3794 -1.2319 -1.0950
 -0.9669 -0.8485 -0.7401 -0.6411 -0.5504 -0.3570 -0.2091 -0.1051 -0.0364  0.0091
 -2.1519 -1.9490 -1.7642 -1.6064 -1.4811 -1.4013 -1.3416 -1.2464 -1.1232 -0.9953
 -0.8783 -0.7708 -0.6722 -0.5821 -0.4999 -0.3265 -0.1968 -0.1065 -0.0464 -0.0056
  0.0227
 -2.0047 -1.8222 -1.6447 -1.4818 -1.3394 -1.2198 -1.1264 -1.0622 -0.9991 -0.9129
 -0.8121 -0.7136 -0.6239 -0.5416 -0.4661 -0.3069 -0.1892 -0.1095 -0.0565 -0.0200
  0.0062  0.0248
 -1.8753 -1.7169 -1.5559 -1.3999 -1.2564 -1.1301 -1.0221 -0.9314 -0.8627 -0.8038
 -0.7401 -0.6643 -0.5850 -0.5099 -0.4409 -0.2932 -0.1836 -0.1112 -0.0646 -0.0330
 -0.0098  0.0073  0.0194  0.0269
 -1.7602 -1.6197 -1.4792 -1.3361 -1.1984 -1.0719 -0.9608 -0.8654 -0.7848 -0.7170
 -0.6585 -0.6028 -0.5425 -0.4791 -0.4170 -0.2814 -0.1777 -0.1097 -0.0683 -0.0427
 -0.0238 -0.0094  0.0010  0.0081  0.0126  0.0134  0.0093 -0.0007 -0.0173 -0.0409
 -1.6605 -1.5312 -1.4063 -1.2786 -1.1508 -1.0288 -0.9173 -0.8196 -0.7371 -0.6670
 -0.6053 -0.5490 -0.4960 -0.4436 -0.3906 -0.2677 -0.1703 -0.1035 -0.0662 -0.0465
 -0.0335 -0.0236 -0.0163 -0.0112 -0.0080 -0.0051 -0.0049 -0.0106 -0.0245 -0.0472
 -0.0751
 -1.5778 -1.4541 -1.3369 -1.2212 -1.1058 -0.9918 -0.8834 -0.7847 -0.6996 -0.6281
 -0.5670 -0.5121 -0.4602 -0.4108 -0.3630 -0.2520 -0.1609 -0.0958 -0.0592 -0.0433
 -0.0366 -0.0328 -0.0301 -0.0285 -0.0281 -0.0284 -0.0284 -0.0308 -0.0389 -0.0551
 -0.0811
 -1.5134 -1.3908 -1.2754 -1.1621 -1.0576 -0.9535 -0.8517 -0.7552 -0.6682 -0.5938
 -0.5315 -0.4781 -0.4294 -0.3827 -0.3375 -0.2341 -0.1492 -0.0868 -0.0490 -0.0342
 -0.0321 -0.0347 -0.0383 -0.0420 -0.0456 -0.0491 -0.0530 -0.0576 -0.0652 -0.0761
 -0.0899
 -1.4687 -1.3441 -1.2269 -1.1165 -1.0123 -0.9138 -0.8200 -0.7289 -0.6433 -0.5663
 -0.5006 -0.4459 -0.3989 -0.3550 -0.3133 -0.2181 -0.1375 -0.0775 -0.0392 -0.0228
 -0.0218 -0.0289 -0.0387 -0.0487 -0.0579 -0.0662 -0.0739 -0.0811 -0.0886 -0.0974
 -0.1072
 -1.4395 -1.3096 -1.1890 -1.0769 -0.9726 -0.8754 -0.7849 -0.6999 -0.6185 -0.5424
 -0.4743 -0.4162 -0.3678 -0.3264 -0.2888 -0.2016 -0.1256 -0.0678 -0.0303 -0.0117
