 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = F210M
 -2.6597 -2.5650 -2.4862 -2.4284 -2.3926 -2.3760 -2.3741 -2.3821 -2.3965 -2.4162
 -2.4418 -2.4736 -2.5091 -2.5453 -2.5815 -2.6868 -2.8220 -2.9724 -3.1216 -3.2656
 -3.4055 -3.5426 -3.6756 -3.8039 -3.9272 -4.0462 -4.1613 -4.2731 -4.3820 -4.4881
 -4.5915
 -2.8036 -2.7053 -2.6211 -2.5547 -2.5031 -2.4708 -2.4555 -2.4536 -2.4611 -2.4746
 -2.4933 -2.5177 -2.5483 -2.5838 -2.6223 -2.7256 -2.8465 -2.9844 -3.1288 -3.2704
 -3.4079 -3.5426 -3.6746 -3.8029 -3.9266 -4.0455 -4.1602 -4.2711 -4.3786 -4.4832
 -4.5871
 -2.9364 -2.8476 -2.7650 -2.6935 -2.6303 -2.5843 -2.5547 -2.5399 -2.5374 -2.5438
 -2.5560 -2.5732 -2.5955 -2.6236 -2.6574 -2.7583 -2.8729 -3.0008 -3.1377 -3.2761
 -3.4113 -3.5435 -3.6735 -3.8010 -3.9249 -4.0444 -4.1594 -4.2702 -4.3772 -4.4810
 -4.5818
 -3.0590 -2.9917 -2.9180 -2.8430 -2.7732 -2.7150 -2.6720 -2.6439 -2.6292 -2.6255
 -2.6302 -2.6409 -2.6560 -2.6756 -2.7006 -2.7876 -2.8975 -3.0186 -3.1483
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value = F210M
 -1.6879 -1.6896 -1.7319 -1.7844 -1.8323 -1.8794 -1.9305 -1.9839 -2.0389 -2.0961
 -2.1546 -2.2139 -2.2741 -2.3356 -2.3985 -2.5626 -2.7320 -2.9009 -3.0652
 -1.8112 -1.7741 -1.7571 -1.7953 -1.8467 -1.8971 -1.9469 -1.9997 -2.0544 -2.1116
 -2.1702 -2.2297 -2.2902 -2.3519 -2.4150 -2.5781 -2.7452 -2.9110 -3.0725 -3.2287
 -1.8794 -1.8840 -1.8680 -1.8347 -1.8563 -1.9061 -1.9586 -2.0110 -2.0653 -2.1222
 -2.1808 -2.2407 -2.3015 -2.3636 -2.4269 -2.5899 -2.7557 -2.9196 -3.0791 -3.2332
 -3.3821
 -1.9378 -1.9404 -1.9533 -1.9573 -1.9349 -1.9257 -1.9655 -2.0191 -2.0739 -2.1301
 -2.1884 -2.2483 -2.3094 -2.3718 -2.4353 -2.5985 -2.7638 -2.9266 -3.0847 -3.2373
 -3.3844 -3.5267
 -2.0053 -1.9925 -2.0014 -2.0200 -2.0369 -2.0403 -2.0255 -2.0352 -2.0813 -2.1369
 -2.1947 -2.2543 -2.3153 -2.3777 -2.4414 -2.6048 -2.7700 -2.9320 -3.0892 -3.2408
 -3.3868 -3.5275 -3.6634 -3.7954
 -2.0870 -2.0556 -2.0501 -2.0631 -2.0863 -2.1113 -2.1307 -2.1382 -2.1363 -2.1561
 -2.2033 -2.2605 -2.3207 -2.3827 -2.4463 -2.6097 -2.7746 -2.9362 -3.0926 -3.2435
 -3.3888 -3.5286 -3.6632 -3.7935 -3.9201 -4.0433 -4.1634 -4.2806 -4.3947 -4.5040
 -2.1852 -2.1348 -2.1112 -2.1106 -2.1259 -2.1502 -2.1789 -2.2086 -2.2340 -2.2482
 -2.2592 -2.2868 -2.3325 -2.3896 -2.4515 -2.6139 -2.7785 -2.9396 -3.0953 -3.2454
 -3.3902 -3.5295 -3.6635 -3.7927 -3.9177 -4.0391 -4.1573 -4.2726 -4.3851 -4.4948
 -4.6005
 -2.2982 -2.2318 -2.1895 -2.1717 -2.1741 -2.1905 -2.2158 -2.2464 -2.2804 -2.3143
 -2.3437 -2.3672 -2.3904 -2.4234 -2.4687 -2.6188 -2.7821 -2.9426 -3.0976 -3.2468
 -3.3908 -3.5299 -3.6637 -3.7924 -3.9165 -4.0366 -4.1533 -4.2668 -4.3776 -4.4858
 -4.5916
 -2.4216 -2.3435 -2.2857 -2.2505 -2.2369 -2.2410 -2.2579 -2.2832 -2.3145 -2.3501
 -2.3879 -2.4256 -2.4605 -2.4916 -2.5237 -2.6365 -2.7888 -2.9479 -3.1021 -3.2504
 -3.3935 -3.5320 -3.6659 -3.7948 -3.9188 -4.0383 -4.1542 -4.2668 -4.3763 -4.4828
 -4.5866
 -2.5489 -2.4651 -2.3981 -2.3477 -2.3178 -2.3069 -2.3116 -2.3278 -2.3524 -2.3829
 -2.4184 -2.4577 -2.4990 -2.5400 -2.5787 -2.6761 -2.8023 -2.9521 -3.1043 -3.2515
 -3.3933 -3.5307 -3.6641 -3.7932 -3.9174 -4.0369 -4.1523 -4.2639 -4.3721 -4.4774
 -4.5800
 -2.6697 -2.5932 -2.5206 -2.4605 -2.4167 -2.3907 -2.3814 -2.3860 -2.4013 -2.4243
 -2.4533 -2.4877 -2.5267 -2.5690 -2.6125 -2.7181 -2.8303 -2.9626 -3.1080 -3.2531
 -3.3937 -3.5296 -3.6618 -3.7905 -3.9151 -4.0352 -4.1509 -4.2623 -4.3700 -4.4745
 -4.5760
 -2.7802 -2.7149 -2.6460 -2.5824 -2.5303 -2.4920 -2.4687 -2.4605 -2.4647 -2.4784
 -2.4996 -2.5267 -2.5591 -2.5964 -2.6378 -2.7486 -2.8603 -2.9815 -3.1155
 [Fe/H] = -0.75 [alpha/Fe] =-0.40 BC value = F210M
 -1.6510 -1.6837 -1.7392 -1.7962 -1.8464 -1.8922 -1.9424 -1.9961 -2.0517 -2.1086
 -2.1670 -2.2261 -2.2856 -2.3459 -2.4072 -2.5655 -2.7303 -2.8973 -3.0616
 -1.7587 -1.7211 -1.7499 -1.8035 -1.8590 -1.9090 -1.9590 -2.0117 -2.0668 -2.1236
