 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =F1280W
 -1.6538 -1.7782 -1.8956 -1.9952 -2.0750 -2.1410 -2.1997 -2.2559 -2.3176 -2.3925
 -2.4630 -2.5308 -2.6028 -2.6705 -2.7425 -2.9275 -3.1119 -3.2913 -3.4599
 -1.6400 -1.7596 -1.8760 -1.9861 -2.0888 -2.1833 -2.2689 -2.3455 -2.4151 -2.4786
 -2.5357 -2.5883 -2.6442 -2.7097 -2.7815 -2.9662 -3.1478 -3.3254 -3.4948 -3.6557
 -1.6308 -1.7467 -1.8607 -1.9736 -2.0851 -2.1925 -2.2929 -2.3842 -2.4648 -2.5320
 -2.5892 -2.6370 -2.6826 -2.7415 -2.8112 -2.9951 -3.1753 -3.3513 -3.5209 -3.6825
 -3.8359
 -1.6262 -1.7395 -1.8497 -1.9577 -2.0639 -2.1686 -2.2717 -2.3720 -2.4667 -2.5527
 -2.6235 -2.6769 -2.7180 -2.7659 -2.8316 -3.0142 -3.1944 -3.3690 -3.5381 -3.6999
 -3.8537 -4.0000
 -1.6257 -1.7369 -1.8446 -1.9490 -2.0506 -2.1501 -2.2477 -2.3432 -2.4371 -2.5290
 -2.6168 -2.6927 -2.7453 -2.7882 -2.8476 -3.0269 -3.2072 -3.3811 -3.5496 -3.7114
 -3.8653 -4.0118 -4.1514 -4.2849
 -1.6290 -1.7379 -1.8435 -1.9454 -2.0441 -2.1399 -2.2334 -2.3246 -2.4138 -2.5010
 -2.5871 -2.6721 -2.7453 -2.7961 -2.8561 -3.0354 -3.2156 -3.3891 -3.5572 -3.7188
 -3.8730 -4.0197 -4.1594 -4.2931 -4.4211 -4.5442 -4.6636 -4.7794 -4.8919 -5.0023
 -1.6390 -1.7433 -1.8458 -1.9453 -2.0417 -2.1351 -2.2258 -2.3141 -2.4005 -2.4847
 -2.5670 -2.6482 -2.7288 -2.7897 -2.8476 -3.0384 -3.2203 -3.3940 -3.5616 -3.7234
 -3.8779 -4.0249 -4.1651 -4.2989 -4.4269 -4.5497 -4.6682 -4.7831 -4.8946 -5.0033
 -5.1102
 -1.6601 -1.7571 -1.8538 -1.9492 -2.0427 -2.1338 -2.2224 -2.3086 -2.3928 -2.4753
 -2.5558 -2.6346 -2.7123 -2.7834 -2.8374 -3.0291 -3.2195 -3.3957 -3.5636 -3.7256
 -3.8806 -4.0282 -4.1688 -4.3030 -4.4313 -4.5542 -4.6723 -4.7864 -4.8970 -5.0046
 -5.1096
 -1.6961 -1.7845 -1.8734 -1.9620 -2.0504 -2.1378 -2.2238 -2.3080 -2.3905 -2.4714
 -2.5506 -2.6284 -2.7048 -2.7778 -2.8351 -3.0195 -3.2128 -3.3946 -3.5653 -3.7283
 -3.8841 -4.0326 -4.1738 -4.3087 -4.4375 -4.5607 -4.6790 -4.7928 -4.9029 -5.0097
 -5.1138
 -1.7412 -1.8230 -1.9041 -1.9846 -2.0655 -2.1471 -2.2286 -2.3098 -2.3900 -2.4690
 -2.5467 -2.6233 -2.6987 -2.7717 -2.8370 -3.0108 -3.2006 -3.3852 -3.5595 -3.7251
 -3.8823 -4.0317 -4.1738 -4.3093 -4.4388 -4.5626 -4.6813 -4.7953 -4.9052 -5.0115
 -5.1169
 -1.7935 -1.8717 -1.9469 -2.0205 -2.0938 -2.1676 -2.2426 -2.3186 -2.3951 -2.4713
 -2.5468 -2.6215 -2.6953 -2.7677 -2.8368 -3.0071 -3.1907 -3.3740 -3.5503 -3.7186
 -3.8785 -4.0294 -4.1725 -4.3089 -4.4391 -4.5636 -4.6831 -4.7976 -4.9077 -5.0140
 -5.1169
 -1.8531 -1.9306 -1.9987 -2.0685 -2.1353 -2.2018 -2.2693 -2.3382 -2.4088 -2.4806
 -2.5527 -2.6248 -2.6964 -2.7673 -2.8345 -3.0084 -3.1831 -3.3610 -3.5377
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value =F1280W
 -1.6367 -1.7372 -1.8299 -1.9151 -1.9929 -2.0679 -2.1449 -2.2266 -2.3093 -2.3869
 -2.4582 -2.5258 -2.5945 -2.6669 -2.7496 -2.9337 -3.1110 -3.2879 -3.4581
 -1.6647 -1.7759 -1.8791 -1.9748 -2.0633 -2.1458 -2.2250 -2.3054 -2.3851 -2.4596
 -2.5263 -2.5866 -2.6472 -2.7148 -2.7875 -2.9726 -3.1507 -3.3246 -3.4934 -3.6540
 -1.6569 -1.7720 -1.8834 -1.9952 -2.0962 -2.1894 -2.2748 -2.3558 -2.4348 -2.5089
 -2.5751 -2.6319 -2.6847 -2.7460 -2.8163 -3.0011 -3.1801 -3.3523 -3.5198 -3.6804
 -3.8335
 -1.6386 -1.7530 -1.8668 -1.9795 -2.0893 -2.1941 -2.2924 -2.3832 -2.4664 -2.5428
 -2.6117 -2.6700 -2.7179 -2.7700 -2.8360 -3.0192 -3.1992 -3.3710 -3.5373 -3.6977
 -3.8511 -3.9975
 -1.6323 -1.7441 -1.8535 -1.9621 -2.0692 -2.1739 -2.2755 -2.3732 -2.4665 -2.5540
 -2.6313 -2.6974 -2.7500 -2.7937 -2.8517 -3.0309 -3.2114 -3.3835 -3.5489 -3.7089
 -3.8624 -4.0090 -4.1488 -4.2826
 -1.6317 -1.7415 -1.8480 -1.9522 -2.0546 -2.1553 -2.2537 -2.3494 -2.4422 -2.5325
 -2.6199 -2.7001 -2.7655 -2.8164 -2.8672 -3.0386 -3.2191 -3.3916 -3.5566 -3.7161
 -3.8698 -4.0166 -4.1566 -4.2905 -4.4188 -4.5424 -4.6623 -4.7786 -4.8912 -5.0010
 -1.6327 -1.7423 -1.8474 -1.9494 -2.0487 -2.1459 -2.2411 -2.3337 -2.4236 -2.5104
 -2.5946 -2.6775 -2.7554 -2.8177 -2.8725 -3.0445 -3.2237 -3.3966 -3.5615 -3.7207
 -3.8744 -4.0216 -4.1620 -4.2961 -4.4244 -4.5476 -4.6666 -4.7820 -4.8938 -5.0022
 -5.1088
 -1.6375 -1.7447 -1.8487 -1.9494 -2.0469 -2.1417 -2.2341 -2.3241 -2.4118 -2.4967
 -2.5785 -2.6578 -2.7358 -2.8059 -2.8627 -3.0447 -3.2262 -3.3992 -3.5643 -3.7233
 -3.8771 -4.0247 -4.1656 -4.3000 -4.4286 -4.5517 -4.6703 -4.7848 -4.8959 -5.0037
 -5.1084
 -1.6494 -1.7521 -1.8535 -1.9524 -2.0485 -2.1417 -2.2322 -2.3201 -2.4058 -2.4893
 -2.5701 -2.6483 -2.7241 -2.7964 -2.8556 -3.0349 -3.2270 -3.4023 -3.5680 -3.7270
 -3.8809 -4.0291 -4.1706 -4.3056 -4.4346 -4.5581 -4.6767 -4.7909 -4.9014 -5.0086
 -5.1128
 -1.6705 -1.7658 -1.8618 -1.9569 -2.0504 -2.1416 -2.2304 -2.3166 -2.4007 -2.4827
 -2.5626 -2.6404 -2.7157 -2.7882 -2.8531 -3.0222 -3.2158 -3.3986 -3.5665 -3.7259
 -3.8799 -4.0284 -4.1705 -4.3062 -4.4358 -4.5598 -4.6787 -4.7930 -4.9032 -5.0100
 -5.1158
 -1.7026 -1.7911 -1.8797 -1.9688 -2.0576 -2.1453 -2.2315 -2.3157 -2.3982 -2.4788
 -2.5575 -2.6345 -2.7095 -2.7820 -2.8503 -3.0152 -3.2030 -3.3892 -3.5619 -3.7231
 -3.8775 -4.0265 -4.1692 -4.3057 -4.4360 -4.5606 -4.6802 -4.7950 -4.9054 -5.0121
 -5.1154
 -1.7459 -1.8274 -1.9093 -1.9915 -2.0737 -2.1560 -2.2380 -2.3191 -2.3992 -2.4779
 -2.5551 -2.6308 -2.7049 -2.7772 -2.8472 -3.0139 -3.1886 -3.3741 -3.5542
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value =F1280W
 -1.6174 -1.7136 -1.8014 -1.8803 -1.9505 -2.0203 -2.0984 -2.1878 -2.2774 -2.3630
 -2.4431 -2.5191 -2.5939 -2.6693 -2.7450 -2.9306 -3.1074 -3.2785 -3.4484
 -1.6633 -1.7676 -1.8635 -1.9505 -2.0292 -2.1021 -2.1757 -2.2595 -2.3445 -2.4262
 -2.5024 -2.5733 -2.6431 -2.7154 -2.7901 -2.9764 -3.1542 -3.3247 -3.4910 -3.6513
 -1.6788 -1.7909 -1.8945 -1.9894 -2.0754 -2.1530 -2.2262 -2.3060 -2.3885 -2.4689
 -2.5440 -2.6125 -2.6774 -2.7453 -2.8180 -3.0043 -3.1836 -3.3544 -3.5189 -3.6781
 -3.8308
 -1.6638 -1.7800 -1.8951 -2.0017 -2.0988 -2.1857 -2.2631 -2.3401 -2.4206 -2.5003
 -2.5757 -2.6442 -2.7058 -2.7680 -2.8368 -3.0215 -3.2019 -3.3733 -3.5372 -3.6954
 -3.8480 -3.9942
 -1.6417 -1.7571 -1.8714 -1.9826 -2.0890 -2.1891 -2.2809 -2.3629 -2.4433 -2.5232
 -2.6000 -2.6706 -2.7323 -2.7891 -2.8520 -3.0323 -3.2133 -3.3854 -3.5492 -3.7067
 -3.8589 -4.0053 -4.1453 -4.2795
 -1.6345 -1.7454 -1.8537 -1.9604 -2.0656 -2.1680 -2.2660 -2.3588 -2.4469 -2.5312
 -2.6119 -2.6872 -2.7544 -2.8115 -2.8674 -3.0395 -3.2202 -3.3929 -3.5570 -3.7141
 -3.8661 -4.0126 -4.1528 -4.2870 -4.4158 -4.5399 -4.6603 -4.7772 -4.8906 -5.0001
 -1.6352 -1.7437 -1.8484 -1.9510 -2.0522 -2.1522 -2.2496 -2.3433 -2.4326 -2.5188
 -2.6029 -2.6840 -2.7591 -2.8255 -2.8832 -3.0453 -3.2244 -3.3975 -3.5620 -3.7192
 -3.8708 -4.0174 -4.1578 -4.2923 -4.4209 -4.5446 -4.6641 -4.7801 -4.8928 -5.0015
 -5.1072
 -1.6382 -1.7463 -1.8495 -1.9495 -2.0474 -2.1440 -2.2391 -2.3317 -2.4212 -2.5068
 -2.5887 -2.6684 -2.7457 -2.8179 -2.8836 -3.0512 -3.2270 -3.4002 -3.5651 -3.7225
 -3.8748 -4.0204 -4.1612 -4.2959 -4.4247 -4.5483 -4.6674 -4.7828 -4.8946 -5.0027
 -5.1071
 -1.6406 -1.7507 -1.8536 -1.9528 -2.0490 -2.1432 -2.2357 -2.3262 -2.4145 -2.4998
 -2.5815 -2.6595 -2.7344 -2.8060 -2.8725 -3.0502 -3.2313 -3.4041 -3.5695 -3.7272
 -3.8785 -4.0250 -4.1660 -4.3012 -4.4305 -4.5543 -4.6734 -4.7882 -4.8994 -5.0073
 -5.1116
 -1.6450 -1.7530 -1.8551 -1.9539 -2.0496 -2.1426 -2.2334 -2.3219 -2.4085 -2.4928
 -2.5742 -2.6524 -2.7270 -2.7980 -2.8643 -3.0362 -3.2276 -3.4038 -3.5696 -3.7274
 -3.8787 -4.0249 -4.1660 -4.3017 -4.4314 -4.5557 -4.6751 -4.7899 -4.9007 -5.0080
 -5.1143
 -1.6552 -1.7576 -1.8575 -1.9550 -2.0501 -2.1426 -2.2324 -2.3197 -2.4048 -2.4878
 -2.5684 -2.6466 -2.7217 -2.7933 -2.8609 -3.0253 -3.2146 -3.4001 -3.5686 -3.7269
 -3.8781 -4.0240 -4.1651 -4.3011 -4.4315 -4.5564 -4.6763 -4.7915 -4.9024 -5.0095
 -5.1133
 -1.6745 -1.7702 -1.8652 -1.9594 -2.0522 -2.1433 -2.2322 -2.3186 -2.4026 -2.4844
 -2.5640 -2.6416 -2.7167 -2.7891 -2.8623 -3.0175 -3.1923 -3.3930 -3.5665
 [Fe/H] = -1.00 [alpha/Fe] = 0.40 BC value =F1280W
 -1.5924 -1.6841 -1.7674 -1.8431 -1.9121 -1.9816 -2.0593 -2.1484 -2.2411 -2.3336
 -2.4232 -2.5089 -2.5910 -2.6704 -2.7474 -2.9320 -3.1072 -3.2760 -3.4406
 -1.6498 -1.7502 -1.8418 -1.9242 -1.9986 -2.0671 -2.1352 -2.2161 -2.3015 -2.3878
 -2.4728 -2.5551 -2.6349 -2.7132 -2.7904 -2.9776 -3.1549 -3.3245 -3.4881 -3.6469
 -1.6795 -1.7861 -1.8843 -1.9732 -2.0522 -2.1219 -2.1860 -2.2614 -2.3425 -2.4252
 -2.5071 -2.5869 -2.6642 -2.7405 -2.8167 -3.0049 -3.1841 -3.3547 -3.5181 -3.6753
 -3.8272
 -1.6874 -1.8006 -1.9055 -2.0013 -2.0871 -2.1621 -2.2262 -2.2957 -2.3733 -2.4534
 -2.5332 -2.6112 -2.6864 -2.7600 -2.8342 -3.0215 -3.2019 -3.3734 -3.5370 -3.6936
 -3.8447 -3.9904
 -1.6658 -1.7872 -1.9022 -2.0087 -2.1051 -2.1891 -2.2599 -2.3251 -2.3990 -2.4766
 -2.5548 -2.6315 -2.7052 -2.7764 -2.8476 -3.0317 -3.2128 -3.3850 -3.5490 -3.7055
 -3.8561 -4.0015 -4.1413 -4.2756
 -1.6421 -1.7585 -1.8730 -1.9848 -2.0918 -2.1913 -2.2778 -2.3485 -2.4203 -2.4962
 -2.5733 -2.6494 -2.7226 -2.7922 -2.8602 -3.0386 -3.2194 -3.3922 -3.5566 -3.7134
 -3.8636 -4.0087 -4.1484 -4.2826 -4.4117 -4.5364 -4.6573 -4.7750 -4.8893 -4.9997
 -1.6338 -1.7449 -1.8534 -1.9603 -2.0656 -2.1677 -2.2633 -2.3481 -2.4256 -2.5043
 -2.5834 -2.6615 -2.7365 -2.8065 -2.8738 -3.0441 -3.2234 -3.3968 -3.5616 -3.7187
 -3.8689 -4.0135 -4.1530 -4.2873 -4.4162 -4.5405 -4.6607 -4.7773 -4.8908 -5.0008
 -5.1068
 -1.6359 -1.7440 -1.8482 -1.9500 -2.0504 -2.1496 -2.2457 -2.3356 -2.4184 -2.4977
