 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = G_RP 
 -1.2978 -1.2890 -1.4721 -1.4785 -1.4030 -1.2734 -1.1124 -1.0100 -0.9183 -0.8217
 -0.7290 -0.6415 -0.5608 -0.4885 -0.4262 -0.2992 -0.2410 -0.2372 -0.2357
 -1.3011 -1.2279 -1.1681 -1.1375 -1.1375 -1.1126 -1.0402 -0.9502 -0.8626 -0.7776
 -0.6953 -0.6176 -0.5464 -0.4829 -0.4276 -0.3246 -0.2682 -0.2484 -0.2501 -0.2637
 -1.1806 -1.1137 -1.0460 -0.9856 -0.9392 -0.9202 -0.9141 -0.8809 -0.8191 -0.7450
 -0.6720 -0.6019 -0.5370 -0.4791 -0.4286 -0.3348 -0.2832 -0.2663 -0.2698 -0.2838
 -0.3041
 -1.0698 -1.0196 -0.9604 -0.8993 -0.8428 -0.7945 -0.7603 -0.7459 -0.7316 -0.6977
 -0.6456 -0.5866 -0.5290 -0.4763 -0.4302 -0.3438 -0.2956 -0.2806 -0.2860 -0.3008
 -0.3209 -0.3450
 -0.9561 -0.9265 -0.8834 -0.8317 -0.7780 -0.7274 -0.6826 -0.6452 -0.6208 -0.6034
 -0.5837 -0.5527 -0.5128 -0.4695 -0.4285 -0.3492 -0.3039 -0.2909 -0.2981 -0.3147
 -0.3356 -0.3596 -0.3865 -0.4166
 -0.8388 -0.8260 -0.8019 -0.7655 -0.7216 -0.6753 -0.6314 -0.5916 -0.5567 -0.5277
 -0.5059 -0.4880 -0.4677 -0.4431 -0.4157 -0.3494 -0.3071 -0.2952 -0.3044 -0.3245
 -0.3476 -0.3728 -0.4000 -0.4294 -0.4610 -0.4953 -0.5330 -0.5743 -0.6197 -0.6692
 -0.7208 -0.7201 -0.7115 -0.6913 -0.6616 -0.6253 -0.5865 -0.5490 -0.5151 -0.4844
 -0.4573 -0.4345 -0.4160 -0.3996 -0.3828 -0.3399 -0.3046 -0.2922 -0.3039 -0.3283
 -0.3556 -0.3835 -0.4123 -0.4423 -0.4735 -0.5051 -0.5388 -0.5766 -0.6201 -0.6694
 -0.7211
 -0.6050 -0.6126 -0.6141 -0.6071 -0.5917 -0.5687 -0.5398 -0.5081 -0.4772 -0.4490
 -0.4235 -0.4004 -0.3800 -0.3629 -0.3483 -0.3182 -0.2950 -0.2852 -0.2972 -0.3248
 -0.3574 -0.3899 -0.4218 -0.4537 -0.4861 -0.5190 -0.5519 -0.5866 -0.6253 -0.6696
 -0.7206
 -0.4945 -0.5073 -0.5148 -0.5153 -0.5116 -0.5011 -0.4844 -0.4625 -0.4378 -0.4132
 -0.3906 -0.3704 -0.3521 -0.3357 -0.3213 -0.2944 -0.2789 -0.2746 -0.2862 -0.3153
