 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  R   
 -2.8546 -2.8142 -3.0032 -2.9646 -2.8250 -2.6260 -2.4043 -2.2576 -2.1294 -1.9962
 -1.8691 -1.7513 -1.6434 -1.5453 -1.4582 -1.2769 -1.1441 -1.0412 -0.9930
 -2.8560 -2.7054 -2.5807 -2.4997 -2.4615 -2.3946 -2.2727 -2.1364 -2.0107 -1.8919
 -1.7785 -1.6724 -1.5750 -1.4869 -1.4076 -1.2444 -1.1275 -1.0517 -1.0062 -0.9799
 -2.6973 -2.5521 -2.4145 -2.2939 -2.1977 -2.1400 -2.0997 -2.0271 -1.9260 -1.8169
 -1.7143 -1.6180 -1.5294 -1.4490 -1.3767 -1.2293 -1.1254 -1.0592 -1.0198 -0.9964
 -0.9836
 -2.5640 -2.4375 -2.3077 -2.1837 -2.0728 -1.9787 -1.9063 -1.8599 -1.8143 -1.7467
 -1.6624 -1.5764 -1.4962 -1.4229 -1.3565 -1.2205 -1.1253 -1.0666 -1.0322 -1.0118
 -1.0002 -0.9949
 -2.4396 -2.3360 -2.2229 -2.1071 -1.9966 -1.8971 -1.8112 -1.7390 -1.6857 -1.6412
 -1.5927 -1.5320 -1.4655 -1.4004 -1.3401 -1.2141 -1.1249 -1.0714 -1.0418 -1.0252
 -1.0156 -1.0112 -1.0112 -1.0154
 -2.3217 -2.2359 -2.1434 -2.0420 -1.9392 -1.8412 -1.7532 -1.6768 -1.6116 -1.5568
 -1.5107 -1.4677 -1.4211 -1.3707 -1.3201 -1.2067 -1.1223 -1.0720 -1.0464 -1.0350
 -1.0290 -1.0267 -1.0277 -1.0317 -1.0384 -1.0485 -1.0632 -1.0831 -1.1088 -1.1405
 -2.2127 -2.1387 -2.0624 -1.9772 -1.8866 -1.7955 -1.7091 -1.6317 -1.5654 -1.5083
 -1.4580 -1.4129 -1.3716 -1.3314 -1.2906 -1.1942 -1.1165 -1.0667 -1.0448 -1.0387
 -1.0381 -1.0396 -1.0432 -1.0486 -1.0559 -1.0634 -1.0735 -1.0890 -1.1121 -1.1433
 -1.1785
 -2.1148 -2.0476 -1.9805 -1.9085 -1.8314 -1.7510 -1.6706 -1.5945 -1.5273 -1.4700
 -1.4207 -1.3763 -1.3348 -1.2963 -1.2597 -1.1758 -1.1067 -1.0590 -1.0376 -1.0352
 -1.0406 -1.0478 -1.0555 -1.0639 -1.0732 -1.0832 -1.0930 -1.1050 -1.1223 -1.1471
 -1.1809
 -2.0304 -1.9662 -1.9026 -1.8359 -1.7704 -1.7012 -1.6300 -1.5592 -1.4930 -1.4348
 -1.3854 -1.3430 -1.3045 -1.2680 -1.2331 -1.1553 -1.0930 -1.0491 -1.0268 -1.0257
 -1.0357 -1.0491 -1.0626 -1.0758 -1.0886 -1.1012 -1.1141 -1.1276 -1.1440 -1.1635
 -1.1858
 -1.9617 -1.8980 -1.8347 -1.7719 -1.7096 -1.6477 -1.5859 -1.5230 -1.4613 -1.4036
 -1.3532 -1.3108 -1.2744 -1.2406 -1.2087 -1.1373 -1.0789 -1.0379 -1.0156 -1.0131
 -1.0245 -1.0424 -1.0620 -1.0811 -1.0990 -1.1157 -1.1318 -1.1474 -1.1633 -1.1804
 -1.1986
 -1.9069 -1.8398 -1.7751 -1.7126 -1.6522 -1.5937 -1.5371 -1.4818 -1.4266 -1.3729
 -1.3230 -1.2796 -1.2432 -1.2122 -1.1842 -1.1200 -1.0652 -1.0264 -1.0051 -1.0006
 -1.0110 -1.0302 -1.0539 -1.0787 -1.1025 -1.1248 -1.1455 -1.1649 -1.1833 -1.2017
 -1.2208
 -1.8515 -1.7680 -1.6983 -1.6387 -1.5854 -1.5355 -1.4864 -1.4367 -1.3871 -1.3389
 -1.2928 -1.2501 -1.2128 -1.1818 -1.1557 -1.1006 -1.0518 -1.0149 -0.9943
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value =  R   
 -3.1860 -3.1435 -3.0585 -2.8744 -2.6595 -2.4538 -2.2823 -2.1431 -2.0190 -1.9022
 -1.7910 -1.6863 -1.5888 -1.4987 -1.4167 -1.2471 -1.1224 -1.0323 -0.9816
 -2.9430 -2.8015 -2.7271 -2.6868 -2.5608 -2.3809 -2.2076 -2.0646 -1.9437 -1.8328
 -1.7281 -1.6299 -1.5389 -1.4558 -1.3807 -1.2268 -1.1149 -1.0395 -0.9934 -0.9670
 -2.8063 -2.6456 -2.5055 -2.4004 -2.3505 -2.2871 -2.1561 -2.0125 -1.8900 -1.7843
 -1.6857 -1.5936 -1.5084 -1.4306 -1.3605 -1.2177 -1.1147 -1.0463 -1.0054 -0.9820
 -0.9695
 -2.7038 -2.5520 -2.4044 -2.2669 -2.1531 -2.0759 -2.0298 -1.9587 -1.8510 -1.7475
 -1.6539 -1.5674 -1.4874 -1.4144 -1.3485 -1.2141 -1.1171 -1.0530 -1.0159 -0.9956
 -0.9845 -0.9799
 -2.6140 -2.4786 -2.3394 -2.2042 -2.0796 -1.9686 -1.8790 -1.8150 -1.7689 -1.7055
 -1.6260 -1.5449 -1.4697 -1.4012 -1.3390 -1.2118 -1.1193 -1.0582 -1.0240 -1.0068
 -0.9982 -0.9948 -0.9956 -1.0015
 -2.5336 -2.4110 -2.2855 -2.1580 -2.0349 -1.9208 -1.8181 -1.7292 -1.6586 -1.6089
 -1.5654 -1.5119 -1.4496 -1.3865 -1.3283 -1.2080 -1.1195 -1.0605 -1.0283 -1.0147
 -1.0096 -1.0086 -1.0108 -1.0159 -1.0229 -1.0333 -1.0488 -1.0706 -1.0991 -1.1322
 -2.4522 -2.3435 -2.2324 -2.1168 -2.0007 -1.8893 -1.7860 -1.6930 -1.6116 -1.5438
 -1.4898 -1.4472 -1.4057 -1.3599 -1.3115 -1.2011 -1.1167 -1.0592 -1.0282 -1.0176
 -1.0171 -1.0200 -1.0249 -1.0316 -1.0401 -1.0497 -1.0622 -1.0793 -1.1027 -1.1332
 -1.1704
 -2.3767 -2.2748 -2.1778 -2.0741 -1.9682 -1.8628 -1.7623 -1.6694 -1.5861 -1.5131
 -1.4513 -1.3997 -1.3563 -1.3180 -1.2803 -1.1877 -1.1100 -1.0544 -1.0237 -1.0148
 -1.0188 -1.0269 -1.0359 -1.0457 -1.0562 -1.0659 -1.0768 -1.0912 -1.1111 -1.1380
 -1.1728
 -2.3129 -2.2118 -2.1206 -2.0275 -1.9314 -1.8344 -1.7395 -1.6489 -1.5656 -1.4913
 -1.4269 -1.3723 -1.3252 -1.2839 -1.2472 -1.1661 -1.0975 -1.0459 -1.0155 -1.0069
 -1.0140 -1.0275 -1.0421 -1.0565 -1.0706 -1.0846 -1.0990 -1.1154 -1.1341 -1.1547
 -1.1771
 -2.2688 -2.1618 -2.0686 -1.9808 -1.8938 -1.8051 -1.7167 -1.6308 -1.5496 -1.4748
