 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  I   
 -1.1627 -1.1572 -1.3435 -1.3561 -1.2835 -1.1642 -1.0144 -0.9171 -0.8298 -0.7366
 -0.6470 -0.5617 -0.4834 -0.4130 -0.3530 -0.2297 -0.1893 -0.2134 -0.2131
 -1.1636 -1.0983 -1.0470 -1.0239 -1.0300 -1.0118 -0.9469 -0.8634 -0.7806 -0.6995
 -0.6205 -0.5459 -0.4775 -0.4168 -0.3647 -0.2711 -0.2250 -0.2153 -0.2263 -0.2486
 -1.0414 -0.9829 -0.9253 -0.8751 -0.8377 -0.8254 -0.8248 -0.7977 -0.7416 -0.6723
 -0.6030 -0.5360 -0.4739 -0.4188 -0.3714 -0.2860 -0.2433 -0.2352 -0.2471 -0.2689
 -0.2970
 -0.9291 -0.8862 -0.8370 -0.7873 -0.7416 -0.7022 -0.6746 -0.6653 -0.6560 -0.6273
 -0.5798 -0.5247 -0.4700 -0.4201 -0.3769 -0.2983 -0.2581 -0.2510 -0.2639 -0.2859
 -0.3132 -0.3446
 -0.8160 -0.7908 -0.7562 -0.7154 -0.6735 -0.6335 -0.5971 -0.5660 -0.5463 -0.5331
 -0.5179 -0.4916 -0.4558 -0.4158 -0.3777 -0.3061 -0.2682 -0.2622 -0.2763 -0.2997
 -0.3272 -0.3580 -0.3920 -0.4296
 -0.7014 -0.6904 -0.6716 -0.6442 -0.6116 -0.5771 -0.5434 -0.5116 -0.4823 -0.4575
 -0.4395 -0.4257 -0.4097 -0.3894 -0.3660 -0.3076 -0.2726 -0.2674 -0.2829 -0.3093
 -0.3386 -0.3700 -0.4038 -0.4401 -0.4793 -0.5216 -0.5674 -0.6167 -0.6695 -0.7259
 -0.5875 -0.5867 -0.5804 -0.5663 -0.5459 -0.5209 -0.4936 -0.4661 -0.4396 -0.4140
 -0.3907 -0.3715 -0.3568 -0.3444 -0.3318 -0.2986 -0.2706 -0.2648 -0.2827 -0.3129
 -0.3460 -0.3797 -0.4144 -0.4507 -0.4887 -0.5278 -0.5694 -0.6151 -0.6660 -0.7222
 -0.7804
 -0.4767 -0.4829 -0.4849 -0.4812 -0.4719 -0.4581 -0.4403 -0.4200 -0.3988 -0.3774
 -0.3565 -0.3372 -0.3204 -0.3070 -0.2962 -0.2759 -0.2609 -0.2580 -0.2760 -0.3094
 -0.3474 -0.3852 -0.4226 -0.4602 -0.4985 -0.5378 -0.5779 -0.6202 -0.6663 -0.7177
 -0.7750
 -0.3712 -0.3820 -0.3891 -0.3922 -0.3913 -0.3866 -0.3787 -0.3677 -0.3541 -0.3387
 -0.3228 -0.3072 -0.2926 -0.2797 -0.2688 -0.2512 -0.2441 -0.2469 -0.2649 -0.2998
 -0.3422 -0.3853 -0.4270 -0.4677 -0.5078 -0.5478 -0.5885 -0.6302 -0.6745 -0.7215
 -0.7709
 -0.2735 -0.2869 -0.2970 -0.3041 -0.3085 -0.3104 -0.3100 -0.3073 -0.3025 -0.2950
 -0.2856 -0.2752 -0.2649 -0.2552 -0.2464 -0.2307 -0.2261 -0.2326 -0.2516 -0.2856
 -0.3298 -0.3773 -0.4242 -0.4693 -0.5128 -0.5551 -0.5969 -0.6386 -0.6809 -0.7247
 -0.7711
 -0.1856 -0.1989 -0.2101 -0.2194 -0.2269 -0.2329 -0.2374 -0.2407 -0.2430 -0.2434
 -0.2417 -0.2381 -0.2333 -0.2281 -0.2230 -0.2130 -0.2099 -0.2183 -0.2386 -0.2710
 -0.3145 -0.3636 -0.4145 -0.4645 -0.5125 -0.5585 -0.6030 -0.6463 -0.6891 -0.7321
 -0.7762
 -0.1086 -0.1131 -0.1211 -0.1312 -0.1423 -0.1534 -0.1635 -0.1722 -0.1794 -0.1854
 -0.1903 -0.1940 -0.1960 -0.1964 -0.1959 -0.1947 -0.1955 -0.2046 -0.2256
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value =  I   
 -1.4413 -1.4506 -1.4244 -1.3211 -1.1933 -1.0699 -0.9651 -0.8766 -0.7947 -0.7161
 -0.6408 -0.5689 -0.5012 -0.4381 -0.3809 -0.2641 -0.2019 -0.1905 -0.1964
 -1.2672 -1.2039 -1.1871 -1.1947 -1.1374 -1.0365 -0.9346 -0.8471 -0.7693 -0.6958
 -0.6258 -0.5591 -0.4962 -0.4382 -0.3858 -0.2852 -0.2279 -0.2093 -0.2170 -0.2384
 -1.1595 -1.0849 -1.0205 -0.9796 -0.9792 -0.9687 -0.9048 -0.8232 -0.7486 -0.6803
 -0.6154 -0.5535 -0.4951 -0.4412 -0.3927 -0.3001 -0.2470 -0.2288 -0.2364 -0.2574
 -0.2855
 -1.0663 -1.0019 -0.9347 -0.8710 -0.8224 -0.7993 -0.7986 -0.7786 -0.7249 -0.6638
 -0.6046 -0.5475 -0.4934 -0.4432 -0.3981 -0.3120 -0.2624 -0.2444 -0.2516 -0.2727
 -0.3003 -0.3322
 -0.9733 -0.9246 -0.8675 -0.8082 -0.7533 -0.7050 -0.6692 -0.6509 -0.6456 -0.6250
 -0.5851 -0.5371 -0.4883 -0.4420 -0.4000 -0.3197 -0.2732 -0.2557 -0.2628 -0.2846
 -0.3127 -0.3443 -0.3792 -0.4183
 -0.8794 -0.8430 -0.8003 -0.7509 -0.6998 -0.6518 -0.6079 -0.5697 -0.5419 -0.5283
 -0.5188 -0.5006 -0.4710 -0.4344 -0.3970 -0.3226 -0.2790 -0.2623 -0.2694 -0.2926
 -0.3225 -0.3550 -0.3898 -0.4271 -0.4667 -0.5093 -0.5558 -0.6068 -0.6621 -0.7194
 -0.7789 -0.7553 -0.7260 -0.6899 -0.6483 -0.6054 -0.5645 -0.5262 -0.4912 -0.4617
 -0.4401 -0.4269 -0.4156 -0.4003 -0.3796 -0.3201 -0.2799 -0.2639 -0.2710 -0.2958
 -0.3285 -0.3633 -0.3992 -0.4366 -0.4759 -0.5169 -0.5605 -0.6075 -0.6586 -0.7143
 -0.7741
 -0.6797 -0.6630 -0.6450 -0.6202 -0.5909 -0.5571 -0.5220 -0.4879 -0.4557 -0.4252
 -0.3978 -0.3748 -0.3580 -0.3462 -0.3360 -0.3063 -0.2754 -0.2610 -0.2678 -0.2934
 -0.3294 -0.3678 -0.4063 -0.4451 -0.4846 -0.5244 -0.5656 -0.6097 -0.6578 -0.7106
 -0.7687
 -0.5857 -0.5719 -0.5596 -0.5436 -0.5237 -0.5007 -0.4747 -0.4468 -0.4195 -0.3930
 -0.3676 -0.3440 -0.3232 -0.3066 -0.2946 -0.2762 -0.2623 -0.2536 -0.2607 -0.2862
 -0.3247 -0.3674 -0.4100 -0.4517 -0.4929 -0.5342 -0.5763 -0.6204 -0.6666 -0.7145
 -0.7641
 -0.5007 -0.4877 -0.4771 -0.4643 -0.4514 -0.4361 -0.4193 -0.4001 -0.3795 -0.3584
 -0.3377 -0.3177 -0.2988 -0.2817 -0.2676 -0.2476 -0.2409 -0.2410 -0.2503 -0.2749
 -0.3137 -0.3596 -0.4068 -0.4527 -0.4972 -0.5406 -0.5837 -0.6268 -0.6706 -0.7157
 -0.7635
 -0.4291 -0.4115 -0.3992 -0.3874 -0.3782 -0.3673 -0.3563 -0.3447 -0.3321 -0.3178
 -0.3028 -0.2880 -0.2734 -0.2594 -0.2468 -0.2256 -0.2196 -0.2244 -0.2377 -0.2621
 -0.2997 -0.3466 -0.3971 -0.4476 -0.4964 -0.5434 -0.5891 -0.6337 -0.6779 -0.7223
 -0.7676
 -0.3712 -0.3434 -0.3261 -0.3139 -0.3050 -0.2978 -0.2908 -0.2835 -0.2767 -0.2695
 -0.2611 -0.2522 -0.2430 -0.2337 -0.2248 -0.2076 -0.2017 -0.2077 -0.2237
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value =  I   
 -1.6228 -1.5641 -1.4177 -1.2630 -1.1171 -0.9960 -0.9086 -0.8333 -0.7615 -0.6928
 -0.6281 -0.5665 -0.5079 -0.4524 -0.4003 -0.2905 -0.2161 -0.1814 -0.1817
 -1.3677 -1.3696 -1.3548 -1.2416 -1.1087 -0.9872 -0.8907 -0.8143 -0.7440 -0.6785
 -0.6173 -0.5592 -0.5041 -0.4520 -0.4033 -0.3021 -0.2353 -0.2044 -0.2044 -0.2234
 -1.2552 -1.1729 -1.1430 -1.1527 -1.0883 -0.9810 -0.8797 -0.7984 -0.7298 -0.6670
 -0.6090 -0.5543 -0.5024 -0.4534 -0.4077 -0.3131 -0.2516 -0.2230 -0.2223 -0.2406
 -0.2686
 -1.1818 -1.0916 -1.0107 -0.9589 -0.9528 -0.9402 -0.8695 -0.7866 -0.7163 -0.6555
 -0.6005 -0.5489 -0.5001 -0.4540 -0.4110 -0.3219 -0.2644 -0.2375 -0.2364 -0.2540
 -0.2816 -0.3144
 -1.1108 -1.0328 -0.9507 -0.8752 -0.8164 -0.7841 -0.7798 -0.7579 -0.7019 -0.6425
 -0.5899 -0.5414 -0.4956 -0.4522 -0.4118 -0.3277 -0.2736 -0.2482 -0.2469 -0.2642
 -0.2920 -0.3247 -0.3607 -0.3998
 -1.0353 -0.9720 -0.9015 -0.8287 -0.7604 -0.7027 -0.6604 -0.6378 -0.6311 -0.6117
 -0.5730 -0.5301 -0.4878 -0.4474 -0.4095 -0.3302 -0.2792 -0.2552 -0.2541 -0.2713
 -0.2998 -0.3334 -0.3694 -0.4081 -0.4493 -0.4936 -0.5420 -0.5950 -0.6519 -0.7089
 -0.9553 -0.9044 -0.8474 -0.7856 -0.7222 -0.6628 -0.6105 -0.5670 -0.5350 -0.5177
 -0.5090 -0.4945 -0.4695 -0.4373 -0.4033 -0.3293 -0.2812 -0.2586 -0.2579 -0.2750
 -0.3045 -0.3397 -0.3769 -0.4158 -0.4567 -0.4993 -0.5446 -0.5935 -0.6471 -0.7049
 -0.7636
 -0.8754 -0.8311 -0.7851 -0.7354 -0.6825 -0.6285 -0.5774 -0.5314 -0.4916 -0.4587
 -0.4346 -0.4201 -0.4107 -0.3994 -0.3825 -0.3245 -0.2797 -0.2586 -0.2579 -0.2749
 -0.3053 -0.3427 -0.3821 -0.4224 -0.4636 -0.5062 -0.5499 -0.5959 -0.6454 -0.6993
 -0.7583
 -0.8004 -0.7569 -0.7165 -0.6760 -0.6337 -0.5894 -0.5444 -0.5012 -0.4619 -0.4269
 -0.3965 -0.3718 -0.3535 -0.3412 -0.3322 -0.3066 -0.2736 -0.2547 -0.2546 -0.2712
 -0.3020 -0.3417 -0.3844 -0.4274 -0.4703 -0.5135 -0.5577 -0.6039 -0.6520 -0.7018
 -0.7532
 -0.7350 -0.6895 -0.6489 -0.6124 -0.5775 -0.5423 -0.5062 -0.4694 -0.4339 -0.4010
 -0.3712 -0.3448 -0.3222 -0.3037 -0.2899 -0.2711 -0.2583 -0.2470 -0.2478 -0.2638
 -0.2938 -0.3347 -0.3807 -0.4273 -0.4732 -0.5184 -0.5635 -0.6087 -0.6546 -0.7018
 -0.7514
 -0.6836 -0.6311 -0.5877 -0.5503 -0.5174 -0.4877 -0.4591 -0.4303 -0.4013 -0.3728
 -0.3461 -0.3218 -0.2998 -0.2805 -0.2642 -0.2395 -0.2326 -0.2324 -0.2378 -0.2538
 -0.2827 -0.3234 -0.3714 -0.4218 -0.4716 -0.5201 -0.5675 -0.6140 -0.6602 -0.7067
 -0.7540
 -0.6485 -0.5864 -0.5372 -0.4958 -0.4610 -0.4314 -0.4058 -0.3828 -0.3607 -0.3385
 -0.3166 -0.2961 -0.2771 -0.2600 -0.2446 -0.2175 -0.2087 -0.2126 -0.2238
 [Fe/H] = -0.75 [alpha/Fe] =-0.40 BC value =  I   
 -1.6772 -1.5534 -1.3815 -1.2253 -1.0842 -0.9667 -0.8809 -0.8106 -0.7456 -0.6801
 -0.6193 -0.5617 -0.5071 -0.4555 -0.4068 -0.3007 -0.2238 -0.1820 -0.1751
 -1.4444 -1.4616 -1.3655 -1.2168 -1.0795 -0.9591 -0.8676 -0.7948 -0.7298 -0.6671
 -0.6092 -0.5548 -0.5032 -0.4544 -0.4083 -0.3096 -0.2400 -0.2032 -0.1975 -0.2140
 -1.2904 -1.2293 -1.2433 -1.1959 -1.0759 -0.9587 -0.8586 -0.7815 -0.7166 -0.6562
 -0.6012 -0.5496 -0.5009 -0.4548 -0.4113 -0.3183 -0.2538 -0.2202 -0.2148 -0.2302
 -0.2578
 -1.2236 -1.1230 -1.0499 -1.0342 -1.0308 -0.9526 -0.8553 -0.7708 -0.7043 -0.6455
 -0.5928 -0.5439 -0.4980 -0.4545 -0.4134 -0.3254 -0.2647 -0.2335 -0.2283 -0.2429
 -0.2699 -0.3030
 -1.1655 -1.0710 -0.9783 -0.9031 -0.8603 -0.8551 -0.8318 -0.7636 -0.6928 -0.6341
