 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = G_BP 
 -4.1529 -3.8155 -3.5721 -3.3023 -3.0043 -2.7591 -2.6178 -2.5324 -2.4358 -2.3056
 -2.1591 -2.0002 -1.8411 -1.6915 -1.5471 -1.2194 -0.9389 -0.7146 -0.5335
 -3.7686 -3.3746 -3.0813 -2.8411 -2.6448 -2.4879 -2.3614 -2.2533 -2.1523 -2.0502
 -1.9409 -1.8189 -1.6838 -1.5451 -1.4127 -1.1208 -0.8765 -0.6783 -0.5220 -0.4023
 -3.5097 -3.0931 -2.7743 -2.5413 -2.3816 -2.2600 -2.1475 -2.0420 -1.9457 -1.8563
 -1.7653 -1.6668 -1.5536 -1.4289 -1.3073 -1.0428 -0.8266 -0.6504 -0.5130 -0.4061
 -0.3202
 -3.3762 -2.9710 -2.6511 -2.4029 -2.2147 -2.0754 -1.9761 -1.8985 -1.8160 -1.7239
 -1.6323 -1.5439 -1.4505 -1.3429 -1.2309 -0.9854 -0.7892 -0.6309 -0.5064 -0.4089
 -0.3299 -0.2636
 -3.2815 -2.8999 -2.5926 -2.3469 -2.1515 -1.9974 -1.8765 -1.7804 -1.7025 -1.6305
 -1.5481 -1.4575 -1.3695 -1.2769 -1.1761 -0.9453 -0.7623 -0.6174 -0.5037 -0.4143
 -0.3417 -0.2804 -0.2269 -0.1791
 -3.1829 -2.8344 -2.5489 -2.3150 -2.1226 -1.9638 -1.8327 -1.7240 -1.6318 -1.5502
 -1.4739 -1.3953 -1.3119 -1.2277 -1.1359 -0.9180 -0.7438 -0.6076 -0.5020 -0.4199
 -0.3536 -0.2975 -0.2483 -0.2041 -0.1637 -0.1267 -0.0934 -0.0652 -0.0445 -0.0358
 -3.0677 -2.7563 -2.4980 -2.2824 -2.1000 -1.9442 -1.8101 -1.6943 -1.5940 -1.5049
 -1.4225 -1.3431 -1.2641 -1.1873 -1.1061 -0.9006 -0.7318 -0.6006 -0.4999 -0.4232
 -0.3629 -0.3124 -0.2683 -0.2284 -0.1916 -0.1573 -0.1260 -0.0975 -0.0748 -0.0612
 -0.0594
 -2.9426 -2.6657 -2.4344 -2.2392 -2.0712 -1.9237 -1.7924 -1.6749 -1.5699 -1.4761
 -1.3902 -1.3090 -1.2304 -1.1536 -1.0791 -0.8894 -0.7250 -0.5959 -0.4974 -0.4235
 -0.3677 -0.3228 -0.2843 -0.2497 -0.2176 -0.1873 -0.1588 -0.1325 -0.1094 -0.0918
 -0.0852
 -2.8122 -2.5670 -2.3593 -2.1829 -2.0299 -1.8933 -1.7689 -1.6544 -1.5492 -1.4530
 -1.3649 -1.2828 -1.2045 -1.1286 -1.0557 -0.8772 -0.7199 -0.5925 -0.4943 -0.4210
 -0.3673 -0.3269 -0.2940 -0.2654 -0.2390 -0.2137 -0.1895 -0.1665 -0.1452 -0.1271
 -0.1150
 -2.6916 -2.4750 -2.2851 -2.1224 -1.9816 -1.8556 -1.7397 -1.6309 -1.5287 -1.4332
 -1.3443 -1.2618 -1.1842 -1.1101 -1.0386 -0.8677 -0.7164 -0.5915 -0.4934 -0.4192
 -0.3651 -0.3264 -0.2977 -0.2746 -0.2543 -0.2351 -0.2165 -0.1983 -0.1808 -0.1646
 -0.1495
 -2.5848 -2.3904 -2.2159 -2.0623 -1.9284 -1.8103 -1.7021 -1.6002 -1.5031 -1.4107
 -1.3231 -1.2410 -1.1642 -1.0917 -1.0223 -0.8585 -0.7122 -0.5898 -0.4925 -0.4176
 -0.3623 -0.3232 -0.2961 -0.2769 -0.2621 -0.2491 -0.2368 -0.2245 -0.2121 -0.2000
 -0.1890
 -2.4917 -2.3132 -2.1530 -2.0067 -1.8770 -1.7621 -1.6584 -1.5623 -1.4708 -1.3830
 -1.2988 -1.2186 -1.1430 -1.0719 -1.0068 -0.8496 -0.7073 -0.5874 -0.4916
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value = G_BP 
 -5.0404 -4.5437 -4.1117 -3.7407 -3.4246 -3.1481 -2.8957 -2.6583 -2.4420 -2.2522
 -2.0799 -1.9164 -1.7591 -1.6114 -1.4652 -1.1707 -0.9218 -0.7122 -0.5446
 -4.6426 -4.1420 -3.7072 -3.3400 -3.0342 -2.7792 -2.5621 -2.3663 -2.1921 -2.0380
 -1.8962 -1.7577 -1.6178 -1.4812 -1.3541 -1.0815 -0.8590 -0.6740 -0.5243 -0.4061
 -4.2433 -3.7413 -3.3301 -3.0410 -2.7635 -2.5286 -2.3301 -2.1585 -2.0085 -1.8764
 -1.7560 -1.6389 -1.5172 -1.3912 -1.2708 -1.0145 -0.8112 -0.6452 -0.5104 -0.4030
 -0.3154
 -3.9504 -3.4463 -3.0498 -2.7470 -2.5134 -2.3255 -2.1638 -2.0148 -1.8779 -1.7556
 -1.6463 -1.5444 -1.4413 -1.3290 -1.2153 -0.9697 -0.7784 -0.6258 -0.5029 -0.4045
 -0.3246 -0.2577
 -3.8387 -3.3298 -2.9178 -2.5985 -2.3538 -2.1646 -2.0150 -1.8916 -1.7830 -1.6790
 -1.5727 -1.4730 -1.3792 -1.2828 -1.1782 -0.9410 -0.7569 -0.6132 -0.4993 -0.4086
 -0.3350 -0.2731 -0.2194 -0.1717
 -3.7914 -3.2839 -2.8703 -2.5398 -2.2781 -2.0718 -1.9095 -1.7814 -1.6791 -1.5961
 -1.5166 -1.4278 -1.3361 -1.2454 -1.1513 -0.9233 -0.7435 -0.6051 -0.4974 -0.4131
 -0.3455 -0.2888 -0.2395 -0.1954 -0.1554 -0.1190 -0.0864 -0.0588 -0.0382 -0.0292
 -3.7493 -3.2620 -2.8568 -2.5288 -2.2655 -2.0540 -1.8835 -1.7453 -1.6322 -1.5366
 -1.4531 -1.3768 -1.2988 -1.2172 -1.1306 -0.9127 -0.7353 -0.5996 -0.4957 -0.4160
 -0.3537 -0.3026 -0.2583 -0.2186 -0.1822 -0.1485 -0.1179 -0.0903 -0.0681 -0.0544
 -0.0527
 -3.6913 -3.2329 -2.8471 -2.5295 -2.2702 -2.0584 -1.8837 -1.7382 -1.6163 -1.5126
 -1.4211 -1.3378 -1.2596 -1.1847 -1.1093 -0.9062 -0.7307 -0.5960 -0.4937 -0.4165
 -0.3582 -0.3123 -0.2735 -0.2390 -0.2073 -0.1774 -0.1498 -0.1244 -0.1021 -0.0850
 -0.0784
 -3.6046 -3.1807 -2.8225 -2.5220 -2.2729 -2.0657 -1.8913 -1.7426 -1.6145 -1.5035
 -1.4058 -1.3175 -1.2352 -1.1573 -1.0838 -0.8979 -0.7274 -0.5924 -0.4905 -0.4141
