 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  r   
 -4.7762 -4.4191 -4.1516 -3.8562 -3.5368 -3.2772 -3.1261 -3.0402 -2.9563 -2.8506
 -2.7334 -2.6082 -2.4845 -2.3710 -2.2640 -2.0349 -1.8623 -1.7433 -1.6553
 -4.4006 -3.9876 -3.6779 -3.4252 -3.2209 -3.0610 -2.9369 -2.8371 -2.7502 -2.6680
 -2.5844 -2.4941 -2.3951 -2.2937 -2.1980 -1.9968 -1.8479 -1.7450 -1.6737 -1.6277
 -4.1523 -3.7181 -3.3877 -3.1495 -2.9897 -2.8727 -2.7702 -2.6790 -2.6003 -2.5318
 -2.4662 -2.3981 -2.3205 -2.2336 -2.1485 -1.9693 -1.8383 -1.7483 -1.6887 -1.6486
 -1.6210
 -4.0313 -3.6106 -3.2810 -3.0291 -2.8432 -2.7123 -2.6260 -2.5659 -2.5066 -2.4420
 -2.3788 -2.3202 -2.2607 -2.1907 -2.1155 -1.9524 -1.8335 -1.7532 -1.7003 -1.6641
 -1.6386 -1.6205
 -3.9494 -3.5547 -3.2402 -2.9925 -2.7996 -2.6532 -2.5460 -2.4691 -2.4140 -2.3688
 -2.3183 -2.2622 -2.2091 -2.1533 -2.0900 -1.9413 -1.8305 -1.7568 -1.7102 -1.6784
 -1.6555 -1.6389 -1.6269 -1.6190
 -3.8591 -3.5005 -3.2110 -2.9780 -2.7897 -2.6379 -2.5185 -2.4274 -2.3581 -2.3032
 -2.2563 -2.2103 -2.1623 -2.1157 -2.0632 -1.9311 -1.8269 -1.7571 -1.7156 -1.6894
 -1.6705 -1.6564 -1.6461 -1.6390 -1.6344 -1.6326 -1.6342 -1.6433 -1.6619 -1.6851
 -3.7441 -3.4262 -3.1677 -2.9570 -2.7821 -2.6351 -2.5116 -2.4102 -2.3301 -2.2664
 -2.2129 -2.1646 -2.1183 -2.0760 -2.0325 -1.9175 -1.8210 -1.7537 -1.7152 -1.6945
 -1.6811 -1.6713 -1.6641 -1.6589 -1.6555 -1.6539 -1.6548 -1.6585 -1.6698 -1.6917
 -1.7192
 -3.6088 -3.3305 -3.1036 -2.9174 -2.7613 -2.6263 -2.5074 -2.4032 -2.3147 -2.2428
 -2.1838 -2.1328 -2.0858 -2.0417 -2.0018 -1.8994 -1.8118 -1.7471 -1.7094 -1.6923
 -1.6849 -1.6809 -1.6783 -1.6768 -1.6761 -1.6761 -1.6774 -1.6807 -1.6873 -1.7003
 -1.7255
 -3.4567 -3.2175 -3.0200 -2.8572 -2.7204 -2.6007 -2.4924 -2.3932 -2.3034 -2.2254
 -2.1603 -2.1061 -2.0586 -2.0147 -1.9750 -1.8795 -1.7989 -1.7380 -1.7002 -1.6840
 -1.6810 -1.6832 -1.6868 -1.6904 -1.6939 -1.6972 -1.7007 -1.7048 -1.7104 -1.7194
 -1.7350
