 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =F350LP
 -1.6350 -1.5502 -1.4631 -1.3767 -1.2946 -1.2183 -1.1477 -1.0827 -1.0237 -0.9712
 -0.9249 -0.8837 -0.8457 -0.8104 -0.7785 -0.6948 -0.6095 -0.5369 -0.4842 -0.4503
 -0.4315 -0.4216 -0.4159 -0.4118 -0.4083 -0.4049 -0.4017 -0.3990 -0.3974 -0.3980
 -0.4035
 -1.5389 -1.4721 -1.4012 -1.3293 -1.2598 -1.1942 -1.1320 -1.0727 -1.0164 -0.9635
 -0.9147 -0.8704 -0.8300 -0.7924 -0.7573 -0.6756 -0.5978 -0.5304 -0.4789 -0.4448
 -0.4262 -0.4187 -0.4172 -0.4184 -0.4202 -0.4218 -0.4232 -0.4243 -0.4254 -0.4273
 -0.4299
 -1.4349 -1.3814 -1.3253 -1.2671 -1.2098 -1.1551 -1.1025 -1.0513 -1.0009 -0.9516
 -0.9039 -0.8589 -0.8171 -0.7785 -0.7424 -0.6601 -0.5857 -0.5224 -0.4729 -0.4385
 -0.4192 -0.4119 -0.4128 -0.4182 -0.4252 -0.4324 -0.4391 -0.4450 -0.4502 -0.4553
 -0.4608
 -1.3249 -1.2843 -1.2408 -1.1950 -1.1487 -1.1034 -1.0600 -1.0172 -0.9744 -0.9311
 -0.8877 -0.8449 -0.8036 -0.7648 -0.7338 -0.6483 -0.5732 -0.5129 -0.4662
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value =F350LP
 -2.2946 -2.2310 -2.1742 -2.1180 -2.0615 -1.9889 -1.8832 -1.7415 -1.5969 -1.4629
 -1.3419 -1.2330 -1.1345 -1.0456 -0.9654 -0.7961 -0.6614 -0.5546 -0.4726
 -2.1606 -2.0856 -2.0197 -1.9574 -1.8935 -1.8222 -1.7305 -1.6124 -1.4932 -1.3814
 -1.2784 -1.1826 -1.0926 -1.0090 -0.9325 -0.7713 -0.6455 -0.5475 -0.4720 -0.4141
 -2.0642 -1.9772 -1.9010 -1.8303 -1.7611 -1.6898 -1.6098 -1.5118 -1.4112 -1.3158
 -1.2274 -1.1442 -1.0635 -0.9852 -0.9117 -0.7562 -0.6361 -0.5439 -0.4734 -0.4198
 -0.3784
 -1.9959 -1.8861 -1.7997 -1.7273 -1.6558 -1.5836 -1.5092 -1.4272 -1.3412 -1.2585
 -1.1816 -1.1096 -1.0395 -0.9685 -0.8987 -0.7477 -0.6314 -0.5430 -0.4764 -0.4264
 -0.3883 -0.3581
 -1.9602 -1.8280 -1.7161 -1.6219 -1.5429 -1.4771 -1.4189 -1.3534 -1.2812 -1.2085
 -1.1395 -1.0755 -1.0149 -0.9534 -0.8893 -0.7430 -0.6293 -0.5437 -0.4801 -0.4332
 -0.3985 -0.3713 -0.3492 -0.3308
 -1.9569 -1.8154 -1.6835 -1.5645 -1.4617 -1.3749 -1.3048 -1.2504 -1.2035 -1.1558
 -1.1019 -1.0448 -0.9892 -0.9355 -0.8795 -0.7399 -0.6284 -0.5447 -0.4833 -0.4392
 -0.4078 -0.3841 -0.3650 -0.3491 -0.3356 -0.3245 -0.3162 -0.3117 -0.3123 -0.3195
 -1.9572 -1.8156 -1.6784 -1.5502 -1.4347 -1.3344 -1.2496 -1.1787 -1.1198 -1.0731
 -1.0366 -1.0015 -0.9606 -0.9148 -0.8662 -0.7370 -0.6274 -0.5450 -0.4853 -0.4434
 -0.4149 -0.3951 -0.3797 -0.3670 -0.3561 -0.3468 -0.3396 -0.3348 -0.3336 -0.3387
 -0.3514
