 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =F150W2
 -1.5347 -2.2948 -3.2157 -3.1984 -1.8922 -0.2766 -0.9547 -1.8904 -2.3567 -2.3250
 -2.2539 -2.1569 -1.9588 -1.7922 -1.7260 -1.8610
 -1.4943 -1.8006 -2.2276 -2.2645 -1.7586 -1.0213 -1.2623 -1.6271 -1.8509 -1.8997
 -1.9175 -1.9010 -1.8325 -1.7743 -1.7637 -1.8877 -2.0203 -2.1475 -2.2901
 -1.5473 -1.6019 -1.7232 -1.7665 -1.6971 -1.4989 -1.5134 -1.5645 -1.6278 -1.6883
 -1.7341 -1.7571 -1.7638 -1.7726 -1.7960 -1.9110 -2.0365 -2.1642 -2.2957 -2.4226
 -2.5404
 -1.6937 -1.6987 -1.7025 -1.7044 -1.7076 -1.7095 -1.7080 -1.7027 -1.6873 -1.6907
 -1.7036 -1.7252 -1.7527 -1.7872 -1.8229 -1.9309 -2.0534 -2.1803 -2.3068 -2.4299
 -2.5501 -2.6678 -2.7825
 -1.7721 -1.7635 -1.7577 -1.7551 -1.7562 -1.7589 -1.7616 -1.7631 -1.7632 -1.7638
 -1.7700 -1.7843 -1.8056 -1.8334 -1.8671 -1.9648 -2.0757 -2.1953 -2.3184 -2.4402
 -2.5588 -2.6742 -2.7866 -2.8965 -3.0044
 -1.8647 -1.8442 -1.8289 -1.8192 -1.8147 -1.8143 -1.8166 -1.8201 -1.8242 -1.8284
 -1.8336 -1.8428 -1.8588 -1.8808 -1.9092 -1.9974 -2.0992 -2.2115 -2.3300 -2.4496
 -2.5667 -2.6805 -2.7911 -2.8989 -3.0042 -3.1077
 -1.9714 -1.9408 -1.9161 -1.8967 -1.8832 -1.8757 -1.8730 -1.8737 -1.8770 -1.8819
 -1.8883 -1.8966 -1.9084 -1.9254 -1.9492 -2.0287 -2.1239 -2.2289 -2.3416 -2.4581
 -2.5738 -2.6867 -2.7961 -2.9024 -3.0060 -3.1072 -3.2066 -3.3055 -3.4040 -3.4997
 -2.0922 -2.0533 -2.0193 -1.9897 -1.9655 -1.9478 -1.9362 -1.9303 -1.9290 -1.9312
 -1.9361 -1.9434 -1.9534 -1.9674 -1.9862 -2.0570 -2.1470 -2.2469 -2.3538 -2.4661
 -2.5800 -2.6922 -2.8011 -2.9066 -3.0090 -3.1087 -3.2060 -3.3019 -3.3976 -3.4933
 -3.5868
 -2.2250 -2.1791 -2.1366 -2.0973 -2.0623 -2.0332 -2.0105 -1.9946 -1.9853 -1.9816
 -1.9822 -1.9866 -1.9943 -2.0055 -2.0209 -2.0821 -2.1672 -2.2635 -2.3663 -2.4740
 -2.5851 -2.6964 -2.8051 -2.9105 -3.0125 -3.1113 -3.2077 -3.3018 -3.3945 -3.4871
 -3.5803
 -2.3643 -2.3132 -2.2645 -2.2180 -2.1734 -2.1330 -2.0984 -2.0708 -2.0507 -2.0377
 -2.0312 -2.0303 -2.0340 -2.0419 -2.0545 -2.1068 -2.1854 -2.2787 -2.3791 -2.4835
 -2.5914 -2.7010 -2.8097 -2.9156 -3.0179 -3.1168 -3.2127 -3.3061 -3.3974 -3.4877
 -3.5772
 -2.5052 -2.4512 -2.3976 -2.3444 -2.2920 -2.2425 -2.1975 -2.1584 -2.1265 -2.1024
 -2.0862 -2.0774 -2.0752 -2.0790 -2.0882 -2.1322 -2.2018 -2.2907 -2.3888 -2.4909
 -2.5958 -2.7027 -2.8102 -2.9162 -3.0192 -3.1186 -3.2148 -3.3079 -3.3985 -3.4871
 -3.5756
 -2.6558 -2.5931 -2.5326 -2.4742 -2.4160 -2.3597 -2.3061 -2.2574 -2.2145 -2.1797
 -2.1533 -2.1349 -2.1239 -2.1201 -2.1230 -2.1558 -2.2182 -2.3020 -2.3969 -2.4972
 -2.6001 -2.7047 -2.8101 -2.9153 -3.0186 -3.1189 -3.2159 -3.3095 -3.4001 -3.4883
 -3.5746
 -2.8161 -2.7388 -2.6695 -2.6074 -2.5454 -2.4846 -2.4208 -2.3644 -2.3131 -2.2692
 -2.2328 -2.2032 -2.1800 -2.1652 -2.1589 -2.1776 -2.2346 -2.3126 -2.4034
 [Fe/H] = -3.00 [alpha/Fe] = 0.40 BC value =F150W2
 -1.6728 -1.6831 -1.6740 -1.6317 -1.5440 -1.3963 -1.4924 -1.5668 -1.6073 -1.6278
 -1.6631 -1.6974 -1.7018 -1.7048 -1.7292 -1.8572
 -1.6600 -1.6729 -1.6744 -1.6546 -1.6043 -1.5145 -1.5433 -1.5717 -1.5936 -1.6127
 -1.6413 -1.6727 -1.6961 -1.7214 -1.7572 -1.8814 -2.0139 -2.1458 -2.2761
 -1.6606 -1.6736 -1.6816 -1.6779 -1.6559 -1.6103 -1.5998 -1.5987 -1.6060 -1.6209
 -1.6426 -1.6704 -1.7037 -1.7420 -1.7848 -1.9055 -2.0325 -2.1621 -2.2906 -2.4167
 -2.5400
 -1.6746 -1.6852 -1.6956 -1.7016 -1.6988 -1.6837 -1.6619 -1.6476 -1.6446 -1.6524
 -1.6671 -1.6905 -1.7247 -1.7668 -1.8120 -1.9295 -2.0515 -2.1776 -2.3038 -2.4276
 -2.5482 -2.6659 -2.7807
 -1.7020 -1.7077 -1.7164 -1.7257 -1.7329 -1.7347 -1.7296 -1.7184 -1.7094 -1.7072
 -1.7148 -1.7330 -1.7590 -1.7957 -1.8388 -1.9534 -2.0709 -2.1923 -2.3157 -2.4375
 -2.5561 -2.6716 -2.7842 -2.8943 -3.0025
 -1.7428 -1.7411 -1.7440 -1.7502 -1.7582 -1.7657 -1.7703 -1.7709 -1.7692 -1.7680
 -1.7720 -1.7845 -1.8039 -1.8316 -1.8680 -1.9768 -2.0907 -2.2070 -2.3266 -2.4464
 -2.5636 -2.6775 -2.7883 -2.8963 -3.0020 -3.1058
 -1.7979 -1.7883 -1.7833 -1.7832 -1.7872 -1.7941 -1.8017 -1.8081 -1.8129 -1.8176
 -1.8246 -1.8362 -1.8532 -1.8749 -1.9045 -2.0008 -2.1102 -2.2221 -2.3373 -2.4544
 -2.5704 -2.6834 -2.7930 -2.8996 -3.0034 -3.1050 -3.2047 -3.3038 -3.4025 -3.4982
 -1.8661 -1.8494 -1.8366 -1.8285 -1.8257 -1.8280 -1.8338 -1.8414 -1.8491 -1.8567
 -1.8658 -1.8782 -1.8952 -1.9159 -1.9418 -2.0269 -2.1293 -2.2372 -2.3480 -2.4618
 -2.5762 -2.6886 -2.7977 -2.9035 -3.0062 -3.1062 -3.2042 -3.3003 -3.3960 -3.4918
 -3.5853
 -1.9302 -1.9173 -1.9030 -1.8874 -1.8767 -1.8719 -1.8724 -1.8772 -1.8847 -1.8933
 -1.9029 -1.9147 -1.9303 -1.9504 -1.9743 -2.0525 -2.1479 -2.2516 -2.3557 -2.4689
 -2.5793 -2.6926 -2.8016 -2.9073 -3.0095 -3.1087 -3.2054 -3.3006 -3.3946 -3.4873
 -3.5788
 -2.0331 -2.0003 -1.9761 -1.9596 -1.9417 -1.9288 -1.9220 -1.9209 -1.9246 -1.9315
 -1.9404 -1.9512 -1.9646 -1.9819 -2.0033 -2.0764 -2.1661 -2.2660 -2.3705 -2.4775
 -2.5868 -2.6970 -2.8061 -2.9122 -3.0148 -3.1140 -3.2102 -3.3039 -3.3955 -3.4858
 -3.5758
 -2.1260 -2.0896 -2.0620 -2.0425 -2.0183 -1.9989 -1.9843 -1.9755 -1.9726 -1.9749
 -1.9808 -1.9895 -2.0006 -2.0146 -2.0322 -2.0972 -2.1820 -2.2775 -2.3794 -2.4842
 -2.5907 -2.6986 -2.8065 -2.9129 -3.0161 -3.1158 -3.2122 -3.3056 -3.3965 -3.4853
 -3.5742
 -2.2159 -2.1851 -2.1547 -2.1246 -2.0959 -2.0696 -2.0476 -2.0431 -2.0322 -2.0272
 -2.0275 -2.0321 -2.0399 -2.0506 -2.0645 -2.1179 -2.1974 -2.2884 -2.3872 -2.4901
 -2.5946 -2.7002 -2.8063 -2.9119 -3.0155 -3.1161 -3.2133 -3.3072 -3.3981 -3.4865
 -3.5730
 -2.3026 -2.2869 -2.2541 -2.2060 -2.1745 -2.1409 -2.1321 -2.1089 -2.0909 -2.0914
 -2.0839 -2.0820 -2.0847 -2.0911 -2.1002 -2.1385 -2.2123 -2.2987 -2.3939
 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =F150W2
 -1.6430 -1.5580 -1.4355 -1.3991 -1.4816 -1.5647 -1.5580 -1.5058 -1.4838 -1.5092
 -1.5549 -1.6059 -1.6482 -1.6875 -1.7320 -1.8571
 -1.6512 -1.6176 -1.5598 -1.5349 -1.5560 -1.5781 -1.5692 -1.5473 -1.5409 -1.5572
 -1.5875 -1.6271 -1.6691 -1.7124 -1.7586 -1.8820 -2.0122 -2.1439 -2.2727
