 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = G_RP 
 -1.4975 -1.4914 -1.6740 -1.6828 -1.6109 -1.4854 -1.3277 -1.2278 -1.1377 -1.0432
 -0.9522 -0.8658 -0.7871 -0.7158 -0.6543 -0.5292 -0.4733 -0.4743 -0.4747
 -1.5019 -1.4327 -1.3763 -1.3483 -1.3504 -1.3277 -1.2579 -1.1702 -1.0843 -1.0009
 -0.9200 -0.8437 -0.7738 -0.7114 -0.6571 -0.5566 -0.5024 -0.4845 -0.4877 -0.5025
 -1.3839 -1.3206 -1.2563 -1.1988 -1.1551 -1.1381 -1.1337 -1.1023 -1.0422 -0.9697
 -0.8981 -0.8291 -0.7654 -0.7084 -0.6589 -0.5673 -0.5177 -0.5025 -0.5075 -0.5227
 -0.5439
 -1.2750 -1.2281 -1.1718 -1.1137 -1.0598 -1.0138 -0.9815 -0.9687 -0.9557 -0.9232
 -0.8724 -0.8146 -0.7580 -0.7063 -0.6610 -0.5766 -0.5303 -0.5170 -0.5238 -0.5398
 -0.5608 -0.5856
 -1.1630 -1.1362 -1.0958 -1.0467 -0.9955 -0.9473 -0.9045 -0.8689 -0.8459 -0.8296
 -0.8109 -0.7811 -0.7422 -0.6998 -0.6596 -0.5823 -0.5388 -0.5273 -0.5359 -0.5537
 -0.5755 -0.6003 -0.6279 -0.6584
 -1.0470 -1.0368 -1.0152 -0.9812 -0.9395 -0.8954 -0.8535 -0.8156 -0.7822 -0.7543
 -0.7336 -0.7167 -0.6973 -0.6736 -0.6471 -0.5826 -0.5421 -0.5317 -0.5422 -0.5635
 -0.5876 -0.6136 -0.6416 -0.6714 -0.7032 -0.7378 -0.7755 -0.8168 -0.8621 -0.9114
 -0.9300 -0.9318 -0.9256 -0.9076 -0.8800 -0.8456 -0.8087 -0.7731 -0.7407 -0.7113
 -0.6852 -0.6634 -0.6458 -0.6302 -0.6143 -0.5734 -0.5397 -0.5288 -0.5418 -0.5673
 -0.5956 -0.6244 -0.6539 -0.6845 -0.7162 -0.7481 -0.7819 -0.8198 -0.8632 -0.9124
 -0.9640
 -0.8147 -0.8250 -0.8289 -0.8240 -0.8105 -0.7894 -0.7622 -0.7322 -0.7030 -0.6761
 -0.6516 -0.6295 -0.6099 -0.5937 -0.5799 -0.5517 -0.5302 -0.5220 -0.5352 -0.5639
 -0.5974 -0.6307 -0.6634 -0.6960 -0.7289 -0.7622 -0.7954 -0.8303 -0.8690 -0.9133
 -0.9641
 -0.7041 -0.7200 -0.7300 -0.7328 -0.7310 -0.7221 -0.7070 -0.6867 -0.6636 -0.6404
 -0.6190 -0.5998 -0.5823 -0.5667 -0.5530 -0.5281 -0.5142 -0.5114 -0.5243 -0.5544
 -0.5923 -0.6312 -0.6687 -0.7050 -0.7404 -0.7753 -0.8103 -0.8458 -0.8835 -0.9236
 -0.9659
 -0.6010 -0.6203 -0.6340 -0.6426 -0.6465 -0.6463 -0.6419 -0.6324 -0.6189 -0.6021
 -0.5849 -0.5691 -0.5550 -0.5421 -0.5305 -0.5083 -0.4972 -0.4978 -0.5115 -0.5407
 -0.5803 -0.6236 -0.6665 -0.7077 -0.7471 -0.7850 -0.8222 -0.8588 -0.8955 -0.9332
 -0.9726
 -0.5070 -0.5264 -0.5417 -0.5533 -0.5614 -0.5666 -0.5689 -0.5685 -0.5646 -0.5569
 -0.5464 -0.5351 -0.5247 -0.5156 -0.5075 -0.4909 -0.4816 -0.4842 -0.4992 -0.5267
 -0.5656 -0.6104 -0.6572 -0.7035 -0.7478 -0.7901 -0.8307 -0.8698 -0.9081 -0.9463
 -0.9851
 -0.4196 -0.4277 -0.4396 -0.4535 -0.4676 -0.4804 -0.4908 -0.4979 -0.5018 -0.5026
 -0.5006 -0.4961 -0.4905 -0.4852 -0.4808 -0.4726 -0.4675 -0.4711 -0.4868
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value = G_RP 
 -1.7806 -1.7893 -1.7617 -1.6548 -1.5201 -1.3870 -1.2739 -1.1807 -1.0959 -1.0148
 -0.9374 -0.8637 -0.7945 -0.7301 -0.6716 -0.5524 -0.4824 -0.4582 -0.4581
 -1.6087 -1.5424 -1.5222 -1.5263 -1.4632 -1.3540 -1.2431 -1.1489 -1.0671 -0.9906
 -0.9181 -0.8493 -0.7847 -0.7251 -0.6714 -0.5667 -0.5032 -0.4773 -0.4776 -0.4916
 -1.5034 -1.4246 -1.3545 -1.3077 -1.3021 -1.2858 -1.2141 -1.1250 -1.0447 -0.9727
 -0.9049 -0.8406 -0.7803 -0.7247 -0.6748 -0.5781 -0.5195 -0.4949 -0.4960 -0.5105
 -0.5318
 -1.4126 -1.3445 -1.2710 -1.1997 -1.1435 -1.1138 -1.1077 -1.0815 -1.0213 -0.9553
 -0.8925 -0.8328 -0.7765 -0.7246 -0.6780 -0.5877 -0.5329 -0.5093 -0.5107 -0.5259
 -0.5473 -0.5726
 -1.3204 -1.2703 -1.2078 -1.1410 -1.0773 -1.0207 -0.9778 -0.9537 -0.9436 -0.9176
 -0.8731 -0.8215 -0.7702 -0.7221 -0.6784 -0.5940 -0.5424 -0.5197 -0.5215 -0.5379
 -0.5604 -0.5861 -0.6144 -0.6464
 -1.2243 -1.1900 -1.1446 -1.0886 -1.0292 -0.9719 -0.9194 -0.8741 -0.8407 -0.8226
 -0.8089 -0.7865 -0.7532 -0.7138 -0.6746 -0.5958 -0.5473 -0.5255 -0.5278 -0.5461
 -0.5708 -0.5980 -0.6269 -0.6578 -0.6901 -0.7249 -0.7633 -0.8063 -0.8540 -0.9044
 -1.1193 -1.1007 -1.0722 -1.0323 -0.9836 -0.9318 -0.8814 -0.8344 -0.7925 -0.7577
 -0.7321 -0.7155 -0.7006 -0.6816 -0.6577 -0.5927 -0.5475 -0.5267 -0.5291 -0.5493
 -0.5774 -0.6073 -0.6380 -0.6697 -0.7026 -0.7364 -0.7723 -0.8115 -0.8552 -0.9039
 -0.9573
 -1.0130 -1.0035 -0.9897 -0.9649 -0.9312 -0.8899 -0.8458 -0.8022 -0.7613 -0.7240
 -0.6917 -0.6652 -0.6453 -0.6304 -0.6168 -0.5792 -0.5427 -0.5235 -0.5257 -0.5469
 -0.5786 -0.6126 -0.6464 -0.6802 -0.7143 -0.7477 -0.7820 -0.8188 -0.8596 -0.9056
 -0.9574
 -0.9099 -0.9048 -0.8991 -0.8866 -0.8662 -0.8386 -0.8050 -0.7680 -0.7311 -0.6961
 -0.6642 -0.6360 -0.6118 -0.5923 -0.5774 -0.5509 -0.5299 -0.5159 -0.5185 -0.5397
 -0.5739 -0.6126 -0.6510 -0.6883 -0.7248 -0.7610 -0.7975 -0.8355 -0.8752 -0.9163
 -0.9586
 -0.8152 -0.8114 -0.8086 -0.8016 -0.7918 -0.7759 -0.7546 -0.7281 -0.6984 -0.6678
 -0.6387 -0.6123 -0.5889 -0.5685 -0.5514 -0.5239 -0.5098 -0.5037 -0.5082 -0.5285
 -0.5631 -0.6051 -0.6483 -0.6904 -0.7308 -0.7699 -0.8084 -0.8464 -0.8846 -0.9237
 -0.9645
 -0.7347 -0.7245 -0.7202 -0.7157 -0.7124 -0.7041 -0.6926 -0.6770 -0.6575 -0.6344
 -0.6103 -0.5871 -0.5661 -0.5475 -0.5314 -0.5028 -0.4897 -0.4880 -0.4960 -0.5159
 -0.5493 -0.5923 -0.6390 -0.6859 -0.7311 -0.7744 -0.8162 -0.8567 -0.8963 -0.9359
 -0.9760
 -0.6647 -0.6441 -0.6339 -0.6301 -0.6290 -0.6272 -0.6229 -0.6155 -0.6053 -0.5919
 -0.5754 -0.5576 -0.5402 -0.5245 -0.5107 -0.4853 -0.4725 -0.4721 -0.4826
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value = G_RP 
