 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  z   
 -0.7886 -0.8057 -0.9870 -1.0150 -0.9742 -0.8859 -0.7618 -0.6897 -0.6263 -0.5598
 -0.4978 -0.4417 -0.3905 -0.3458 -0.3094 -0.2394 -0.2215 -0.2670 -0.3201
 -0.8139 -0.7772 -0.7504 -0.7473 -0.7692 -0.7692 -0.7276 -0.6685 -0.6096 -0.5532
 -0.4999 -0.4506 -0.4064 -0.3682 -0.3361 -0.2854 -0.2769 -0.2996 -0.3369 -0.3799
 -0.7248 -0.6929 -0.6594 -0.6314 -0.6143 -0.6194 -0.6347 -0.6268 -0.5928 -0.5471
 -0.5016 -0.4580 -0.4184 -0.3838 -0.3549 -0.3092 -0.3008 -0.3230 -0.3603 -0.4033
 -0.4483
 -0.6397 -0.6216 -0.5944 -0.5657 -0.5404 -0.5208 -0.5120 -0.5195 -0.5271 -0.5180
 -0.4923 -0.4590 -0.4251 -0.3943 -0.3684 -0.3273 -0.3196 -0.3410 -0.3786 -0.4219
 -0.4671 -0.5131
 -0.5477 -0.5482 -0.5343 -0.5127 -0.4895 -0.4685 -0.4511 -0.4387 -0.4367 -0.4406
 -0.4431 -0.4358 -0.4191 -0.3971 -0.3751 -0.3390 -0.3324 -0.3538 -0.3919 -0.4365
 -0.4826 -0.5293 -0.5762 -0.6233
 -0.4476 -0.4647 -0.4683 -0.4593 -0.4437 -0.4263 -0.4103 -0.3964 -0.3851 -0.3781
 -0.3772 -0.3798 -0.3803 -0.3763 -0.3684 -0.3438 -0.3389 -0.3603 -0.3992 -0.4464
 -0.4945 -0.5427 -0.5910 -0.6392 -0.6868 -0.7347 -0.7836 -0.8343 -0.8874 -0.9431
 -0.3416 -0.3719 -0.3912 -0.3974 -0.3937 -0.3843 -0.3728 -0.3616 -0.3517 -0.3431
 -0.3366 -0.3335 -0.3341 -0.3363 -0.3379 -0.3376 -0.3389 -0.3592 -0.3999 -0.4505
 -0.5022 -0.5530 -0.6032 -0.6530 -0.7024 -0.7503 -0.7982 -0.8480 -0.9011 -0.9580
 -1.0167
 -0.2316 -0.2726 -0.3037 -0.3237 -0.3336 -0.3357 -0.3323 -0.3265 -0.3202 -0.3142
 -0.3089 -0.3048 -0.3026 -0.3031 -0.3057 -0.3170 -0.3309 -0.3538 -0.3945 -0.4477
 -0.5039 -0.5587 -0.6119 -0.6640 -0.7154 -0.7659 -0.8151 -0.8644 -0.9159 -0.9707
 -1.0299
 -0.1198 -0.1692 -0.2092 -0.2394 -0.2620 -0.2761 -0.2836 -0.2862 -0.2859 -0.2841
 -0.2821 -0.2804 -0.2795 -0.2797 -0.2816 -0.2945 -0.3159 -0.3444 -0.3850 -0.4396
 -0.4996 -0.5593 -0.6168 -0.6723 -0.7263 -0.7791 -0.8311 -0.8827 -0.9351 -0.9884
 -1.0426
 -0.0083 -0.0644 -0.1114 -0.1501 -0.1813 -0.2057 -0.2239 -0.2365 -0.2449 -0.2497
 -0.2526 -0.2547 -0.2568 -0.2593 -0.2626 -0.2761 -0.2993 -0.3312 -0.3728 -0.4266
 -0.4883 -0.5519 -0.6140 -0.6738 -0.7314 -0.7871 -0.8416 -0.8949 -0.9478 -1.0007
 -1.0549
  0.1008  0.0405 -0.0118 -0.0567 -0.0951 -0.1274 -0.1542 -0.1761 -0.1937 -0.2070
 -0.2170 -0.2247 -0.2311 -0.2370 -0.2431 -0.2607 -0.2846 -0.3181 -0.3609 -0.4132
 -0.4743 -0.5394 -0.6049 -0.6690 -0.7307 -0.7901 -0.8476 -0.9036 -0.9583 -1.0125
 -1.0667
  0.2051  0.1481  0.0945  0.0449 -0.0004 -0.0409 -0.0764 -0.1068 -0.1326 -0.1544
 -0.1726 -0.1877 -0.2002 -0.2110 -0.2208 -0.2452 -0.2720 -0.3057 -0.3490
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value =  z   
 -1.0574 -1.0860 -1.0816 -1.0085 -0.9120 -0.8158 -0.7344 -0.6683 -0.6088 -0.5533
 -0.5021 -0.4551 -0.4122 -0.3735 -0.3396 -0.2757 -0.2488 -0.2644 -0.3041
 -0.9235 -0.8866 -0.8892 -0.9129 -0.8793 -0.8062 -0.7294 -0.6638 -0.6073 -0.5557
 -0.5087 -0.4656 -0.4263 -0.3912 -0.3605 -0.3059 -0.2842 -0.2957 -0.3291 -0.3710
 -0.8415 -0.7938 -0.7530 -0.7329 -0.7488 -0.7560 -0.7158 -0.6579 -0.6042 -0.5565
 -0.5131 -0.4735 -0.4374 -0.4052 -0.3772 -0.3278 -0.3085 -0.3189 -0.3513 -0.3932
 -0.4381
 -0.7680 -0.7302 -0.6861 -0.6446 -0.6167 -0.6118 -0.6271 -0.6253 -0.5929 -0.5523
 -0.5135 -0.4774 -0.4442 -0.4146 -0.3889 -0.3440 -0.3270 -0.3368 -0.3682 -0.4104
 -0.4557 -0.5020
 -0.6888 -0.6690 -0.6347 -0.5962 -0.5615 -0.5332 -0.5164 -0.5154 -0.5261 -0.5230
 -0.5026 -0.4748 -0.4460 -0.4191 -0.3955 -0.3547 -0.3399 -0.3495 -0.3804 -0.4232
 -0.4698 -0.5171 -0.5646 -0.6128
 -0.6003 -0.5985 -0.5814 -0.5524 -0.5205 -0.4914 -0.4664 -0.4469 -0.4370 -0.4395
