 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  i   
 -1.7783 -1.7677 -1.9534 -1.9610 -1.8810 -1.7523 -1.5934 -1.4870 -1.3920 -1.2903
 -1.1923 -1.0991 -1.0111 -0.9325 -0.8643 -0.7230 -0.6759 -0.6962 -0.6890
 -1.7695 -1.6962 -1.6381 -1.6094 -1.6108 -1.5870 -1.5150 -1.4239 -1.3330 -1.2436
 -1.1564 -1.0735 -0.9973 -0.9297 -0.8714 -0.7655 -0.7098 -0.6925 -0.6973 -0.7146
 -1.6361 -1.5702 -1.5059 -1.4494 -1.4061 -1.3888 -1.3834 -1.3504 -1.2871 -1.2101
 -1.1331 -1.0583 -0.9891 -0.9274 -0.8743 -0.7778 -0.7265 -0.7114 -0.7175 -0.7343
 -0.7582
 -1.5144 -1.4648 -1.4095 -1.3539 -1.3024 -1.2574 -1.2245 -1.2103 -1.1956 -1.1602
 -1.1057 -1.0434 -0.9819 -0.9258 -0.8773 -0.7884 -0.7402 -0.7266 -0.7340 -0.7511
 -0.7739 -0.8016
 -1.3928 -1.3617 -1.3217 -1.2756 -1.2284 -1.1831 -1.1414 -1.1049 -1.0798 -1.0610
 -1.0398 -1.0073 -0.9653 -0.9195 -0.8764 -0.7949 -0.7495 -0.7374 -0.7462 -0.7648
 -0.7879 -0.8147 -0.8451 -0.8795
 -1.2707 -1.2539 -1.2304 -1.1984 -1.1611 -1.1218 -1.0833 -1.0464 -1.0117 -0.9812
 -0.9576 -0.9384 -0.9171 -0.8916 -0.8634 -0.7955 -0.7532 -0.7422 -0.7527 -0.7744
 -0.7994 -0.8268 -0.8567 -0.8894 -0.9254 -0.9650 -1.0084 -1.0557 -1.1070 -1.1622
 -1.1514 -1.1439 -1.1330 -1.1144 -1.0899 -1.0608 -1.0292 -0.9971 -0.9657 -0.9349
 -0.9061 -0.8818 -0.8623 -0.8453 -0.8284 -0.7859 -0.7508 -0.7392 -0.7522 -0.7781
 -0.8070 -0.8367 -0.8676 -0.9002 -0.9346 -0.9702 -1.0085 -1.0514 -1.1002 -1.1548
 -1.2114
 -1.0377 -1.0358 -1.0321 -1.0236 -1.0102 -0.9928 -0.9713 -0.9471 -0.9216 -0.8957
 -0.8700 -0.8458 -0.8243 -0.8068 -0.7921 -0.7629 -0.7408 -0.7320 -0.7453 -0.7744
