 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  r   
 -3.6320 -3.5675 -3.7588 -3.6882 -3.5073 -3.2649 -3.0044 -2.8323 -2.6839 -2.5325
 -2.3921 -2.2626 -2.1450 -2.0379 -1.9392 -1.7367 -1.5595 -1.4083 -1.3377
 -3.6371 -3.4298 -3.2602 -3.1463 -3.0840 -2.9920 -2.8419 -2.6800 -2.5340 -2.3986
 -2.2715 -2.1539 -2.0461 -1.9477 -1.8577 -1.6662 -1.5201 -1.4174 -1.3495 -1.3043
 -3.4566 -3.2552 -3.0700 -2.9106 -2.7840 -2.7037 -2.6442 -2.5501 -2.4284 -2.3017
 -2.1855 -2.0784 -1.9801 -1.8903 -1.8086 -1.6366 -1.5082 -1.4189 -1.3594 -1.3190
 -1.2910
 -3.3110 -3.1314 -2.9542 -2.7897 -2.6454 -2.5245 -2.4310 -2.3674 -2.3053 -2.2205
 -2.1207 -2.0228 -1.9331 -1.8510 -1.7758 -1.6175 -1.5009 -1.4220 -1.3695 -1.3334
 -1.3075 -1.2891
 -3.1801 -3.0270 -2.8680 -2.7115 -2.5661 -2.4377 -2.3285 -2.2377 -2.1695 -2.1114
 -2.0487 -1.9739 -1.8951 -1.8202 -1.7513 -1.6043 -1.4954 -1.4237 -1.3776 -1.3463
 -1.3234 -1.3065 -1.2945 -1.2871
 -3.0602 -2.9276 -2.7917 -2.6501 -2.5115 -2.3829 -2.2697 -2.1732 -2.0923 -2.0247
 -1.9668 -1.9118 -1.8524 -1.7896 -1.7280 -1.5929 -1.4898 -1.4223 -1.3813 -1.3560
 -1.3373 -1.3232 -1.3129 -1.3058 -1.3013 -1.3005 -1.3045 -1.3144 -1.3308 -1.3541
 -2.9534 -2.8340 -2.7164 -2.5927 -2.4661 -2.3430 -2.2293 -2.1296 -2.0459 -1.9754
 -1.9138 -1.8579 -1.8055 -1.7537 -1.7013 -1.5795 -1.4825 -1.4162 -1.3793 -1.3598
 -1.3471 -1.3373 -1.3301 -1.3251 -1.3220 -1.3191 -1.3189 -1.3244 -1.3381 -1.3606
 -1.3883
 -2.8614 -2.7494 -2.6418 -2.5326 -2.4209 -2.3080 -2.1985 -2.0976 -2.0105 -1.9378
 -1.8763 -1.8214 -1.7697 -1.7208 -1.6735 -1.5637 -1.4733 -1.4086 -1.3723 -1.3566
 -1.3502 -1.3465 -1.3440 -1.3425 -1.3421 -1.3424 -1.3424 -1.3447 -1.3527 -1.3687
 -1.3944
 -2.7861 -2.6771 -2.5729 -2.4681 -2.3698 -2.2692 -2.1686 -2.0711 -1.9820 -1.9055
 -1.8420 -1.7882 -1.7394 -1.6930 -1.6482 -1.5458 -1.4616 -1.3997 -1.3622 -1.3476
 -1.3457 -1.3485 -1.3522 -1.3559 -1.3596 -1.3631 -1.3669 -1.3715 -1.3790 -1.3898
 -1.4034
 -2.7295 -2.6203 -2.5157 -2.4153 -2.3189 -2.2262 -2.1361 -2.0463 -1.9599 -1.8810
 -1.8134 -1.7575 -1.7099 -1.6658 -1.6242 -1.5298 -1.4500 -1.3904 -1.3525 -1.3363
 -1.3355 -1.3426 -1.3525 -1.3626 -1.3719 -1.3802 -1.3878 -1.3950 -1.4025 -1.4112
 -1.4209
 -2.6879 -2.5744 -2.4676 -2.3669 -2.2719 -2.1821 -2.0971 -2.0159 -1.9362 -1.8597
 -1.7900 -1.7301 -1.6804 -1.6384 -1.6006 -1.5137 -1.4381 -1.3808 -1.3436 -1.3252
 -1.3232 -1.3315 -1.3454 -1.3614 -1.3769 -1.3912 -1.4041 -1.4156 -1.4263 -1.4369
 -1.4483
 -2.6409 -2.5109 -2.3992 -2.3015 -2.2136 -2.1323 -2.0546 -1.9788 -1.9052 -1.8349
 -1.7685 -1.7072 -1.6540 -1.6100 -1.5730 -1.4950 -1.4259 -1.3709 -1.3342
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value =  r   
 -3.9965 -3.9179 -3.7943 -3.5609 -3.2967 -3.0476 -2.8433 -2.6804 -2.5368 -2.4026
 -2.2763 -2.1590 -2.0512 -1.9525 -1.8624 -1.6758 -1.5246 -1.4033 -1.3289
 -3.7085 -3.5163 -3.4070 -3.3392 -3.1764 -2.9565 -2.7490 -2.5801 -2.4392 -2.3110
 -2.1915 -2.0813 -1.9808 -1.8897 -1.8073 -1.6347 -1.5016 -1.4036 -1.3364 -1.2914
 -3.5543 -3.3392 -3.1551 -3.0154 -2.9403 -2.8509 -2.6882 -2.5162 -2.3717 -2.2485
 -2.1351 -2.0312 -1.9366 -1.8512 -1.7742 -1.6139 -1.4921 -1.4042 -1.3446 -1.3045
 -1.2768
 -3.4463 -3.2401 -3.0464 -2.8698 -2.7237 -2.6208 -2.5536 -2.4592 -2.3271 -2.2043
 -2.0952 -1.9966 -1.9072 -1.8266 -1.7538 -1.6025 -1.4880 -1.4066 -1.3527 -1.3169
 -1.2918 -1.2739
 -3.3580 -3.1692 -2.9830 -2.8078 -2.6488 -2.5081 -2.3939 -2.3095 -2.2451 -2.1624
 -2.0653 -1.9702 -1.8848 -1.8084 -1.7394 -1.5954 -1.4861 -1.4088 -1.3591 -1.3276
 -1.3058 -1.2899 -1.2788 -1.2731
 -3.2857 -3.1092 -2.9364 -2.7674 -2.6086 -2.4636 -2.3341 -2.2227 -2.1333 -2.0677
 -2.0093 -1.9406 -1.8650 -1.7918 -1.7260 -1.5889 -1.4837 -1.4091 -1.3624 -1.3353
 -1.3177 -1.3049 -1.2957 -1.2898 -1.2858 -1.2852 -1.2900 -1.3017 -1.3208 -1.3455
 -3.2164 -3.0534 -2.8950 -2.7364 -2.5829 -2.4392 -2.3079 -2.1908 -2.0892 -2.0049
 -1.9372 -1.8822 -1.8282 -1.7701 -1.7107 -1.5807 -1.4796 -1.4068 -1.3617 -1.3381
 -1.3256 -1.3173 -1.3115 -1.3077 -1.3059 -1.3051 -1.3071 -1.3143 -1.3283 -1.3503
 -1.3798
 -3.1559 -2.9997 -2.8553 -2.7081 -2.5627 -2.4230 -2.2929 -2.1744 -2.0693 -1.9783
 -1.9021 -1.8385 -1.7843 -1.7351 -1.6864 -1.5686 -1.4727 -1.4016 -1.3570 -1.3355
