 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value = G_RP 
 -1.2894 -1.2830 -1.2755 -1.2704 -1.2641 -1.2440 -1.2308 -1.2361 -1.2583 -1.2867
 -1.3159 -1.3455 -1.3759 -1.4072 -1.4394 -1.4726 -1.5077 -1.5450 -1.5875 -1.6369
 -1.6893
 -1.2239 -1.2333 -1.2465 -1.2630 -1.2744 -1.2800 -1.2796 -1.2754 -1.2698 -1.2643
 -1.2596 -1.2551 -1.2499 -1.2444 -1.2401 -1.2260 -1.2195 -1.2266 -1.2504 -1.2837
 -1.3156 -1.3526 -1.3860 -1.4194 -1.4528 -1.4864 -1.5209 -1.5585 -1.5993 -1.6431
 -1.6894
 -1.0870 -1.1277 -1.1562 -1.1739 -1.1957 -1.2127 -1.2238 -1.2292 -1.2303 -1.2291
 -1.2273 -1.2256 -1.2235 -1.2208 -1.2185 -1.2087 -1.2057 -1.2147 -1.2386 -1.2738
 -1.3135 -1.3533 -1.3916 -1.4286 -1.4646 -1.5000 -1.5353 -1.5710 -1.6079 -1.6473
 -1.6917
 -0.9765 -1.0219 -1.0555 -1.0787 -1.1081 -1.1336 -1.1550 -1.1708 -1.1813 -1.1875
 -1.1907 -1.1929 -1.1945 -1.1955 -1.1961 -1.1930 -1.1923 -1.2022 -1.2251 -1.2594
 -1.3011 -1.3454 -1.3892 -1.4312 -1.4713 -1.5097 -1.5472 -1.5841 -1.6210 -1.6590
 -1.6988
 -0.8707 -0.9159 -0.9563 -0.9923 -1.0276 -1.0606 -1.0898 -1.1016 -1.1218 -1.1370
 -1.1478 -1.1556 -1.1616 -1.1668 -1.1711 -1.1776 -1.1796 -1.1905 -1.2125 -1.2452
 -1.2861 -1.3319 -1.3796 -1.4267 -1.4718 -1.5146 -1.5555 -1.5950 -1.6335 -1.6719
 -1.7111
 -0.7696 -0.8098 -0.8585 -0.9148 -0.9541 -0.9937 -1.0060 -1.0375 -1.0647 -1.0777
 -1.0971 -1.1124 -1.1244 -1.1344 -1.1435 -1.1625 -1.1676 -1.1796 -1.2008
 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = G_RP 
 -1.6083 -1.6569 -1.7659 -1.8028 -1.7307 -1.6529 -1.6635 -1.7231 -1.7431 -1.6911
 -1.6129 -1.5233 -1.4457 -1.3864 -1.3293 -1.2173
 -1.6152 -1.6020 -1.6318 -1.6411 -1.6140 -1.5891 -1.5989 -1.6251 -1.6323 -1.6067
 -1.5633 -1.5060 -1.4450 -1.3885 -1.3358 -1.2345 -1.1798 -1.1624 -1.1596
 -1.6202 -1.5673 -1.5433 -1.5300 -1.5250 -1.5283 -1.5364 -1.5436 -1.5447 -1.5366
 -1.5171 -1.4843 -1.4393 -1.3889 -1.3413 -1.2499 -1.2005 -1.1856 -1.1890 -1.2054
 -1.2330
 -1.6233 -1.5528 -1.5004 -1.4695 -1.4637 -1.4705 -1.4760 -1.4786 -1.4803 -1.4808
 -1.4743 -1.4582 -1.4286 -1.3876 -1.3458 -1.2635 -1.2184 -1.2055 -1.2125 -1.2296
 -1.2528 -1.2807 -1.3124
 -1.6245 -1.5585 -1.5031 -1.4596 -1.4301 -1.4157 -1.4177 -1.4301 -1.4391 -1.4393
 -1.4349 -1.4277 -1.4129 -1.3846 -1.3493 -1.2753 -1.2335 -1.2221 -1.2302 -1.2478
 -1.2706 -1.2973 -1.3271 -1.3593 -1.3952
 -1.6052 -1.5512 -1.5029 -1.4607 -1.4258 -1.4002 -1.3850 -1.3796 -1.3832 -1.3913
 -1.3947 -1.3919 -1.3871 -1.3734 -1.3479 -1.2831 -1.2442 -1.2339 -1.2439 -1.2628
 -1.2862 -1.3126 -1.3417 -1.3731 -1.4070 -1.4437
 -1.5595 -1.5214 -1.4857 -1.4519 -1.4204 -1.3929 -1.3712 -1.3565 -1.3482 -1.3450
 -1.3453 -1.3459 -1.3450 -1.3432 -1.3325 -1.2846 -1.2493 -1.2397 -1.2518 -1.2738
 -1.2990 -1.3265 -1.3558 -1.3870 -1.4198 -1.4545 -1.4918 -1.5341 -1.5823 -1.6325
 -1.4883 -1.4668 -1.4460 -1.4248 -1.4024 -1.3798 -1.3584 -1.3402 -1.3267 -1.3175
 -1.3110 -1.3063 -1.3023 -1.3017 -1.2989 -1.2747 -1.2479 -1.2394 -1.2528 -1.2787
 -1.3078 -1.3377 -1.3686 -1.4004 -1.4332 -1.4672 -1.5030 -1.5409 -1.5840 -1.6338
 -1.6863
 -1.3977 -1.3906 -1.3841 -1.3765 -1.3663 -1.3532 -1.3376 -1.3214 -1.3067 -1.2950
 -1.2860 -1.2788 -1.2724 -1.2672 -1.2650 -1.2517 -1.2380 -1.2332 -1.2473 -1.2761
 -1.3101 -1.3444 -1.3783 -1.4121 -1.4461 -1.4805 -1.5157 -1.5524 -1.5915 -1.6351
 -1.6865
 -1.2947 -1.2996 -1.3046 -1.3089 -1.3107 -1.3089 -1.3029 -1.2934 -1.2822 -1.2712
 -1.2619 -1.2544 -1.2480 -1.2420 -1.2384 -1.2274 -1.2210 -1.2221 -1.2371 -1.2673
 -1.3055 -1.3452 -1.3838 -1.4212 -1.4577 -1.4937 -1.5297 -1.5661 -1.6037 -1.6438
 -1.6887
 -1.1868 -1.2003 -1.2141 -1.2273 -1.2392 -1.2480 -1.2526 -1.2525 -1.2485 -1.2421
 -1.2350 -1.2286 -1.2235 -1.2191 -1.2157 -1.2072 -1.2032 -1.2083 -1.2244 -1.2540
 -1.2938 -1.3376 -1.3815 -1.4238 -1.4642 -1.5032 -1.5413 -1.5789 -1.6166 -1.6551
 -1.6956
 -1.0757 -1.0965 -1.1172 -1.1371 -1.1561 -1.1734 -1.1874 -1.1971 -1.2023 -1.2035
 -1.2018 -1.1989 -1.1960 -1.1938 -1.1924 -1.1893 -1.1871 -1.1941 -1.2116 -1.2403
 -1.2793 -1.3246 -1.3722 -1.4194 -1.4648 -1.5080 -1.5495 -1.5897 -1.6288 -1.6678
 -1.7075
 -0.9613 -0.9882 -1.0175 -1.0419 -1.0663 -1.0895 -1.1106 -1.1288 -1.1430 -1.1532
 -1.1593 -1.1625 -1.1639 -1.1649 -1.1685 -1.1737 -1.1727 -1.1795 -1.1987
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value = G_RP 
 -1.9594 -1.9209 -1.8960 -1.8841 -1.8684 -1.8477 -1.8161 -1.7737 -1.7209 -1.6626
 -1.5981 -1.5302 -1.4633 -1.4015 -1.3340 -1.2233
 -1.8146 -1.7756 -1.7503 -1.7340 -1.7232 -1.7127 -1.6976 -1.6747 -1.6442 -1.6077
 -1.5636 -1.5119 -1.4551 -1.3992 -1.3443 -1.2434 -1.1822 -1.1589 -1.1610
 -1.7229 -1.6718 -1.6394 -1.6206 -1.6103 -1.6046 -1.5994 -1.5899 -1.5755 -1.5558
 -1.5288 -1.4927 -1.4476 -1.3988 -1.3527 -1.2609 -1.2049 -1.1826 -1.1850 -1.2011
 -1.2253
 -1.6843 -1.6095 -1.5633 -1.5439 -1.5298 -1.5235 -1.5215 -1.5193 -1.5148 -1.5069
 -1.4937 -1.4726 -1.4408 -1.4003 -1.3592 -1.2758 -1.2243 -1.2029 -1.2054 -1.2213
 -1.2442 -1.2723 -1.3048
 -1.6808 -1.5906 -1.5292 -1.4927 -1.4742 -1.4674 -1.4667 -1.4674 -1.4656 -1.4622
 -1.4563 -1.4464 -1.4287 -1.3992 -1.3638 -1.2881 -1.2404 -1.2198 -1.2222 -1.2382
 -1.2610 -1.2880 -1.3182 -1.3512 -1.3880
 -1.6890 -1.6050 -1.5346 -1.4832 -1.4489 -1.4281 -1.4179 -1.4158 -1.4195 -1.4249
 -1.4230 -1.4171 -1.4078 -1.3912 -1.3640 -1.2964 -1.2521 -1.2326 -1.2352 -1.2520
 -1.2754 -1.3024 -1.3320 -1.3642 -1.3990 -1.4365
 -1.6828 -1.6068 -1.5407 -1.4847 -1.4390 -1.4041 -1.3801 -1.3664 -1.3621 -1.3672
 -1.3758 -1.3798 -1.3791 -1.3724 -1.3564 -1.2993 -1.2588 -1.2405 -1.2436 -1.2620
 -1.2872 -1.3153 -1.3453 -1.3772 -1.4109 -1.4467 -1.4851 -1.5283 -1.5770 -1.6271
 -1.6536 -1.5907 -1.5339 -1.4841 -1.4407 -1.4038 -1.3740 -1.3519 -1.3372 -1.3286
 -1.3255 -1.3274 -1.3311 -1.3341 -1.3320 -1.2961 -1.2600 -1.2432 -1.2469 -1.2669
 -1.2951 -1.3257 -1.3572 -1.3899 -1.4236 -1.4586 -1.4955 -1.5345 -1.5784 -1.6285
 -1.6810
 -1.5994 -1.5518 -1.5077 -1.4677 -1.4316 -1.3989 -1.3696 -1.3444 -1.3243 -1.3095
 -1.2989 -1.2917 -1.2877 -1.2878 -1.2901 -1.2796 -1.2553 -1.2409 -1.2448 -1.2660
 -1.2974 -1.3318 -1.3663 -1.4009 -1.4358 -1.4710 -1.5074 -1.5452 -1.5853 -1.6298
 -1.6814
 -1.5207 -1.4882 -1.4583 -1.4305 -1.4046 -1.3801 -1.3564 -1.3337 -1.3130 -1.2953
 -1.2810 -1.2700 -1.2613 -1.2551 -1.2530 -1.2490 -1.2409 -1.2334 -1.2384 -1.2599
 -1.2938 -1.3325 -1.3714 -1.4094 -1.4467 -1.4836 -1.5206 -1.5582 -1.5970 -1.6380
 -1.6836
 -1.4259 -1.4075 -1.3905 -1.3743 -1.3592 -1.3446 -1.3293 -1.3131 -1.2963 -1.2799
 -1.2649 -1.2523 -1.2420 -1.2336 -1.2278 -1.2209 -1.2187 -1.2200 -1.2282 -1.2494
 -1.2838 -1.3255 -1.3691 -1.4117 -1.4528 -1.4926 -1.5317 -1.5703 -1.6091 -1.6488
 -1.6902
 -1.3236 -1.3145 -1.3081 -1.3021 -1.2967 -1.2916 -1.2857 -1.2780 -1.2683 -1.2569
 -1.2448 -1.2333 -1.2231 -1.2147 -1.2081 -1.1990 -1.1971 -1.2029 -1.2154 -1.2371
 -1.2707 -1.3134 -1.3602 -1.4074 -1.4532 -1.4971 -1.5394 -1.5805 -1.6207 -1.6608
 -1.7015
 -1.2156 -1.2159 -1.2171 -1.2191 -1.2215 -1.2242 -1.2266 -1.2275 -1.2261 -1.2222
 -1.2160 -1.2086 -1.2009 -1.1939 -1.1939 -1.1833 -1.1761 -1.1821 -1.2000
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value = G_RP 
 -2.2520 -2.2067 -2.1663 -2.1262 -2.0893 -2.0376 -1.9623 -1.8637 -1.7678 -1.6811
 -1.6017 -1.5284 -1.4620 -1.4017 -1.3471 -1.2390
 -2.0897 -2.0386 -1.9979 -1.9626 -1.9307 -1.8928 -1.8392 -1.7685 -1.7001 -1.6366
 -1.5755 -1.5150 -1.4563 -1.4017 -1.3525 -1.2547 -1.1897 -1.1567 -1.1530
