 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = G_BP 
 -3.3283 -3.0592 -2.8340 -2.6428 -2.4765 -2.3281 -2.1937 -2.0713 -1.9601 -1.8592
 -1.7671 -1.6814 -1.6001 -1.5222 -1.4464 -1.2657 -1.1068 -0.9801 -0.8841 -0.8130
 -0.7613 -0.7226 -0.6914 -0.6643 -0.6393 -0.6156 -0.5931 -0.5717 -0.5522 -0.5359
 -0.5257
 -3.2516 -3.0033 -2.7904 -2.6081 -2.4491 -2.3066 -2.1762 -2.0557 -1.9444 -1.8422
 -1.7485 -1.6623 -1.5817 -1.5048 -1.4306 -1.2566 -1.1041 -0.9789 -0.8823 -0.8103
 -0.7586 -0.7219 -0.6951 -0.6736 -0.6548 -0.6370 -0.6200 -0.6033 -0.5873 -0.5728
 -0.5594
 -3.1890 -2.9583 -2.7544 -2.5775 -2.4222 -2.2836 -2.1566 -2.0386 -1.9285 -1.8262
 -1.7316 -1.6445 -1.5640 -1.4887 -1.4166 -1.2483 -1.1005 -0.9778 -0.8810 -0.8079
 -0.7550 -0.7182 -0.6933 -0.6760 -0.6628 -0.6513 -0.6405 -0.6296 -0.6186 -0.6080
 -0.5985
 -3.1380 -2.9225 -2.7285 -2.5544 -2.4000 -2.2621 -2.1367 -2.0204 -1.9118 -1.8100
 -1.7152 -1.6275 -1.5452 -1.4701 -1.4044 -1.2408 -1.0960 -0.9768 -0.8802
 [Fe/H] = -1.50 [alpha/Fe] = 0.00 BC value = G_BP 
 -5.8124 -5.2551 -4.7689 -4.3478 -3.9840 -3.6605 -3.3607 -3.0773 -2.8252 -2.6066
 -2.4127 -2.2364 -2.0743 -1.9288 -1.7977 -1.5187 -1.2878 -1.0939 -0.9318
 -5.3625 -4.8156 -4.3364 -3.9282 -3.5848 -3.2940 -3.0399 -2.8092 -2.6046 -2.4240
 -2.2597 -2.1043 -1.9557 -1.8185 -1.6943 -1.4341 -1.2265 -1.0537 -0.9112 -0.7969
 -4.8061 -4.3121 -3.9290 -3.5992 -3.3031 -3.0446 -2.8197 -2.6209 -2.4453 -2.2895
 -2.1475 -2.0112 -1.8758 -1.7456 -1.6260 -1.3770 -1.1837 -1.0271 -0.8985 -0.7944
 -0.7100
 -4.4901 -3.9560 -3.5408 -3.2254 -2.9922 -2.8171 -2.6532 -2.4887 -2.3320 -2.1898
 -2.0610 -1.9405 -1.8200 -1.6982 -1.5828 -1.3406 -1.1558 -1.0098 -0.8916 -0.7959
 -0.7180 -0.6528
 -4.3403 -3.7989 -3.3730 -3.0433 -2.7881 -2.5944 -2.4505 -2.3389 -2.2386 -2.1235
 -2.0023 -1.8868 -1.7769 -1.6660 -1.5560 -1.3187 -1.1384 -0.9990 -0.8885 -0.7997
 -0.7276 -0.6673 -0.6152 -0.5695
 -4.2640 -3.7300 -3.3053 -2.9730 -2.7132 -2.5086 -2.3461 -2.2156 -2.1116 -2.0293
 -1.9471 -1.8501 -1.7459 -1.6416 -1.5382 -1.3062 -1.1280 -0.9923 -0.8869 -0.8039
 -0.7374 -0.6820 -0.6343 -0.5920 -0.5539 -0.5194 -0.4892 -0.4642 -0.4461 -0.4390
 -4.2081 -3.6943 -3.2793 -2.9507 -2.6900 -2.4807 -2.3108 -2.1709 -2.0539 -1.9539
 -1.8682 -1.7918 -1.7114 -1.6211 -1.5249 -1.2994 -1.1219 -0.9878 -0.8854 -0.8065
 -0.7451 -0.6950 -0.6521 -0.6141 -0.5795 -0.5478 -0.5194 -0.4944 -0.4742 -0.4629
 -0.4628
 -4.1484 -3.6648 -3.2675 -2.9470 -2.6892 -2.4787 -2.3047 -2.1580 -2.0331 -1.9248
 -1.8285 -1.7415 -1.6629 -1.5872 -1.5065 -1.2955 -1.1187 -0.9846 -0.8833 -0.8069
 -0.7492 -0.7041 -0.6666 -0.6337 -0.6036 -0.5756 -0.5500 -0.5267 -0.5061 -0.4919
 -0.4874
 -4.0753 -3.6288 -3.2548 -2.9467 -2.6941 -2.4850 -2.3091 -2.1584 -2.0276 -1.9129
 -1.8107 -1.7180 -1.6325 -1.5534 -1.4781 -1.2890 -1.1159 -0.9810 -0.8798 -0.8043
 -0.7488 -0.7077 -0.6755 -0.6482 -0.6236 -0.6006 -0.5790 -0.5588 -0.5405 -0.5262
 -0.5160
 -4.0014 -3.5986 -3.2501 -2.9553 -2.7081 -2.5001 -2.3227 -2.1690 -2.0339 -1.9140
 -1.8067 -1.7097 -1.6207 -1.5380 -1.4602 -1.2807 -1.1166 -0.9807 -0.8781 -0.8018
 -0.7464 -0.7072 -0.6789 -0.6570 -0.6383 -0.6211 -0.6048 -0.5891 -0.5744 -0.5612
 -0.5491
 -3.9282 -3.5664 -3.2461 -2.9672 -2.7270 -2.5203 -2.3410 -2.1840 -2.0450 -1.9208
 -1.8091 -1.7081 -1.6160 -1.5310 -1.4518 -1.2726 -1.1155 -0.9819 -0.8774 -0.7995
 -0.7430 -0.7037 -0.6772 -0.6592 -0.6459 -0.6347 -0.6246 -0.6146 -0.6047 -0.5953
 -0.5870
 -3.8654 -3.5362 -3.2421 -2.9803 -2.7495 -2.5455 -2.3648 -2.2041 -2.0606 -1.9318
 -1.8156 -1.7106 -1.6115 -1.5244 -1.4529 -1.2647 -1.1126 -0.9846 -0.8777
 [Fe/H] = -1.00 [alpha/Fe] = 0.00 BC value = G_BP 
 -6.6115 -6.1575 -5.7252 -5.3086 -4.8976 -4.4628 -3.9750 -3.4481 -3.0039 -2.6553
 -2.3881 -2.1785 -2.0055 -1.8589 -1.7309 -1.4680 -1.2580 -1.0804 -0.9284
 -6.2228 -5.7240 -5.2555 -4.8191 -4.4106 -4.0134 -3.5926 -3.1720 -2.8088 -2.5119
 -2.2735 -2.0799 -1.9174 -1.7767 -1.6527 -1.3994 -1.2031 -1.0426 -0.9071 -0.7936
 -5.8992 -5.3925 -4.9128 -4.4684 -4.0631 -3.6929 -3.3345 -2.9844 -2.6752 -2.4146
 -2.1986 -2.0182 -1.8631 -1.7265 -1.6051 -1.3565 -1.1676 -1.0174 -0.8930 -0.7890
 -0.7030
 -5.4197 -4.9421 -4.5352 -4.1572 -3.7940 -3.4536 -3.1381 -2.8408 -2.5727 -2.3407
 -2.1439 -1.9762 -1.8293 -1.6973 -1.5780 -1.3318 -1.1461 -1.0017 -0.8848 -0.7882
 -0.7083 -0.6416
 -5.1030 -4.5579 -4.1023 -3.7275 -3.4258 -3.1812 -2.9498 -2.7132 -2.4854 -2.2798
 -2.0998 -1.9436 -1.8058 -1.6799 -1.5636 -1.3189 -1.1341 -0.9926 -0.8806 -0.7896
 -0.7151 -0.6532 -0.6004 -0.5547
 -4.9718 -4.3648 -3.8643 -3.4637 -3.1437 -2.8870 -2.6796 -2.5096 -2.3625 -2.2139
 -2.0620 -1.9176 -1.7868 -1.6678 -1.5561 -1.3136 -1.1281 -0.9876 -0.8786 -0.7919
 -0.7221 -0.6649 -0.6164 -0.5743 -0.5368 -0.5037 -0.4747 -0.4509 -0.4338 -0.4265
 -4.9466 -4.3106 -3.7803 -3.3547 -3.0188 -2.7515 -2.5351 -2.3565 -2.2081 -2.0875
 -1.9858 -1.8826 -1.7709 -1.6583 -1.5512 -1.3128 -1.1261 -0.9851 -0.8775 -0.7938
 -0.7279 -0.6752 -0.6315 -0.5935 -0.5597 -0.5292 -0.5023 -0.4791 -0.4604 -0.4494
