 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  i   
 -2.7865 -1.5989 -0.2917 -0.0395 -1.2099 -3.5601 -2.7505 -1.3954 -0.5942 -0.5255
 -0.4382 -0.4418 -0.8452 -1.3389 -1.5873 -1.4304
 -2.7623 -2.2314 -1.5764 -1.3682 -1.7447 -2.7780 -2.4235 -1.8201 -1.3826 -1.2188
 -1.0942 -1.0590 -1.2127 -1.4193 -1.5208 -1.3972 -1.3216 -1.2842 -1.3327
 -2.5335 -2.3743 -2.1327 -1.9783 -1.9450 -2.1779 -2.0794 -1.9172 -1.7452 -1.5950
 -1.4882 -1.4389 -1.4462 -1.4742 -1.4787 -1.3834 -1.3384 -1.3091 -1.3197 -1.3366
 -1.3286
 -2.1000 -2.0276 -1.9606 -1.8698 -1.8108 -1.7597 -1.7182 -1.6864 -1.6819 -1.6539
 -1.6201 -1.5815 -1.5457 -1.5035 -1.4610 -1.3890 -1.3426 -1.3235 -1.3225 -1.3336
 -1.3514 -1.3747 -1.4018
 -1.8730 -1.8379 -1.8024 -1.7548 -1.7142 -1.6749 -1.6393 -1.6087 -1.5832 -1.5613
 -1.5391 -1.5141 -1.4891 -1.4623 -1.4336 -1.3796 -1.3522 -1.3424 -1.3442 -1.3544
 -1.3706 -1.3916 -1.4163 -1.4452 -1.4790
 -1.6633 -1.6575 -1.6480 -1.6330 -1.6125 -1.5887 -1.5637 -1.5395 -1.5172 -1.4971
 -1.4791 -1.4622 -1.4445 -1.4279 -1.4088 -1.3694 -1.3541 -1.3528 -1.3593 -1.3711
 -1.3874 -1.4075 -1.4309 -1.4574 -1.4872 -1.5212
 -1.4710 -1.4864 -1.4974 -1.5044 -1.5058 -1.5011 -1.4914 -1.4788 -1.4649 -1.4504
 -1.4364 -1.4230 -1.4104 -1.3993 -1.3866 -1.3584 -1.3483 -1.3547 -1.3678 -1.3837
 -1.4018 -1.4224 -1.4455 -1.4708 -1.4985 -1.5291 -1.5632 -1.6034 -1.6509 -1.7011
 -1.2960 -1.3246 -1.3506 -1.3742 -1.3939 -1.4078 -1.4153 -1.4171 -1.4145 -1.4089
 -1.4013 -1.3926 -1.3835 -1.3748 -1.3665 -1.3465 -1.3387 -1.3481 -1.3672 -1.3892
 -1.4116 -1.4347 -1.4590 -1.4846 -1.5115 -1.5402 -1.5707 -1.6054 -1.6468 -1.6954
 -1.7474
 -1.1475 -1.1811 -1.2151 -1.2494 -1.2817 -1.3103 -1.3335 -1.3502 -1.3605 -1.3656
 -1.3663 -1.3640 -1.3598 -1.3544 -1.3483 -1.3343 -1.3280 -1.3365 -1.3581 -1.3856
 -1.4141 -1.4420 -1.4693 -1.4968 -1.5247 -1.5531 -1.5830 -1.6143 -1.6495 -1.6912
 -1.7410
 -1.0220 -1.0588 -1.0973 -1.1373 -1.1769 -1.2149 -1.2495 -1.2788 -1.3017 -1.3179
 -1.3280 -1.3333 -1.3350 -1.3341 -1.3312 -1.3215 -1.3171 -1.3240 -1.3446 -1.3745
 -1.4084 -1.4423 -1.4749 -1.5061 -1.5364 -1.5663 -1.5965 -1.6275 -1.6603 -1.6971
 -1.7380
 -0.9212 -0.9583 -0.9975 -1.0385 -1.0812 -1.1238 -1.1650 -1.2031 -1.2366 -1.2636
 -1.2837 -1.2978 -1.3068 -1.3117 -1.3133 -1.3096 -1.3062 -1.3124 -1.3305 -1.3591
 -1.3949 -1.4336 -1.4720 -1.5086 -1.5432 -1.5762 -1.6084 -1.6402 -1.6724 -1.7060
 -1.7418
 -0.8469 -0.8796 -0.9160 -0.9556 -0.9981 -1.0416 -1.0857 -1.1285 -1.1685 -1.2032
 -1.2320 -1.2552 -1.2729 -1.2852 -1.2925 -1.2972 -1.2963 -1.3017 -1.3178 -1.3443
 -1.3790 -1.4190 -1.4615 -1.5035 -1.5435 -1.5811 -1.6169 -1.6512 -1.6848 -1.7183
 -1.7529
 -0.7991 -0.8227 -0.8528 -0.8886 -0.9276 -0.9683 -1.0143 -1.0587 -1.1017 -1.1409
 -1.1759 -1.2071 -1.2348 -1.2546 -1.2691 -1.2845 -1.2874 -1.2919 -1.3065
 [Fe/H] = -3.00 [alpha/Fe] = 0.40 BC value =  i   
 -2.0450 -1.9319 -1.8673 -1.8544 -1.9000 -2.1481 -2.0309 -1.9062 -1.8089 -1.7349
 -1.6277 -1.5267 -1.5079 -1.5306 -1.5214 -1.3771
 -2.0558 -1.9441 -1.8682 -1.8307 -1.8366 -1.9589 -1.9072 -1.8452 -1.7880 -1.7358
 -1.6683 -1.6013 -1.5636 -1.5415 -1.5075 -1.3820 -1.3103 -1.2798 -1.2741
 -2.0432 -1.9378 -1.8575 -1.8042 -1.7815 -1.8147 -1.8008 -1.7787 -1.7499 -1.7155
 -1.6768 -1.6347 -1.5901 -1.5436 -1.4960 -1.3868 -1.3269 -1.3020 -1.2983 -1.3084
 -1.3273
 -2.0072 -1.9130 -1.8352 -1.7749 -1.7345 -1.7155 -1.7117 -1.7068 -1.6943 -1.6741
 -1.6530 -1.6267 -1.5874 -1.5368 -1.4869 -1.3915 -1.3406 -1.3210 -1.3195 -1.3292
 -1.3464 -1.3694 -1.3970
 -1.9478 -1.8697 -1.8013 -1.7428 -1.6957 -1.6613 -1.6399 -1.6293 -1.6214 -1.6116
 -1.5970 -1.5774 -1.5556 -1.5211 -1.4802 -1.3961 -1.3514 -1.3368 -1.3377 -1.3477
 -1.3639 -1.3851 -1.4104 -1.4401 -1.4747
 -1.8650 -1.8079 -1.7558 -1.7079 -1.6651 -1.6289 -1.6006 -1.5802 -1.5660 -1.5554
 -1.5433 -1.5276 -1.5132 -1.4947 -1.4675 -1.3977 -1.3574 -1.3472 -1.3520 -1.3636
 -1.3799 -1.4003 -1.4241 -1.4513 -1.4819 -1.5165
 -1.7604 -1.7239 -1.6908 -1.6585 -1.6266 -1.5960 -1.5684 -1.5454 -1.5273 -1.5124
 -1.4986 -1.4844 -1.4693 -1.4584 -1.4411 -1.3922 -1.3574 -1.3502 -1.3599 -1.3754
 -1.3936 -1.4145 -1.4381 -1.4641 -1.4926 -1.5240 -1.5589 -1.5998 -1.6477 -1.6981
 -1.6418 -1.6219 -1.6057 -1.5901 -1.5726 -1.5529 -1.5317 -1.5114 -1.4933 -1.4780
 -1.4644 -1.4507 -1.4362 -1.4245 -1.4118 -1.3768 -1.3509 -1.3459 -1.3595 -1.3804
 -1.4029 -1.4263 -1.4510 -1.4773 -1.5051 -1.5347 -1.5668 -1.6020 -1.6434 -1.6924
 -1.7445
 -1.5290 -1.5143 -1.5064 -1.5045 -1.5012 -1.4948 -1.4841 -1.4708 -1.4569 -1.4437
 -1.4317 -1.4204 -1.4086 -1.3967 -1.3863 -1.3579 -1.3390 -1.3357 -1.3509 -1.3771
 -1.4023 -1.4334 -1.4611 -1.4893 -1.5179 -1.5471 -1.5778 -1.6123 -1.6508 -1.6929
 -1.7382
 -1.3897 -1.4009 -1.4069 -1.4082 -1.4157 -1.4212 -1.4227 -1.4197 -1.4132 -1.4049
 -1.3964 -1.3882 -1.3800 -1.3712 -1.3632 -1.3396 -1.3245 -1.3233 -1.3385 -1.3665
 -1.3999 -1.4338 -1.4667 -1.4984 -1.5295 -1.5601 -1.5911 -1.6228 -1.6562 -1.6928
 -1.7351
 -1.2679 -1.2880 -1.3009 -1.3073 -1.3223 -1.3361 -1.3481 -1.3560 -1.3596 -1.3592
 -1.3564 -1.3526 -1.3485 -1.3440 -1.3392 -1.3232 -1.3106 -1.3104 -1.3246 -1.3515
 -1.3869 -1.4256 -1.4642 -1.5011 -1.5362 -1.5699 -1.6028 -1.6353 -1.6681 -1.7023
 -1.7387
 -1.1523 -1.1754 -1.1966 -1.2159 -1.2368 -1.2579 -1.2775 -1.2816 -1.2950 -1.3043
 -1.3095 -1.3120 -1.3129 -1.3130 -1.3123 -1.3068 -1.2974 -1.2981 -1.3115 -1.3368
 -1.3713 -1.4115 -1.4541 -1.4964 -1.5368 -1.5749 -1.6113 -1.6463 -1.6804 -1.7145
 -1.7496
 -1.0426 -1.0633 -1.0942 -1.1341 -1.1592 -1.1867 -1.1907 -1.2135 -1.2335 -1.2406
 -1.2547 -1.2652 -1.2726 -1.2780 -1.2825 -1.2904 -1.2849 -1.2864 -1.2992
 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  i   
 -2.1201 -2.1433 -2.2273 -2.2256 -2.1064 -1.9870 -1.9714 -2.0145 -2.0160 -1.9465
 -1.8491 -1.7422 -1.6491 -1.5777 -1.5092 -1.3706
 -2.0810 -2.0325 -2.0321 -2.0087 -1.9479 -1.8934 -1.8811 -1.8901 -1.8804 -1.8395
 -1.7810 -1.7100 -1.6363 -1.5688 -1.5058 -1.3816 -1.3081 -1.2761 -1.2628
 -2.0514 -1.9564 -1.8984 -1.8559 -1.8257 -1.8074 -1.7968 -1.7874 -1.7734 -1.7519
 -1.7202 -1.6763 -1.6208 -1.5605 -1.5036 -1.3921 -1.3261 -1.2980 -1.2911 -1.2997
 -1.3218
 -2.0313 -1.9150 -1.8262 -1.7672 -1.7398 -1.7290 -1.7185 -1.7064 -1.6950 -1.6837
 -1.6667 -1.6411 -1.6026 -1.5528 -1.5026 -1.4021 -1.3420 -1.3169 -1.3140 -1.3233
 -1.3403 -1.3636 -1.3924
 -2.0207 -1.9083 -1.8155 -1.7426 -1.6902 -1.6582 -1.6462 -1.6471 -1.6452 -1.6349
 -1.6205 -1.6044 -1.5817 -1.5457 -1.5028 -1.4116 -1.3558 -1.3328 -1.3315 -1.3411
 -1.3573 -1.3786 -1.4044 -1.4342 -1.4690
