 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =  z   
 -0.5776 -0.6084 -0.6555 -0.7089 -0.7478 -0.7593 -0.6605 -0.6605 -0.6551 -0.6387
 -0.6105 -0.5634 -0.5318 -0.4940 -0.4569 -0.3960 -0.3984 -0.4419 -0.4918
 -0.5628 -0.5363 -0.5313 -0.5456 -0.5753 -0.6007 -0.6157 -0.6234 -0.6263 -0.6240
 -0.6111 -0.5855 -0.5519 -0.5188 -0.4909 -0.4525 -0.4521 -0.4785 -0.5166 -0.5600
 -0.5514 -0.5374 -0.5260 -0.5199 -0.5229 -0.5393 -0.5674 -0.5913 -0.6025 -0.6018
 -0.5964 -0.5844 -0.5615 -0.5342 -0.5100 -0.4743 -0.4756 -0.5025 -0.5409 -0.5841
 -0.6293
 -0.5279 -0.5242 -0.5179 -0.5109 -0.5062 -0.5066 -0.5142 -0.5302 -0.5515 -0.5671
 -0.5720 -0.5715 -0.5620 -0.5433 -0.5235 -0.4924 -0.4938 -0.5212 -0.5604 -0.6037
 -0.6489 -0.6947
 -0.4814 -0.4912 -0.4948 -0.4939 -0.4907 -0.4881 -0.4884 -0.4929 -0.5017 -0.5143
 -0.5270 -0.5358 -0.5412 -0.5379 -0.5280 -0.5040 -0.5059 -0.5339 -0.5748 -0.6193
 -0.6651 -0.7117 -0.7583 -0.8038
 -0.4137 -0.4378 -0.4540 -0.4628 -0.4661 -0.4666 -0.4668 -0.4683 -0.4723 -0.4782
 -0.4856 -0.4938 -0.5033 -0.5096 -0.5116 -0.5072 -0.5113 -0.5394 -0.5830 -0.6304
 -0.6780 -0.7258 -0.7737 -0.8214 -0.8683 -0.9154 -0.9635 -1.0135 -1.0661 -1.1216
 -0.3318 -0.3664 -0.3953 -0.4157 -0.4286 -0.4361 -0.4404 -0.4436 -0.4473 -0.4521
 -0.4576 -0.4634 -0.4703 -0.4779 -0.4840 -0.4962 -0.5093 -0.5381 -0.5838 -0.6353
 -0.6865 -0.7367 -0.7864 -0.8358 -0.8845 -0.9317 -0.9789 -1.0279 -1.0803 -1.1365
 -1.1949
