 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = BX   
 -8.9728 -8.7627 -8.9283 -8.8512 -8.6258 -8.2688 -7.8146 -7.5354 -7.2609 -6.9741
 -6.7022 -6.4506 -6.2180 -5.9968 -5.7828 -5.3033 -4.8057 -4.3455 -4.0118
 -8.8077 -8.4514 -8.1706 -7.9792 -7.8605 -7.7062 -7.4658 -7.1841 -6.9031 -6.6271
 -6.3631 -6.1175 -5.8910 -5.6803 -5.4817 -5.0218 -4.6026 -4.2453 -3.9683 -3.7553
 -8.4734 -8.1196 -7.8106 -7.5537 -7.3446 -7.1933 -7.0647 -6.8790 -6.6375 -6.3747
 -6.1188 -5.8781 -5.6575 -5.4555 -5.2693 -4.8555 -4.4916 -4.1774 -3.9292 -3.7374
 -3.5833
 -8.1982 -7.8747 -7.5721 -7.3044 -7.0694 -6.8589 -6.6751 -6.5250 -6.3662 -6.1620
 -5.9316 -5.7030 -5.4886 -5.2924 -5.1140 -4.7312 -4.4087 -4.1324 -3.9066 -3.7316
 -3.5907 -3.4713
 -7.9483 -7.6660 -7.3879 -7.1278 -6.8924 -6.6758 -6.4714 -6.2790 -6.1092 -5.9459
 -5.7695 -5.5725 -5.3727 -5.1834 -5.0098 -4.6455 -4.3509 -4.1014 -3.8960 -3.7343
 -3.6041 -3.4938 -3.3964 -3.3087
 -7.7156 -7.4699 -7.2263 -6.9853 -6.7586 -6.5478 -6.3473 -6.1529 -5.9654 -5.7873
 -5.6220 -5.4598 -5.2894 -5.1156 -4.9481 -4.5924 -4.3142 -4.0831 -3.8929 -3.7415
 -3.6204 -3.5183 -3.4282 -3.3461 -3.2667 -3.1917 -3.1243 -3.0668 -3.0212 -2.9884
 -7.5006 -7.2848 -7.0721 -6.8573 -6.6454 -6.4444 -6.2529 -6.0673 -5.8855 -5.7067
 -5.5347 -5.3730 -5.2189 -5.0664 -4.9142 -4.5666 -4.2945 -4.0754 -3.8944 -3.7502
 -3.6362 -3.5418 -3.4591 -3.3837 -3.3136 -3.2477 -3.1862 -3.1298 -3.0789 -3.0365
 -3.0129
 -7.3039 -7.1121 -6.9232 -6.7335 -6.5422 -6.3529 -6.1710 -5.9962 -5.8253 -5.6556
 -5.4881 -5.3262 -5.1727 -5.0273 -4.8873 -4.5607 -4.2889 -4.0747 -3.8993 -3.7587
 -3.6492 -3.5614 -3.4862 -3.4181 -3.3548 -3.2948 -3.2369 -3.1829 -3.1349 -3.0946
 -3.0630
 -7.1259 -6.9533 -6.7823 -6.6089 -6.4391 -6.2667 -6.0950 -5.9284 -5.7679 -5.6096
 -5.4517 -5.2957 -5.1450 -5.0014 -4.8650 -4.5551 -4.2904 -4.0767 -3.9047 -3.7656
 -3.6580 -3.5746 -3.5062 -3.4460 -3.3903 -3.3373 -3.2868 -3.2389 -3.1951 -3.1554
 -3.1195
 -6.9671 -6.8101 -6.6529 -6.4958 -6.3390 -6.1825 -6.0261 -5.8692 -5.7158 -5.5670
 -5.4204 -5.2742 -5.1297 -4.9901 -4.8567 -4.5533 -4.2962 -4.0843 -3.9133 -3.7750
 -3.6667 -3.5844 -3.5205 -3.4673 -3.4195 -3.3745 -3.3314 -3.2899 -3.2503 -3.2132
 -3.1789
 -6.8244 -6.6764 -6.5293 -6.3832 -6.2381 -6.0941 -5.9513 -5.8090 -5.6656 -5.5239
 -5.3856 -5.2495 -5.1142 -4.9806 -4.8505 -4.5529 -4.3009 -4.0912 -3.9207 -3.7835
 -3.6747 -3.5917 -3.5291 -3.4805 -3.4397 -3.4028 -3.3680 -3.3342 -3.3013 -3.2698
 -3.2404
 -6.6834 -6.5241 -6.3790 -6.2439 -6.1149 -5.9887 -5.8626 -5.7349 -5.6059 -5.4765
 -5.3472 -5.2189 -5.0926 -4.9674 -4.8437 -4.5533 -4.3038 -4.0970 -3.9274
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value = BX   
 -9.2706 -9.1010 -8.8933 -8.5611 -8.1779 -7.7940 -7.4572 -7.1694 -6.9023 -6.6465
 -6.4024 -6.1751 -5.9657 -5.7710 -5.5874 -5.1693 -4.7595 -4.3712 -4.0526
 -8.7632 -8.4370 -8.2468 -8.1227 -7.8847 -7.5582 -7.2229 -6.9224 -6.6514 -6.3937
 -6.1486 -5.9214 -5.7140 -5.5249 -5.3500 -4.9552 -4.5967 -4.2696 -3.9926 -3.7725
 -8.4720 -8.1090 -7.8154 -7.5972 -7.4653 -7.3108 -7.0470 -6.7500 -6.4734 -6.2167
 -5.9716 -5.7435 -5.5360 -5.3485 -5.1778 -4.8058 -4.4844 -4.1978 -3.9512 -3.7520
 -3.5917
 -8.2624 -7.9101 -7.5984 -7.3271 -7.1027 -6.9316 -6.7957 -6.6072 -6.3532 -6.0999
 -5.8574 -5.6290 -5.4199 -5.2317 -5.0621 -4.7021 -4.4050 -4.1483 -3.9264 -3.7439
 -3.5961 -3.4725
 -8.0887 -7.7637 -7.4586 -7.1864 -6.9461 -6.7272 -6.5320 -6.3642 -6.2095 -6.0120
 -5.7864 -5.5624 -5.3530 -5.1627 -4.9918 -4.6356 -4.3526 -4.1161 -3.9133 -3.7444
 -3.6069 -3.4921 -3.3922 -3.3019
 -7.9432 -7.6393 -7.3532 -7.0848 -6.8430 -6.6232 -6.4152 -6.2164 -6.0341 -5.8732
 -5.7073 -5.5172 -5.3186 -5.1293 -4.9563 -4.5977 -4.3210 -4.0967 -3.9078 -3.7499
 -3.6211 -3.5141 -3.4214 -3.3382 -3.2613 -3.1904 -3.1257 -3.0674 -3.0170 -2.9813
 -7.8007 -7.5248 -7.2622 -7.0060 -6.7665 -6.5486 -6.3462 -6.1507 -5.9595 -5.7773
 -5.6075 -5.4484 -5.2852 -5.1144 -4.9456 -4.5816 -4.3049 -4.0867 -3.9068 -3.7571
 -3.6355 -3.5357 -3.4501 -3.3735 -3.3031 -3.2358 -3.1732 -3.1175 -3.0705 -3.0332
 -3.0051
 -7.6660 -7.4144 -7.1764 -6.9378 -6.7062 -6.4892 -6.2904 -6.1031 -5.9204 -5.7397
 -5.5634 -5.3954 -5.2393 -5.0900 -4.9402 -4.5841 -4.3007 -4.0837 -3.9088 -3.7646
 -3.6482 -3.5543 -3.4757 -3.4063 -3.3425 -3.2813 -3.2236 -3.1710 -3.1247 -3.0857
 -3.0545
 -7.5445 -7.3092 -7.0890 -6.8698 -6.6516 -6.4396 -6.2412 -6.0575 -5.8835 -5.7127
 -5.5428 -5.3751 -5.2144 -5.0643 -4.9232 -4.5917 -4.3055 -4.0844 -3.9111 -3.7701
 -3.6567 -3.5672 -3.4950 -3.4329 -3.3765 -3.3237 -3.2739 -3.2278 -3.1855 -3.1464
 -3.1105
 -7.4409 -7.2118 -7.0025 -6.8029 -6.6013 -6.4009 -6.2058 -6.0217 -5.8507 -5.6882
 -5.5289 -5.3699 -5.2123 -5.0608 -4.9182 -4.5988 -4.3206 -4.0938 -3.9182 -3.7779
 -3.6654 -3.5775 -3.5092 -3.4536 -3.4048 -3.3597 -3.3171 -3.2765 -3.2379 -3.2021
 -3.1691
