 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  G   
 -2.8534 -2.8419 -3.0265 -3.0286 -2.9448 -2.8043 -2.6303 -2.5191 -2.4187 -2.3122
 -2.2098 -2.1138 -2.0237 -1.9413 -1.8685 -1.7165 -1.6127 -1.5515 -1.5120
 -2.8580 -2.7739 -2.7044 -2.6657 -2.6591 -2.6262 -2.5431 -2.4414 -2.3424 -2.2463
 -2.1532 -2.0650 -1.9833 -1.9092 -1.8427 -1.7084 -1.6153 -1.5561 -1.5205 -1.4996
 -2.7322 -2.6526 -2.5730 -2.5016 -2.4453 -2.4178 -2.4031 -2.3589 -2.2845 -2.1979
 -2.1131 -2.0317 -1.9559 -1.8869 -1.8252 -1.7015 -1.6166 -1.5639 -1.5330 -1.5148
 -1.5048
 -2.6184 -2.5545 -2.4818 -2.4084 -2.3404 -2.2813 -2.2368 -2.2126 -2.1876 -2.1407
 -2.0750 -2.0036 -1.9344 -1.8704 -1.8128 -1.6971 -1.6183 -1.5710 -1.5443 -1.5291
 -1.5207 -1.5170
 -2.5043 -2.4600 -2.4025 -2.3371 -2.2709 -2.2086 -2.1527 -2.1044 -2.0696 -2.0412
 -2.0089 -1.9638 -1.9102 -1.8544 -1.8016 -1.6933 -1.6189 -1.5757 -1.5532 -1.5417
 -1.5356 -1.5334 -1.5342 -1.5379
 -2.3888 -2.3607 -2.3214 -2.2701 -2.2125 -2.1537 -2.0981 -2.0471 -2.0014 -1.9617
 -1.9289 -1.8988 -1.8649 -1.8259 -1.7847 -1.6879 -1.6173 -1.5769 -1.5579 -1.5510
 -1.5486 -1.5489 -1.5514 -1.5557 -1.5609 -1.5682 -1.5787 -1.5938 -1.6140 -1.6399
 -2.2745 -2.2583 -2.2338 -2.1981 -2.1533 -2.1032 -2.0518 -2.0027 -1.9578 -1.9164
 -1.8786 -1.8446 -1.8142 -1.7846 -1.7539 -1.6770 -1.6125 -1.5726 -1.5570 -1.5551
 -1.5577 -1.5619 -1.5673 -1.5736 -1.5808 -1.5876 -1.5959 -1.6081 -1.6259 -1.6503
 -1.6800
 -2.1640 -2.1559 -2.1413 -2.1182 -2.0869 -2.0488 -2.0059 -1.9616 -1.9193 -1.8801
 -1.8439 -1.8100 -1.7783 -1.7493 -1.7220 -1.6582 -1.6036 -1.5660 -1.5510 -1.5526
 -1.5608 -1.5704 -1.5800 -1.5896 -1.5994 -1.6091 -1.6179 -1.6281 -1.6423 -1.6626
 -1.6903
 -2.0596 -2.0568 -2.0482 -2.0324 -2.0125 -1.9858 -1.9538 -1.9178 -1.8805 -1.8443
 -1.8107 -1.7797 -1.7504 -1.7226 -1.6961 -1.6376 -1.5903 -1.5571 -1.5417 -1.5446
 -1.5571 -1.5724 -1.5876 -1.6021 -1.6157 -1.6285 -1.6409 -1.6534 -1.6679 -1.6845
 -1.7032
 -1.9641 -1.9643 -1.9592 -1.9491 -1.9348 -1.9165 -1.8944 -1.8680 -1.8386 -1.8076
 -1.7774 -1.7494 -1.7233 -1.6982 -1.6742 -1.6201 -1.5765 -1.5464 -1.5316 -1.5336
 -1.5475 -1.5670 -1.5878 -1.6080 -1.6267 -1.6439 -1.6600 -1.6752 -1.6900 -1.7055
 -1.7219
