 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =F350LP
 -2.7052 -2.6774 -2.6896 -2.6717 -2.6090 -2.5497 -2.5339 -2.5401 -2.5276 -2.4820
 -2.4177 -2.3396 -2.2573 -2.1800 -2.1055 -1.9461 -1.8266 -1.7431 -1.6799
 -2.6849 -2.6061 -2.5553 -2.5138 -2.4805 -2.4567 -2.4396 -2.4236 -2.4031 -2.3746
 -2.3352 -2.2824 -2.2165 -2.1448 -2.0757 -1.9298 -1.8221 -1.7471 -1.6940 -1.6583
 -2.6700 -2.5664 -2.4809 -2.4196 -2.3874 -2.3701 -2.3517 -2.3311 -2.3108 -2.2903
 -2.2637 -2.2276 -2.1774 -2.1150 -2.0519 -1.9175 -1.8192 -1.7514 -1.7058 -1.6746
 -1.6526
 -2.6605 -2.5583 -2.4664 -2.3891 -2.3297 -2.2899 -2.2702 -2.2626 -2.2507 -2.2291
 -2.2032 -2.1752 -2.1400 -2.0906 -2.0341 -1.9092 -1.8179 -1.7560 -1.7153 -1.6875
 -1.6678 -1.6537
 -2.6352 -2.5441 -2.4584 -2.3811 -2.3149 -2.2620 -2.2233 -2.1971 -2.1817 -2.1706
 -2.1528 -2.1274 -2.1003 -2.0648 -2.0179 -1.9028 -1.8166 -1.7593 -1.7234 -1.6995
 -1.6827 -1.6705 -1.6617 -1.6554
 -2.5852 -2.5106 -2.4380 -2.3693 -2.3060 -2.2502 -2.2036 -2.1668 -2.1385 -2.1162
 -2.0974 -2.0775 -2.0545 -2.0298 -1.9956 -1.8956 -1.8141 -1.7599 -1.7282 -1.7090
 -1.6959 -1.6867 -1.6800 -1.6754 -1.6723 -1.6708 -1.6715 -1.6766 -1.6881 -1.7058
 -2.5104 -2.4536 -2.3973 -2.3420 -2.2883 -2.2370 -2.1898 -2.1482 -2.1136 -2.0846
 -2.0589 -2.0348 -2.0106 -1.9888 -1.9634 -1.8835 -1.8093 -1.7572 -1.7281 -1.7136
 -1.7055 -1.7003 -1.6970 -1.6949 -1.6937 -1.6933 -1.6944 -1.6972 -1.7051 -1.7207
 -1.7429
 -2.4167 -2.3759 -2.3354 -2.2951 -2.2543 -2.2128 -2.1711 -2.1305 -2.0933 -2.0609
 -2.0322 -2.0056 -1.9797 -1.9546 -1.9316 -1.8643 -1.8005 -1.7515 -1.7236 -1.7122
 -1.7092 -1.7092 -1.7104 -1.7120 -1.7139 -1.7158 -1.7183 -1.7218 -1.7275 -1.7379
 -1.7576
 -2.3110 -2.2839 -2.2566 -2.2296 -2.2018 -2.1721 -2.1397 -2.1054 -2.0708 -2.0379
 -2.0079 -1.9807 -1.9548 -1.9293 -1.9057 -1.8437 -1.7874 -1.7431 -1.7159 -1.7057
 -1.7064 -1.7117 -1.7183 -1.7249 -1.7311 -1.7366 -1.7418 -1.7471 -1.7532 -1.7615
 -1.7750
 -2.2015 -2.1852 -2.1683 -2.1515 -2.1347 -2.1161 -2.0946 -2.0694 -2.0414 -2.0120
 -1.9832 -1.9562 -1.9312 -1.9074 -1.8844 -1.8267 -1.7743 -1.7338 -1.7075 -1.6967
 -1.6984 -1.7072 -1.7190 -1.7312 -1.7427 -1.7529 -1.7623 -1.7709 -1.7791 -1.7879
 -1.7975
 -2.0900 -2.0832 -2.0750 -2.0660 -2.0570 -2.0475 -2.0356 -2.0202 -2.0009 -1.9784
 -1.9540 -1.9293 -1.9058 -1.8838 -1.8628 -1.8113 -1.7621 -1.7239 -1.6990 -1.6875
 -1.6884 -1.6981 -1.7130 -1.7301 -1.7471 -1.7630 -1.7775 -1.7906 -1.8025 -1.8139
 -1.8257
 -1.9765 -1.9779 -1.9800 -1.9770 -1.9741 -1.9708 -1.9661 -1.9591 -1.9486 -1.9345
 -1.9171 -1.8976 -1.8772 -1.8574 -1.8409 -1.7975 -1.7508 -1.7134 -1.6904
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value =F350LP
 -2.9192 -2.8683 -2.8262 -2.7883 -2.7522 -2.7130 -2.6660 -2.6085 -2.5433 -2.4750
 -2.4029 -2.3260 -2.2459 -2.1681 -2.0914 -1.9387 -1.8228 -1.7395 -1.6828
 -2.8216 -2.7547 -2.7004 -2.6542 -2.6128 -2.5737 -2.5343 -2.4898 -2.4416 -2.3912
 -2.3368 -2.2758 -2.2072 -2.1362 -2.0687 -1.9260 -1.8191 -1.7430 -1.6913 -1.6560
 -2.7711 -2.6740 -2.6025 -2.5578 -2.5112 -2.4700 -2.4325 -2.3954 -2.3576 -2.3193
 -2.2788 -2.2329 -2.1777 -2.1145 -2.0516 -1.9175 -1.8177 -1.7472 -1.6998 -1.6679
 -1.6453
