 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  z   
 -1.2453 -1.2601 -1.4419 -1.4690 -1.4251 -1.3335 -1.2076 -1.1326 -1.0658 -0.9943
 -0.9281 -0.8654 -0.8092 -0.7596 -0.7186 -0.6378 -0.6189 -0.6631 -0.7089
 -1.2653 -1.2268 -1.1982 -1.1934 -1.2139 -1.2122 -1.1682 -1.1063 -1.0438 -0.9833
 -0.9253 -0.8713 -0.8225 -0.7800 -0.7443 -0.6863 -0.6720 -0.6903 -0.7241 -0.7644
 -1.1701 -1.1371 -1.1021 -1.0724 -1.0535 -1.0568 -1.0704 -1.0603 -1.0233 -0.9738
 -0.9241 -0.8760 -0.8322 -0.7938 -0.7615 -0.7090 -0.6954 -0.7132 -0.7471 -0.7873
 -0.8303
 -1.0788 -1.0605 -1.0325 -1.0025 -0.9755 -0.9538 -0.9429 -0.9483 -0.9536 -0.9415
 -0.9123 -0.8751 -0.8373 -0.8030 -0.7739 -0.7266 -0.7137 -0.7310 -0.7653 -0.8057
 -0.8486 -0.8929
 -0.9808 -0.9815 -0.9676 -0.9453 -0.9209 -0.8981 -0.8785 -0.8637 -0.8591 -0.8603
 -0.8600 -0.8497 -0.8298 -0.8046 -0.7798 -0.7378 -0.7263 -0.7436 -0.7784 -0.8201
 -0.8637 -0.9085 -0.9541 -1.0005
 -0.8753 -0.8926 -0.8963 -0.8873 -0.8712 -0.8525 -0.8347 -0.8186 -0.8047 -0.7948
 -0.7910 -0.7911 -0.7890 -0.7825 -0.7721 -0.7421 -0.7326 -0.7501 -0.7856 -0.8299
 -0.8755 -0.9215 -0.9682 -1.0152 -1.0623 -1.1102 -1.1596 -1.2111 -1.2650 -1.3216
 -0.7641 -0.7948 -0.8142 -0.8206 -0.8169 -0.8070 -0.7942 -0.7812 -0.7692 -0.7579
 -0.7486 -0.7428 -0.7409 -0.7410 -0.7405 -0.7354 -0.7323 -0.7488 -0.7862 -0.8339
 -0.8830 -0.9315 -0.9798 -1.0281 -1.0765 -1.1240 -1.1719 -1.2221 -1.2759 -1.3336
 -1.3929
 -0.6496 -0.6908 -0.7221 -0.7422 -0.7523 -0.7543 -0.7504 -0.7434 -0.7354 -0.7273
 -0.7196 -0.7129 -0.7082 -0.7066 -0.7073 -0.7141 -0.7240 -0.7431 -0.7806 -0.8310
 -0.8846 -0.9371 -0.9882 -1.0385 -1.0885 -1.1381 -1.1868 -1.2362 -1.2878 -1.3431
 -1.4029
 -0.5336 -0.5833 -0.6235 -0.6537 -0.6765 -0.6906 -0.6980 -0.7000 -0.6987 -0.6953
 -0.6913 -0.6875 -0.6843 -0.6825 -0.6824 -0.6910 -0.7085 -0.7334 -0.7708 -0.8226
 -0.8801 -0.9375 -0.9929 -1.0464 -1.0987 -1.1502 -1.2012 -1.2521 -1.3042 -1.3576
 -1.4122
 -0.4184 -0.4748 -0.5220 -0.5609 -0.5922 -0.6166 -0.6347 -0.6470 -0.6548 -0.6587
 -0.6602 -0.6606 -0.6607 -0.6613 -0.6627 -0.6721 -0.6915 -0.7199 -0.7583 -0.8094
 -0.8687 -0.9300 -0.9900 -1.0478 -1.1035 -1.1576 -1.2107 -1.2629 -1.3150 -1.3674
 -1.4215
 -0.3060 -0.3667 -0.4192 -0.4644 -0.5028 -0.5351 -0.5618 -0.5835 -0.6007 -0.6135
 -0.6226 -0.6292 -0.6341 -0.6384 -0.6427 -0.6563 -0.6765 -0.7065 -0.7462 -0.7957
 -0.8543 -0.9172 -0.9807 -1.0429 -1.1027 -1.1604 -1.2163 -1.2708 -1.3243 -1.3775
 -1.4310
 -0.1981 -0.2552 -0.3090 -0.3590 -0.4045 -0.4453 -0.4809 -0.5113 -0.5370 -0.5584
 -0.5760 -0.5903 -0.6018 -0.6113 -0.6197 -0.6404 -0.6635 -0.6938 -0.7340
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value =  z   
 -1.5144 -1.5419 -1.5361 -1.4606 -1.3613 -1.2625 -1.1789 -1.1104 -1.0481 -0.9892
 -0.9341 -0.8826 -0.8350 -0.7915 -0.7530 -0.6782 -0.6454 -0.6568 -0.6921
 -1.3747 -1.3366 -1.3379 -1.3604 -1.3247 -1.2489 -1.1697 -1.1019 -1.0426 -0.9879
 -0.9370 -0.8896 -0.8459 -0.8063 -0.7713 -0.7077 -0.6797 -0.6865 -0.7163 -0.7556
 -1.2878 -1.2392 -1.1970 -1.1753 -1.1898 -1.1953 -1.1529 -1.0926 -1.0364 -0.9857
 -0.9388 -0.8951 -0.8548 -0.8184 -0.7863 -0.7286 -0.7034 -0.7092 -0.7381 -0.7772
 -0.8200
 -1.2091 -1.1712 -1.1262 -1.0832 -1.0536 -1.0470 -1.0608 -1.0572 -1.0225 -0.9791
 -0.9370 -0.8971 -0.8600 -0.8264 -0.7969 -0.7442 -0.7215 -0.7268 -0.7548 -0.7941
 -0.8372 -0.8818
 -1.1244 -1.1051 -1.0707 -1.0314 -0.9952 -0.9652 -0.9465 -0.9436 -0.9526 -0.9473
 -0.9241 -0.8929 -0.8604 -0.8298 -0.8026 -0.7544 -0.7341 -0.7395 -0.7668 -0.8067
 -0.8508 -0.8962 -0.9425 -0.9901
 -1.0308 -1.0294 -1.0129 -0.9838 -0.9510 -0.9204 -0.8937 -0.8721 -0.8601 -0.8605
 -0.8647 -0.8614 -0.8475 -0.8261 -0.8030 -0.7592 -0.7413 -0.7470 -0.7740 -0.8151
 -0.8611 -0.9081 -0.9555 -1.0034 -1.0511 -1.0995 -1.1496 -1.2024 -1.2580 -1.3154
 -0.9242 -0.9412 -0.9435 -0.9308 -0.9080 -0.8821 -0.8573 -0.8351 -0.8159 -0.8015
 -0.7942 -0.7946 -0.7969 -0.7954 -0.7885 -0.7587 -0.7433 -0.7496 -0.7764 -0.8186
 -0.8673 -0.9168 -0.9661 -1.0154 -1.0648 -1.1138 -1.1635 -1.2149 -1.2691 -1.3266
 -1.3871
 -0.8108 -0.8412 -0.8603 -0.8650 -0.8575 -0.8413 -0.8221 -0.8032 -0.7859 -0.7702
 -0.7571 -0.7480 -0.7444 -0.7454 -0.7476 -0.7470 -0.7402 -0.7476 -0.7740 -0.8169
 -0.8685 -0.9215 -0.9736 -1.0250 -1.0759 -1.1257 -1.1754 -1.2264 -1.2799 -1.3366
 -1.3971
