 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value = BX   
 -7.6966 -7.2103 -6.9493 -6.8738 -6.9238 -6.9815 -6.7630 -6.5851 -6.4017 -6.1989
 -5.9720 -5.7352 -5.4981 -5.2516 -5.0119 -4.4187 -3.8581 -3.4338 -3.0533
 -7.5471 -7.1744 -6.8932 -6.6944 -6.5542 -6.4207 -6.2721 -6.1108 -5.9409 -5.7617
 -5.5595 -5.3306 -5.0887 -4.8527 -4.6282 -4.1058 -3.6525 -3.2851 -3.0085 -2.7960
 -7.3002 -6.9356 -6.6260 -6.3663 -6.1552 -5.9937 -5.8704 -5.7418 -5.5842 -5.4034
 -5.2171 -5.0192 -4.8036 -4.5894 -4.3883 -3.9367 -3.5413 -3.2157 -2.9685 -2.7783
 -2.6246
 -7.1024 -6.7599 -6.4552 -6.1836 -5.9431 -5.7336 -5.5545 -5.4049 -5.2707 -5.1202
 -4.9449 -4.7646 -4.5765 -4.3838 -4.2014 -3.8009 -3.4572 -3.1683 -2.9452 -2.7730
 -2.6330 -2.5135
 -6.9061 -6.5979 -6.3143 -6.0512 -5.8076 -5.5840 -5.3812 -5.1994 -5.0366 -4.8880
 -4.7388 -4.5777 -4.4093 -4.2345 -4.0662 -3.7020 -3.3969 -3.1381 -2.9339 -2.7760
 -2.6477 -2.5376 -2.4395 -2.3503
 -6.7005 -6.4314 -6.1783 -5.9359 -5.7033 -5.4823 -5.2745 -5.0816 -4.9044 -4.7411
 -4.5883 -4.4404 -4.2920 -4.1371 -3.9817 -3.6367 -3.3575 -3.1209 -2.9305 -2.7833
 -2.6649 -2.5636 -2.4729 -2.3899 -2.3092 -2.2327 -2.1636 -2.1045 -2.0573 -2.0231
 -6.4950 -6.2585 -6.0378 -5.8224 -5.6100 -5.4016 -5.1997 -5.0068 -4.8253 -4.6564
 -4.4987 -4.3503 -4.2082 -4.0680 -3.9284 -3.6026 -3.3354 -3.1138 -2.9322 -2.7919
 -2.6814 -2.5882 -2.5053 -2.4291 -2.3577 -2.2904 -2.2275 -2.1697 -2.1171 -2.0730
 -2.0481
