 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  z   
 -0.7090 -0.7232 -0.9056 -0.9322 -0.8879 -0.7961 -0.6692 -0.5941 -0.5264 -0.4546
 -0.3877 -0.3247 -0.2683 -0.2178 -0.1766 -0.0945 -0.0748 -0.1216 -0.1629
 -0.7288 -0.6898 -0.6607 -0.6554 -0.6757 -0.6737 -0.6293 -0.5670 -0.5041 -0.4432
 -0.3847 -0.3302 -0.2811 -0.2382 -0.2022 -0.1434 -0.1285 -0.1461 -0.1794 -0.2193
 -0.6330 -0.5995 -0.5641 -0.5340 -0.5146 -0.5176 -0.5310 -0.5206 -0.4832 -0.4333
 -0.3831 -0.3347 -0.2905 -0.2518 -0.2192 -0.1660 -0.1517 -0.1690 -0.2024 -0.2422
 -0.2848
 -0.5412 -0.5225 -0.4941 -0.4637 -0.4363 -0.4143 -0.4030 -0.4081 -0.4131 -0.4007
 -0.3711 -0.3336 -0.2955 -0.2608 -0.2315 -0.1835 -0.1700 -0.1867 -0.2205 -0.2605
 -0.3031 -0.3471
 -0.4427 -0.4430 -0.4288 -0.4062 -0.3814 -0.3583 -0.3384 -0.3232 -0.3183 -0.3192
 -0.3186 -0.3080 -0.2878 -0.2623 -0.2373 -0.1946 -0.1825 -0.1994 -0.2336 -0.2748
 -0.3181 -0.3626 -0.4080 -0.4543
 -0.3366 -0.3536 -0.3571 -0.3479 -0.3314 -0.3125 -0.2943 -0.2778 -0.2636 -0.2534
 -0.2494 -0.2492 -0.2469 -0.2401 -0.2295 -0.1989 -0.1888 -0.2057 -0.2408 -0.2846
 -0.3298 -0.3756 -0.4220 -0.4689 -0.5160 -0.5639 -0.6134 -0.6649 -0.7189 -0.7756
 -0.2249 -0.2554 -0.2746 -0.2808 -0.2769 -0.2667 -0.2536 -0.2403 -0.2279 -0.2164
 -0.2068 -0.2008 -0.1987 -0.1985 -0.1978 -0.1922 -0.1885 -0.2044 -0.2413 -0.2886
 -0.3374 -0.3855 -0.4336 -0.4817 -0.5300 -0.5774 -0.6254 -0.6756 -0.7295 -0.7873
 -0.8467
 -0.1098 -0.1510 -0.1822 -0.2021 -0.2120 -0.2137 -0.2096 -0.2023 -0.1941 -0.1857
 -0.1777 -0.1708 -0.1659 -0.1640 -0.1645 -0.1708 -0.1802 -0.1988 -0.2357 -0.2857
 -0.3390 -0.3911 -0.4419 -0.4920 -0.5418 -0.5913 -0.6400 -0.6893 -0.7410 -0.7964
 -0.8563
  0.0066 -0.0431 -0.0833 -0.1133 -0.1359 -0.1499 -0.1570 -0.1588 -0.1572 -0.1536
 -0.1493 -0.1452 -0.1418 -0.1398 -0.1396 -0.1476 -0.1646 -0.1890 -0.2259 -0.2772
 -0.3344 -0.3915 -0.4465 -0.4998 -0.5519 -0.6032 -0.6541 -0.7050 -0.7571 -0.8106
 -0.8652
  0.1221  0.0657  0.0185 -0.0202 -0.0514 -0.0756 -0.0935 -0.1056 -0.1132 -0.1168
 -0.1181 -0.1183 -0.1182 -0.1185 -0.1198 -0.1286 -0.1475 -0.1754 -0.2134 -0.2640
 -0.3229 -0.3839 -0.4436 -0.5011 -0.5566 -0.6105 -0.6634 -0.7155 -0.7675 -0.8199
 -0.8741
  0.2348  0.1742  0.1218  0.0768  0.0385  0.0063 -0.0204 -0.0420 -0.0590 -0.0716
 -0.0805 -0.0868 -0.0915 -0.0956 -0.0997 -0.1128 -0.1325 -0.1620 -0.2012 -0.2503
 -0.3086 -0.3711 -0.4343 -0.4962 -0.5558 -0.6132 -0.6689 -0.7232 -0.7766 -0.8297
 -0.8831
  0.3433  0.2863  0.2326  0.1826  0.1371  0.0964  0.0608  0.0305  0.0049 -0.0163
 -0.0338 -0.0479 -0.0592 -0.0685 -0.0767 -0.0969 -0.1195 -0.1493 -0.1890
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value =  z   
 -0.9781 -1.0053 -0.9992 -0.9230 -0.8231 -0.7239 -0.6400 -0.5712 -0.5086 -0.4493
 -0.3938 -0.3419 -0.2939 -0.2499 -0.2110 -0.1351 -0.1015 -0.1136 -0.1470
 -0.8379 -0.7993 -0.8002 -0.8224 -0.7862 -0.7099 -0.6303 -0.5622 -0.5027 -0.4476
 -0.3964 -0.3486 -0.3044 -0.2644 -0.2291 -0.1647 -0.1360 -0.1423 -0.1716 -0.2105
 -0.7506 -0.7015 -0.6589 -0.6367 -0.6509 -0.6562 -0.6133 -0.5527 -0.4962 -0.4452
 -0.3979 -0.3539 -0.3131 -0.2763 -0.2439 -0.1855 -0.1596 -0.1649 -0.1934 -0.2321
 -0.2745
 -0.6715 -0.6332 -0.5878 -0.5444 -0.5143 -0.5074 -0.5209 -0.5171 -0.4820 -0.4383
 -0.3959 -0.3557 -0.3182 -0.2843 -0.2544 -0.2010 -0.1778 -0.1825 -0.2100 -0.2489
 -0.2916 -0.3360
