 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = G_RP 
 -0.2354 -0.2122 -0.2323 -0.2289 -0.1874 -0.1487 -0.1485 -0.1675 -0.1682 -0.1366
 -0.0872 -0.0246  0.0414  0.1021  0.1589  0.2705  0.3338  0.3593  0.3683
 -0.2285 -0.1623 -0.1262 -0.1013 -0.0854 -0.0789 -0.0784 -0.0782 -0.0728 -0.0590
 -0.0345  0.0028  0.0521  0.1065  0.1580  0.2582  0.3154  0.3372  0.3396  0.3279
 -0.2236 -0.1379 -0.0719 -0.0295 -0.0142 -0.0131 -0.0112 -0.0070 -0.0027  0.0021
  0.0131  0.0333  0.0667  0.1114  0.1568  0.2470  0.2992  0.3182  0.3166  0.3039
  0.2846
 -0.2207 -0.1390 -0.0694 -0.0135  0.0262  0.0487  0.0531  0.0461  0.0421  0.0467
  0.0556  0.0669  0.0852  0.1168  0.1553  0.2369  0.2852  0.3023  0.2992  0.2860
  0.2670  0.2438
 -0.1991 -0.1296 -0.0672 -0.0126  0.0327  0.0670  0.0891  0.1000  0.1009  0.0968
  0.0974  0.1041  0.1127  0.1296  0.1582  0.2302  0.2752  0.2909  0.2857  0.2710
  0.2515  0.2285  0.2026  0.1740
 -0.1514 -0.0986 -0.0494 -0.0036  0.0382  0.0746  0.1037  0.1244  0.1374  0.1448
  0.1481  0.1510  0.1554  0.1605  0.1745  0.2294  0.2706  0.2854  0.2779  0.2600
  0.2385  0.2145  0.1884  0.1602  0.1301  0.0978  0.0628  0.0225 -0.0242 -0.0729
 -0.0779 -0.0425 -0.0091  0.0234  0.0556  0.0869  0.1158  0.1406  0.1594  0.1730
  0.1832  0.1914  0.1987  0.2024  0.2083  0.2396  0.2724  0.2860  0.2770  0.2551
  0.2296  0.2031  0.1754  0.1466  0.1165  0.0852  0.0518  0.0161 -0.0250 -0.0732
 -0.1242
  0.0154  0.0355  0.0539  0.0719  0.0912  0.1125  0.1353  0.1582  0.1789  0.1955
  0.2085  0.2194  0.2290  0.2372  0.2423  0.2627  0.2824  0.2924  0.2827  0.2578
  0.2272  0.1962  0.1654  0.1346  0.1034  0.0717  0.0390  0.0047 -0.0322 -0.0739
 -0.1237
  0.1219  0.1290  0.1350  0.1404  0.1469  0.1562  0.1691  0.1850  0.2023  0.2187
  0.2327  0.2440  0.2538  0.2628  0.2693  0.2870  0.2995  0.3036  0.2930  0.2666
  0.2319  0.1954  0.1598  0.1253  0.0915  0.0582  0.0247 -0.0092 -0.0445 -0.0824
 -0.1254
  0.2336  0.2310  0.2272  0.2230  0.2189  0.2170  0.2187  0.2248  0.2346  0.2466
  0.2588  0.2695  0.2784  0.2860  0.2923  0.3073  0.3172  0.3173  0.3057  0.2799
  0.2436  0.2029  0.1619  0.1224  0.0846  0.0482  0.0126 -0.0225 -0.0578 -0.0941
 -0.1323
  0.3488  0.3378  0.3262  0.3145  0.3028  0.2919  0.2838  0.2795  0.2797  0.2838
  0.2907  0.2985  0.3056  0.3114  0.3158  0.3254  0.3333  0.3314  0.3184  0.2937
