 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  Hp  
 -4.3358 -4.2806 -4.4728 -4.4282 -4.2727 -4.0514 -3.7998 -3.6333 -3.4834 -3.3265
 -3.1786 -3.0401 -2.9113 -2.7914 -2.6800 -2.4434 -2.2249 -2.0258 -1.9051
 -4.3271 -4.1513 -4.0058 -3.9090 -3.8583 -3.7767 -3.6345 -3.4742 -3.3230 -3.1783
 -3.0397 -2.9094 -2.7886 -2.6773 -2.5743 -2.3478 -2.1599 -2.0116 -1.9005 -1.8163
 -4.1477 -3.9750 -3.8134 -3.6724 -3.5581 -3.4844 -3.4281 -3.3343 -3.2074 -3.0706
 -2.9406 -2.8180 -2.7041 -2.5994 -2.5034 -2.2965 -2.1296 -1.9985 -1.8992 -1.8231
 -1.7626
 -3.9978 -3.8433 -3.6880 -3.5420 -3.4109 -3.2970 -3.2050 -3.1393 -3.0718 -2.9771
 -2.8637 -2.7496 -2.6426 -2.5436 -2.4528 -2.2594 -2.1075 -1.9908 -1.9015 -1.8325
 -1.7769 -1.7303
 -3.8602 -3.7286 -3.5895 -3.4505 -3.3194 -3.2000 -3.0933 -2.9995 -2.9243 -2.8563
 -2.7811 -2.6909 -2.5952 -2.5026 -2.4167 -2.2333 -2.0913 -1.9849 -1.9048 -1.8428
 -1.7922 -1.7493 -1.7120 -1.6797
 -3.7321 -3.6185 -3.4998 -3.3745 -3.2505 -3.1329 -3.0252 -2.9276 -2.8399 -2.7615
 -2.6911 -2.6223 -2.5473 -2.4676 -2.3886 -2.2147 -2.0793 -1.9794 -1.9063 -1.8515
 -1.8066 -1.7681 -1.7344 -1.7041 -1.6752 -1.6493 -1.6285 -1.6142 -1.6078 -1.6099
 -3.6156 -3.5139 -3.4115 -3.3024 -3.1896 -3.0787 -2.9734 -2.8763 -2.7887 -2.7086
 -2.6341 -2.5644 -2.4977 -2.4307 -2.3622 -2.2002 -2.0696 -1.9726 -1.9046 -1.8560
 -1.8176 -1.7847 -1.7555 -1.7288 -1.7042 -1.6801 -1.6585 -1.6418 -1.6320 -1.6306
 -1.6387
 -3.5125 -3.4178 -3.3247 -3.2288 -3.1294 -3.0281 -2.9286 -2.8342 -2.7475 -2.6687
 -2.5961 -2.5274 -2.4613 -2.3979 -2.3358 -2.1877 -2.0619 -1.9665 -1.9000 -1.8553
 -1.8229 -1.7964 -1.7729 -1.7511 -1.7306 -1.7110 -1.6910 -1.6732 -1.6606 -1.6556
 -1.6598
 -3.4249 -3.3333 -3.2440 -3.1529 -3.0652 -2.9749 -2.8838 -2.7944 -2.7100 -2.6323
 -2.5613 -2.4954 -2.4326 -2.3717 -2.3122 -2.1735 -2.0541 -1.9606 -1.8935 -1.8499
 -1.8215 -1.8010 -1.7841 -1.7685 -1.7534 -1.7383 -1.7236 -1.7096 -1.6984 -1.6902
 -1.6848
 -3.3547 -3.2635 -3.1745 -3.0876 -3.0026 -2.9196 -2.8378 -2.7557 -2.6756 -2.5998
 -2.5299 -2.4659 -2.4062 -2.3485 -2.2924 -2.1614 -2.0470 -1.9556 -1.8882 -1.8435
 -1.8158 -1.7991 -1.7880 -1.7791 -1.7705 -1.7613 -1.7518 -1.7419 -1.7323 -1.7239
 -1.7165
 -3.2997 -3.2050 -3.1144 -3.0276 -2.9444 -2.8645 -2.7876 -2.7131 -2.6393 -2.5674
 -2.4994 -2.4365 -2.3786 -2.3246 -2.2728 -2.1494 -2.0396 -1.9503 -1.8835 -1.8372
 -1.8086 -1.7927 -1.7849 -1.7816 -1.7796 -1.7773 -1.7741 -1.7699 -1.7649 -1.7598
 -1.7556
 -3.2447 -3.1352 -3.0398 -2.9550 -2.8777 -2.8050 -2.7348 -2.6656 -2.5977 -2.5316
 -2.4678 -2.4070 -2.3504 -2.2982 -2.2494 -2.1355 -2.0314 -1.9444 -1.8781
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value =  Hp  
 -4.6714 -4.6138 -4.5126 -4.3070 -4.0679 -3.8371 -3.6412 -3.4776 -3.3284 -3.1863
