 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = G_BP 
 -5.2388 -5.1718 -5.3718 -5.3010 -5.1065 -4.8508 -4.5703 -4.3787 -4.2067 -4.0297
 -3.8641 -3.7103 -3.5696 -3.4398 -3.3173 -3.0564 -2.8068 -2.5732 -2.4380
 -5.2323 -5.0058 -4.8241 -4.7022 -4.6335 -4.5320 -4.3661 -4.1827 -4.0116 -3.8495
 -3.6960 -3.5530 -3.4211 -3.2995 -3.1865 -2.9359 -2.7253 -2.5573 -2.4309 -2.3351
 -5.0220 -4.7983 -4.5988 -4.4297 -4.2937 -4.2030 -4.1311 -4.0185 -3.8729 -3.7197
 -3.5764 -3.4427 -3.3191 -3.2054 -3.1008 -2.8736 -2.6877 -2.5394 -2.4262 -2.3394
 -2.2703
 -4.8552 -4.6499 -4.4552 -4.2799 -4.1265 -3.9942 -3.8860 -3.8062 -3.7243 -3.6143
 -3.4872 -3.3621 -3.2461 -3.1390 -3.0405 -2.8288 -2.6602 -2.5281 -2.4258 -2.3467
 -2.2830 -2.2299
 -4.7129 -4.5288 -4.3483 -4.1779 -4.0235 -3.8858 -3.7634 -3.6555 -3.5681 -3.4883
 -3.4008 -3.2986 -3.1924 -3.0914 -2.9981 -2.7977 -2.6404 -2.5197 -2.4272 -2.3553
 -2.2969 -2.2477 -2.2053 -2.1683
 -4.5903 -4.4219 -4.2591 -4.0991 -3.9489 -3.8119 -3.6888 -3.5780 -3.4785 -3.3895
 -3.3090 -3.2299 -3.1445 -3.0549 -2.9672 -2.7760 -2.6260 -2.5126 -2.4276 -2.3628
 -2.3102 -2.2656 -2.2268 -2.1921 -2.1594 -2.1300 -2.1060 -2.0888 -2.0797 -2.0792
 -4.4875 -4.3288 -4.1782 -4.0316 -3.8888 -3.7554 -3.6334 -3.5232 -3.4244 -3.3341
 -3.2503 -3.1715 -3.0956 -3.0194 -2.9419 -2.7606 -2.6154 -2.5054 -2.4254 -2.3667
 -2.3204 -2.2812 -2.2470 -2.2161 -2.1878 -2.1605 -2.1359 -2.1165 -2.1040 -2.1000
 -2.1059
 -4.4046 -4.2505 -4.1061 -3.9690 -3.8362 -3.7082 -3.5887 -3.4795 -3.3813 -3.2927
 -3.2110 -3.1337 -3.0592 -2.9873 -2.9168 -2.7494 -2.6079 -2.4995 -2.4212 -2.3661
 -2.3253 -2.2922 -2.2635 -2.2375 -2.2135 -2.1906 -2.1677 -2.1473 -2.1324 -2.1251
 -2.1270
 -4.3416 -4.1884 -4.0456 -3.9086 -3.7847 -3.6643 -3.5489 -3.4412 -3.3434 -3.2552
 -3.1752 -3.1010 -3.0301 -2.9611 -2.8938 -2.7365 -2.6011 -2.4942 -2.4154 -2.3612
 -2.3239 -2.2964 -2.2739 -2.2540 -2.2352 -2.2170 -2.1996 -2.1832 -2.1697 -2.1594
 -2.1519
 -4.2986 -4.1435 -3.9993 -3.8651 -3.7400 -3.6233 -3.5137 -3.4091 -3.3118 -3.2234
 -3.1437 -3.0711 -3.0034 -2.9379 -2.8743 -2.7255 -2.5955 -2.4906 -2.4114 -2.3560
 -2.3191 -2.2947 -2.2775 -2.2638 -2.2513 -2.2390 -2.2268 -2.2146 -2.2028 -2.1925
 -2.1832
 -4.2714 -4.1119 -3.9646 -3.8285 -3.7027 -3.5862 -3.4784 -3.3780 -3.2830 -3.1947
 -3.1144 -3.0420 -2.9759 -2.9142 -2.8549 -2.7143 -2.5892 -2.4865 -2.4078 -2.3510
 -2.3130 -2.2890 -2.2747 -2.2660 -2.2597 -2.2540 -2.2480 -2.2414 -2.2343 -2.2274
 -2.2215
 -4.2434 -4.0738 -3.9225 -3.7864 -3.6628 -3.5493 -3.4438 -3.3450 -3.2526 -3.1666
 -3.0871 -3.0142 -2.9483 -2.8881 -2.8318 -2.7010 -2.5818 -2.4817 -2.4037
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value = G_BP 
 -5.6095 -5.5171 -5.3808 -5.1331 -4.8554 -4.5934 -4.3721 -4.1859 -4.0163 -3.8566
 -3.7058 -3.5656 -3.4365 -3.3177 -3.2080 -2.9721 -2.7629 -2.5748 -2.4378
 -5.2814 -5.0695 -4.9492 -4.8737 -4.6995 -4.4655 -4.2415 -4.0515 -3.8852 -3.7305
 -3.5852 -3.4506 -3.3274 -3.2153 -3.1129 -2.8912 -2.7053 -2.5496 -2.4255 -2.3293
 -5.1025 -4.8638 -4.6651 -4.5156 -4.4328 -4.3329 -4.1534 -3.9612 -3.7933 -3.6437
 -3.5037 -3.3739 -3.2551 -3.1472 -3.0493 -2.8403 -2.6700 -2.5305 -2.4193 -2.3319
 -2.2621
 -4.9800 -4.7458 -4.5340 -4.3453 -4.1899 -4.0779 -3.9991 -3.8870 -3.7319 -3.5839
