 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =F322W2
 -3.9352 -3.9683 -4.0020 -4.0284 -4.0632 -4.1879 -4.3342 -4.4882 -4.6464 -4.8033
 -4.9539 -5.0970 -5.2333 -5.3640 -5.4896 -5.6109 -5.7285 -5.8427 -5.9539 -6.0625
 -6.1685
 -3.7376 -3.7754 -3.7958 -3.8005 -3.8081 -3.8216 -3.8417 -3.8678 -3.8984 -3.9312
 -3.9648 -3.9987 -4.0331 -4.0662 -4.0975 -4.2122 -4.3502 -4.4974 -4.6484 -4.8034
 -4.9536 -5.0989 -5.2360 -5.3668 -5.4922 -5.6128 -5.7294 -5.8426 -5.9525 -6.0595
 -6.1637
 -3.8903 -3.8848 -3.8881 -3.8991 -3.8978 -3.8993 -3.9077 -3.9229 -3.9450 -3.9721
 -4.0023 -4.0345 -4.0680 -4.1020 -4.1337 -4.2389 -4.3677 -4.5093 -4.6559 -4.8054
 -4.9551 -5.1007 -5.2394 -5.3713 -5.4971 -5.6177 -5.7339 -5.8461 -5.9548 -6.0605
 -6.1636
 -3.9890 -3.9938 -4.0006 -4.0093 -4.0031 -3.9980 -3.9951 -3.9985 -4.0092 -4.0269
 -4.0501 -4.0774 -4.1075 -4.1394 -4.1714 -4.2670 -4.3852 -4.5193 -4.6612 -4.8060
 -4.9520 -5.0966 -5.2367 -5.3702 -5.4971 -5.6183 -5.7346 -5.8465 -5.9546 -6.0593
 -6.1631
 -4.0880 -4.1022 -4.1104 -4.1131 -4.1071 -4.0955 -4.0849 -4.0958 -4.0945 -4.1004
 -4.1133 -4.1323 -4.1560 -4.1832 -4.2127 -4.2985 -4.4061 -4.5312 -4.6673 -4.8080
 -4.9501 -5.0919 -5.2314 -5.3663 -5.4950 -5.6175 -5.7346 -5.8469 -5.9550 -6.0594
 -6.1605
 -4.1871 -4.2102 -4.2174 -4.2104 -4.2099 -4.1917 -4.2047 -4.1916 -4.1825 -4.1943
 -4.1954 -4.2032 -4.2174 -4.2368 -4.2576 -4.3334 -4.4304 -4.5450 -4.6742
 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =F322W2
 -3.6655 -3.7482 -3.8005 -3.7908 -3.7251 -3.6402 -3.5603 -3.4997 -3.4821 -3.5311
 -3.5969 -3.6862 -3.7685 -3.8186 -3.8797 -4.0539
 -3.5869 -3.6618 -3.7231 -3.7534 -3.7530 -3.7346 -3.7072 -3.6781 -3.6602 -3.6659
 -3.6821 -3.7199 -3.7756 -3.8341 -3.9007 -4.0770 -4.2521 -4.4239 -4.5887
 -3.5301 -3.5976 -3.6626 -3.7175 -3.7594 -3.7863 -3.7977 -3.7956 -3.7850 -3.7707
 -3.7595 -3.7634 -3.7954 -3.8528 -3.9205 -4.0968 -4.2709 -4.4416 -4.6059 -4.7636
 -4.9152
 -3.4951 -3.5556 -3.6190 -3.6831 -3.7443 -3.7953 -3.8318 -3.8522 -3.8565 -3.8455
 -3.8291 -3.8167 -3.8279 -3.8747 -3.9391 -4.1133 -4.2862 -4.4558 -4.6197 -4.7765
 -4.9266 -5.0711 -5.2107
 -3.4819 -3.5358 -3.5923 -3.6502 -3.7077 -3.7616 -3.8095 -3.8479 -3.8747 -3.8903
 -3.8909 -3.8798 -3.8731 -3.8998 -3.9565 -4.1265 -4.2980 -4.4665 -4.6300 -4.7864
 -4.9358 -5.0791 -5.2171 -5.3506 -5.4802
 -3.4889 -3.5354 -3.5847 -3.6359 -3.6880 -3.7389 -3.7862 -3.8268 -3.8609 -3.8888
 -3.9117 -3.9265 -3.9260 -3.9353 -3.9773 -4.1379 -4.3074 -4.4742 -4.6373 -4.7938
 -4.9429 -5.0856 -5.2226 -5.3547 -5.4825 -5.6068
 -3.5170 -3.5546 -3.5954 -3.6387 -3.6841 -3.7306 -3.7763 -3.8186 -3.8553 -3.8864
 -3.9146 -3.9424 -3.9635 -3.9750 -4.0068 -4.1498 -4.3154 -4.4799 -4.6419 -4.7988
 -4.9483 -5.0908 -5.2272 -5.3584 -5.4850 -5.6076 -5.7268 -5.8429 -5.9559 -6.0655
 -3.5675 -3.5954 -3.6261 -3.6600 -3.6970 -3.7367 -3.7782 -3.8197 -3.8590 -3.8940
 -3.9252 -3.9555 -3.9874 -4.0091 -4.0381 -4.1666 -4.3239 -4.4848 -4.6444 -4.8011
 -4.9515 -5.0946 -5.2310 -5.3617 -5.4875 -5.6090 -5.7268 -5.8412 -5.9526 -6.0613
 -6.1673
 -3.6385 -3.6585 -3.6793 -3.7022 -3.7289 -3.7596 -3.7941 -3.8313 -3.8695 -3.9068
 -3.9415 -3.9742 -4.0075 -4.0395 -4.0675 -4.1881 -4.3351 -4.4905 -4.6463 -4.8011
 -4.9520 -5.0964 -5.2335 -5.3644 -5.4899 -5.6107 -5.7275 -5.8407 -5.9506 -6.0577
 -6.1625
 -3.7236 -3.7399 -3.7544 -3.7674 -3.7831 -3.8030 -3.8280 -3.8578 -3.8913 -3.9269
 -3.9626 -3.9976 -4.0322 -4.0669 -4.0975 -4.2113 -4.3507 -4.5000 -4.6513 -4.8027
 -4.9527 -5.0982 -5.2369 -5.3688 -5.4947 -5.6154 -5.7318 -5.8443 -5.9532 -6.0591
 -6.1623
 -3.8140 -3.8312 -3.8439 -3.8519 -3.8586 -3.8682 -3.8822 -3.9021 -3.9276 -3.9576
 -3.9906 -4.0251 -4.0599 -4.0950 -4.1289 -4.2340 -4.3652 -4.5083 -4.6552 -4.8025
 -4.9494 -5.0942 -5.2342 -5.3677 -5.4947 -5.6160 -5.7324 -5.8446 -5.9529 -6.0578
 -6.1617
 -3.9079 -3.9270 -3.9403 -3.9486 -3.9526 -3.9544 -3.9590 -3.9683 -3.9836 -4.0048
 -4.0311 -4.0614 -4.0940 -4.1279 -4.1622 -4.2600 -4.3821 -4.5179 -4.6600 -4.8036
 -4.9470 -5.0894 -5.2290 -5.3639 -5.4926 -5.6152 -5.7324 -5.8448 -5.9531 -6.0577
 -6.1590
 -4.0052 -4.0273 -4.0395 -4.0514 -4.0560 -4.0563 -4.0553 -4.0559 -4.0613 -4.0722
 -4.0891 -4.1116 -4.1386 -4.1688 -4.1974 -4.2893 -4.4014 -4.5288 -4.6657
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value =F322W2
 -3.5094 -3.5212 -3.5334 -3.5562 -3.5628 -3.5671 -3.5731 -3.5818 -3.5961 -3.6159
 -3.6465 -3.6922 -3.7467 -3.8091 -3.8874 -4.0577
 -3.5681 -3.6014 -3.6266 -3.6441 -3.6545 -3.6606 -3.6657 -3.6718 -3.6787 -3.6857
 -3.6987 -3.7270 -3.7753 -3.8381 -3.9100 -4.0830 -4.2537 -4.4218 -4.5871
 -3.5784 -3.6271 -3.6665 -3.6971 -3.7194 -3.7343 -3.7438 -3.7508 -3.7548 -3.7548
 -3.7557 -3.7681 -3.8042 -3.8623 -3.9296 -4.1036 -4.2738 -4.4403 -4.6039 -4.7614
 -4.9129
 -3.5403 -3.5983 -3.6531 -3.7152 -3.7576 -3.7881 -3.8074 -3.8188 -3.8244 -3.8232
 -3.8175 -3.8155 -3.8334 -3.8817 -3.9462 -4.1195 -4.2896 -4.4551 -4.6174 -4.7739
 -4.9241 -5.0685 -5.2084
 -3.4947 -3.5540 -3.6163 -3.6803 -3.7412 -3.7942 -3.8354 -3.8628 -3.8785 -3.8840
 -3.8810 -3.8729 -3.8722 -3.9022 -3.9598 -4.1307 -4.3011 -4.4662 -4.6276 -4.7835
 -4.9328 -5.0762 -5.2143 -5.3480 -5.4778
 -3.4778 -3.5307 -3.5874 -3.6473 -3.7071 -3.7638 -3.8148 -3.8578 -3.8913 -3.9140
 -3.9257 -3.9274 -3.9236 -3.9316 -3.9746 -4.1386 -4.3091 -4.4741 -4.6350 -4.7906
 -4.9397 -5.0824 -5.2195 -5.3518 -5.4799 -5.6044
 -3.4789 -3.5257 -3.5763 -3.6302 -3.6862 -3.7420 -3.7940 -3.8394 -3.8773 -3.9092
 -3.9354 -3.9557 -3.9653 -3.9720 -3.9969 -4.1451 -4.3144 -4.4793 -4.6397 -4.7954
 -4.9447 -5.0873 -5.2238 -5.3552 -5.4820 -5.6050 -5.7246 -5.8409 -5.9539 -6.0634
 -3.4954 -3.5363 -3.5805 -3.6281 -3.6783 -3.7297 -3.7806 -3.8282 -3.8697 -3.9044
