 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  u   
 -9.2279 -9.0582 -8.9401 -8.7804 -8.5728 -8.3848 -8.2664 -8.1982 -8.1315 -8.0433
 -7.9441 -7.8360 -7.7251 -7.6159 -7.5005 -7.1717 -6.7651 -6.3483 -6.0029
 -9.0185 -8.7751 -8.5905 -8.4353 -8.3050 -8.1986 -8.1109 -8.0354 -7.9651 -7.8946
 -7.8181 -7.7276 -7.6171 -7.4915 -7.3576 -6.9871 -6.5610 -6.1464 -5.8188 -5.5817
 -8.8718 -8.5898 -8.3662 -8.2024 -8.0946 -8.0171 -7.9462 -7.8773 -7.8116 -7.7479
 -7.6785 -7.5952 -7.4864 -7.3511 -7.2030 -6.8046 -6.3749 -5.9700 -5.6589 -5.4436
 -5.3021
 -8.7878 -8.5023 -8.2672 -8.0817 -7.9416 -7.8403 -7.7723 -7.7239 -7.6710 -7.6032
 -7.5253 -7.4388 -7.3330 -7.1947 -7.0367 -6.6242 -6.2068 -5.8191 -5.5232 -5.3232
 -5.1942 -5.1152
 -8.7184 -8.4443 -8.2131 -8.0242 -7.8730 -7.7531 -7.6582 -7.5815 -7.5181 -7.4577
 -7.3807 -7.2829 -7.1732 -7.0407 -6.8825 -6.4707 -6.0727 -5.7043 -5.4157 -5.2232
 -5.1015 -5.0279 -4.9881 -4.9719
 -8.6341 -8.3829 -8.1668 -7.9853 -7.8339 -7.7070 -7.5987 -7.5036 -7.4166 -7.3333
 -7.2495 -7.1554 -7.0443 -6.9169 -6.7636 -6.3588 -5.9800 -5.6302 -5.3420 -5.1447
 -5.0227 -4.9498 -4.9101 -4.8940 -4.8943 -4.9043 -4.9185 -4.9331 -4.9447 -4.9486
 -8.5208 -8.3002 -8.1081 -7.9433 -7.8012 -7.6764 -7.5639 -7.4592 -7.3595 -7.2613
 -7.1617 -7.0583 -6.9475 -6.8294 -6.6902 -6.2941 -5.9264 -5.5925 -5.3036 -5.0923
 -4.9588 -4.8805 -4.8377 -4.8189 -4.8173 -4.8272 -4.8439 -4.8621 -4.8793 -4.8933
 -4.9008
 -8.3772 -8.1907 -8.0275 -7.8861 -7.7614 -7.6473 -7.5388 -7.4328 -7.3273 -7.2214
 -7.1132 -7.0017 -6.8862 -6.7665 -6.6397 -6.2708 -5.9050 -5.5814 -5.2947 -5.0682
 -4.9148 -4.8222 -4.7714 -4.7475 -4.7419 -4.7492 -4.7651 -4.7852 -4.8059 -4.8248
 -4.8413
 -8.2040 -8.0538 -7.9220 -7.8070 -7.7048 -7.6082 -7.5117 -7.4120 -7.3081 -7.2001
 -7.0880 -6.9722 -6.8525 -6.7297 -6.6042 -6.2593 -5.9049 -5.5834 -5.3012 -5.0656
 -4.8922 -4.7789 -4.7133 -4.6803 -4.6689 -4.6722 -4.6856 -4.7053 -4.7277 -4.7499
 -4.7705
 -8.0137 -7.8988 -7.7975 -7.7091 -7.6310 -7.5562 -7.4779 -7.3916 -7.2962 -7.1923
 -7.0813 -6.9645 -6.8432 -6.7186 -6.5916 -6.2583 -5.9193 -5.5998 -5.3195 -5.0810
 -4.8928 -4.7584 -4.6722 -4.6237 -4.6017 -4.5976 -4.6060 -4.6227 -4.6445 -4.6682
 -4.6926
 -7.8096 -7.7294 -7.6564 -7.5931 -7.5378 -7.4851 -7.4281 -7.3608 -7.2804 -7.1869
 -7.0820 -6.9683 -6.8479 -6.7227 -6.5942 -6.2635 -5.9360 -5.6218 -5.3413 -5.1012
 -4.9055 -4.7563 -4.6506 -4.5830 -4.5457 -4.5305 -4.5310 -4.5422 -4.5607 -4.5836
 -4.6083
 -7.5917 -7.5456 -7.5057 -7.4642 -7.4287 -7.3956 -7.3589 -7.3127 -7.2519 -7.1749
 -7.0821 -6.9761 -6.8599 -6.7364 -6.6120 -6.2749 -5.9550 -5.6494 -5.3666
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value =  u   
 -9.6890 -9.4652 -9.2604 -9.0696 -8.8932 -8.7252 -8.5585 -8.3901 -8.2288 -8.0845
 -7.9537 -7.8298 -7.7071 -7.5854 -7.4832 -7.1723 -6.8008 -6.4004 -6.0505
 -9.4420 -9.1985 -8.9802 -8.7852 -8.6113 -8.4561 -8.3148 -8.1780 -8.0496 -7.9321
 -7.8215 -7.7094 -7.5873 -7.4562 -7.3207 -6.9662 -6.5824 -6.1962 -5.8668 -5.6235
 -9.2317 -8.9475 -8.7167 -8.5522 -8.3885 -8.2446 -8.1162 -7.9973 -7.8860 -7.7817
 -7.6807 -7.5747 -7.4523 -7.3105 -7.1599 -6.7752 -6.3884 -6.0192 -5.7091 -5.4843
 -5.3310
 -9.0955 -8.7750 -8.5216 -8.3265 -8.1740 -8.0489 -7.9389 -7.8339 -7.7292 -7.6274
 -7.5274 -7.4238 -7.3054 -7.1609 -7.0008 -6.5993 -6.2188 -5.8694 -5.5774 -5.3662
 -5.2274 -5.1415
 -9.0542 -8.7205 -8.4334 -8.2064 -8.0303 -7.8910 -7.7771 -7.6788 -7.5880 -7.4955
 -7.3904 -7.2806 -7.1639 -7.0278 -6.8674 -6.4601 -6.0880 -5.7547 -5.4743 -5.2693
 -5.1356 -5.0539 -5.0082 -4.9869
 -9.0436 -8.7038 -8.4055 -8.1550 -7.9502 -7.7850 -7.6514 -7.5420 -7.4502 -7.3707
 -7.2862 -7.1796 -7.0579 -6.9247 -6.7727 -6.3669 -6.0011 -5.6778 -5.4022 -5.1942
 -5.0583 -4.9758 -4.9297 -4.9087 -4.9047 -4.9111 -4.9224 -4.9346 -4.9439 -4.9454
 -9.0246 -8.6971 -8.4014 -8.1473 -7.9347 -7.7585 -7.6122 -7.4888 -7.3818 -7.2842
 -7.1914 -7.0978 -6.9912 -6.8666 -6.7207 -6.3181 -5.9540 -5.6361 -5.3611 -5.1434
 -4.9960 -4.9070 -4.8571 -4.8332 -4.8275 -4.8340 -4.8478 -4.8639 -4.8791 -4.8910
 -4.8967
 -8.9682 -8.6677 -8.3904 -8.1460 -7.9357 -7.7573 -7.6050 -7.4727 -7.3551 -7.2470
 -7.1428 -7.0388 -6.9325 -6.8213 -6.6959 -6.3093 -5.9398 -5.6227 -5.3468 -5.1184
 -4.9532 -4.8495 -4.7908 -4.7615 -4.7519 -4.7560 -4.7693 -4.7872 -4.8060 -4.8234
 -4.8381
 -8.8524 -8.5887 -8.3433 -8.1222 -7.9283 -7.7587 -7.6092 -7.4748 -7.3514 -7.2356
 -7.1238 -7.0126 -6.8997 -6.7844 -6.6665 -6.3177 -5.9494 -5.6267 -5.3493 -5.1132
 -4.9303 -4.8067 -4.7330 -4.6943 -4.6788 -4.6790 -4.6900 -4.7076 -4.7282 -4.7490
 -4.7682
 -8.6861 -8.4663 -8.2584 -8.0690 -7.9006 -7.7506 -7.6138 -7.4858 -7.3635 -7.2449
 -7.1283 -7.0122 -6.8948 -6.7752 -6.6540 -6.3280 -5.9786 -5.6502 -5.3684 -5.1272
 -4.9309 -4.7867 -4.6924 -4.6379 -4.6117 -4.6046 -4.6107 -4.6255 -4.6456 -4.6680
 -4.6911
 -8.4833 -8.3023 -8.1330 -7.9779 -7.8401 -7.7167 -7.6020 -7.4900 -7.3773 -7.2626
 -7.1459 -7.0277 -6.9075 -6.7852 -6.6605 -6.3375 -6.0064 -5.6829 -5.3947 -5.1493
 -4.9448 -4.7853 -4.6711 -4.5974 -4.5557 -4.5375 -4.5358 -4.5452 -4.5622 -4.5838
 -4.6074
 -8.2468 -8.1064 -7.9769 -7.8577 -7.7491 -7.6516 -7.5632 -7.4748 -7.3807 -7.2785
 -7.1685 -7.0525 -6.9323 -6.8088 -6.6860 -6.3462 -6.0328 -5.7248 -5.4282
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value =  u   
-10.0526 -9.8894 -9.7267 -9.5584 -9.3882 -9.1941 -8.9509 -8.6618 -8.3999 -8.1771
 -7.9900 -7.8320 -7.6939 -7.5671 -7.4451 -7.1404 -6.8098 -6.4531 -6.1184
 -9.7018 -9.5310 -9.3651 -9.1986 -9.0282 -8.8505 -8.6483 -8.4208 -8.2113 -8.0257
 -7.8613 -7.7125 -7.5723 -7.4350 -7.2985 -6.9554 -6.6036 -6.2544 -5.9392 -5.6874
 -9.4316 -9.2389 -9.0636 -8.8963 -8.7320 -8.5685 -8.3994 -8.2150 -8.0389 -7.8772
 -7.7281 -7.5862 -7.4436 -7.2960 -7.1457 -6.7736 -6.4139 -6.0775 -5.7836 -5.5503
 -5.3862
 -9.2719 -9.0263 -8.8219 -8.6477 -8.4848 -8.3298 -8.1785 -8.0239 -7.8713 -7.7265
 -7.5891 -7.4550 -7.3164 -7.1660 -7.0075 -6.6175 -6.2567 -5.9323 -5.6546 -5.4346
 -5.2802 -5.1817
 -9.2190 -8.9141 -8.6601 -8.4489 -8.2727 -8.1251 -7.9955 -7.8617 -7.7248 -7.5905
 -7.4604 -7.3327 -7.2020 -7.0585 -6.8996 -6.5002 -6.1392 -5.8222 -5.5538 -5.3407
 -5.1896 -5.0940 -5.0388 -5.0105
 -9.2514 -8.9078 -8.6048 -8.3467 -8.1335 -7.9590 -7.8175 -7.7020 -7.5973 -7.4884
 -7.3669 -7.2400 -7.1115 -6.9770 -6.8262 -6.4243 -6.0612 -5.7467 -5.4807 -5.2679
 -5.1144 -5.0163 -4.9598 -4.9317 -4.9219 -4.9230 -4.9297 -4.9380 -4.9437 -4.9407
 -9.3261 -8.9572 -8.6245 -8.3361 -8.0935 -7.8937 -7.7294 -7.5922 -7.4748 -7.3736
 -7.2814 -7.1802 -7.0597 -6.9263 -6.7831 -6.3866 -6.0188 -5.7027 -5.4347 -5.2168
 -5.0548 -4.9491 -4.8874 -4.8559 -4.8445 -4.8459 -4.8551 -4.8674 -4.8792 -4.8875
 -4.8890
 -9.4091 -9.0322 -8.6830 -8.3733 -8.1087 -7.8878 -7.7043 -7.5508 -7.4203 -7.3058
 -7.2020 -7.1055 -7.0095 -6.8995 -6.7682 -6.3810 -6.0069 -5.6860 -5.4134 -5.1878
 -5.0251 -4.8940 -4.8224 -4.7844 -4.7687 -4.7679 -4.7767 -4.7908 -4.8065 -4.8210
 -4.8323
 -9.4332 -9.0854 -8.7389 -8.4245 -8.1488 -7.9141 -7.7163 -7.5489 -7.4056 -7.2802
 -7.1667 -7.0602 -6.9570 -6.8547 -6.7458 -6.3964 -6.0175 -5.6888 -5.4106 -5.1769
 -4.9894 -4.8530 -4.7662 -4.7179 -4.6956 -4.6907 -4.6975 -4.7115 -4.7291 -4.7473
 -4.7641
 -9.3830 -9.0711 -8.7596 -8.4610 -8.1918 -7.9559 -7.7526 -7.5767 -7.4236 -7.2880
 -7.1649 -7.0500 -6.9392 -6.8297 -6.7201 -6.4149 -6.0552 -5.7157 -5.4296 -5.1878
 -4.9883 -4.8341 -4.7275 -4.6627 -4.6291 -4.6166 -4.6185 -4.6299 -4.6472 -4.6672
 -4.6883
 -9.2593 -8.9841 -8.7113 -8.4451 -8.2011 -7.9819 -7.7872 -7.6140 -7.4587 -7.3175
 -7.1868 -7.0639 -6.9458 -6.8301 -6.7148 -6.4189 -6.0941 -5.7592 -5.4623 -5.2121
 -5.0026 -4.8336 -4.7077 -4.6235 -4.5738 -4.5497 -4.5438 -4.5500 -4.5645 -4.5840
 -4.6057
 -9.0630 -8.8284 -8.5964 -8.3697 -8.1590 -7.9685 -7.7971 -7.6406 -7.4949 -7.3569
 -7.2246 -7.0970 -6.9729 -6.8512 -6.7299 -6.4084 -6.1342 -5.8193 -5.5087
 [Fe/H] = -1.00 [alpha/Fe] = 0.40 BC value =  u   
-10.3029-10.2142-10.1155-10.0021 -9.8871 -9.7189 -9.4385 -9.0378 -8.6429 -8.3130
 -8.0570 -7.8596 -7.7039 -7.5726 -7.4523 -7.1611 -6.8600 -6.5352 -6.2136
 -9.8704 -9.7818 -9.6848 -9.5764 -9.4527 -9.3011 -9.0786 -8.7650 -8.4512 -8.1744
 -7.9436 -7.7532 -7.5933 -7.4524 -7.3194 -6.9924 -6.6615 -6.3357 -6.0371 -5.7849
 -9.4988 -9.4065 -9.3093 -9.2037 -9.0872 -8.9535 -8.7763 -8.5316 -8.2771 -8.0411
 -7.8322 -7.6487 -7.4851 -7.3347 -7.1900 -6.8360 -6.4916 -6.1683 -5.8840 -5.6495
 -5.4693
 -9.2269 -9.1074 -8.9991 -8.8909 -8.7766 -8.6525 -8.5090 -8.3172 -8.1087 -7.9066
 -7.7192 -7.5464 -7.3847 -7.2298 -7.0778 -6.7062 -6.3549 -6.0345 -5.7588 -5.5350
 -5.3641 -5.2463
 -9.1511 -8.9488 -8.7888 -8.6541 -8.5304 -8.4083 -8.2779 -8.1251 -7.9521 -7.7780
 -7.6106 -7.4512 -7.2971 -7.1445 -6.9906 -6.6087 -6.2527 -5.9337 -5.6613 -5.4418
 -5.2744 -5.1586 -5.0871 -5.0468
