 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value = BX   
 -6.1838 -5.9411 -5.7856 -5.5936 -5.3481 -5.1364 -5.0253 -4.9562 -4.8407 -4.6524
 -4.4292 -4.1818 -3.9285 -3.6841 -3.4454 -2.8822 -2.3749 -1.9581 -1.6170
 -5.8616 -5.5288 -5.2792 -5.0687 -4.8888 -4.7369 -4.6050 -4.4793 -4.3455 -4.1942
 -4.0194 -3.8174 -3.5934 -3.3660 -3.1492 -2.6575 -2.2246 -1.8606 -1.5709 -1.3479
 -5.6479 -5.2675 -4.9620 -4.7253 -4.5524 -4.4098 -4.2660 -4.1205 -3.9778 -3.8366
 -3.6839 -3.5129 -3.3183 -3.1112 -2.9132 -2.4774 -2.1043 -1.7860 -1.5348 -1.3393
 -1.1806
 -5.5427 -5.1572 -4.8340 -4.5634 -4.3389 -4.1551 -4.0083 -3.8798 -3.7376 -3.5796
 -3.4227 -3.2683 -3.1032 -2.9197 -2.7374 -2.3419 -2.0140 -1.7343 -1.5088 -1.3321
 -1.1879 -1.0647
 -5.4718 -5.0955 -4.7732 -4.4946 -4.2520 -4.0408 -3.8571 -3.6969 -3.5557 -3.4186
 -3.2649 -3.1020 -2.9451 -2.7827 -2.6150 -2.2475 -1.9507 -1.7006 -1.4956 -1.3338
 -1.2018 -1.0884 -0.9875 -0.8958
 -5.4020 -5.0460 -4.7349 -4.4598 -4.2137 -3.9917 -3.7911 -3.6099 -3.4457 -3.2947
 -3.1512 -3.0045 -2.8523 -2.6993 -2.5397 -2.1875 -1.9103 -1.6808 -1.4909 -1.3403
 -1.2185 -1.1141 -1.0209 -0.9357 -0.8567 -0.7832 -0.7157 -0.6517 -0.5938 -0.5580
 -5.3189 -4.9909 -4.6990 -4.4355 -4.1941 -3.9712 -3.7645 -3.5725 -3.3953 -3.2314
 -3.0781 -2.9319 -2.7887 -2.6487 -2.5029 -2.1581 -1.8884 -1.6715 -1.4916 -1.3485
 -1.2347 -1.1387 -1.0535 -0.9752 -0.9022 -0.8335 -0.7696 -0.7103 -0.6558 -0.6097
 -0.5834
 -5.2238 -4.9242 -4.6553 -4.4091 -4.1788 -3.9616 -3.7555 -3.5602 -3.3763 -3.2043
 -3.0433 -2.8919 -2.7484 -2.6111 -2.4768 -2.1522 -1.8823 -1.6704 -1.4966 -1.3568
 -1.2479 -1.1592 -1.0819 -1.0114 -0.9453 -0.8826 -0.8235 -0.7682 -0.7171 -0.6718
 -0.6371
