 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  r   
  1.7893  3.5718  4.5976  3.3341  0.1235 -4.3892 -3.5329 -1.8358 -0.7916 -0.6072
 -0.4167 -0.2986 -0.6340 -1.0999 -1.2254 -0.8206
 -1.9692 -1.0502 -0.2583 -0.4579 -1.5135 -3.4249 -2.9936 -2.1667 -1.5242 -1.2207
 -0.9822 -0.8472 -0.9367 -1.0984 -1.1153 -0.7759 -0.5585 -0.4404 -0.4506
 -3.3556 -2.9733 -2.4715 -2.1916 -2.1340 -2.5031 -2.3255 -2.0382 -1.7310 -1.4644
 -1.2619 -1.1362 -1.0851 -1.0598 -1.0024 -0.7313 -0.5521 -0.4437 -0.4023 -0.3715
 -0.2972
 -2.3699 -2.1975 -2.0420 -1.8670 -1.7379 -1.6239 -1.5286 -1.4504 -1.4119 -1.3385
 -1.2558 -1.1656 -1.0793 -0.9842 -0.8867 -0.6868 -0.5430 -0.4482 -0.3870 -0.3476
 -0.3210 -0.3024 -0.2886
 -2.0508 -1.9276 -1.8111 -1.6862 -1.5759 -1.4725 -1.3794 -1.2977 -1.2266 -1.1617
 -1.0965 -1.0269 -0.9567 -0.8852 -0.8122 -0.6503 -0.5346 -0.4569 -0.4041 -0.3675
 -0.3417 -0.3232 -0.3096 -0.3010 -0.2979
 -1.7494 -1.6664 -1.5839 -1.4990 -1.4123 -1.3266 -1.2445 -1.1684 -1.0996 -1.0374
 -0.9799 -0.9242 -0.8670 -0.8115 -0.7533 -0.6210 -0.5248 -0.4604 -0.4160 -0.3839
 -0.3604 -0.3431 -0.3304 -0.3213 -0.3157 -0.3144
 -1.4657 -1.4139 -1.3604 -1.3054 -1.2472 -1.1862 -1.1239 -1.0625 -1.0038 -0.9487
 -0.8973 -0.8489 -0.8021 -0.7571 -0.7100 -0.5989 -0.5136 -0.4587 -0.4227 -0.3968
 -0.3771 -0.3621 -0.3509 -0.3425 -0.3366 -0.3335 -0.3339 -0.3420 -0.3602 -0.3837
 -1.1996 -1.1701 -1.1406 -1.1111 -1.0796 -1.0443 -1.0053 -0.9637 -0.9205 -0.8770
 -0.8343 -0.7929 -0.7530 -0.7142 -0.6760 -0.5814 -0.5039 -0.4522 -0.4220 -0.4029
