 [Fe/H] = -2.50 [alpha/Fe] = 0.00 BC value =F322W2
  0.4552  0.4027  0.3530  0.3091  0.2696  0.2428  0.2887  0.3066  0.3239  0.3284
  0.3130  0.2665  0.2214  0.1561  0.0867 -0.0927 -0.2659 -0.4475 -0.6180
  0.5578  0.4980  0.4383  0.3788  0.3263  0.2885  0.2653  0.2554  0.2566  0.2658
  0.2685  0.2479  0.1989  0.1342  0.0644 -0.1123 -0.2878 -0.4593 -0.6240 -0.7816
  0.5621  0.5119  0.4597  0.4068  0.3554  0.3081  0.2686  0.2412  0.2231  0.2119
  0.2103  0.2049  0.1715  0.1130  0.0455 -0.1291 -0.3024 -0.4732 -0.6374 -0.7943
 -0.9445
  0.5477  0.5058  0.4611  0.4142  0.3664  0.3204  0.2792  0.2439  0.2148  0.1908
  0.1680  0.1559  0.1357  0.0892  0.0271 -0.1431 -0.3141 -0.4835 -0.6476 -0.8041
 -0.9535 -1.0968
  0.5118  0.4799  0.4441  0.4046  0.3621  0.3182  0.2758  0.2376  0.2042  0.1738
  0.1445  0.1166  0.0946  0.0570  0.0045 -0.1566 -0.3240 -0.4910 -0.6548 -0.8115
 -0.9607 -1.1033 -1.2402 -1.3723
  0.4537  0.4324  0.4075  0.3776  0.3426  0.3036  0.2628  0.2229  0.1859  0.1520
  0.1191  0.0850  0.0567  0.0207 -0.0263 -0.1722 -0.3338 -0.4969 -0.6593 -0.8164
 -0.9660 -1.1085 -1.2449 -1.3760 -1.5028 -1.6256 -1.7449 -1.8608 -1.9735 -2.0833
  0.3781  0.3637  0.3497  0.3310  0.3059  0.2746  0.2389  0.2009  0.1628  0.1261
  0.0910  0.0554  0.0213 -0.0143 -0.0586 -0.1929 -0.3453 -0.5027 -0.6618 -0.8187
 -0.9692 -1.1123 -1.2486 -1.3793 -1.5051 -1.6266 -1.7443 -1.8586 -1.9701 -2.0789
 -2.1850
  0.2863  0.2783  0.2714  0.2629  0.2493  0.2282  0.2006  0.1680  0.1324  0.0961
  0.0598  0.0236 -0.0124 -0.0483 -0.0901 -0.2156 -0.3593 -0.5103 -0.6641 -0.8187
 -0.9697 -1.1141 -1.2512 -1.3820 -1.5074 -1.6282 -1.7449 -1.8579 -1.9678 -2.0751
 -2.1800
  0.1859  0.1807  0.1771  0.1749  0.1711  0.1613  0.1441  0.1200  0.0906  0.0577
  0.0231 -0.0124 -0.0481 -0.0841 -0.1234 -0.2402 -0.3758 -0.5212 -0.6699 -0.8204
 -0.9703 -1.1158 -1.2545 -1.3864 -1.5122 -1.6329 -1.7493 -1.8619 -1.9711 -2.0769
 -2.1797
  0.0768  0.0709  0.0739  0.0740  0.0751  0.0745  0.0681  0.0545  0.0342  0.0084
 -0.0214 -0.0538 -0.0875 -0.1223 -0.1588 -0.2658 -0.3918 -0.5305 -0.6746 -0.8206
 -0.9671 -1.1119 -1.2518 -1.3853 -1.5123 -1.6335 -1.7499 -1.8620 -1.9727 -2.0776
 -2.1789
