 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  B   
 -6.8388 -6.6225 -6.7777 -6.6957 -6.4768 -6.1161 -5.6432 -5.3546 -5.0701 -4.7747
 -4.4941 -4.2341 -3.9920 -3.7612 -3.5366 -3.0312 -2.5022 -2.0054 -1.6509
 -6.6614 -6.2939 -6.0053 -5.8087 -5.6865 -5.5287 -5.2834 -4.9939 -4.7028 -4.4170
 -4.1431 -3.8875 -3.6507 -3.4295 -3.2203 -2.7328 -2.2847 -1.9007 -1.6033 -1.3750
 -6.3180 -5.9519 -5.6333 -5.3691 -5.1544 -4.9986 -4.8660 -4.6756 -4.4271 -4.1553
 -3.8890 -3.6374 -3.4056 -3.1924 -2.9953 -2.5551 -2.1650 -1.8262 -1.5590 -1.3533
 -1.1888
 -6.0360 -5.6998 -5.3865 -5.1101 -4.8681 -4.6510 -4.4607 -4.3049 -4.1407 -3.9303
 -3.6917 -3.4529 -3.2270 -3.0193 -2.8298 -2.4217 -2.0757 -1.7772 -1.5331 -1.3452
 -1.1947 -1.0676
 -5.7809 -5.4860 -5.1965 -4.9267 -4.6833 -4.4594 -4.2472 -4.0470 -3.8700 -3.7001
 -3.5172 -3.3126 -3.1033 -2.9031 -2.7185 -2.3298 -2.0136 -1.7435 -1.5208 -1.3466
 -1.2074 -1.0901 -0.9868 -0.8940
 -5.5444 -5.2865 -5.0310 -4.7795 -4.5439 -4.3252 -4.1171 -3.9143 -3.7182 -3.5318
 -3.3589 -3.1896 -3.0116 -2.8292 -2.6523 -2.2731 -1.9747 -1.7245 -1.5176 -1.3537
 -1.2237 -1.1149 -1.0193 -0.9325 -0.8487 -0.7695 -0.6981 -0.6369 -0.5878 -0.5518
 -5.3267 -5.0993 -4.8749 -4.6491 -4.4271 -4.2175 -4.0182 -3.8247 -3.6344 -3.4466
 -3.2659 -3.0959 -2.9340 -2.7739 -2.6138 -2.2457 -1.9544 -1.7175 -1.5202 -1.3631
 -1.2401 -1.1390 -1.0511 -0.9712 -0.8973 -0.8281 -0.7637 -0.7042 -0.6498 -0.6037
 -0.5773
 -5.1281 -4.9256 -4.7256 -4.5250 -4.3230 -4.1240 -3.9333 -3.7506 -3.5718 -3.3936
 -3.2172 -3.0463 -2.8842 -2.7309 -2.5834 -2.2385 -1.9489 -1.7181 -1.5271 -1.3734
 -1.2543 -1.1596 -1.0792 -1.0068 -0.9399 -0.8767 -0.8160 -0.7594 -0.7089 -0.6659
 -0.6314
 -4.9488 -4.7666 -4.5855 -4.4018 -4.2212 -4.0383 -3.8569 -3.6814 -3.5129 -3.3467
 -3.1803 -3.0155 -2.8558 -2.7036 -2.5594 -2.2318 -1.9504 -1.7211 -1.5347 -1.3825
 -1.2647 -1.1740 -1.1003 -1.0359 -0.9767 -0.9207 -0.8676 -0.8173 -0.7712 -0.7295
 -0.6917
 -4.7892 -4.6237 -4.4574 -4.2908 -4.1240 -3.9573 -3.7905 -3.6238 -3.4613 -3.3043
