 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =F1500W
 -1.9200 -2.0444 -2.1613 -2.2610 -2.3416 -2.4090 -2.4704 -2.5306 -2.5969 -2.6756
 -2.7504 -2.8207 -2.8933 -2.9617 -3.0335 -3.2166 -3.3994 -3.5784 -3.7466
 -1.9075 -2.0270 -2.1433 -2.2535 -2.3566 -2.4518 -2.5388 -2.6177 -2.6905 -2.7582
 -2.8202 -2.8771 -2.9352 -3.0014 -3.0731 -3.2566 -3.4372 -3.6143 -3.7835 -3.9444
 -1.8992 -2.0151 -2.1293 -2.2424 -2.3542 -2.4620 -2.5632 -2.6558 -2.7385 -2.8093
 -2.8710 -2.9237 -2.9727 -3.0328 -3.1027 -3.2861 -3.4658 -3.6413 -3.8108 -3.9725
 -4.1260
 -1.8951 -2.0087 -2.1193 -2.2277 -2.3344 -2.4396 -2.5436 -2.6449 -2.7409 -2.8289
 -2.9028 -2.9605 -3.0058 -3.0559 -3.1223 -3.3051 -3.4852 -3.6594 -3.8285 -3.9904
 -4.1443 -4.2908
 -1.8945 -2.0065 -2.1148 -2.2199 -2.3222 -2.4223 -2.5207 -2.6174 -2.7127 -2.8064
 -2.8961 -2.9746 -3.0306 -3.0763 -3.1369 -3.3175 -3.4981 -3.6717 -3.8402 -4.0021
 -4.1561 -4.3028 -4.4426 -4.5763
 -1.8967 -2.0071 -2.1139 -2.2169 -2.3164 -2.4129 -2.5072 -2.5995 -2.6901 -2.7791
 -2.8673 -2.9544 -3.0300 -3.0830 -3.1441 -3.3255 -3.5063 -3.6798 -3.8478 -4.0096
 -4.1639 -4.3107 -4.4507 -4.5846 -4.7128 -4.8361 -4.9558 -5.0719 -5.1848 -5.2956
 -1.9037 -2.0109 -2.1155 -2.2167 -2.3144 -2.4088 -2.5003 -2.5895 -2.6770 -2.7628
 -2.8471 -2.9305 -3.0133 -3.0762 -3.1351 -3.3283 -3.5110 -3.6848 -3.8522 -4.0141
 -4.1687 -4.3160 -4.4563 -4.5903 -4.7185 -4.8416 -4.9604 -5.0756 -5.1875 -5.2966
 -5.4039
 -1.9192 -2.0206 -2.1211 -2.2193 -2.3150 -2.4076 -2.4974 -2.5845 -2.6697 -2.7533
 -2.8354 -2.9162 -2.9961 -3.0692 -3.1241 -3.3195 -3.5108 -3.6867 -3.8543 -4.0162
 -4.1714 -4.3192 -4.4599 -4.5943 -4.7228 -4.8459 -4.9643 -5.0787 -5.1897 -5.2977
 -5.4032
 -1.9473 -2.0414 -2.1356 -2.2287 -2.3206 -2.4106 -2.4985 -2.5841 -2.6677 -2.7496
 -2.8301 -2.9095 -2.9877 -3.0626 -3.1209 -3.3097 -3.5052 -3.6868 -3.8565 -4.0191
