 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =F1280W
 -1.6051 -1.7297 -1.8469 -1.9464 -2.0262 -2.0922 -2.1510 -2.2072 -2.2692 -2.3438
 -2.4143 -2.4821 -2.5540 -2.6221 -2.6941 -2.8785 -3.0631 -3.2426 -3.4111
 -1.5913 -1.7109 -1.8273 -1.9374 -2.0401 -2.1346 -2.2202 -2.2968 -2.3664 -2.4299
 -2.4870 -2.5396 -2.5955 -2.6610 -2.7328 -2.9174 -3.0991 -3.2767 -3.4461 -3.6070
 -1.5821 -1.6979 -1.8120 -1.9249 -2.0364 -2.1438 -2.2442 -2.3355 -2.4160 -2.4833
 -2.5405 -2.5883 -2.6339 -2.6927 -2.7624 -2.9464 -3.1266 -3.3026 -3.4722 -3.6338
 -3.7872
 -1.5775 -1.6907 -1.8010 -1.9089 -2.0151 -2.1198 -2.2230 -2.3233 -2.4180 -2.5040
 -2.5748 -2.6282 -2.6692 -2.7172 -2.7829 -2.9655 -3.1456 -3.3203 -3.4894 -3.6512
 -3.8049 -3.9512
 -1.5769 -1.6882 -1.7958 -1.9003 -2.0020 -2.1014 -2.1989 -2.2945 -2.3884 -2.4803
 -2.5680 -2.6440 -2.6966 -2.7395 -2.7988 -2.9782 -3.1585 -3.3324 -3.5009 -3.6626
 -3.8165 -3.9630 -4.1027 -4.2362
 -1.5803 -1.6892 -1.7947 -1.8967 -1.9954 -2.0912 -2.1846 -2.2759 -2.3651 -2.4523
 -2.5384 -2.6234 -2.6966 -2.7474 -2.8074 -2.9867 -3.1668 -3.3404 -3.5084 -3.6701
 -3.8242 -3.9710 -4.1107 -4.2444 -4.3724 -4.4955 -4.6148 -4.7306 -4.8432 -4.9536
 -1.5902 -1.6946 -1.7970 -1.8966 -1.9930 -2.0864 -2.1771 -2.2654 -2.3518 -2.4360
 -2.5183 -2.5994 -2.6800 -2.7409 -2.7989 -2.9896 -3.1716 -3.3453 -3.5129 -3.6747
 -3.8292 -3.9762 -4.1164 -4.2502 -4.3782 -4.5010 -4.6195 -4.7344 -4.8459 -4.9545
 -5.0615
 -1.6114 -1.7084 -1.8051 -1.9005 -1.9940 -2.0851 -2.1737 -2.2599 -2.3441 -2.4265
 -2.5071 -2.5859 -2.6635 -2.7347 -2.7886 -2.9804 -3.1708 -3.3469 -3.5149 -3.6768
 -3.8318 -3.9795 -4.1201 -4.2542 -4.3826 -4.5054 -4.6235 -4.7377 -4.8483 -4.9558
 -5.0608
 -1.6474 -1.7358 -1.8247 -1.9133 -2.0017 -2.0891 -2.1751 -2.2593 -2.3418 -2.4226
 -2.5019 -2.5797 -2.6560 -2.7291 -2.7863 -2.9708 -3.1641 -3.3459 -3.5166 -3.6796
 -3.8354 -3.9839 -4.1251 -4.2599 -4.3888 -4.5120 -4.6303 -4.7441 -4.8542 -4.9610
 -5.0651
 -1.6924 -1.7742 -1.8554 -1.9358 -2.0168 -2.0984 -2.1799 -2.2611 -2.3413 -2.4202
 -2.4980 -2.5746 -2.6499 -2.7229 -2.7883 -2.9621 -3.1519 -3.3365 -3.5107 -3.6764
 -3.8336 -3.9830 -4.1251 -4.2606 -4.3901 -4.5139 -4.6326 -4.7466 -4.8564 -4.9627
 -5.0682
 -1.7447 -1.8230 -1.8981 -1.9717 -2.0450 -2.1189 -2.1939 -2.2699 -2.3464 -2.4226
 -2.4980 -2.5728 -2.6466 -2.7190 -2.7881 -2.9583 -3.1420 -3.3253 -3.5016 -3.6699
 -3.8298 -3.9807 -4.1238 -4.2601 -4.3904 -4.5149 -4.6344 -4.7489 -4.8590 -4.9652
 -5.0682
 -1.8043 -1.8822 -1.9500 -2.0198 -2.0866 -2.1531 -2.2206 -2.2895 -2.3601 -2.4319
 -2.5040 -2.5761 -2.6476 -2.7186 -2.7857 -2.9594 -3.1344 -3.3123 -3.4893
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value =F1280W
 -1.5880 -1.6885 -1.7812 -1.8663 -1.9441 -2.0191 -2.0962 -2.1779 -2.2606 -2.3382
 -2.4094 -2.4770 -2.5458 -2.6181 -2.7008 -2.8850 -3.0623 -3.2389 -3.4093
 -1.6160 -1.7272 -1.8304 -1.9260 -2.0146 -2.0971 -2.1763 -2.2567 -2.3364 -2.4109
 -2.4776 -2.5379 -2.5985 -2.6660 -2.7388 -2.9239 -3.1020 -3.2758 -3.4447 -3.6052
 -1.6082 -1.7232 -1.8346 -1.9465 -2.0475 -2.1406 -2.2261 -2.3071 -2.3860 -2.4602
 -2.5263 -2.5832 -2.6359 -2.6972 -2.7676 -2.9524 -3.1314 -3.3036 -3.4711 -3.6317
 -3.7848
 -1.5899 -1.7042 -1.8180 -1.9307 -2.0405 -2.1453 -2.2437 -2.3345 -2.4177 -2.4941
 -2.5630 -2.6213 -2.6692 -2.7212 -2.7872 -2.9705 -3.1505 -3.3223 -3.4885 -3.6490
 -3.8024 -3.9488
 -1.5836 -1.6954 -1.8047 -1.9132 -2.0204 -2.1253 -2.2268 -2.3245 -2.4178 -2.5052
 -2.5826 -2.6486 -2.7013 -2.7449 -2.8030 -2.9821 -3.1627 -3.3348 -3.5002 -3.6602
 -3.8137 -3.9603 -4.1001 -4.2339
