 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value = G_RP 
 -1.0688 -1.0608 -1.2433 -1.2495 -1.1750 -1.0456 -0.8846 -0.7819 -0.6906 -0.5930
 -0.5003 -0.4119 -0.3315 -0.2585 -0.1961 -0.0664 -0.0074 -0.0027 -0.0015
 -1.0724 -0.9995 -0.9399 -0.9093 -0.9094 -0.8845 -0.8119 -0.7218 -0.6337 -0.5483
 -0.4656 -0.3875 -0.3159 -0.2521 -0.1964 -0.0925 -0.0350 -0.0140 -0.0147 -0.0274
 -0.9523 -0.8855 -0.8178 -0.7572 -0.7107 -0.6916 -0.6853 -0.6519 -0.5896 -0.5151
 -0.4417 -0.3711 -0.3059 -0.2476 -0.1968 -0.1021 -0.0495 -0.0316 -0.0343 -0.0473
 -0.0668
 -0.8419 -0.7917 -0.7322 -0.6709 -0.6140 -0.5655 -0.5310 -0.5164 -0.5018 -0.4674
 -0.4148 -0.3554 -0.2974 -0.2444 -0.1979 -0.1106 -0.0616 -0.0459 -0.0504 -0.0643
 -0.0836 -0.1069
 -0.7286 -0.6989 -0.6556 -0.6034 -0.5492 -0.4982 -0.4531 -0.4154 -0.3907 -0.3729
 -0.3527 -0.3212 -0.2809 -0.2372 -0.1958 -0.1158 -0.0697 -0.0558 -0.0623 -0.0783
 -0.0984 -0.1216 -0.1477 -0.1769
 -0.6117 -0.5987 -0.5744 -0.5376 -0.4931 -0.4461 -0.4017 -0.3616 -0.3264 -0.2970
 -0.2749 -0.2566 -0.2359 -0.2108 -0.1830 -0.1157 -0.0728 -0.0602 -0.0686 -0.0881
 -0.1105 -0.1349 -0.1614 -0.1899 -0.2205 -0.2539 -0.2906 -0.3310 -0.3755 -0.4242
 -0.4940 -0.4932 -0.4844 -0.4638 -0.4335 -0.3964 -0.3569 -0.3189 -0.2846 -0.2537
 -0.2262 -0.2031 -0.1843 -0.1674 -0.1501 -0.1063 -0.0702 -0.0571 -0.0681 -0.0918
 -0.1185 -0.1458 -0.1739 -0.2031 -0.2335 -0.2642 -0.2969 -0.3337 -0.3763 -0.4248
 -0.4758
 -0.3785 -0.3861 -0.3875 -0.3800 -0.3640 -0.3404 -0.3107 -0.2782 -0.2468 -0.2182
 -0.1923 -0.1689 -0.1482 -0.1308 -0.1158 -0.0847 -0.0606 -0.0501 -0.0614 -0.0884
 -0.1203 -0.1522 -0.1835 -0.2148 -0.2464 -0.2784 -0.3104 -0.3442 -0.3821 -0.4255
 -0.4756
 -0.2682 -0.2812 -0.2885 -0.2886 -0.2845 -0.2732 -0.2558 -0.2331 -0.2077 -0.1825
 -0.1595 -0.1390 -0.1203 -0.1036 -0.0888 -0.0611 -0.0446 -0.0395 -0.0505 -0.0789
 -0.1153 -0.1527 -0.1889 -0.2238 -0.2580 -0.2917 -0.3256 -0.3600 -0.3967 -0.4358
 -0.4772
 -0.1659 -0.1821 -0.1928 -0.1986 -0.2000 -0.1975 -0.1909 -0.1792 -0.1634 -0.1444
 -0.1254 -0.1082 -0.0928 -0.0787 -0.0661 -0.0413 -0.0276 -0.0260 -0.0377 -0.0652
 -0.1032 -0.1451 -0.1867 -0.2266 -0.2649 -0.3016 -0.3376 -0.3731 -0.4088 -0.4455
 -0.4839
 -0.0732 -0.0890 -0.1010 -0.1096 -0.1151 -0.1178 -0.1180 -0.1156 -0.1096 -0.0998
 -0.0872 -0.0742 -0.0624 -0.0520 -0.0429 -0.0238 -0.0121 -0.0124 -0.0254 -0.0512
 -0.0885 -0.1319 -0.1775 -0.2225 -0.2657 -0.3069 -0.3464 -0.3845 -0.4217 -0.4588
 -0.4966
  0.0131  0.0094  0.0011 -0.0098 -0.0213 -0.0318 -0.0400 -0.0451 -0.0470 -0.0459
 -0.0419 -0.0355 -0.0282 -0.0216 -0.0160 -0.0053  0.0021  0.0007 -0.0130
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value = G_RP 
 -1.3535 -1.3600 -1.3298 -1.2192 -1.0806 -0.9437 -0.8277 -0.7323 -0.6455 -0.5625
 -0.4832 -0.4077 -0.3367 -0.2707 -0.2107 -0.0879 -0.0153  0.0124  0.0148
 -1.1785 -1.1089 -1.0862 -1.0881 -1.0220 -0.9092 -0.7950 -0.6983 -0.6145 -0.5363
 -0.4619 -0.3913 -0.3250 -0.2640 -0.2089 -0.1012 -0.0351 -0.0065 -0.0044 -0.0164
 -1.0716 -0.9894 -0.9160 -0.8663 -0.8585 -0.8398 -0.7652 -0.6732 -0.5907 -0.5169
 -0.4473 -0.3814 -0.3195 -0.2625 -0.2113 -0.1118 -0.0507 -0.0237 -0.0226 -0.0350
 -0.0545
 -0.9798 -0.9084 -0.8317 -0.7573 -0.6980 -0.6658 -0.6576 -0.6292 -0.5666 -0.4985
