 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  B   
 -7.2800 -7.0644 -7.2220 -7.1405 -6.9204 -6.5598 -6.0907 -5.8032 -5.5204 -5.2273
 -4.9476 -4.6896 -4.4491 -4.2198 -3.9968 -3.4944 -2.9704 -2.4819 -2.1311
 -7.1045 -6.7390 -6.4517 -6.2560 -6.1344 -5.9772 -5.7328 -5.4446 -5.1553 -4.8711
 -4.5989 -4.3451 -4.1100 -3.8906 -3.6832 -3.2003 -2.7570 -2.3773 -2.0832 -1.8574
 -6.7626 -6.3987 -6.0818 -5.8189 -5.6051 -5.4500 -5.3182 -5.1286 -4.8812 -4.6109
 -4.3465 -4.0967 -3.8668 -3.6555 -3.4602 -3.0245 -2.6387 -2.3039 -2.0397 -1.8363
 -1.6734
 -6.4818 -6.1479 -5.8364 -5.5615 -5.3207 -5.1047 -4.9155 -4.7607 -4.5975 -4.3881
 -4.1508 -3.9138 -3.6899 -3.4840 -3.2964 -2.8925 -2.5504 -2.2556 -2.0144 -1.8285
 -1.6795 -1.5537
 -6.2277 -5.9349 -5.6474 -5.3793 -5.1373 -4.9146 -4.7037 -4.5048 -4.3289 -4.1602
 -3.9785 -3.7751 -3.5674 -3.3691 -3.1863 -2.8016 -2.4890 -2.2223 -2.0023 -1.8301
 -1.6924 -1.5761 -1.4737 -1.3816
 -5.9918 -5.7359 -5.4826 -5.2329 -4.9988 -4.7814 -4.5746 -4.3733 -4.1786 -3.9936
 -3.8220 -3.6538 -3.4771 -3.2961 -3.1208 -2.7455 -2.4504 -2.2033 -1.9991 -1.8373
 -1.7086 -1.6009 -1.5061 -1.4200 -1.3368 -1.2582 -1.1874 -1.1268 -1.0782 -1.0427
 -5.7745 -5.5489 -5.3267 -5.1028 -4.8826 -4.6745 -4.4765 -4.2843 -4.0955 -3.9092
 -3.7299 -3.5613 -3.4007 -3.2419 -3.0831 -2.7184 -2.4302 -2.1963 -2.0016 -1.8465
 -1.7249 -1.6249 -1.5378 -1.4586 -1.3852 -1.3165 -1.2525 -1.1935 -1.1396 -1.0940
 -1.0680
 -5.5762 -5.3753 -5.1773 -4.9787 -4.7786 -4.5812 -4.3921 -4.2108 -4.0333 -3.8565
 -3.6816 -3.5122 -3.3515 -3.1995 -3.0533 -2.7114 -2.4247 -2.1966 -2.0082 -1.8565
 -1.7389 -1.6454 -1.5658 -1.4940 -1.4276 -1.3649 -1.3047 -1.2485 -1.1983 -1.1557
 -1.1215
 -5.3971 -5.2163 -5.0369 -4.8552 -4.6765 -4.4955 -4.3157 -4.1418 -3.9746 -3.8097
 -3.6448 -3.4814 -3.3232 -3.1725 -3.0295 -2.7048 -2.4262 -2.1994 -2.0153 -1.8653
 -1.7491 -1.6596 -1.5867 -1.5229 -1.4642 -1.4086 -1.3559 -1.3060 -1.2603 -1.2189
 -1.1813
 -5.2375 -5.0733 -4.9086 -4.7436 -4.5786 -4.4138 -4.2489 -4.0838 -3.9229 -3.7672
 -3.6139 -3.4608 -3.3090 -3.1623 -3.0220 -2.7030 -2.4325 -2.2082 -2.0256 -1.8768
 -1.7597 -1.6709 -1.6021 -1.5452 -1.4945 -1.4470 -1.4019 -1.3586 -1.3173 -1.2787
 -1.2433
 -5.0942 -4.9401 -4.7864 -4.6332 -4.4806 -4.3287 -4.1777 -4.0270 -3.8754 -3.7259
 -3.5804 -3.4375 -3.2953 -3.1545 -3.0172 -2.7034 -2.4379 -2.2161 -2.0343 -1.8870
 -1.7696 -1.6798 -1.6121 -1.5596 -1.5158 -1.4766 -1.4397 -1.4042 -1.3699 -1.3371
