 [Fe/H] = -2.00 [alpha/Fe] =-0.40 BC value =  V   
 -4.0812 -4.0043 -4.2203 -4.1433 -3.9254 -3.6408 -3.3344 -3.1212 -2.9308 -2.7379
 -2.5605 -2.3976 -2.2456 -2.1035 -1.9694 -1.6862 -1.4157 -1.1823 -1.0425
 -4.0707 -3.8163 -3.6146 -3.4783 -3.3983 -3.2834 -3.0993 -2.8963 -2.7072 -2.5296
 -2.3630 -2.2087 -2.0667 -1.9361 -1.8153 -1.5495 -1.3306 -1.1614 -1.0384 -0.9475
 -3.8348 -3.5826 -3.3625 -3.1775 -3.0275 -2.9244 -2.8402 -2.7121 -2.5501 -2.3820
 -2.2266 -2.0827 -1.9502 -1.8289 -1.7181 -1.4808 -1.2915 -1.1454 -1.0373 -0.9559
 -0.8919
 -3.6510 -3.4168 -3.2013 -3.0108 -2.8444 -2.6992 -2.5785 -2.4872 -2.3929 -2.2692
 -2.1299 -1.9950 -1.8708 -1.7569 -1.6528 -1.4334 -1.2639 -1.1361 -1.0400 -0.9666
 -0.9076 -0.8585
 -3.4980 -3.2854 -3.0832 -2.8975 -2.7315 -2.5828 -2.4492 -2.3303 -2.2325 -2.1425
 -2.0444 -1.9317 -1.8168 -1.7089 -1.6102 -1.4022 -1.2447 -1.1290 -1.0434 -0.9778
 -0.9240 -0.8784 -0.8390 -0.8048
 -3.3706 -3.1738 -2.9885 -2.8119 -2.6502 -2.5040 -2.3716 -2.2511 -2.1422 -2.0440
 -1.9548 -1.8672 -1.7734 -1.6762 -1.5823 -1.3822 -1.2312 -1.1225 -1.0446 -0.9868
 -0.9390 -0.8979 -0.8618 -0.8294 -0.7993 -0.7730 -0.7526 -0.7395 -0.7350 -0.7396
 -3.2688 -3.0812 -2.9076 -2.7427 -2.5868 -2.4442 -2.3144 -2.1962 -2.0889 -1.9902
 -1.8983 -1.8119 -1.7288 -1.6458 -1.5620 -1.3698 -1.2218 -1.1151 -1.0422 -0.9910
 -0.9502 -0.9147 -0.8831 -0.8543 -0.8277 -0.8014 -0.7782 -0.7612 -0.7530 -0.7550
 -0.7656
 -3.1924 -3.0085 -2.8399 -2.6829 -2.5350 -2.3961 -2.2687 -2.1527 -2.0475 -1.9510
 -1.8616 -1.7770 -1.6957 -1.6176 -1.5412 -1.3626 -1.2163 -1.1094 -1.0370 -0.9894
 -0.9550 -0.9263 -0.9005 -0.8765 -0.8540 -0.8324 -0.8104 -0.7910 -0.7778 -0.7738
 -0.7807
 -3.1416 -2.9568 -2.7879 -2.6292 -2.4881 -2.3547 -2.2299 -2.1151 -2.0111 -1.9163
 -1.8289 -1.7474 -1.6698 -1.5947 -1.5217 -1.3531 -1.2119 -1.1048 -1.0302 -0.9830
 -0.9525 -0.9303 -0.9114 -0.8937 -0.8766 -0.8595 -0.8428 -0.8269 -0.8143 -0.8054
 -0.7997
 -3.1163 -2.9271 -2.7542 -2.5963 -2.4519 -2.3200 -2.1988 -2.0855 -1.9816 -1.8873
 -1.8012 -1.7216 -1.6470 -1.5751 -1.5056 -1.3453 -1.2085 -1.1020 -1.0256 -0.9760
 -0.9458 -0.9273 -0.9146 -0.9039 -0.8934 -0.8822 -0.8707 -0.8588 -0.8471 -0.8370
 -0.8276
 -3.1124 -2.9160 -2.7374 -2.5749 -2.4272 -2.2929 -2.1710 -2.0598 -1.9565 -1.8616
 -1.7756 -1.6970 -1.6242 -1.5558 -1.4905 -1.3373 -1.2043 -1.0989 -1.0219 -0.9696
 -0.9377 -0.9198 -0.9105 -0.9057 -0.9020 -0.8979 -0.8927 -0.8864 -0.8792 -0.8720
 -0.8657
 -3.1133 -2.9075 -2.7229 -2.5570 -2.4072 -2.2714 -2.1480 -2.0353 -1.9324 -1.8383
 -1.7522 -1.6735 -1.6016 -1.5349 -1.4721 -1.3276 -1.1993 -1.0951 -1.0174
 [Fe/H] = -1.50 [alpha/Fe] =-0.40 BC value =  V   
 -4.4608 -4.3496 -4.1950 -3.9252 -3.6255 -3.3426 -3.1009 -2.8946 -2.7057 -2.5287
 -2.3641 -2.2136 -2.0766 -1.9513 -1.8358 -1.5877 -1.3667 -1.1757 -1.0380
 -4.0929 -3.8557 -3.7201 -3.6331 -3.4425 -3.1893 -2.9466 -2.7384 -2.5544 -2.3837
 -2.2257 -2.0818 -1.9515 -1.8339 -1.7269 -1.4966 -1.3056 -1.1496 -1.0292 -0.9386
 -3.8927 -3.6268 -3.4098 -3.2469 -3.1536 -3.0412 -2.8445 -2.6350 -2.4515 -2.2875
 -2.1358 -1.9973 -1.8720 -1.7590 -1.6570 -1.4417 -1.2694 -1.1320 -1.0261 -0.9452
 -0.8812
 -3.7593 -3.4961 -3.2650 -3.0620 -2.8949 -2.7725 -2.6828 -2.5566 -2.3862 -2.2248
 -2.0781 -1.9448 -1.8236 -1.7139 -1.6149 -1.4079 -1.2466 -1.1215 -1.0265 -0.9536
 -0.8951 -0.8463
 -3.6637 -3.4095 -3.1785 -2.9746 -2.7957 -2.6358 -2.4994 -2.3899 -2.2971 -2.1787
 -2.0432 -1.9125 -1.7945 -1.6878 -1.5909 -1.3883 -1.2328 -1.1152 -1.0281 -0.9623
 -0.9092 -0.8643 -0.8254 -0.7926
 -3.6043 -3.3497 -3.1224 -2.9168 -2.7349 -2.5731 -2.4256 -2.2919 -2.1769 -2.0839
 -1.9936 -1.8890 -1.7782 -1.6729 -1.5776 -1.3775 -1.2243 -1.1106 -1.0287 -0.9691
 -0.9220 -0.8818 -0.8464 -0.8150 -0.7857 -0.7602 -0.7407 -0.7288 -0.7257 -0.7310
 -3.5613 -3.3101 -3.0866 -2.8809 -2.6960 -2.5326 -2.3860 -2.2520 -2.1290 -2.0194
 -1.9239 -1.8394 -1.7537 -1.6624 -1.5708 -1.3720 -1.2191 -1.1064 -1.0270 -0.9721
 -0.9312 -0.8967 -0.8661 -0.8382 -0.8127 -0.7880 -0.7665 -0.7509 -0.7435 -0.7457
 -0.7569
 -3.5397 -3.2879 -3.0671 -2.8618 -2.6744 -2.5067 -2.3587 -2.2258 -2.1046 -1.9930
 -1.8917 -1.8003 -1.7176 -1.6394 -1.5605 -1.3697 -1.2160 -1.1025 -1.0232 -0.9706
 -0.9350 -0.9068 -0.8820 -0.8591 -0.8376 -0.8150 -0.7936 -0.7765 -0.7660 -0.7642
 -0.7721
 -3.5441 -3.2851 -3.0603 -2.8548 -2.6656 -2.4935 -2.3406 -2.2054 -2.0845 -1.9745
 -1.8735 -1.7808 -1.6954 -1.6163 -1.5419 -1.3660 -1.2135 -1.0982 -1.0175 -0.9649
 -0.9322 -0.9100 -0.8918 -0.8751 -0.8590 -0.8431 -0.8278 -0.8148 -0.8044 -0.7964
 -0.7904
 -3.5774 -3.3040 -3.0716 -2.8649 -2.6734 -2.4977 -2.3385 -2.1972 -2.0729 -1.9620
 -1.8616 -1.7696 -1.6845 -1.6052 -1.5306 -1.3616 -1.2142 -1.0971 -1.0135 -0.9586
 -0.9257 -0.9068 -0.8945 -0.8845 -0.8749 -0.8649 -0.8546 -0.8440 -0.8339 -0.8252
 -0.8173
 -3.6330 -3.3453 -3.1027 -2.8900 -2.6947 -2.5152 -2.3510 -2.2022 -2.0706 -1.9550
 -1.8524 -1.7601 -1.6755 -1.5970 -1.5233 -1.3568 -1.2136 -1.0970 -1.0108 -0.9528
 -0.9177 -0.8991 -0.8901 -0.8859 -0.8831 -0.8799 -0.8759 -0.8708 -0.8649 -0.8590
 -0.8542
 -3.7058 -3.4088 -3.1536 -2.9292 -2.7284 -2.5448 -2.3760 -2.2215 -2.0816 -1.9576
 -1.8491 -1.7534 -1.6675 -1.5892 -1.5164 -1.3531 -1.2123 -1.0967 -1.0089
 [Fe/H] = -1.00 [alpha/Fe] =-0.40 BC value =  V   
 -4.6460 -4.4176 -4.0645 -3.7178 -3.3972 -3.1227 -2.9057 -2.7136 -2.5346 -2.3691
 -2.2149 -2.0736 -1.9460 -1.8311 -1.7271 -1.5048 -1.3185 -1.1582 -1.0267
 -4.1487 -4.0351 -3.9030 -3.6167 -3.3126 -3.0347 -2.8019 -2.6075 -2.4307 -2.2686
 -2.1179 -1.9805 -1.8567 -1.7460 -1.6469 -1.4393 -1.2710 -1.1306 -1.0156 -0.9254
 -3.9499 -3.6922 -3.5438 -3.4619 -3.2550 -2.9901 -2.7465 -2.5423 -2.3666 -2.2079
 -2.0609 -1.9266 -1.8054 -1.6970 -1.6002 -1.3999 -1.2417 -1.1135 -1.0103 -0.9294
 -0.8654
 -3.8604 -3.5698 -3.3339 -3.1596 -3.0579 -2.9383 -2.7265 -2.5121 -2.3296 -2.1724
 -2.0289 -1.8973 -1.7782 -1.6713 -1.5755 -1.3783 -1.2252 -1.1041 -1.0089 -0.9351
 -0.8767 -0.8282
 -3.8155 -3.5175 -3.2604 -3.0429 -2.8636 -2.7256 -2.6277 -2.4949 -2.3174 -2.1533
 -2.0119 -1.8829 -1.7655 -1.6597 -1.5646 -1.3680 -1.2167 -1.0994 -1.0095 -0.9412
 -0.8879 -0.8436 -0.8055 -0.7715
 -3.8044 -3.4993 -3.2316 -2.9998 -2.7987 -2.6259 -2.4801 -2.3618 -2.2641 -2.1430
 -2.0058 -1.8775 -1.7612 -1.6565 -1.5619 -1.3647 -1.2130 -1.0972 -1.0103 -0.9461
 -0.8978 -0.8582 -0.8239 -0.7936 -0.7657 -0.7420 -0.7245 -0.7147 -0.7131 -0.7180
 -3.8242 -3.5100 -3.2312 -2.9884 -2.7784 -2.5969 -2.4363 -2.2923 -2.1671 -2.0642
 -1.9720 -1.8714 -1.7627 -1.6581 -1.5635 -1.3657 -1.2122 -1.0958 -1.0102 -0.9488
 -0.9047 -0.8703 -0.8407 -0.8143 -0.7903 -0.7675 -0.7480 -0.7346 -0.7291 -0.7326
 -0.7436
 -3.8670 -3.5471 -3.2568 -3.0008 -2.7791 -2.5879 -2.4218 -2.2737 -2.1397 -2.0193
 -1.9148 -1.8263 -1.7433 -1.6567 -1.5677 -1.3692 -1.2133 -1.0950 -1.0088 -0.9486
 -0.9077 -0.8784 -0.8543 -0.8328 -0.8128 -0.7943 -0.7760 -0.7606 -0.7510 -0.7498
 -0.7584
 -3.9337 -3.6027 -3.3045 -3.0355 -2.7990 -2.5955 -2.4205 -2.2678 -2.1317 -2.0081
 -1.8963 -1.7973 -1.7104 -1.6324 -1.5574 -1.3721 -1.2145 -1.0933 -1.0055 -0.9449
 -0.9056 -0.8804 -0.8622 -0.8467 -0.8321 -0.8180 -0.8048 -0.7940 -0.7858 -0.7798
 -0.7760
 -4.0262 -3.6841 -3.3760 -3.0982 -2.8477 -2.6279 -2.4392 -2.2770 -2.1358 -2.0100
 -1.8962 -1.7934 -1.7010 -1.6182 -1.5432 -1.3735 -1.2189 -1.0945 -1.0034 -0.9407
 -0.9007 -0.8776 -0.8641 -0.8547 -0.8464 -0.8380 -0.8297 -0.8213 -0.8134 -0.8071
 -0.8039
 -4.1401 -3.7761 -3.4624 -3.1793 -2.9207 -2.6863 -2.4804 -2.3034 -2.1517 -2.0195
 -1.9026 -1.7975 -1.7026 -1.6167 -1.5385 -1.3700 -1.2231 -1.0975 -1.0025 -0.9365
 -0.8944 -0.8708 -0.8600 -0.8556 -0.8536 -0.8517 -0.8494 -0.8463 -0.8426 -0.8390
 -0.8364
 -4.2755 -3.8873 -3.5606 -3.2727 -3.0085 -2.7665 -2.5476 -2.3531 -2.1854 -2.0414
 -1.9168 -1.8072 -1.7092 -1.6209 -1.5406 -1.3683 -1.2245 -1.1015 -1.0035
 [Fe/H] = -0.75 [alpha/Fe] =-0.40 BC value =  V   
 -4.6657 -4.3476 -3.9598 -3.6181 -3.3099 -3.0421 -2.8268 -2.6402 -2.4693 -2.3079
 -2.1580 -2.0201 -1.8951 -1.7830 -1.6821 -1.4692 -1.2947 -1.1454 -1.0185
 -4.2387 -4.1508 -3.8825 -3.5480 -3.2438 -2.9697 -2.7441 -2.5538 -2.3830 -2.2243
 -2.0771 -1.9421 -1.8201 -1.7111 -1.6138 -1.4125 -1.2521 -1.1185 -1.0072 -0.9173
 -3.9727 -3.7596 -3.6829 -3.5031 -3.2146 -2.9426 -2.7022 -2.5036 -2.3321 -2.1759
 -2.0316 -1.8990 -1.7789 -1.6715 -1.5758 -1.3797 -1.2268 -1.1026 -1.0012 -0.9199
 -0.8556
 -3.8940 -3.5976 -3.3823 -3.2661 -3.1629 -2.9365 -2.6943 -2.4817 -2.3047 -2.1493
 -2.0078 -1.8774 -1.7589 -1.6524 -1.5572 -1.3626 -1.2130 -1.0941 -0.9992 -0.9244
 -0.8654 -0.8169
 -3.8722 -3.5535 -3.2879 -3.0780 -2.9243 -2.8252 -2.6882 -2.4866 -2.2966 -2.1367
 -1.9969 -1.8687 -1.7515 -1.6457 -1.5507 -1.3556 -1.2066 -1.0902 -0.9995 -0.9293
 -0.8751 -0.8307 -0.7929 -0.7595
